Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
YU DI,5,1 年前,"女将さんの愛想がよく、任意の本数で購入可能。
朝行くと【はじっこ】は置いていなかったが、作ったばっかりであったため、その場で詰めて頂けた為、すぐに購入出来た。
食感は甘くないきなこ棒に似ているが、子供も美味しいといって食べていた。",五家寳本舗堀内製菓,"
〒360-0042 埼玉県熊谷市本町２丁目１５","
048-522-1556",https://www.gokabo.jp/,"4.5
(70)",Unknown,〒360-0042 埼玉県熊谷市本町２丁目１５,35.7997665,138.7342054
YU DI,5,1 年前,"女将さんの愛想がよく、任意の本数で購入可能。
朝行くと【はじっこ】は置いていなかったが、作ったばっかりであったため、その場で詰めて頂けた為、すぐに購入出来た。
食感は甘くないきなこ棒に似ているが、子供も美味しいといって食べていた。",五家寳本舗堀内製菓,"
〒360-0042 埼玉県熊谷市本町２丁目１５","
048-522-1556",https://www.gokabo.jp/,"4.5
(70)",Unknown,〒360-0042 埼玉県熊谷市本町２丁目１５,35.7997665,138.7342054
orion993tb,5,4 年前,口コミを見て五家宝を買いに立ち寄りました。最初は開店してないかと思いましたが、近所のおばさんが呼んでくれて、初めて店が開店しました。笑　他の量販店で売っている五家宝とは全く違います。甘さ控えめで、作りたてが頂けます。訪問時は季節限定品も販売されてました。,五家寳本舗堀内製菓,"
〒360-0042 埼玉県熊谷市本町２丁目１５","
048-522-1556",https://www.gokabo.jp/,"4.5
(70)",Unknown,〒360-0042 埼玉県熊谷市本町２丁目１５,35.7997665,138.7342054
orion993tb,5,4 年前,口コミを見て五家宝を買いに立ち寄りました。最初は開店してないかと思いましたが、近所のおばさんが呼んでくれて、初めて店が開店しました。笑　他の量販店で売っている五家宝とは全く違います。甘さ控えめで、作りたてが頂けます。訪問時は季節限定品も販売されてました。,五家寳本舗堀内製菓,"
〒360-0042 埼玉県熊谷市本町２丁目１５","
048-522-1556",https://www.gokabo.jp/,"4.5
(70)",Unknown,〒360-0042 埼玉県熊谷市本町２丁目１５,35.7997665,138.7342054
竹富島で会いましょう,5,1 年前,"9/1にオープンした、近くのカフェダイニングヒカリでランチ会でした。
夫にお土産に五家宝を所望されていたので、Googleマップでヒカリさんの場所を確認する際、偶然見つけて、（こりゃ、いいや。帰りに寄って五家宝を買おう）と思っていました。

土曜日の14時50分頃です。来店すると、店員の女性（奥様と思われる）が、もうお売りするほど無いんですよ、と言った感じで申し訳無さそうに話します。
あまりに申し訳無さそうなのが伝わって来たので、『あ、じゃあいいですよ。』
（最近は、どうしてもCMの藤岡弘、さんのこんなセリフが頭から離れません。）
と伝えて退店しようとしましたが、
奥の作業場と何回か声をかけ合っていて、
『少しなら作れそうです。』との事でした。
とてもありがたかったです。

私と、友達2人が少量の10個入りをお願いしました。550円でした。

店内で待っていると、
五家宝を食べているさまぁ〜ずの写真が貼ってあって、
『この回、見ましたよ。大竹さん絶賛してましたよね』みたいな会話もお会計の時にしました。

みんなで退店する時、作業場から店主さんも顔を出してご挨拶をしてくれて、なんだか感激いたしました。支払った値段は、ワンコインくらいなのに、この10分ほどでご夫婦のお人柄が伝わってきました。

季節限定味は、この中だと冬季限定の抹茶ホワイトが一番気になります。食べてみたいです。

さて、お土産の五家宝、きな粉が好きな9歳男児にも、とても好評でした。
次回はもっと大量に購入します。

一緒に来店した熊谷出身の友達から、熊谷には五家宝屋さんが数店舗ある事を教えてもらうまで、元・吹上町出身の私は、ただただ
目の前の「五家宝」を食べる事しか考えておりませんでした。（この後、友達について行き中家堂さんも来店しました。）
これからは都内で偶然五家宝を見かけたら、製造店舗もチェックいたします。

しばらく熊谷に行く予定はありませんが、また、堀内製菓さんの五家宝をお土産に買いたいです。
ごちそうさまでした。",五家寳本舗堀内製菓,"
〒360-0042 埼玉県熊谷市本町２丁目１５","
048-522-1556",https://www.gokabo.jp/,"4.5
(70)",Unknown,〒360-0042 埼玉県熊谷市本町２丁目１５,35.7997665,138.7342054
竹富島で会いましょう,5,1 年前,"9/1にオープンした、近くのカフェダイニングヒカリでランチ会でした。
夫にお土産に五家宝を所望されていたので、Googleマップでヒカリさんの場所を確認する際、偶然見つけて、（こりゃ、いいや。帰りに寄って五家宝を買おう）と思っていました。

土曜日の14時50分頃です。来店すると、店員の女性（奥様と思われる）が、もうお売りするほど無いんですよ、と言った感じで申し訳無さそうに話します。
あまりに申し訳無さそうなのが伝わって来たので、『あ、じゃあいいですよ。』
（最近は、どうしてもCMの藤岡弘、さんのこんなセリフが頭から離れません。）
と伝えて退店しようとしましたが、
奥の作業場と何回か声をかけ合っていて、
『少しなら作れそうです。』との事でした。
とてもありがたかったです。

私と、友達2人が少量の10個入りをお願いしました。550円でした。

店内で待っていると、
五家宝を食べているさまぁ〜ずの写真が貼ってあって、
『この回、見ましたよ。大竹さん絶賛してましたよね』みたいな会話もお会計の時にしました。

みんなで退店する時、作業場から店主さんも顔を出してご挨拶をしてくれて、なんだか感激いたしました。支払った値段は、ワンコインくらいなのに、この10分ほどでご夫婦のお人柄が伝わってきました。

季節限定味は、この中だと冬季限定の抹茶ホワイトが一番気になります。食べてみたいです。

さて、お土産の五家宝、きな粉が好きな9歳男児にも、とても好評でした。
次回はもっと大量に購入します。

一緒に来店した熊谷出身の友達から、熊谷には五家宝屋さんが数店舗ある事を教えてもらうまで、元・吹上町出身の私は、ただただ
目の前の「五家宝」を食べる事しか考えておりませんでした。（この後、友達について行き中家堂さんも来店しました。）
これからは都内で偶然五家宝を見かけたら、製造店舗もチェックいたします。

しばらく熊谷に行く予定はありませんが、また、堀内製菓さんの五家宝をお土産に買いたいです。
ごちそうさまでした。",五家寳本舗堀内製菓,"
〒360-0042 埼玉県熊谷市本町２丁目１５","
048-522-1556",https://www.gokabo.jp/,"4.5
(70)",Unknown,〒360-0042 埼玉県熊谷市本町２丁目１５,35.7997665,138.7342054
たっちゃん,5,1 年前,"堀内製菓五家宝は個人的には1番好きな味です。
お土産に渡すと大変喜ばれます^_^",五家寳本舗堀内製菓,"
〒360-0042 埼玉県熊谷市本町２丁目１５","
048-522-1556",https://www.gokabo.jp/,"4.5
(70)",Unknown,〒360-0042 埼玉県熊谷市本町２丁目１５,35.7997665,138.7342054
たっちゃん,5,1 年前,"堀内製菓五家宝は個人的には1番好きな味です。
お土産に渡すと大変喜ばれます^_^",五家寳本舗堀内製菓,"
〒360-0042 埼玉県熊谷市本町２丁目１５","
048-522-1556",https://www.gokabo.jp/,"4.5
(70)",Unknown,〒360-0042 埼玉県熊谷市本町２丁目１５,35.7997665,138.7342054
まつかつ,5,2 年前,"ふわふわサクサク甘さ控えめの美味しい五家宝。
明治20年創業の老舗。きな粉好きにはたまらない２種類のタップリきな粉が味える。

きな粉とうぐいす（薄緑色）のハーフ計28本入り1箱。さくら、あんず、抹茶各1個を購入。
高速道路SAや駅売店で売ってる五家宝より美味し。",五家寳本舗堀内製菓,"
〒360-0042 埼玉県熊谷市本町２丁目１５","
048-522-1556",https://www.gokabo.jp/,"4.5
(70)",Unknown,〒360-0042 埼玉県熊谷市本町２丁目１５,35.7997665,138.7342054
まつかつ,5,2 年前,"ふわふわサクサク甘さ控えめの美味しい五家宝。
明治20年創業の老舗。きな粉好きにはたまらない２種類のタップリきな粉が味える。

きな粉とうぐいす（薄緑色）のハーフ計28本入り1箱。さくら、あんず、抹茶各1個を購入。
高速道路SAや駅売店で売ってる五家宝より美味し。",五家寳本舗堀内製菓,"
〒360-0042 埼玉県熊谷市本町２丁目１５","
048-522-1556",https://www.gokabo.jp/,"4.5
(70)",Unknown,〒360-0042 埼玉県熊谷市本町２丁目１５,35.7997665,138.7342054
