Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Hiroshi Kyoto,5,1 か月前,"五条大橋
道路名：一般国道1号
橋の種類：鋼橋（3径間）
橋長：67.2ｍ
全幅員：36.0ｍ　　　　　　　　　昭和34年3月竣工

歴史：
平安時代、現在の五条通は六条坊門小路と呼ばれていました。六条坊門小路の鴨川には橋が無く、豊臣秀吉が天正18年（1590年）に当時の五条通（現松原通）の橋を、現在の場所に移設しました。現在の橋になるまでには、洪水・大火などで幾度か改築されています。明治時代には木製の幅6ｍの橋でしたが、昭和34年（1959年）に架け替えられ今の姿になりました。

デザイン：
現代技術と美の粋を集めた鉄製橋として架け替えすることになりましたが、高欄については、旧橋と同じ木製にしたい地元の要望と近代橋を主張する当時の建設省や学識者の間で議論がありました。最終的には両方の意見を生かし、高欄は原型を模した石造り、青銅の擬宝珠は旧橋のものをそのまま活用することになりました。

橋脚（石柱）と橋桁：
五条大橋西側の五条児童公園では、秀吉が造らせた初代五条大橋の橋脚（石柱）を見る事ができます。また、京都国立博物館には、立体的に組まれた橋脚（石柱）と橋桁があり、当時の橋の大きさが想像できるほど迫力があります。その橋脚（石柱）には「津国御影＜天正拾七年/五月吉日＞、と文字が刻まれており。現在の神戸市東灘区御影から運ばれた事がわかります。

擬宝珠：
旧橋で使用されていた擬宝珠は、災害などでいくつか無くなり、新しく補充されていますが、現在も初めて設置された正保二年（1645年）の物が二基残っています。江戸時代の擬宝珠を探してみてください。

五条大橋をきれいにする会　公益社団法人　下京納税協会

Gojo Ohashi Bridge
Road name: National Route 1
Bridge type: Steel bridge (3 spans)
Bridge length: 67.2m
Width: 36.0m Completed in March 1959
History:
During the Heian period, the current Gojo street was called Rokujo Bomon Koji. There was no bridge over the Kamo River at Rokujo Bomon Koji, so Toyotomi Hideyoshi relocated the bridge from Gojo street (now Matsubara street) to its current location in 1590. Before it became the current bridge, it was rebuilt several times due to floods and fires. During the Meiji period, it was a wooden bridge with a width of 6m, but it was rebuilt in 1959 and has the current appearance.
Design:
It was decided to rebuild it as an iron bridge that brings together the best of modern technology and beauty, but there was a debate over the railings between the local demand to use wood like the old bridge and the Ministry of Construction and academics at the time who advocated a modern bridge. In the end, both opinions were taken into consideration and it was decided to use the original stone parapet and the bronze spires from the old bridge.

Bridge piers (stone pillars) and bridge girders:
At Gojo Children's Park on the west side of Gojo Ohashi Bridge, you can see the piers (stone pillars) of the original Gojo Ohashi Bridge, which was built by Hideyoshi. Kyoto National Museum also has three-dimensional piers (stone pillars) and bridge girders, which are so impressive that you can imagine the size of the bridge at that time. The bridge pier (stone pillar) is engraved with the words ""Tsukunimikage (Tensho 17th year/Auspicious day in May),"" indicating that it was brought from what is now Mikage in Higashinada Ward, Kobe.

Gibozu:
Some of the gibozu used on the old bridge have been lost due to disasters and have been replaced with new ones, but two that were first installed in 1645 still remain. Try to find some gibozu from the Edo period.

Gojo Ohashi Cleaning Association Public Interest Incorporated Association Shimogyo Taxpayers Association",五条大橋,"
〒605-0801 京都府東山区宮川筋８丁目 清水五条駅",Unknown,Unknown,"4.2
(100)",お店やスポットの電話番号を追加する,橋,34.995651,133.3289513
Hiroshi Kyoto,5,1 か月前,"五条大橋
道路名：一般国道1号
橋の種類：鋼橋（3径間）
橋長：67.2ｍ
全幅員：36.0ｍ　　　　　　　　　昭和34年3月竣工

歴史：
平安時代、現在の五条通は六条坊門小路と呼ばれていました。六条坊門小路の鴨川には橋が無く、豊臣秀吉が天正18年（1590年）に当時の五条通（現松原通）の橋を、現在の場所に移設しました。現在の橋になるまでには、洪水・大火などで幾度か改築されています。明治時代には木製の幅6ｍの橋でしたが、昭和34年（1959年）に架け替えられ今の姿になりました。

デザイン：
現代技術と美の粋を集めた鉄製橋として架け替えすることになりましたが、高欄については、旧橋と同じ木製にしたい地元の要望と近代橋を主張する当時の建設省や学識者の間で議論がありました。最終的には両方の意見を生かし、高欄は原型を模した石造り、青銅の擬宝珠は旧橋のものをそのまま活用することになりました。

橋脚（石柱）と橋桁：
五条大橋西側の五条児童公園では、秀吉が造らせた初代五条大橋の橋脚（石柱）を見る事ができます。また、京都国立博物館には、立体的に組まれた橋脚（石柱）と橋桁があり、当時の橋の大きさが想像できるほど迫力があります。その橋脚（石柱）には「津国御影＜天正拾七年/五月吉日＞、と文字が刻まれており。現在の神戸市東灘区御影から運ばれた事がわかります。

擬宝珠：
旧橋で使用されていた擬宝珠は、災害などでいくつか無くなり、新しく補充されていますが、現在も初めて設置された正保二年（1645年）の物が二基残っています。江戸時代の擬宝珠を探してみてください。

五条大橋をきれいにする会　公益社団法人　下京納税協会

Gojo Ohashi Bridge
Road name: National Route 1
Bridge type: Steel bridge (3 spans)
Bridge length: 67.2m
Width: 36.0m Completed in March 1959
History:
During the Heian period, the current Gojo street was called Rokujo Bomon Koji. There was no bridge over the Kamo River at Rokujo Bomon Koji, so Toyotomi Hideyoshi relocated the bridge from Gojo street (now Matsubara street) to its current location in 1590. Before it became the current bridge, it was rebuilt several times due to floods and fires. During the Meiji period, it was a wooden bridge with a width of 6m, but it was rebuilt in 1959 and has the current appearance.
Design:
It was decided to rebuild it as an iron bridge that brings together the best of modern technology and beauty, but there was a debate over the railings between the local demand to use wood like the old bridge and the Ministry of Construction and academics at the time who advocated a modern bridge. In the end, both opinions were taken into consideration and it was decided to use the original stone parapet and the bronze spires from the old bridge.

Bridge piers (stone pillars) and bridge girders:
At Gojo Children's Park on the west side of Gojo Ohashi Bridge, you can see the piers (stone pillars) of the original Gojo Ohashi Bridge, which was built by Hideyoshi. Kyoto National Museum also has three-dimensional piers (stone pillars) and bridge girders, which are so impressive that you can imagine the size of the bridge at that time. The bridge pier (stone pillar) is engraved with the words ""Tsukunimikage (Tensho 17th year/Auspicious day in May),"" indicating that it was brought from what is now Mikage in Higashinada Ward, Kobe.

Gibozu:
Some of the gibozu used on the old bridge have been lost due to disasters and have been replaced with new ones, but two that were first installed in 1645 still remain. Try to find some gibozu from the Edo period.

Gojo Ohashi Cleaning Association Public Interest Incorporated Association Shimogyo Taxpayers Association",五条大橋,"
〒605-0801 京都府東山区宮川筋８丁目 清水五条駅",Unknown,Unknown,"4.2
(100)",お店やスポットの電話番号を追加する,橋,34.995651,133.3289513
Tiger,4,3 か月前,牛若丸（源義経）と武蔵坊弁慶が出会ったという伝説で有名な橋です。しかし、実際に彼らが会ったのは松原橋なので、是非セットで訪問しましょう。,五条大橋,"
〒605-0801 京都府東山区宮川筋８丁目 清水五条駅",Unknown,Unknown,"4.2
(100)",お店やスポットの電話番号を追加する,橋,34.995651,133.3289513
Tiger,4,3 か月前,牛若丸（源義経）と武蔵坊弁慶が出会ったという伝説で有名な橋です。しかし、実際に彼らが会ったのは松原橋なので、是非セットで訪問しましょう。,五条大橋,"
〒605-0801 京都府東山区宮川筋８丁目 清水五条駅",Unknown,Unknown,"4.2
(100)",お店やスポットの電話番号を追加する,橋,34.995651,133.3289513
むぺる,5,2 か月前,"昭和34(1959)年架替。
南北両側あわせて14個の擬宝珠のうち2個は正保2(1645)年、2個は明治10(1877)年の物がそのまま利用されている。",五条大橋,"
〒605-0801 京都府東山区宮川筋８丁目 清水五条駅",Unknown,Unknown,"4.2
(100)",お店やスポットの電話番号を追加する,橋,34.995651,133.3289513
むぺる,5,2 か月前,"昭和34(1959)年架替。
南北両側あわせて14個の擬宝珠のうち2個は正保2(1645)年、2個は明治10(1877)年の物がそのまま利用されている。",五条大橋,"
〒605-0801 京都府東山区宮川筋８丁目 清水五条駅",Unknown,Unknown,"4.2
(100)",お店やスポットの電話番号を追加する,橋,34.995651,133.3289513
Namisho Battery,5,10 か月前,"弁慶と牛若丸(源義経)が戦ったとされる橋です。実際はここより南にあった橋が豊臣秀吉がこちらに移転させたらしいです。
とにかく歴史があります。",五条大橋,"
〒605-0801 京都府東山区宮川筋８丁目 清水五条駅",Unknown,Unknown,"4.2
(100)",お店やスポットの電話番号を追加する,橋,34.995651,133.3289513
Namisho Battery,5,10 か月前,"弁慶と牛若丸(源義経)が戦ったとされる橋です。実際はここより南にあった橋が豊臣秀吉がこちらに移転させたらしいです。
とにかく歴史があります。",五条大橋,"
〒605-0801 京都府東山区宮川筋８丁目 清水五条駅",Unknown,Unknown,"4.2
(100)",お店やスポットの電話番号を追加する,橋,34.995651,133.3289513
ロッチNS,5,1 年前,"この橋には、おなじみの義経と弁慶の言い伝えのほかにも、扇が平安時代の初期にこの周辺の地域で初めて作られたという言い伝えがあるそうです。
この橋の西詰の北側に「扇塚の記」があり、

扇は平安時代の初期この地に初めて作られたものである。ここ五條大橋の畔は時宗御影堂の遺跡であり、平敦盛没後その室 本寺祐寛上人によって得度し蓮華院尼と称し寺僧と共に扇を作ったと言い伝えられている。この由緒により扇工この地に集まり永く扇の名産地として広く海外にまでも喧伝されるに至った。いまこの
由来を記してこれを顕彰する。

と書かれている。",五条大橋,"
〒605-0801 京都府東山区宮川筋８丁目 清水五条駅",Unknown,Unknown,"4.2
(100)",お店やスポットの電話番号を追加する,橋,34.995651,133.3289513
ロッチNS,5,1 年前,"この橋には、おなじみの義経と弁慶の言い伝えのほかにも、扇が平安時代の初期にこの周辺の地域で初めて作られたという言い伝えがあるそうです。
この橋の西詰の北側に「扇塚の記」があり、

扇は平安時代の初期この地に初めて作られたものである。ここ五條大橋の畔は時宗御影堂の遺跡であり、平敦盛没後その室 本寺祐寛上人によって得度し蓮華院尼と称し寺僧と共に扇を作ったと言い伝えられている。この由緒により扇工この地に集まり永く扇の名産地として広く海外にまでも喧伝されるに至った。いまこの
由来を記してこれを顕彰する。

と書かれている。",五条大橋,"
〒605-0801 京都府東山区宮川筋８丁目 清水五条駅",Unknown,Unknown,"4.2
(100)",お店やスポットの電話番号を追加する,橋,34.995651,133.3289513
