Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
a***** H*****,5,1 週間前,"岩倉駅から徒歩5分。
桜の時期になると標識もあるので、迷う心配なし。
櫻は綺麗だが、映える背景がないのがちょっとだけ残念。
でもタダだし、文句は言いません。",五条川,"
愛知県",Unknown,Unknown,"4.8
(63)",Unknown,河川,35.940499,138.4425644
a***** H*****,5,1 週間前,"岩倉駅から徒歩5分。
桜の時期になると標識もあるので、迷う心配なし。
櫻は綺麗だが、映える背景がないのがちょっとだけ残念。
でもタダだし、文句は言いません。",五条川,"
愛知県",Unknown,Unknown,"4.8
(63)",Unknown,河川,35.940499,138.4425644
yumi,5,1 年前,2024/4/6 満開です🌸鯉のぼりの洗いもやってました🎏ライトアップの準備もされてます。今年も地元の方が色々準備してくれました。桜のひこばえが切られる被害があったようです。土日は凄い人です。ベトナム人多い。 …,五条川,"
愛知県",Unknown,Unknown,"4.8
(63)",Unknown,河川,35.940499,138.4425644
yumi,5,1 年前,2024/4/6 満開です🌸鯉のぼりの洗いもやってました🎏ライトアップの準備もされてます。今年も地元の方が色々準備してくれました。桜のひこばえが切られる被害があったようです。土日は凄い人です。ベトナム人多い。 …,五条川,"
愛知県",Unknown,Unknown,"4.8
(63)",Unknown,河川,35.940499,138.4425644
nh215,5,2 年前,"桜の名所、五条川。
満開の時はともかく散り始めの時期に行くと、川を流れる桜の花びらがきれい。
川に沿って散策できるようになっていて、所々でベンチなどか整備され、休憩できるようになっている。
名鉄犬山線の岩倉駅や石仏駅から、簡単にアクセスできるのもありがたい。",五条川,"
愛知県",Unknown,Unknown,"4.8
(63)",Unknown,河川,35.940499,138.4425644
nh215,5,2 年前,"桜の名所、五条川。
満開の時はともかく散り始めの時期に行くと、川を流れる桜の花びらがきれい。
川に沿って散策できるようになっていて、所々でベンチなどか整備され、休憩できるようになっている。
名鉄犬山線の岩倉駅や石仏駅から、簡単にアクセスできるのもありがたい。",五条川,"
愛知県",Unknown,Unknown,"4.8
(63)",Unknown,河川,35.940499,138.4425644
t0M,4,2 年前,犬山市の入鹿池が源で、地図を見てると、その先に大口町や江南市を流れて小牧市と岩倉市一宮市や稲沢市または北名古屋市、清須市の境界になっていて一宮市や稲沢市を流れてきた青木川と合流して春日町、清須市へ更には清須市で新川に合流しています。 …,五条川,"
愛知県",Unknown,Unknown,"4.8
(63)",Unknown,河川,35.940499,138.4425644
t0M,4,2 年前,犬山市の入鹿池が源で、地図を見てると、その先に大口町や江南市を流れて小牧市と岩倉市一宮市や稲沢市または北名古屋市、清須市の境界になっていて一宮市や稲沢市を流れてきた青木川と合流して春日町、清須市へ更には清須市で新川に合流しています。 …,五条川,"
愛知県",Unknown,Unknown,"4.8
(63)",Unknown,河川,35.940499,138.4425644
バカウサギカメラ,5,1 年前,"2024年4月6日に行きました。
何度も行った事がありますが、川の流れに沿って竹林公園の方まで歩くと、人混みが少なくなり、地元の人たちがお花見していました。
桜は片側だけになりますが、とても美しく、ゆっくり桜を楽しめます。
元気ならひと駅手前で降りて、川を沿って歩いてお祭りの会場まで歩くのも良いかもしれません。",五条川,"
愛知県",Unknown,Unknown,"4.8
(63)",Unknown,河川,35.940499,138.4425644
バカウサギカメラ,5,1 年前,"2024年4月6日に行きました。
何度も行った事がありますが、川の流れに沿って竹林公園の方まで歩くと、人混みが少なくなり、地元の人たちがお花見していました。
桜は片側だけになりますが、とても美しく、ゆっくり桜を楽しめます。
元気ならひと駅手前で降りて、川を沿って歩いてお祭りの会場まで歩くのも良いかもしれません。",五条川,"
愛知県",Unknown,Unknown,"4.8
(63)",Unknown,河川,35.940499,138.4425644
jun kimoto,5,3 年前,五条川は、桜の名所として有名です。いろんな名所がありますが、私は、この辺りでは一番と思っています。シーズンには多くの観光客が訪れます。そのため、車の駐車場が心配となります。おススメは、電車で行かれることです。名鉄犬山線の大山寺駅で下車し、五条川沿いを歩き、約１時間半５ｋｍ、石仏駅から帰れば、桜を満喫できます。おススメの桜満喫コースです。,五条川,"
愛知県",Unknown,Unknown,"4.8
(63)",Unknown,河川,35.940499,138.4425644
jun kimoto,5,3 年前,五条川は、桜の名所として有名です。いろんな名所がありますが、私は、この辺りでは一番と思っています。シーズンには多くの観光客が訪れます。そのため、車の駐車場が心配となります。おススメは、電車で行かれることです。名鉄犬山線の大山寺駅で下車し、五条川沿いを歩き、約１時間半５ｋｍ、石仏駅から帰れば、桜を満喫できます。おススメの桜満喫コースです。,五条川,"
愛知県",Unknown,Unknown,"4.8
(63)",Unknown,河川,35.940499,138.4425644
yon iine,4,3 年前,"2022/04/04
すごく天気で
空の青色が川に映って透けた水面がキラキラして、桜は明るいピンク色 …",五条川,"
愛知県",Unknown,Unknown,"4.8
(63)",Unknown,河川,35.940499,138.4425644
yon iine,4,3 年前,"2022/04/04
すごく天気で
空の青色が川に映って透けた水面がキラキラして、桜は明るいピンク色 …",五条川,"
愛知県",Unknown,Unknown,"4.8
(63)",Unknown,河川,35.940499,138.4425644
脱サラCEO,5,4 年前,"・桜並木が川沿いを彩る川になります
・道路とは別に散歩道が用意されてるので安心
・桜の季節には出店も出るので賑わいます …",五条川,"
愛知県",Unknown,Unknown,"4.8
(63)",Unknown,河川,35.940499,138.4425644
脱サラCEO,5,4 年前,"・桜並木が川沿いを彩る川になります
・道路とは別に散歩道が用意されてるので安心
・桜の季節には出店も出るので賑わいます …",五条川,"
愛知県",Unknown,Unknown,"4.8
(63)",Unknown,河川,35.940499,138.4425644
HISAE,5,3 年前,"岩倉市、江南市、大口町、犬山市まで遊歩道があり不思議と延々歩けちゃうので、帰りの事を考えて歩かれることオススメします😊
桜の時期には桜が咲き。
お彼岸には彼岸花。
素敵な憩いの川です。 …",五条川,"
愛知県",Unknown,Unknown,"4.8
(63)",Unknown,河川,35.940499,138.4425644
