Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
かんれ,3,5 年前,大会と練習が行われない時は、家族連れの憩いの場です✨,五泉市 陸上競技場,"
〒959-1765 新潟県五泉市愛宕甲２６６０",Unknown,https://www.city.gosen.lg.jp/childcare_education/7/2131.html,"3.6
(34)",お店やスポットの電話番号を追加する,陸上競技場,37.6927043,139.1881628
かんれ,3,5 年前,大会と練習が行われない時は、家族連れの憩いの場です✨,五泉市 陸上競技場,"
〒959-1765 新潟県五泉市愛宕甲２６６０",Unknown,https://www.city.gosen.lg.jp/childcare_education/7/2131.html,"3.6
(34)",お店やスポットの電話番号を追加する,陸上競技場,37.6927043,139.1881628
猫てち,4,1 年前,"公園が近くにあり、スポーツやイベントがしやすい施設です。
駅からは遠いですが、車の方なら、良いかもしれない。",五泉市 陸上競技場,"
〒959-1765 新潟県五泉市愛宕甲２６６０",Unknown,https://www.city.gosen.lg.jp/childcare_education/7/2131.html,"3.6
(34)",お店やスポットの電話番号を追加する,陸上競技場,37.6927043,139.1881628
猫てち,4,1 年前,"公園が近くにあり、スポーツやイベントがしやすい施設です。
駅からは遠いですが、車の方なら、良いかもしれない。",五泉市 陸上競技場,"
〒959-1765 新潟県五泉市愛宕甲２６６０",Unknown,https://www.city.gosen.lg.jp/childcare_education/7/2131.html,"3.6
(34)",お店やスポットの電話番号を追加する,陸上競技場,37.6927043,139.1881628
玉浜,3,6 年前,"村松公園もすぐそば、環境的にも素晴らしい。春は桜、秋は紅葉。
全体が散歩コースに適しています。",五泉市 陸上競技場,"
〒959-1765 新潟県五泉市愛宕甲２６６０",Unknown,https://www.city.gosen.lg.jp/childcare_education/7/2131.html,"3.6
(34)",お店やスポットの電話番号を追加する,陸上競技場,37.6927043,139.1881628
玉浜,3,6 年前,"村松公園もすぐそば、環境的にも素晴らしい。春は桜、秋は紅葉。
全体が散歩コースに適しています。",五泉市 陸上競技場,"
〒959-1765 新潟県五泉市愛宕甲２６６０",Unknown,https://www.city.gosen.lg.jp/childcare_education/7/2131.html,"3.6
(34)",お店やスポットの電話番号を追加する,陸上競技場,37.6927043,139.1881628
池谷淳,4,6 年前,桜が咲いたら、更に良いとこ。,五泉市 陸上競技場,"
〒959-1765 新潟県五泉市愛宕甲２６６０",Unknown,https://www.city.gosen.lg.jp/childcare_education/7/2131.html,"3.6
(34)",お店やスポットの電話番号を追加する,陸上競技場,37.6927043,139.1881628
池谷淳,4,6 年前,桜が咲いたら、更に良いとこ。,五泉市 陸上競技場,"
〒959-1765 新潟県五泉市愛宕甲２６６０",Unknown,https://www.city.gosen.lg.jp/childcare_education/7/2131.html,"3.6
(34)",お店やスポットの電話番号を追加する,陸上競技場,37.6927043,139.1881628
岩野与志弘,4,2 年前,五泉駅伝をやりました、紅葉マラソンなども予定されています,五泉市 陸上競技場,"
〒959-1765 新潟県五泉市愛宕甲２６６０",Unknown,https://www.city.gosen.lg.jp/childcare_education/7/2131.html,"3.6
(34)",お店やスポットの電話番号を追加する,陸上競技場,37.6927043,139.1881628
岩野与志弘,4,2 年前,五泉駅伝をやりました、紅葉マラソンなども予定されています,五泉市 陸上競技場,"
〒959-1765 新潟県五泉市愛宕甲２６６０",Unknown,https://www.city.gosen.lg.jp/childcare_education/7/2131.html,"3.6
(34)",お店やスポットの電話番号を追加する,陸上競技場,37.6927043,139.1881628
