Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
ras1043 tk,3,2 年前,"狭い舗装道路です
スピードの出し過ぎに注意",五輪峠,"
〒028-0481 岩手県遠野市小友町７地割",Unknown,Unknown,"3.8
(5)",Unknown,〒028-0481 岩手県遠野市小友町７地割,39.2603438,141.3579212
ras1043 tk,3,2 年前,"狭い舗装道路です
スピードの出し過ぎに注意",五輪峠,"
〒028-0481 岩手県遠野市小友町７地割",Unknown,Unknown,"3.8
(5)",Unknown,〒028-0481 岩手県遠野市小友町７地割,39.2603438,141.3579212
スカちゃん,3,2 年前,峠らしいなかなかツーリングには厳しいですが、賢治ゆかりの峠。,五輪峠,"
〒028-0481 岩手県遠野市小友町７地割",Unknown,Unknown,"3.8
(5)",Unknown,〒028-0481 岩手県遠野市小友町７地割,39.2603438,141.3579212
スカちゃん,3,2 年前,峠らしいなかなかツーリングには厳しいですが、賢治ゆかりの峠。,五輪峠,"
〒028-0481 岩手県遠野市小友町７地割",Unknown,Unknown,"3.8
(5)",Unknown,〒028-0481 岩手県遠野市小友町７地割,39.2603438,141.3579212
じろうの家,5,2 年前,良いところですよ,五輪峠,"
〒028-0481 岩手県遠野市小友町７地割",Unknown,Unknown,"3.8
(5)",Unknown,〒028-0481 岩手県遠野市小友町７地割,39.2603438,141.3579212
じろうの家,5,2 年前,良いところですよ,五輪峠,"
〒028-0481 岩手県遠野市小友町７地割",Unknown,Unknown,"3.8
(5)",Unknown,〒028-0481 岩手県遠野市小友町７地割,39.2603438,141.3579212
土井政憲,5,2 年前,      2 年前,五輪峠,"
〒028-0481 岩手県遠野市小友町７地割",Unknown,Unknown,"3.8
(5)",Unknown,〒028-0481 岩手県遠野市小友町７地割,39.2603438,141.3579212
土井政憲,5,2 年前,      2 年前,五輪峠,"
〒028-0481 岩手県遠野市小友町７地割",Unknown,Unknown,"3.8
(5)",Unknown,〒028-0481 岩手県遠野市小友町７地割,39.2603438,141.3579212
Ｊin Watanabe,3,3 年前,      3 年前,五輪峠,"
〒028-0481 岩手県遠野市小友町７地割",Unknown,Unknown,"3.8
(5)",Unknown,〒028-0481 岩手県遠野市小友町７地割,39.2603438,141.3579212
Ｊin Watanabe,3,3 年前,      3 年前,五輪峠,"
〒028-0481 岩手県遠野市小友町７地割",Unknown,Unknown,"3.8
(5)",Unknown,〒028-0481 岩手県遠野市小友町７地割,39.2603438,141.3579212
