Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
サムライノーツ石川雅之（samurainauts）,5,2 週間前,"素晴らしい公園です。
園内は広大で、様々なエリアがあり、散歩からスポーツ、食事と、ひとそれぞれの利用が可能です。

長く伸びた池には白鳥の足漕ぎボートもあります。

桜のシーズンはひとが多く、多少の混雑具合は覚悟が必要そうですが、とても広い公園なので、あまり心配しません。

また、広い公園といえば利用しやすいトイレ必須かと思います。こちらも心配ありませんでした。

ありがたい公園です。",井の頭恩賜公園,"
〒180-0005 東京都武蔵野市御殿山１丁目１８−３１","
0422-47-6900",https://www.kensetsu.metro.tokyo.lg.jp/jimusho/seibuk/inokashira/index.html,"4.4
(12,753)",Unknown,〒180-0005 東京都武蔵野市御殿山１丁目１８−３１,35.6997476,139.5689382
サムライノーツ石川雅之（samurainauts）,5,2 週間前,"素晴らしい公園です。
園内は広大で、様々なエリアがあり、散歩からスポーツ、食事と、ひとそれぞれの利用が可能です。

長く伸びた池には白鳥の足漕ぎボートもあります。

桜のシーズンはひとが多く、多少の混雑具合は覚悟が必要そうですが、とても広い公園なので、あまり心配しません。

また、広い公園といえば利用しやすいトイレ必須かと思います。こちらも心配ありませんでした。

ありがたい公園です。",井の頭恩賜公園,"
〒180-0005 東京都武蔵野市御殿山１丁目１８−３１","
0422-47-6900",https://www.kensetsu.metro.tokyo.lg.jp/jimusho/seibuk/inokashira/index.html,"4.4
(12,753)",Unknown,〒180-0005 東京都武蔵野市御殿山１丁目１８−３１,35.6997476,139.5689382
mii,4,2 週間前,"桜が見頃でたくさんの人達がシート広げながら各自賑わって楽しく過ごしていました。
かなり人が多かったです。

動物公園利用には入園料がかかるけどここのエリアは何もかからないので(一応カテゴリー的には公園だから当たり前か！笑)吉祥寺に買い物にきたついでとかでも駅から近いし気軽に立ち寄れてすごい良いと思う。

広いから限られた場所しか通らなかったけどまた今度来たときは違う楽しみ方できたらいいな！紅葉も良さそう(*^^*)",井の頭恩賜公園,"
〒180-0005 東京都武蔵野市御殿山１丁目１８−３１","
0422-47-6900",https://www.kensetsu.metro.tokyo.lg.jp/jimusho/seibuk/inokashira/index.html,"4.4
(12,753)",Unknown,〒180-0005 東京都武蔵野市御殿山１丁目１８−３１,35.6997476,139.5689382
mii,4,2 週間前,"桜が見頃でたくさんの人達がシート広げながら各自賑わって楽しく過ごしていました。
かなり人が多かったです。

動物公園利用には入園料がかかるけどここのエリアは何もかからないので(一応カテゴリー的には公園だから当たり前か！笑)吉祥寺に買い物にきたついでとかでも駅から近いし気軽に立ち寄れてすごい良いと思う。

広いから限られた場所しか通らなかったけどまた今度来たときは違う楽しみ方できたらいいな！紅葉も良さそう(*^^*)",井の頭恩賜公園,"
〒180-0005 東京都武蔵野市御殿山１丁目１８−３１","
0422-47-6900",https://www.kensetsu.metro.tokyo.lg.jp/jimusho/seibuk/inokashira/index.html,"4.4
(12,753)",Unknown,〒180-0005 東京都武蔵野市御殿山１丁目１８−３１,35.6997476,139.5689382
むっちゃん,5,2 週間前,"4/6の日曜日の夕方頃に 久しぶりに井の頭公園に行きました。午前中の天気で心配でしたが 午後は晴れ間も見えて お花見日和でしたね。
外人や宴会の人もいて 結構 混んでました。
個人的には 昔より 枯れてしまった桜の木が 目立ちましたが 満開の木もあって しっかりお花見できました。
こちらは 夜の宴会は22:00までなんですね。所々 布の垂れ幕がありました。",井の頭恩賜公園,"
〒180-0005 東京都武蔵野市御殿山１丁目１８−３１","
0422-47-6900",https://www.kensetsu.metro.tokyo.lg.jp/jimusho/seibuk/inokashira/index.html,"4.4
(12,753)",Unknown,〒180-0005 東京都武蔵野市御殿山１丁目１８−３１,35.6997476,139.5689382
むっちゃん,5,2 週間前,"4/6の日曜日の夕方頃に 久しぶりに井の頭公園に行きました。午前中の天気で心配でしたが 午後は晴れ間も見えて お花見日和でしたね。
外人や宴会の人もいて 結構 混んでました。
個人的には 昔より 枯れてしまった桜の木が 目立ちましたが 満開の木もあって しっかりお花見できました。
こちらは 夜の宴会は22:00までなんですね。所々 布の垂れ幕がありました。",井の頭恩賜公園,"
〒180-0005 東京都武蔵野市御殿山１丁目１８−３１","
0422-47-6900",https://www.kensetsu.metro.tokyo.lg.jp/jimusho/seibuk/inokashira/index.html,"4.4
(12,753)",Unknown,〒180-0005 東京都武蔵野市御殿山１丁目１８−３１,35.6997476,139.5689382
あい,5,1 か月前,"吉祥寺らしいラフでのびのびした雰囲気の公園。3月半ばに訪れたところ、桜はまだまだの様子でしたが前に比べると食べ歩きスイーツのバリエーション豊富になり、スワンボートも（珍しい！）ラブリーだったり、水族館やウォーキング向けだったり色々充実してます🫠。
吉祥寺駅からも近いし、公園に向かう途中原宿みたいなお店が並んでるのもときめきます😍
どちらかというと大人向けかな、、
子供の遊び場もあるんですが、ちょっと歩かないと辿り着けないので小さな子にはキツイ距離かもしれません🌟🥺",井の頭恩賜公園,"
〒180-0005 東京都武蔵野市御殿山１丁目１８−３１","
0422-47-6900",https://www.kensetsu.metro.tokyo.lg.jp/jimusho/seibuk/inokashira/index.html,"4.4
(12,753)",Unknown,〒180-0005 東京都武蔵野市御殿山１丁目１８−３１,35.6997476,139.5689382
あい,5,1 か月前,"吉祥寺らしいラフでのびのびした雰囲気の公園。3月半ばに訪れたところ、桜はまだまだの様子でしたが前に比べると食べ歩きスイーツのバリエーション豊富になり、スワンボートも（珍しい！）ラブリーだったり、水族館やウォーキング向けだったり色々充実してます🫠。
吉祥寺駅からも近いし、公園に向かう途中原宿みたいなお店が並んでるのもときめきます😍
どちらかというと大人向けかな、、
子供の遊び場もあるんですが、ちょっと歩かないと辿り着けないので小さな子にはキツイ距離かもしれません🌟🥺",井の頭恩賜公園,"
〒180-0005 東京都武蔵野市御殿山１丁目１８−３１","
0422-47-6900",https://www.kensetsu.metro.tokyo.lg.jp/jimusho/seibuk/inokashira/index.html,"4.4
(12,753)",Unknown,〒180-0005 東京都武蔵野市御殿山１丁目１８−３１,35.6997476,139.5689382
高野夏帆,5,1 か月前,毎年初日の出は井の頭公園で見るのが恒例になっているんですが、2025年もやっぱり最高でした！朝早くからたくさんの人が集まっていて、みんなでワクワクしながら待っている感じがなんとも言えないです。日が昇る瞬間、空がオレンジ色に染まるのを見ると、今年も良い一年が始まるなぁって実感。近くに住んでいるので、いつも気軽に訪れる場所だけど、初日の出の時は特別感があって毎年楽しみです。,井の頭恩賜公園,"
〒180-0005 東京都武蔵野市御殿山１丁目１８−３１","
0422-47-6900",https://www.kensetsu.metro.tokyo.lg.jp/jimusho/seibuk/inokashira/index.html,"4.4
(12,753)",Unknown,〒180-0005 東京都武蔵野市御殿山１丁目１８−３１,35.6997476,139.5689382
高野夏帆,5,1 か月前,毎年初日の出は井の頭公園で見るのが恒例になっているんですが、2025年もやっぱり最高でした！朝早くからたくさんの人が集まっていて、みんなでワクワクしながら待っている感じがなんとも言えないです。日が昇る瞬間、空がオレンジ色に染まるのを見ると、今年も良い一年が始まるなぁって実感。近くに住んでいるので、いつも気軽に訪れる場所だけど、初日の出の時は特別感があって毎年楽しみです。,井の頭恩賜公園,"
〒180-0005 東京都武蔵野市御殿山１丁目１８−３１","
0422-47-6900",https://www.kensetsu.metro.tokyo.lg.jp/jimusho/seibuk/inokashira/index.html,"4.4
(12,753)",Unknown,〒180-0005 東京都武蔵野市御殿山１丁目１８−３１,35.6997476,139.5689382
