Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
チダヒロ,3,5 か月前,"大掛かりな道路工事の時に訪れました。誰もダム見ないだろなと思って真上に停車して見学。
日曜日だったので通行止め解除中との事。だとしたら平日はこの狭いダムの上ですれ違うの？なかなか狭いぜ〜
そして結構な交通量だねこの辺は。 …",仙台環境開発大倉ダム,"
〒989-3213 宮城県仙台市青葉区大倉","
022-393-2211",https://www.pref.miyagi.jp/soshiki/snd-dam/sdam2492.html,"4.4
(40)",Unknown,堰,38.2797185,140.6710505
チダヒロ,3,5 か月前,"大掛かりな道路工事の時に訪れました。誰もダム見ないだろなと思って真上に停車して見学。
日曜日だったので通行止め解除中との事。だとしたら平日はこの狭いダムの上ですれ違うの？なかなか狭いぜ〜
そして結構な交通量だねこの辺は。 …",仙台環境開発大倉ダム,"
〒989-3213 宮城県仙台市青葉区大倉","
022-393-2211",https://www.pref.miyagi.jp/soshiki/snd-dam/sdam2492.html,"4.4
(40)",Unknown,堰,38.2797185,140.6710505
Hiroyuki,3,10 か月前,"[仙台環境開発大倉ダム]

名取川水系大倉川に建設されたダム …",仙台環境開発大倉ダム,"
〒989-3213 宮城県仙台市青葉区大倉","
022-393-2211",https://www.pref.miyagi.jp/soshiki/snd-dam/sdam2492.html,"4.4
(40)",Unknown,堰,38.2797185,140.6710505
Hiroyuki,3,10 か月前,"[仙台環境開発大倉ダム]

名取川水系大倉川に建設されたダム …",仙台環境開発大倉ダム,"
〒989-3213 宮城県仙台市青葉区大倉","
022-393-2211",https://www.pref.miyagi.jp/soshiki/snd-dam/sdam2492.html,"4.4
(40)",Unknown,堰,38.2797185,140.6710505
もリリん,5,1 年前,ダブルアーチの美しいダム。手作りダムカードなど、頑張っている所もいい！ダブルアーチが横に長過ぎるので全体がカメラに収まらない。ドローンでも飛ばさないと無理。もっと引きから撮影出来るといいのだが。,仙台環境開発大倉ダム,"
〒989-3213 宮城県仙台市青葉区大倉","
022-393-2211",https://www.pref.miyagi.jp/soshiki/snd-dam/sdam2492.html,"4.4
(40)",Unknown,堰,38.2797185,140.6710505
もリリん,5,1 年前,ダブルアーチの美しいダム。手作りダムカードなど、頑張っている所もいい！ダブルアーチが横に長過ぎるので全体がカメラに収まらない。ドローンでも飛ばさないと無理。もっと引きから撮影出来るといいのだが。,仙台環境開発大倉ダム,"
〒989-3213 宮城県仙台市青葉区大倉","
022-393-2211",https://www.pref.miyagi.jp/soshiki/snd-dam/sdam2492.html,"4.4
(40)",Unknown,堰,38.2797185,140.6710505
ずんだのもちこ,4,2 年前,"定義山の帰りに寄ってみました。
久しぶりだったけど、少し涼しさを感じたかな。 …",仙台環境開発大倉ダム,"
〒989-3213 宮城県仙台市青葉区大倉","
022-393-2211",https://www.pref.miyagi.jp/soshiki/snd-dam/sdam2492.html,"4.4
(40)",Unknown,堰,38.2797185,140.6710505
ずんだのもちこ,4,2 年前,"定義山の帰りに寄ってみました。
久しぶりだったけど、少し涼しさを感じたかな。 …",仙台環境開発大倉ダム,"
〒989-3213 宮城県仙台市青葉区大倉","
022-393-2211",https://www.pref.miyagi.jp/soshiki/snd-dam/sdam2492.html,"4.4
(40)",Unknown,堰,38.2797185,140.6710505
W R,5,1 年前,"定義山に行ったときに寄ります。
今回はGW時期だったので新緑がキレイで鯉のぼりが見れました。
ちょうど放水もしていて、来るたびに違った景色が楽しめるのも良いです。",仙台環境開発大倉ダム,"
〒989-3213 宮城県仙台市青葉区大倉","
022-393-2211",https://www.pref.miyagi.jp/soshiki/snd-dam/sdam2492.html,"4.4
(40)",Unknown,堰,38.2797185,140.6710505
W R,5,1 年前,"定義山に行ったときに寄ります。
今回はGW時期だったので新緑がキレイで鯉のぼりが見れました。
ちょうど放水もしていて、来るたびに違った景色が楽しめるのも良いです。",仙台環境開発大倉ダム,"
〒989-3213 宮城県仙台市青葉区大倉","
022-393-2211",https://www.pref.miyagi.jp/soshiki/snd-dam/sdam2492.html,"4.4
(40)",Unknown,堰,38.2797185,140.6710505
