Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
fuji,5,2 週間前,"久しぶりの電車利用で今井荘(今井浜海岸駅下車)に宿泊した。
金目きっぷというのが来年3月25日まで販売しているようだ。
伊豆高原↔伊豆急下田間フリーきっぷ＋金目ご飯食事券が大人3980円。
これイイな!",伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
fuji,5,2 週間前,"久しぶりの電車利用で今井荘(今井浜海岸駅下車)に宿泊した。
金目きっぷというのが来年3月25日まで販売しているようだ。
伊豆高原↔伊豆急下田間フリーきっぷ＋金目ご飯食事券が大人3980円。
これイイな!",伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
焼塩いちご,1,6 か月前,利用したい時間に特急も金目や黒船も走ってないので３両または６両の普通車をよく利用しますが、これがまた椅子が汚いし、車内で虫に刺されるし、快適とは程遠い代物です。JRからのフリーきっぷや途中下車制度も無くなって、運賃の割高感も否めません。長時間乗っているように感じますが、電車のスピードが遅いだけで大した距離は乗ってません。現状では下田までマイカーか伊豆急の２択しかないのを良いことに、列車本数や駅の営業時間などサービスの質も落ちるばかりです。何か褒め所も探してみましたが、思いつきませんでした。,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
焼塩いちご,1,6 か月前,利用したい時間に特急も金目や黒船も走ってないので３両または６両の普通車をよく利用しますが、これがまた椅子が汚いし、車内で虫に刺されるし、快適とは程遠い代物です。JRからのフリーきっぷや途中下車制度も無くなって、運賃の割高感も否めません。長時間乗っているように感じますが、電車のスピードが遅いだけで大した距離は乗ってません。現状では下田までマイカーか伊豆急の２択しかないのを良いことに、列車本数や駅の営業時間などサービスの質も落ちるばかりです。何か褒め所も探してみましたが、思いつきませんでした。,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
西日暮里敬介,5,2 年前,カードラリー特典100系の車両体験でお世話になりました。以前引退運転の時に添乗員さん同行の上、色々説明いただきこの車両が大切にされてきた事と伊豆急行さんの強い思い入れが存分に伝わってきたのを記憶にしています。3年ぶりに車内を拝見させていただき暫く留置されていて尚、保存状態はとても良く今回のイベントに併せて清掃までされておられた事もうかがい、車内の特徴等かなり詳しく教えていただいたり充実な時間を過ごす事ができました。非常に説明が丁寧且つ、お話が上手い。参加できて良かったのひと言つきます。ありがとうございました😊 …,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
西日暮里敬介,5,2 年前,カードラリー特典100系の車両体験でお世話になりました。以前引退運転の時に添乗員さん同行の上、色々説明いただきこの車両が大切にされてきた事と伊豆急行さんの強い思い入れが存分に伝わってきたのを記憶にしています。3年ぶりに車内を拝見させていただき暫く留置されていて尚、保存状態はとても良く今回のイベントに併せて清掃までされておられた事もうかがい、車内の特徴等かなり詳しく教えていただいたり充実な時間を過ごす事ができました。非常に説明が丁寧且つ、お話が上手い。参加できて良かったのひと言つきます。ありがとうございました😊 …,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
にゃん藤原,5,1 年前,伊豆を築きあげた会社様です。伊豆急電鉄の車窓は素晴らしいです。運が良ければ乗れます黒船電車の乗り心地は最高です。乗れまして本当に素晴らしい光景。伊豆急本社様の企画には大感謝いたします。ありがとうございます🙇 …,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
にゃん藤原,5,1 年前,伊豆を築きあげた会社様です。伊豆急電鉄の車窓は素晴らしいです。運が良ければ乗れます黒船電車の乗り心地は最高です。乗れまして本当に素晴らしい光景。伊豆急本社様の企画には大感謝いたします。ありがとうございます🙇 …,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
ハマーンカーン,2,2 年前,"大人になって初めて伊豆急に乗りましたが、こんなにサービスが劣化したかと愕然としました。まず恐ろしく高い運賃。いくら経営難の地方私鉄とはいえ、これは高すぎです。そしてサービスに温かみが感じられません。一番ひどいのはダイヤのお粗末さ。本数が少ないのはもちろん、上下交換での停車時間が効率悪すぎです。
いろんな地方私鉄が頑張ってる中、熱心さが感じられない鉄道に感じました。",伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
ハマーンカーン,2,2 年前,"大人になって初めて伊豆急に乗りましたが、こんなにサービスが劣化したかと愕然としました。まず恐ろしく高い運賃。いくら経営難の地方私鉄とはいえ、これは高すぎです。そしてサービスに温かみが感じられません。一番ひどいのはダイヤのお粗末さ。本数が少ないのはもちろん、上下交換での停車時間が効率悪すぎです。
いろんな地方私鉄が頑張ってる中、熱心さが感じられない鉄道に感じました。",伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
タカツキトシヤ,2,6 年前,確かに、他者の意見の通り、ボックスシートの座り心地に不備感じる。それだけじゃなく伊豆高原で無理やり降ろされる高確率！下田迄行くのに高めの数千円との運賃で矢鱈と客待たせるわで全然時刻通りに噛み合ってないし！何なんだよ。家族連れだから子供だって人間だから、グズるし、ストレス感じるんだよ。もう乗らねぇよ💢こんな単線！ …,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
タカツキトシヤ,2,6 年前,確かに、他者の意見の通り、ボックスシートの座り心地に不備感じる。それだけじゃなく伊豆高原で無理やり降ろされる高確率！下田迄行くのに高めの数千円との運賃で矢鱈と客待たせるわで全然時刻通りに噛み合ってないし！何なんだよ。家族連れだから子供だって人間だから、グズるし、ストレス感じるんだよ。もう乗らねぇよ💢こんな単線！ …,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
naoki y,4,6 年前,"ボックス席はあまりよくないです(Resort21はいいと思う)。ただ、JRに比べて態度は悪くない気がします。個人的には運賃は高くてもしょうがないと思います。
私は伊豆急に悪いイメージと言ったものはありませんが...",伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
naoki y,4,6 年前,"ボックス席はあまりよくないです(Resort21はいいと思う)。ただ、JRに比べて態度は悪くない気がします。個人的には運賃は高くてもしょうがないと思います。
私は伊豆急に悪いイメージと言ったものはありませんが...",伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
Taku Takahashi,1,5 年前,駅員の態度が冷たかった。落とし物があったので届けたのですが、何も言わずにただ受け取っただけで睨まれて無視された。疑問点を聞きに行ったら、「書いてある通りです」という冷たい対応だった。,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
Taku Takahashi,1,5 年前,駅員の態度が冷たかった。落とし物があったので届けたのですが、何も言わずにただ受け取っただけで睨まれて無視された。疑問点を聞きに行ったら、「書いてある通りです」という冷たい対応だった。,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
Riku Sato,2,5 年前,運賃が高い、本数も少ない、,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
Riku Sato,2,5 年前,運賃が高い、本数も少ない、,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
茅野成夫,3,11 か月前,      11 か月前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
茅野成夫,3,11 か月前,      11 か月前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
naomichi,3,5 年前,      5 年前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
naomichi,3,5 年前,      5 年前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
白瀧綾子,5,5 年前,      5 年前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
白瀧綾子,5,5 年前,      5 年前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
y take,5,5 年前,      5 年前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
y take,5,5 年前,      5 年前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
影島達彦,5,5 年前,      5 年前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
影島達彦,5,5 年前,      5 年前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
川崎こむぎ,3,5 年前,      5 年前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
川崎こむぎ,3,5 年前,      5 年前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
818,4,5 年前,      5 年前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
818,4,5 年前,      5 年前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
飯村大介,4,6 年前,      6 年前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
飯村大介,4,6 年前,      6 年前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
佐藤義美,3,7 年前,      7 年前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
佐藤義美,3,7 年前,      7 年前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
REIKO USUI,3,7 年前,      7 年前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
REIKO USUI,3,7 年前,      7 年前,伊豆急行株式会社 本社,"
〒413-0232 静岡県伊東市八幡野１１５１","
0557-53-1111",http://www.izukyu.co.jp/,"3.4
(19)",Unknown,鉄道会社,34.7789408,139.0266079
