Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
TAKEDA ATSUSHI,N/A,"Google
より（3 日前）","客室は普通の和室でしたか、リフォームされていてトイレも洗面も部屋風呂も新しかったです。冷蔵庫もありました。

何よりも温泉が最高でした。内湯は乳頭の湯と田沢湖温泉の湯と2つあり、露天風呂は色から判断して恐らく田沢湖温泉の湯だと思います。どちらも泉質良く最高でした。風呂の前にはマッサージチェアが2台、10分100円という良心的な値段で置いてました。夜は12時まで、朝は9時まで入れます。

食事も良かったです。バイキングで地元料理が満載、しかも、どれも美味しく、かなり食べ過ぎました。きりたんぽ鍋、田沢湖名物の芋の鍋（名前を忘れました）、天ぷらが出来立てを食べられます。デザートの部屋への持ち帰りもでき、大満足でした。朝も種類が豊富でどれも美味しかったです。

この風呂と食事でこの値段はコスパ良すぎ。なかなか予約が取れないのも無理ないですね。",休暇村 乳頭温泉郷,"
〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１","
0187-46-2244",http://www.qkamura.or.jp/nyuto/,"4.3
(1,606)",Unknown,〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１,39.8030231,140.792908
TAKEDA ATSUSHI,N/A,"Google
より（3 日前）","客室は普通の和室でしたか、リフォームされていてトイレも洗面も部屋風呂も新しかったです。冷蔵庫もありました。

何よりも温泉が最高でした。内湯は乳頭の湯と田沢湖温泉の湯と2つあり、露天風呂は色から判断して恐らく田沢湖温泉の湯だと思います。どちらも泉質良く最高でした。風呂の前にはマッサージチェアが2台、10分100円という良心的な値段で置いてました。夜は12時まで、朝は9時まで入れます。

食事も良かったです。バイキングで地元料理が満載、しかも、どれも美味しく、かなり食べ過ぎました。きりたんぽ鍋、田沢湖名物の芋の鍋（名前を忘れました）、天ぷらが出来立てを食べられます。デザートの部屋への持ち帰りもでき、大満足でした。朝も種類が豊富でどれも美味しかったです。

この風呂と食事でこの値段はコスパ良すぎ。なかなか予約が取れないのも無理ないですね。",休暇村 乳頭温泉郷,"
〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１","
0187-46-2244",http://www.qkamura.or.jp/nyuto/,"4.3
(1,606)",Unknown,〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１,39.8030231,140.792908
Tesu,N/A,"Google
より（3 週間前）","湯めぐり帖での日帰り入浴で訪れました。
大規模な宿泊施設の大浴場なので、カランの数も多く、シャンプー類も揃っています。
洗髪、洗体するならここがおすすめです。
泉質は無色透明の乳頭温泉の湯と乳白色の田沢湖温泉の湯があります。他に露天風呂がありますが、あまり景色は良くないです。
宿泊客がチェックインし始める午後３時以降はかなり混み合うので、それまでの入浴をおすすめします。",休暇村 乳頭温泉郷,"
〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１","
0187-46-2244",http://www.qkamura.or.jp/nyuto/,"4.3
(1,606)",Unknown,〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１,39.8030231,140.792908
Tesu,N/A,"Google
より（3 週間前）","湯めぐり帖での日帰り入浴で訪れました。
大規模な宿泊施設の大浴場なので、カランの数も多く、シャンプー類も揃っています。
洗髪、洗体するならここがおすすめです。
泉質は無色透明の乳頭温泉の湯と乳白色の田沢湖温泉の湯があります。他に露天風呂がありますが、あまり景色は良くないです。
宿泊客がチェックインし始める午後３時以降はかなり混み合うので、それまでの入浴をおすすめします。",休暇村 乳頭温泉郷,"
〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１","
0187-46-2244",http://www.qkamura.or.jp/nyuto/,"4.3
(1,606)",Unknown,〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１,39.8030231,140.792908
mikko,N/A,"Google
より（1 か月前）","湯めぐり帖を利用。
ロビーは広く他の乳頭温泉の宿とは雰囲気が違いホテルのようでした。
温泉の種類は2種類で乳頭の湯と田沢湖の湯でした。田沢湖の湯が硫黄泉で好みです。また露天はブナの原生林に囲まれ、温泉の気持ちよさをさらにアップさせてくれます。
脱衣所、洗い場も広く使いやすかったです。
贅沢な温泉を楽しめました。",休暇村 乳頭温泉郷,"
〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１","
0187-46-2244",http://www.qkamura.or.jp/nyuto/,"4.3
(1,606)",Unknown,〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１,39.8030231,140.792908
mikko,N/A,"Google
より（1 か月前）","湯めぐり帖を利用。
ロビーは広く他の乳頭温泉の宿とは雰囲気が違いホテルのようでした。
温泉の種類は2種類で乳頭の湯と田沢湖の湯でした。田沢湖の湯が硫黄泉で好みです。また露天はブナの原生林に囲まれ、温泉の気持ちよさをさらにアップさせてくれます。
脱衣所、洗い場も広く使いやすかったです。
贅沢な温泉を楽しめました。",休暇村 乳頭温泉郷,"
〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１","
0187-46-2244",http://www.qkamura.or.jp/nyuto/,"4.3
(1,606)",Unknown,〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１,39.8030231,140.792908
Wada Satoshi,N/A,"Google
より（1 か月前）","安心安全の休暇村クオリティー。
山奥の乳頭温泉郷という秘境感を味わいたいのであれば他の宿をお勧めしますが、宿泊は普通のホテルで楽しみたいというならばっちり。

温泉は異なる２種類の泉質をいっぺんに楽しめるのは乳頭温泉でも妙乃湯とここくらい。しかも源泉かけ流しで非循環。

食事はバイキングでも、休暇村は地元の名物が主体なバイキングなのでちゃんと名物を味わえるのがGood。おすすめです。",休暇村 乳頭温泉郷,"
〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１","
0187-46-2244",http://www.qkamura.or.jp/nyuto/,"4.3
(1,606)",Unknown,〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１,39.8030231,140.792908
Wada Satoshi,N/A,"Google
より（1 か月前）","安心安全の休暇村クオリティー。
山奥の乳頭温泉郷という秘境感を味わいたいのであれば他の宿をお勧めしますが、宿泊は普通のホテルで楽しみたいというならばっちり。

温泉は異なる２種類の泉質をいっぺんに楽しめるのは乳頭温泉でも妙乃湯とここくらい。しかも源泉かけ流しで非循環。

食事はバイキングでも、休暇村は地元の名物が主体なバイキングなのでちゃんと名物を味わえるのがGood。おすすめです。",休暇村 乳頭温泉郷,"
〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１","
0187-46-2244",http://www.qkamura.or.jp/nyuto/,"4.3
(1,606)",Unknown,〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１,39.8030231,140.792908
トライ,N/A,"Google
より（1 か月前）","乳頭温泉郷の湯巡りで訪れた旅館。乳頭温泉郷の中で一番手前にある。他の旅館は基本個人経営の一軒宿だがここは休暇村協会運営旅館のひとつとなっており、そのため近代的で館内施設はかなり充実している。ロビーにお土産物屋が置かれてたり、カフェとレストランがそれぞれあったりなど。宿泊施設以外に何もない乳頭温泉郷ではどこでお昼食べるかが重要となるため、ここをお昼の時間に持っていくのはありかもしれない(カフェでも時間潰せるため計画立てる上でバッファーになるし)。
温泉は硫黄泉と炭酸水素塩泉の二つがある。露天風呂にもある硫黄泉の方は白濁色で鶴の湯にかなり近い感じ(厳密にはここの泉質は単純硫黄泉で鶴の湯は塩類泉なので若干違うが)。
露天風呂はシンプルだが木々に囲まれ落ち着いた空間となっている。各旅館の絶景・大露天風呂を味わいまくっている中だと、むしろこれくらいのところがほっとするかもしれない。",休暇村 乳頭温泉郷,"
〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１","
0187-46-2244",http://www.qkamura.or.jp/nyuto/,"4.3
(1,606)",Unknown,〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１,39.8030231,140.792908
トライ,N/A,"Google
より（1 か月前）","乳頭温泉郷の湯巡りで訪れた旅館。乳頭温泉郷の中で一番手前にある。他の旅館は基本個人経営の一軒宿だがここは休暇村協会運営旅館のひとつとなっており、そのため近代的で館内施設はかなり充実している。ロビーにお土産物屋が置かれてたり、カフェとレストランがそれぞれあったりなど。宿泊施設以外に何もない乳頭温泉郷ではどこでお昼食べるかが重要となるため、ここをお昼の時間に持っていくのはありかもしれない(カフェでも時間潰せるため計画立てる上でバッファーになるし)。
温泉は硫黄泉と炭酸水素塩泉の二つがある。露天風呂にもある硫黄泉の方は白濁色で鶴の湯にかなり近い感じ(厳密にはここの泉質は単純硫黄泉で鶴の湯は塩類泉なので若干違うが)。
露天風呂はシンプルだが木々に囲まれ落ち着いた空間となっている。各旅館の絶景・大露天風呂を味わいまくっている中だと、むしろこれくらいのところがほっとするかもしれない。",休暇村 乳頭温泉郷,"
〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１","
0187-46-2244",http://www.qkamura.or.jp/nyuto/,"4.3
(1,606)",Unknown,〒014-1201 秋田県仙北市田沢湖生保内駒ヶ岳２−１,39.8030231,140.792908
