Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
広 重子,4,2 週間前,"JR東海道線三島駅から徒歩20分程で着く、刀剣・人形・絵画・絵本などの常設、企画展示をおこなっている美術館です。特に刀剣類の所蔵で有名です。落ち着いた庭園もみごとで、茶室でのお茶会も開催されるそうです。

今回は「三島市×佐野美術館×刀剣乱舞ONLINE with JR東海」スタンプラリーでこちらに参りました。
私自身は刀剣ゲームも2.5次元舞台もやらないので、刀剣には詳しくないのですが、知人に熱心なファンがいることもあってやって来ました。
三名槍のひとつ「蜻蛉切」くらいは知っていたので、本物を見ることができてよかったです。刀には詳しくないので解説があっても充分理解したとはいえなかったのですが、拵えとよばれる鞘の細工の職人技には圧倒されました！漆、象嵌、鍔のデザインなど、すばらしかったです。
2月16日（日）で終了。

観覧後は、美術館の道向かいの富士山の湧き水が多い三島市に咲く梅花藻が見られる「梅花藻の里」、三島大社の前を通る旧東海道、あまり遺構は残っていませんが三島宿の本陣跡の碑などを巡って来ました。
あ、今回の静岡も富士山はちょこっとしか見えませんでした…。

2025年 2月14日来館",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
広 重子,4,2 週間前,"JR東海道線三島駅から徒歩20分程で着く、刀剣・人形・絵画・絵本などの常設、企画展示をおこなっている美術館です。特に刀剣類の所蔵で有名です。落ち着いた庭園もみごとで、茶室でのお茶会も開催されるそうです。

今回は「三島市×佐野美術館×刀剣乱舞ONLINE with JR東海」スタンプラリーでこちらに参りました。
私自身は刀剣ゲームも2.5次元舞台もやらないので、刀剣には詳しくないのですが、知人に熱心なファンがいることもあってやって来ました。
三名槍のひとつ「蜻蛉切」くらいは知っていたので、本物を見ることができてよかったです。刀には詳しくないので解説があっても充分理解したとはいえなかったのですが、拵えとよばれる鞘の細工の職人技には圧倒されました！漆、象嵌、鍔のデザインなど、すばらしかったです。
2月16日（日）で終了。

観覧後は、美術館の道向かいの富士山の湧き水が多い三島市に咲く梅花藻が見られる「梅花藻の里」、三島大社の前を通る旧東海道、あまり遺構は残っていませんが三島宿の本陣跡の碑などを巡って来ました。
あ、今回の静岡も富士山はちょこっとしか見えませんでした…。

2025年 2月14日来館",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
加藤 ろん,5,4 か月前,"静岡に海外から来たお客様と泊まったペンションにこちらのチラシがあり見に行きました。
海外から来たお客様もたまたまやっていたはしもとみおさんの展示品をみてノミ❓の使い方❓削り方❓が素晴らしいと感動していました。どの動物もデッサンも息使いが感じられる作品ばかりで素敵でした。",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
加藤 ろん,5,4 か月前,"静岡に海外から来たお客様と泊まったペンションにこちらのチラシがあり見に行きました。
海外から来たお客様もたまたまやっていたはしもとみおさんの展示品をみてノミ❓の使い方❓削り方❓が素晴らしいと感動していました。どの動物もデッサンも息使いが感じられる作品ばかりで素敵でした。",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
宮まる,5,1 か月前,"庭園が個性的で素晴らしい！
美術館の企画もよく大満足できました。
アスファルトの駐車場あり",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
宮まる,5,1 か月前,"庭園が個性的で素晴らしい！
美術館の企画もよく大満足できました。
アスファルトの駐車場あり",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
Take,5,6 か月前,"★敷地内に10台分ほどの無料駐車場があります。
（道路の向いに第二駐車場があり、少し離れた所にも駐車場があるようです。）

車イスにも対応した建物です。

三島駅から徒歩圏内にある民営の小さな美術館です。

小さな美術館ですが、企画展には多くの展示スペースを割くようで、満足できました。
（逆に言えば、企画展以外の常設展示スペースが極めて狭い、とも言える。）

刀剣美術が本職？のようなので、そちらの展示がされている時に、再度伺ってみたいです。
（ウチの財務省（＝カミサン）はそちら方面には全く興味が無さそうなので、どう説得するかが問題です。笑）",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
Take,5,6 か月前,"★敷地内に10台分ほどの無料駐車場があります。
（道路の向いに第二駐車場があり、少し離れた所にも駐車場があるようです。）

車イスにも対応した建物です。

三島駅から徒歩圏内にある民営の小さな美術館です。

小さな美術館ですが、企画展には多くの展示スペースを割くようで、満足できました。
（逆に言えば、企画展以外の常設展示スペースが極めて狭い、とも言える。）

刀剣美術が本職？のようなので、そちらの展示がされている時に、再度伺ってみたいです。
（ウチの財務省（＝カミサン）はそちら方面には全く興味が無さそうなので、どう説得するかが問題です。笑）",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
m suz,5,3 か月前,名刀ズラリの名の通り天下の名刀が揃っています。国宝1、重文6、重美10、吉光、松井郷、多賀正宗、虎徹、清麿、加卜、火車切、蜻蛉切、助宗（号おそらく）などなど計49振で、古刀から新々刀までなんでもござれ。刀装具も凄い、圧巻は後藤家初代から14代まで、各代の制作した三所物14セット。2/16までなので刀好きの人は絶対見た方がいいです。,佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
m suz,5,3 か月前,名刀ズラリの名の通り天下の名刀が揃っています。国宝1、重文6、重美10、吉光、松井郷、多賀正宗、虎徹、清麿、加卜、火車切、蜻蛉切、助宗（号おそらく）などなど計49振で、古刀から新々刀までなんでもござれ。刀装具も凄い、圧巻は後藤家初代から14代まで、各代の制作した三所物14セット。2/16までなので刀好きの人は絶対見た方がいいです。,佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
M Morita,4,2 か月前,"刀剣の展示をしています。
お庭もとても落ち着いた雰囲気で素敵です。",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
M Morita,4,2 か月前,"刀剣の展示をしています。
お庭もとても落ち着いた雰囲気で素敵です。",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
us3,4,9 か月前,"よく手入れされた上質の庭園がある美術館です。目線には苔むした庭、火山による有孔の岩。見上げれば青々とした木々から差し込む木漏れ日が爽やかに降り注ぎます。

館内はコンパクトなので集中してじっくりと鑑賞できます。

コレクションの12,3世紀の仏像は状態よく見事でした。",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
us3,4,9 か月前,"よく手入れされた上質の庭園がある美術館です。目線には苔むした庭、火山による有孔の岩。見上げれば青々とした木々から差し込む木漏れ日が爽やかに降り注ぎます。

館内はコンパクトなので集中してじっくりと鑑賞できます。

コレクションの12,3世紀の仏像は状態よく見事でした。",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
わんこ,4,6 か月前,"はしもとみおさんの作品展があったので、初来館！
美術館の前にもう1ヵ所用事があり、バスで行ったので時間配分間違えたけど、無事に到着！
受付の方も感じが良くて、中もこじんまりはしていたけど、思ったより見ごたえありました。
行けて良かったです。",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
わんこ,4,6 か月前,"はしもとみおさんの作品展があったので、初来館！
美術館の前にもう1ヵ所用事があり、バスで行ったので時間配分間違えたけど、無事に到着！
受付の方も感じが良くて、中もこじんまりはしていたけど、思ったより見ごたえありました。
行けて良かったです。",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
なお,5,4 か月前,"はしもとみお展がやっているので行ってきました。大きな美術館ではないですが楽しく見れました。
大人1300円",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
なお,5,4 か月前,"はしもとみお展がやっているので行ってきました。大きな美術館ではないですが楽しく見れました。
大人1300円",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
Io Ka,5,2 か月前,"三島駅から少々歩いたところにある美術館。
行くたびに面白い企画展をやっていて視野が広がります。規模的にはそこまで広すぎない程度でちょうどよく展示に集中できます。",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
Io Ka,5,2 か月前,"三島駅から少々歩いたところにある美術館。
行くたびに面白い企画展をやっていて視野が広がります。規模的にはそこまで広すぎない程度でちょうどよく展示に集中できます。",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
高橋マリ,5,4 か月前,三島駅から歩いて20分位の所にあり、お食事処の裏の素敵なお庭の更に奥にあります。そんなに大きな美術館では無いですが、ゆっくり楽しめます。,佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
高橋マリ,5,4 か月前,三島駅から歩いて20分位の所にあり、お食事処の裏の素敵なお庭の更に奥にあります。そんなに大きな美術館では無いですが、ゆっくり楽しめます。,佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
S W,5,5 か月前,"はしもとみお展、活き活きとした命たちに出会いましたよ。
素晴らしい展示でした。",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
S W,5,5 か月前,"はしもとみお展、活き活きとした命たちに出会いましたよ。
素晴らしい展示でした。",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
haru Sho,1,2 か月前,"今、「名刀ズラリ」という企画展を見ていますが、めったに見られない素晴らしい刀が本当にズラリと並んでいます。
しかし、直進性の高いLEDライトアップのせいで鋼の表面的なところしかわかりません。化粧研ぎと相まって刃の硬さや地鉄の潤いが非常に見え難いです。
仕方ないので車に積んでいる白熱電球のミニライトで照らして見ていたら学芸員の方にライトは禁止と言われてしまいました。
ただでさえ化粧仕上げと手入れの時についたと思われるヘアラインのヒケで地鉄を曇りガラス越しに見てるような状態なのに電球の照射がダメならいったい何を見ろというのか？
刀の表面的なところだけ見て凄い刀を見たということで満足すればよいのだろうか。
どう考えても日本刀を全面に押し出した美術館とは思えない展示のしかただ。白熱電球のミニライトを使ってダメというなら反射させる手前のライトぐらいはLEDではなく白熱電球にし最適な角度で展示してほしい。
例えば久国などはミニライトを当てて見た時は地鉄の清澄さやしっかりした刃の色とかも見え感動したが、普通にみたらこの刀の良さがほとんど分からないような角度で置いている。
刀を展示する美術館として失格です。
もう一つ、美術館所蔵の国吉短刀、素晴らしい短刀だが、ああいう研ぎで良いのだろうか？短刀がかわいそうに思う。",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
haru Sho,1,2 か月前,"今、「名刀ズラリ」という企画展を見ていますが、めったに見られない素晴らしい刀が本当にズラリと並んでいます。
しかし、直進性の高いLEDライトアップのせいで鋼の表面的なところしかわかりません。化粧研ぎと相まって刃の硬さや地鉄の潤いが非常に見え難いです。
仕方ないので車に積んでいる白熱電球のミニライトで照らして見ていたら学芸員の方にライトは禁止と言われてしまいました。
ただでさえ化粧仕上げと手入れの時についたと思われるヘアラインのヒケで地鉄を曇りガラス越しに見てるような状態なのに電球の照射がダメならいったい何を見ろというのか？
刀の表面的なところだけ見て凄い刀を見たということで満足すればよいのだろうか。
どう考えても日本刀を全面に押し出した美術館とは思えない展示のしかただ。白熱電球のミニライトを使ってダメというなら反射させる手前のライトぐらいはLEDではなく白熱電球にし最適な角度で展示してほしい。
例えば久国などはミニライトを当てて見た時は地鉄の清澄さやしっかりした刃の色とかも見え感動したが、普通にみたらこの刀の良さがほとんど分からないような角度で置いている。
刀を展示する美術館として失格です。
もう一つ、美術館所蔵の国吉短刀、素晴らしい短刀だが、ああいう研ぎで良いのだろうか？短刀がかわいそうに思う。",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
TAKESHI,4,5 か月前,"子ども達を連れて家族で訪問しました。規模が小さいので、子ども達も飽きない程度で見学出来ておすすめです。
今回は撮影出来ましだが、展示内容によっては撮影不可もありますので、注意が必要です。",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
TAKESHI,4,5 か月前,"子ども達を連れて家族で訪問しました。規模が小さいので、子ども達も飽きない程度で見学出来ておすすめです。
今回は撮影出来ましだが、展示内容によっては撮影不可もありますので、注意が必要です。",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
森本英世,4,3 年前,"佐野美術館創立55周年
三島市制80周年 記念
『ねないこ だれだ』誕生50周年記念
せなけいこ展 初日に車で訪問しました

美術館の入口周辺は住宅街なので
通行人や訪問者の出入りが心配でしたが
警備員が誘導してくれました

ただし 誘導は入口だけなので
🅿️探しは自力で…という感じです

美術館と回遊庭園の間にある砂利の
🅿️へ駐車 (トラロープで区切りが有)
こちらは10数台あると思います

経路が狭いので 大型車の訪問は
徐行などの注意が必要だと思います
(今回 お子さん連れが多く訪問と想定)

せなけいこ展については
小さいお子さん連れの家族が程よく
いましたが 皆さん距離を保って静かに
見ていらしてスゴイなと思いました

作品は とても見ごたえがあり感動！
グッズもたくさん購入でき 大満足です

そして一部 仏像と刀の展示もあり
じっくり見ることができました

私の地元の刀工 兼明氏の刀を初めて
見ることができ こちらにも感動！

機会があったら刀の展示の時にも
また見に行きたいと思いました

回遊庭園もあり 1日ゆっくりできる
場所でした",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
森本英世,4,3 年前,"佐野美術館創立55周年
三島市制80周年 記念
『ねないこ だれだ』誕生50周年記念
せなけいこ展 初日に車で訪問しました

美術館の入口周辺は住宅街なので
通行人や訪問者の出入りが心配でしたが
警備員が誘導してくれました

ただし 誘導は入口だけなので
🅿️探しは自力で…という感じです

美術館と回遊庭園の間にある砂利の
🅿️へ駐車 (トラロープで区切りが有)
こちらは10数台あると思います

経路が狭いので 大型車の訪問は
徐行などの注意が必要だと思います
(今回 お子さん連れが多く訪問と想定)

せなけいこ展については
小さいお子さん連れの家族が程よく
いましたが 皆さん距離を保って静かに
見ていらしてスゴイなと思いました

作品は とても見ごたえがあり感動！
グッズもたくさん購入でき 大満足です

そして一部 仏像と刀の展示もあり
じっくり見ることができました

私の地元の刀工 兼明氏の刀を初めて
見ることができ こちらにも感動！

機会があったら刀の展示の時にも
また見に行きたいと思いました

回遊庭園もあり 1日ゆっくりできる
場所でした",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
サカ,4,9 か月前,"のんびり三島散策していたら、素敵な美術館を見つけました。
村上康成さんの世界展をやってました。
素敵な絵の数々をゆっくり見ることができました。

館内2階にいらした監視員？のお婆さん。
客と大声で楽しそうに話してましたが、すぐ横にある静かに観覧しましょうという看板は捨てますか？",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
サカ,4,9 か月前,"のんびり三島散策していたら、素敵な美術館を見つけました。
村上康成さんの世界展をやってました。
素敵な絵の数々をゆっくり見ることができました。

館内2階にいらした監視員？のお婆さん。
客と大声で楽しそうに話してましたが、すぐ横にある静かに観覧しましょうという看板は捨てますか？",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
カナハ,5,4 か月前,"はしもとみお展
庭園の🍁も綺麗です。",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
カナハ,5,4 か月前,"はしもとみお展
庭園の🍁も綺麗です。",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
mary requiem,5,5 年前,"「ヒグチユウコ展 CIRCUS」を見に来ました
世田谷文学館で1度見てますが、ミュージアムショップでのグッズ欲しさに再度参戦
全国巡回中に、新しいグッズが増える仕組みなんですよね
欲しかった、ひとつめちゃんTシャツと静岡会場から販売開始のひとつめちゃんポーチを買えて大満足でした
展覧会の内容は、巡回展覧会なので基本的に同じ
貴重な原画を含めて、サーカスをテーマにした素敵なディスプレイにただただ感動、そしてため息
東京では平日でも戦争か？ってぐらいの人の多さでしたが、こちらは比較的に落ち着いていて、ミュージアムショップもゆっくりと買い物出来たし展覧会もじっくり鑑賞出来て最高でした
おすすめです",佐野美術館,"
〒411-0838 静岡県三島市中田町１−４３","
055-975-7278",https://sanobi.or.jp/,"4.1
(1,109)",Unknown,美術館,35.1149355,138.9158986
