Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
annchu,4,1 週間前,"美観地区観光に来てたら献血の貼り紙があったので献血しに来ました。
建物はちょっと変わった形をしていて市役所って感じがしなかったです。
食堂もあり一般のお客さんが結構利用されてました。(値段も少し安かった)",倉敷市役所,"
〒710-8565 岡山県倉敷市西中新田６４０","
086-426-3030",http://www.city.kurashiki.okayama.jp/,"3.5
(383)",Unknown,市役所・区役所,34.5849143,133.7626068
annchu,4,1 週間前,"美観地区観光に来てたら献血の貼り紙があったので献血しに来ました。
建物はちょっと変わった形をしていて市役所って感じがしなかったです。
食堂もあり一般のお客さんが結構利用されてました。(値段も少し安かった)",倉敷市役所,"
〒710-8565 岡山県倉敷市西中新田６４０","
086-426-3030",http://www.city.kurashiki.okayama.jp/,"3.5
(383)",Unknown,市役所・区役所,34.5849143,133.7626068
ナンプゥヨンア,4,2 週間前,こういう所で書類を取得したりする際は、以前は必ずと言っていいほど、窓口の担当者と小競り合いになってましたが、最近は担当者の対応も良く、争いが減ったように思います笑　役所側がよりシステマチックになって利用する側の分かりにくさが解消されていることも影響しているのでしょうか。,倉敷市役所,"
〒710-8565 岡山県倉敷市西中新田６４０","
086-426-3030",http://www.city.kurashiki.okayama.jp/,"3.5
(383)",Unknown,市役所・区役所,34.5849143,133.7626068
ナンプゥヨンア,4,2 週間前,こういう所で書類を取得したりする際は、以前は必ずと言っていいほど、窓口の担当者と小競り合いになってましたが、最近は担当者の対応も良く、争いが減ったように思います笑　役所側がよりシステマチックになって利用する側の分かりにくさが解消されていることも影響しているのでしょうか。,倉敷市役所,"
〒710-8565 岡山県倉敷市西中新田６４０","
086-426-3030",http://www.city.kurashiki.okayama.jp/,"3.5
(383)",Unknown,市役所・区役所,34.5849143,133.7626068
たいやきやいた,1,2 か月前,子育てしにくいです。保育園は入れさせないくせにこどもが遊べる場所がない。全天候型施設を作ってください。雨の日や真夏、真冬でも元気に遊ばさせてください。,倉敷市役所,"
〒710-8565 岡山県倉敷市西中新田６４０","
086-426-3030",http://www.city.kurashiki.okayama.jp/,"3.5
(383)",Unknown,市役所・区役所,34.5849143,133.7626068
たいやきやいた,1,2 か月前,子育てしにくいです。保育園は入れさせないくせにこどもが遊べる場所がない。全天候型施設を作ってください。雨の日や真夏、真冬でも元気に遊ばさせてください。,倉敷市役所,"
〒710-8565 岡山県倉敷市西中新田６４０","
086-426-3030",http://www.city.kurashiki.okayama.jp/,"3.5
(383)",Unknown,市役所・区役所,34.5849143,133.7626068
ken 73025,4,2 年前,"倉敷に出張の折、朝散歩していたところ遠くからでも目立つ建物を発見、何だろうと思って近づいてみれば市役所でした…
個性的な建物で非常に目立ちますが。これはこれでありなのかなって思いました！
当時のご担当者ならびに市長の決断が良かったんでしょうね！",倉敷市役所,"
〒710-8565 岡山県倉敷市西中新田６４０","
086-426-3030",http://www.city.kurashiki.okayama.jp/,"3.5
(383)",Unknown,市役所・区役所,34.5849143,133.7626068
ken 73025,4,2 年前,"倉敷に出張の折、朝散歩していたところ遠くからでも目立つ建物を発見、何だろうと思って近づいてみれば市役所でした…
個性的な建物で非常に目立ちますが。これはこれでありなのかなって思いました！
当時のご担当者ならびに市長の決断が良かったんでしょうね！",倉敷市役所,"
〒710-8565 岡山県倉敷市西中新田６４０","
086-426-3030",http://www.city.kurashiki.okayama.jp/,"3.5
(383)",Unknown,市役所・区役所,34.5849143,133.7626068
桃太郎,4,2 年前,"移転当初は色々と批判された倉敷市役所ですが、今では倉敷のシンボル的存在になってますね。

駐車場は無料で利用出来るし展望台もあるので良いと思います。",倉敷市役所,"
〒710-8565 岡山県倉敷市西中新田６４０","
086-426-3030",http://www.city.kurashiki.okayama.jp/,"3.5
(383)",Unknown,市役所・区役所,34.5849143,133.7626068
桃太郎,4,2 年前,"移転当初は色々と批判された倉敷市役所ですが、今では倉敷のシンボル的存在になってますね。

駐車場は無料で利用出来るし展望台もあるので良いと思います。",倉敷市役所,"
〒710-8565 岡山県倉敷市西中新田６４０","
086-426-3030",http://www.city.kurashiki.okayama.jp/,"3.5
(383)",Unknown,市役所・区役所,34.5849143,133.7626068
一期一会,1,1 か月前,"中島❗️片島❗️冠水注意❗️

毎年、春から台風シーズンになると冠水しています。とくにバイパスの高架下が冠水して、たまに車が被害にあっています。
応急対策でパトランプで注意喚起をしていますが、毎年それでも気づかず車が冠水した所で被害にあっています。
倉敷市は、それを知っているのに予算の関係かわかりませんけど恒久対策をしません❗️
もっと排水できる排水施設を考えないと
いつか大変な水害がおきますよ❗️
税金を回収するだけが役所ですか？
市民が一生懸命働いて国が成り立っていることを分かっていますか？
いち早く対応して欲しいです❗️",倉敷市役所,"
〒710-8565 岡山県倉敷市西中新田６４０","
086-426-3030",http://www.city.kurashiki.okayama.jp/,"3.5
(383)",Unknown,市役所・区役所,34.5849143,133.7626068
一期一会,1,1 か月前,"中島❗️片島❗️冠水注意❗️

毎年、春から台風シーズンになると冠水しています。とくにバイパスの高架下が冠水して、たまに車が被害にあっています。
応急対策でパトランプで注意喚起をしていますが、毎年それでも気づかず車が冠水した所で被害にあっています。
倉敷市は、それを知っているのに予算の関係かわかりませんけど恒久対策をしません❗️
もっと排水できる排水施設を考えないと
いつか大変な水害がおきますよ❗️
税金を回収するだけが役所ですか？
市民が一生懸命働いて国が成り立っていることを分かっていますか？
いち早く対応して欲しいです❗️",倉敷市役所,"
〒710-8565 岡山県倉敷市西中新田６４０","
086-426-3030",http://www.city.kurashiki.okayama.jp/,"3.5
(383)",Unknown,市役所・区役所,34.5849143,133.7626068
横山力将,5,3 年前,建物は大きく見応えのある見た目で展望台はエレベーターで上がれるので良かった。,倉敷市役所,"
〒710-8565 岡山県倉敷市西中新田６４０","
086-426-3030",http://www.city.kurashiki.okayama.jp/,"3.5
(383)",Unknown,市役所・区役所,34.5849143,133.7626068
横山力将,5,3 年前,建物は大きく見応えのある見た目で展望台はエレベーターで上がれるので良かった。,倉敷市役所,"
〒710-8565 岡山県倉敷市西中新田６４０","
086-426-3030",http://www.city.kurashiki.okayama.jp/,"3.5
(383)",Unknown,市役所・区役所,34.5849143,133.7626068
