Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
北條彬紗,1,1 週間前,来なければ良かった。火牛の計、本当ですか？北条早雲の方が、まだ信じられるかもです。,倶利伽羅峠,"
〒932-0846 富山県小矢部市松永",Unknown,Unknown,"2.9
(9)",Unknown,峠,36.6624685,136.8118953
北條彬紗,1,1 週間前,来なければ良かった。火牛の計、本当ですか？北条早雲の方が、まだ信じられるかもです。,倶利伽羅峠,"
〒932-0846 富山県小矢部市松永",Unknown,Unknown,"2.9
(9)",Unknown,峠,36.6624685,136.8118953
ひろし急便,3,1 年前,散歩コースにはピッタリかも。ちょこっと道幅が狭いので注意が必要デス。お土産屋さんとかが無いのが残念。,倶利伽羅峠,"
〒932-0846 富山県小矢部市松永",Unknown,Unknown,"2.9
(9)",Unknown,峠,36.6624685,136.8118953
ひろし急便,3,1 年前,散歩コースにはピッタリかも。ちょこっと道幅が狭いので注意が必要デス。お土産屋さんとかが無いのが残念。,倶利伽羅峠,"
〒932-0846 富山県小矢部市松永",Unknown,Unknown,"2.9
(9)",Unknown,峠,36.6624685,136.8118953
nasiji 1026,4,9 か月前,"”倶利伽羅”は、元々仏教用語でしょうから、この地域の歴史の深さ感じます。

木曽義仲の戦勝地である事は承知していましたが、断片的にあった知識が繋がった様で、楽しい“倶利伽羅”の旅でした。

少し歴史を下調べしてから訪れると”なるほど👀～❗”って事があって楽しめますね。",倶利伽羅峠,"
〒932-0846 富山県小矢部市松永",Unknown,Unknown,"2.9
(9)",Unknown,峠,36.6624685,136.8118953
nasiji 1026,4,9 か月前,"”倶利伽羅”は、元々仏教用語でしょうから、この地域の歴史の深さ感じます。

木曽義仲の戦勝地である事は承知していましたが、断片的にあった知識が繋がった様で、楽しい“倶利伽羅”の旅でした。

少し歴史を下調べしてから訪れると”なるほど👀～❗”って事があって楽しめますね。",倶利伽羅峠,"
〒932-0846 富山県小矢部市松永",Unknown,Unknown,"2.9
(9)",Unknown,峠,36.6624685,136.8118953
名も無き旅人,1,4 年前,はっきりした場所が不明。杭等で明示すべき。,倶利伽羅峠,"
〒932-0846 富山県小矢部市松永",Unknown,Unknown,"2.9
(9)",Unknown,峠,36.6624685,136.8118953
名も無き旅人,1,4 年前,はっきりした場所が不明。杭等で明示すべき。,倶利伽羅峠,"
〒932-0846 富山県小矢部市松永",Unknown,Unknown,"2.9
(9)",Unknown,峠,36.6624685,136.8118953
Yuki Yamamoto,4,2 年前,ええです 行くのはほんまきついです,倶利伽羅峠,"
〒932-0846 富山県小矢部市松永",Unknown,Unknown,"2.9
(9)",Unknown,峠,36.6624685,136.8118953
Yuki Yamamoto,4,2 年前,ええです 行くのはほんまきついです,倶利伽羅峠,"
〒932-0846 富山県小矢部市松永",Unknown,Unknown,"2.9
(9)",Unknown,峠,36.6624685,136.8118953
森勇人,3,1 年前,      1 年前,倶利伽羅峠,"
〒932-0846 富山県小矢部市松永",Unknown,Unknown,"2.9
(9)",Unknown,峠,36.6624685,136.8118953
森勇人,3,1 年前,      1 年前,倶利伽羅峠,"
〒932-0846 富山県小矢部市松永",Unknown,Unknown,"2.9
(9)",Unknown,峠,36.6624685,136.8118953
yossy style,4,2 年前,      2 年前,倶利伽羅峠,"
〒932-0846 富山県小矢部市松永",Unknown,Unknown,"2.9
(9)",Unknown,峠,36.6624685,136.8118953
yossy style,4,2 年前,      2 年前,倶利伽羅峠,"
〒932-0846 富山県小矢部市松永",Unknown,Unknown,"2.9
(9)",Unknown,峠,36.6624685,136.8118953
rose catty,3,2 年前,      2 年前,倶利伽羅峠,"
〒932-0846 富山県小矢部市松永",Unknown,Unknown,"2.9
(9)",Unknown,峠,36.6624685,136.8118953
rose catty,3,2 年前,      2 年前,倶利伽羅峠,"
〒932-0846 富山県小矢部市松永",Unknown,Unknown,"2.9
(9)",Unknown,峠,36.6624685,136.8118953
KEIJI Y,3,2 年前,      2 年前,倶利伽羅峠,"
〒932-0846 富山県小矢部市松永",Unknown,Unknown,"2.9
(9)",Unknown,峠,36.6624685,136.8118953
KEIJI Y,3,2 年前,      2 年前,倶利伽羅峠,"
〒932-0846 富山県小矢部市松永",Unknown,Unknown,"2.9
(9)",Unknown,峠,36.6624685,136.8118953
