Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
"que será, será",4,1 年前,"中野のお惣菜屋さん。
帰りがけに見かけてお野菜系3つ¥1,190を調達。ここもペイペイ対象店。

どれもちゃんと美味しかったです。
お惣菜屋さんの定番のお肉系や揚げ物系ももちろんありましたが、こういうお野菜系もあるお惣菜屋さんは嬉しいですね。しかもサラダ屋さんで買うより安いですし。近くにあれば絶対行きます。
おこわや佃煮等も売っていました。",健康食卓 わしや,"
〒164-0001 東京都中野区中野５丁目６１−６ 健康食卓わしや",Unknown,http://www.e-washiya.co.jp/,"3.8
(10)",お店やスポットの電話番号を追加する,テイクアウト,35.7067309,139.6277677
"que será, será",4,1 年前,"中野のお惣菜屋さん。
帰りがけに見かけてお野菜系3つ¥1,190を調達。ここもペイペイ対象店。

どれもちゃんと美味しかったです。
お惣菜屋さんの定番のお肉系や揚げ物系ももちろんありましたが、こういうお野菜系もあるお惣菜屋さんは嬉しいですね。しかもサラダ屋さんで買うより安いですし。近くにあれば絶対行きます。
おこわや佃煮等も売っていました。",健康食卓 わしや,"
〒164-0001 東京都中野区中野５丁目６１−６ 健康食卓わしや",Unknown,http://www.e-washiya.co.jp/,"3.8
(10)",お店やスポットの電話番号を追加する,テイクアウト,35.7067309,139.6277677
北野ビーン,4,10 か月前,"コンビニ弁当よりおいしく健康的で、550円と手ごろ。
コメと肉数切れだけではなく、野菜など副菜がちゃんと入っており、味も家庭的。生鮮ではなく半加工の野菜を使っているようだが、値段を考えると、そうなるだろうなというところ。
単品の総菜も何種類もある。",健康食卓 わしや,"
〒164-0001 東京都中野区中野５丁目６１−６ 健康食卓わしや",Unknown,http://www.e-washiya.co.jp/,"3.8
(10)",お店やスポットの電話番号を追加する,テイクアウト,35.7067309,139.6277677
北野ビーン,4,10 か月前,"コンビニ弁当よりおいしく健康的で、550円と手ごろ。
コメと肉数切れだけではなく、野菜など副菜がちゃんと入っており、味も家庭的。生鮮ではなく半加工の野菜を使っているようだが、値段を考えると、そうなるだろうなというところ。
単品の総菜も何種類もある。",健康食卓 わしや,"
〒164-0001 東京都中野区中野５丁目６１−６ 健康食卓わしや",Unknown,http://www.e-washiya.co.jp/,"3.8
(10)",お店やスポットの電話番号を追加する,テイクアウト,35.7067309,139.6277677
努須恋まめこ,4,1 年前,豊富な種類のお弁当、おこわごはんなど取り揃えられていて、選ぶのが楽しい。リーズナブルで味も美味しかった,健康食卓 わしや,"
〒164-0001 東京都中野区中野５丁目６１−６ 健康食卓わしや",Unknown,http://www.e-washiya.co.jp/,"3.8
(10)",お店やスポットの電話番号を追加する,テイクアウト,35.7067309,139.6277677
努須恋まめこ,4,1 年前,豊富な種類のお弁当、おこわごはんなど取り揃えられていて、選ぶのが楽しい。リーズナブルで味も美味しかった,健康食卓 わしや,"
〒164-0001 東京都中野区中野５丁目６１−６ 健康食卓わしや",Unknown,http://www.e-washiya.co.jp/,"3.8
(10)",お店やスポットの電話番号を追加する,テイクアウト,35.7067309,139.6277677
のりたま,5,1 年前,ここのコロッケ一個百円、本当に美味しい、中野散策の締めにここのコロッケが定番です。他の惣菜も本当に美味しそうです。店員さんの対応も素晴らしいです。,健康食卓 わしや,"
〒164-0001 東京都中野区中野５丁目６１−６ 健康食卓わしや",Unknown,http://www.e-washiya.co.jp/,"3.8
(10)",お店やスポットの電話番号を追加する,テイクアウト,35.7067309,139.6277677
のりたま,5,1 年前,ここのコロッケ一個百円、本当に美味しい、中野散策の締めにここのコロッケが定番です。他の惣菜も本当に美味しそうです。店員さんの対応も素晴らしいです。,健康食卓 わしや,"
〒164-0001 東京都中野区中野５丁目６１−６ 健康食卓わしや",Unknown,http://www.e-washiya.co.jp/,"3.8
(10)",お店やスポットの電話番号を追加する,テイクアウト,35.7067309,139.6277677
ちおちお,5,3 年前,佃煮や山菜おこわの店だとしか認識していなかったのですが、ある日、店舗内をのぞいてみて、惣菜の種類の多さに驚きました。惣菜は量り売り可能で、お弁当は500円から。健康を考えると、コンビニで購入するより、こちらのほうがいいなと思い、それ以来リピートしています。,健康食卓 わしや,"
〒164-0001 東京都中野区中野５丁目６１−６ 健康食卓わしや",Unknown,http://www.e-washiya.co.jp/,"3.8
(10)",お店やスポットの電話番号を追加する,テイクアウト,35.7067309,139.6277677
ちおちお,5,3 年前,佃煮や山菜おこわの店だとしか認識していなかったのですが、ある日、店舗内をのぞいてみて、惣菜の種類の多さに驚きました。惣菜は量り売り可能で、お弁当は500円から。健康を考えると、コンビニで購入するより、こちらのほうがいいなと思い、それ以来リピートしています。,健康食卓 わしや,"
〒164-0001 東京都中野区中野５丁目６１−６ 健康食卓わしや",Unknown,http://www.e-washiya.co.jp/,"3.8
(10)",お店やスポットの電話番号を追加する,テイクアウト,35.7067309,139.6277677
