Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
てん,4,2 か月前,"多摩川にかかる橋は、河口から多摩川スカイブリッジ、大師橋、そして六郷橋となります。
東海道が多摩川をわたる大事な場所として、徳川家康がさ初めて橋をかけてから、何度も洪水になり、橋を諦めて舟での往来の時期ある。
現在の六郷橋は、1997年に完成。",六郷橋,"
〒144-0055 東京都大田区仲六郷４丁目",Unknown,https://www.city.kawasaki.jp/280/page/0000006390.html,"3.8
(52)",お店やスポットの電話番号を追加する,橋,35.5370044,139.7083909
てん,4,2 か月前,"多摩川にかかる橋は、河口から多摩川スカイブリッジ、大師橋、そして六郷橋となります。
東海道が多摩川をわたる大事な場所として、徳川家康がさ初めて橋をかけてから、何度も洪水になり、橋を諦めて舟での往来の時期ある。
現在の六郷橋は、1997年に完成。",六郷橋,"
〒144-0055 東京都大田区仲六郷４丁目",Unknown,https://www.city.kawasaki.jp/280/page/0000006390.html,"3.8
(52)",お店やスポットの電話番号を追加する,橋,35.5370044,139.7083909
U bom,4,2 か月前,六郷（大田区）〜川崎間に架けられた橋。江戸時代では洪水の度に修復や架け直しが繰り返されたそうです。,六郷橋,"
〒144-0055 東京都大田区仲六郷４丁目",Unknown,https://www.city.kawasaki.jp/280/page/0000006390.html,"3.8
(52)",お店やスポットの電話番号を追加する,橋,35.5370044,139.7083909
U bom,4,2 か月前,六郷（大田区）〜川崎間に架けられた橋。江戸時代では洪水の度に修復や架け直しが繰り返されたそうです。,六郷橋,"
〒144-0055 東京都大田区仲六郷４丁目",Unknown,https://www.city.kawasaki.jp/280/page/0000006390.html,"3.8
(52)",お店やスポットの電話番号を追加する,橋,35.5370044,139.7083909
わくさん,4,1 年前,"東京都と神奈川県を結ぶ国道15号線の片側2車線の橋です。車とは別に人と自転車専用の道路が広めにとってあります。

晴れた日や夕暮れは眺望が良く爽快になります♪",六郷橋,"
〒144-0055 東京都大田区仲六郷４丁目",Unknown,https://www.city.kawasaki.jp/280/page/0000006390.html,"3.8
(52)",お店やスポットの電話番号を追加する,橋,35.5370044,139.7083909
わくさん,4,1 年前,"東京都と神奈川県を結ぶ国道15号線の片側2車線の橋です。車とは別に人と自転車専用の道路が広めにとってあります。

晴れた日や夕暮れは眺望が良く爽快になります♪",六郷橋,"
〒144-0055 東京都大田区仲六郷４丁目",Unknown,https://www.city.kawasaki.jp/280/page/0000006390.html,"3.8
(52)",お店やスポットの電話番号を追加する,橋,35.5370044,139.7083909
高橋広子,5,1 年前,"川崎市と大田区を結ぶ多摩川にかかる橋。
車道歩道ともに広く使いやすい橋。景色も良い。",六郷橋,"
〒144-0055 東京都大田区仲六郷４丁目",Unknown,https://www.city.kawasaki.jp/280/page/0000006390.html,"3.8
(52)",お店やスポットの電話番号を追加する,橋,35.5370044,139.7083909
高橋広子,5,1 年前,"川崎市と大田区を結ぶ多摩川にかかる橋。
車道歩道ともに広く使いやすい橋。景色も良い。",六郷橋,"
〒144-0055 東京都大田区仲六郷４丁目",Unknown,https://www.city.kawasaki.jp/280/page/0000006390.html,"3.8
(52)",お店やスポットの電話番号を追加する,橋,35.5370044,139.7083909
Tetsushi Okawa,4,2 か月前,"旧東海道踏破チャレンジ_2 （立会川-川崎）
六郷橋で多摩川を渡り、神奈川へ。",六郷橋,"
〒144-0055 東京都大田区仲六郷４丁目",Unknown,https://www.city.kawasaki.jp/280/page/0000006390.html,"3.8
(52)",お店やスポットの電話番号を追加する,橋,35.5370044,139.7083909
Tetsushi Okawa,4,2 か月前,"旧東海道踏破チャレンジ_2 （立会川-川崎）
六郷橋で多摩川を渡り、神奈川へ。",六郷橋,"
〒144-0055 東京都大田区仲六郷４丁目",Unknown,https://www.city.kawasaki.jp/280/page/0000006390.html,"3.8
(52)",お店やスポットの電話番号を追加する,橋,35.5370044,139.7083909
