Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
なぴ,5,7 か月前,"日本最古の噴水、と案内にありました。
高低を利用して自然の力だけで水が吹き上がってるって不思議。
ざっくり3メートルくらいは高さがあるように思いました。",兼六園 噴水,"
〒920-0936 石川県金沢市兼六町１−２０","
076-234-3800",http://www.pref.ishikawa.jp/siro-niwa/kenrokuen/point.html,"4.2
(105)",Unknown,庭園,36.5632533,131.7839227
なぴ,5,7 か月前,"日本最古の噴水、と案内にありました。
高低を利用して自然の力だけで水が吹き上がってるって不思議。
ざっくり3メートルくらいは高さがあるように思いました。",兼六園 噴水,"
〒920-0936 石川県金沢市兼六町１−２０","
076-234-3800",http://www.pref.ishikawa.jp/siro-niwa/kenrokuen/point.html,"4.2
(105)",Unknown,庭園,36.5632533,131.7839227
KURA眞一,4,1 年前,"兼六園の「噴水」。
兼六園のHPによれば
『日本で最初にできたと言われる噴水。霞ヶ池からの水圧だけで約3.5メートル上がっています。
文久元（1861）年に13代藩主斉泰が、金沢城内の二の丸に水を引くために試作させたと言われています。』
とのことです。",兼六園 噴水,"
〒920-0936 石川県金沢市兼六町１−２０","
076-234-3800",http://www.pref.ishikawa.jp/siro-niwa/kenrokuen/point.html,"4.2
(105)",Unknown,庭園,36.5632533,131.7839227
KURA眞一,4,1 年前,"兼六園の「噴水」。
兼六園のHPによれば
『日本で最初にできたと言われる噴水。霞ヶ池からの水圧だけで約3.5メートル上がっています。
文久元（1861）年に13代藩主斉泰が、金沢城内の二の丸に水を引くために試作させたと言われています。』
とのことです。",兼六園 噴水,"
〒920-0936 石川県金沢市兼六町１−２０","
076-234-3800",http://www.pref.ishikawa.jp/siro-niwa/kenrokuen/point.html,"4.2
(105)",Unknown,庭園,36.5632533,131.7839227
kkk,5,5 か月前,噴水があり水の音を聞くことができます,兼六園 噴水,"
〒920-0936 石川県金沢市兼六町１−２０","
076-234-3800",http://www.pref.ishikawa.jp/siro-niwa/kenrokuen/point.html,"4.2
(105)",Unknown,庭園,36.5632533,131.7839227
kkk,5,5 か月前,噴水があり水の音を聞くことができます,兼六園 噴水,"
〒920-0936 石川県金沢市兼六町１−２０","
076-234-3800",http://www.pref.ishikawa.jp/siro-niwa/kenrokuen/point.html,"4.2
(105)",Unknown,庭園,36.5632533,131.7839227
Toshi Andy,4,2 年前,"兼六園の豊かな水❗️
江戸時代初期1632年に開削された日本三大用水の一つ『辰巳用水』が霞ヶ池に流れ込み、霞ヶ池を水源に自然水圧で約3.5mの噴水に⛲️
「日本最古」の噴水と言われてます😁
訪問目的の一つ、見れて感激、江戸時代に良く造ったな～🤔 …",兼六園 噴水,"
〒920-0936 石川県金沢市兼六町１−２０","
076-234-3800",http://www.pref.ishikawa.jp/siro-niwa/kenrokuen/point.html,"4.2
(105)",Unknown,庭園,36.5632533,131.7839227
Toshi Andy,4,2 年前,"兼六園の豊かな水❗️
江戸時代初期1632年に開削された日本三大用水の一つ『辰巳用水』が霞ヶ池に流れ込み、霞ヶ池を水源に自然水圧で約3.5mの噴水に⛲️
「日本最古」の噴水と言われてます😁
訪問目的の一つ、見れて感激、江戸時代に良く造ったな～🤔 …",兼六園 噴水,"
〒920-0936 石川県金沢市兼六町１−２０","
076-234-3800",http://www.pref.ishikawa.jp/siro-niwa/kenrokuen/point.html,"4.2
(105)",Unknown,庭園,36.5632533,131.7839227
yas,5,8 か月前,"日本初の噴水とは！
高さと力強さがあって素晴らしいですね⛲️",兼六園 噴水,"
〒920-0936 石川県金沢市兼六町１−２０","
076-234-3800",http://www.pref.ishikawa.jp/siro-niwa/kenrokuen/point.html,"4.2
(105)",Unknown,庭園,36.5632533,131.7839227
yas,5,8 か月前,"日本初の噴水とは！
高さと力強さがあって素晴らしいですね⛲️",兼六園 噴水,"
〒920-0936 石川県金沢市兼六町１−２０","
076-234-3800",http://www.pref.ishikawa.jp/siro-niwa/kenrokuen/point.html,"4.2
(105)",Unknown,庭園,36.5632533,131.7839227
