Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
ぼやっきー湘南,5,3 年前,"娘達との旅行で訪れた『絶景スポット』
本当にお薦めしたくて！
昔、簡保の宿があったけど無くなってしまい凄く残念でした。
娘がカルタ大会でも来た事があり、今回は遊心館で、お抹茶と和菓子をこの贅沢な景色と共に頂きました！
建物自体、日本建築の技術や日本の銘木を用いて建てられたもの。特に『塗り壁』は聚楽土塗？という炭を用いた技法で、独特の青みを帯びた、光の反射で見え方が変わるもので日本建築の奥深かさを目の当たりにしました！また、娘達と来たいと思います🤗",出羽遊心館,"
〒998-0055 山形県酒田市飯森山３丁目１７−８６","
0234-31-3737",http://www.city.sakata.lg.jp/smph/shisei/shisetsu/kyoiku/annai_dewayuushinkan.html,"3.9
(32)",営業時間を追加,コミュニティ センター,38.894213,139.8163449
ぼやっきー湘南,5,3 年前,"娘達との旅行で訪れた『絶景スポット』
本当にお薦めしたくて！
昔、簡保の宿があったけど無くなってしまい凄く残念でした。
娘がカルタ大会でも来た事があり、今回は遊心館で、お抹茶と和菓子をこの贅沢な景色と共に頂きました！
建物自体、日本建築の技術や日本の銘木を用いて建てられたもの。特に『塗り壁』は聚楽土塗？という炭を用いた技法で、独特の青みを帯びた、光の反射で見え方が変わるもので日本建築の奥深かさを目の当たりにしました！また、娘達と来たいと思います🤗",出羽遊心館,"
〒998-0055 山形県酒田市飯森山３丁目１７−８６","
0234-31-3737",http://www.city.sakata.lg.jp/smph/shisei/shisetsu/kyoiku/annai_dewayuushinkan.html,"3.9
(32)",営業時間を追加,コミュニティ センター,38.894213,139.8163449
佐藤由美子（more）,5,1 年前,"日本庭園って素敵です(*^^*)

中は全面畳で💗お茶会、イベント等色々使用可能。

以前生け花展示会に呼んで頂きました！

かなり標高が有るので、terraceからの酒田市が一望できます！

天気が良ければ、鳥海山が見渡され。日本海や酒田港もバッチリ！

一度出羽遊心館に足を運んでみたら如何でしょうか？

酒田市が一望deきて、♥️heartリフレッシュする事間違いなしです(*^^*)",出羽遊心館,"
〒998-0055 山形県酒田市飯森山３丁目１７−８６","
0234-31-3737",http://www.city.sakata.lg.jp/smph/shisei/shisetsu/kyoiku/annai_dewayuushinkan.html,"3.9
(32)",営業時間を追加,コミュニティ センター,38.894213,139.8163449
佐藤由美子（more）,5,1 年前,"日本庭園って素敵です(*^^*)

中は全面畳で💗お茶会、イベント等色々使用可能。

以前生け花展示会に呼んで頂きました！

かなり標高が有るので、terraceからの酒田市が一望できます！

天気が良ければ、鳥海山が見渡され。日本海や酒田港もバッチリ！

一度出羽遊心館に足を運んでみたら如何でしょうか？

酒田市が一望deきて、♥️heartリフレッシュする事間違いなしです(*^^*)",出羽遊心館,"
〒998-0055 山形県酒田市飯森山３丁目１７−８６","
0234-31-3737",http://www.city.sakata.lg.jp/smph/shisei/shisetsu/kyoiku/annai_dewayuushinkan.html,"3.9
(32)",営業時間を追加,コミュニティ センター,38.894213,139.8163449
YM,3,2 年前,"畳が敷かれた大広間に小広間と中広間とがあり、
動き回れるフロアーがあり、
室内を端から端まで歩くと良い運動に
なるくらいの広さです。
管理が女性職員の為に施設を借りても傷つが付くのでと、理解力の無いクレームが多い所。財政の赤字に手を貸している。",出羽遊心館,"
〒998-0055 山形県酒田市飯森山３丁目１７−８６","
0234-31-3737",http://www.city.sakata.lg.jp/smph/shisei/shisetsu/kyoiku/annai_dewayuushinkan.html,"3.9
(32)",営業時間を追加,コミュニティ センター,38.894213,139.8163449
YM,3,2 年前,"畳が敷かれた大広間に小広間と中広間とがあり、
動き回れるフロアーがあり、
室内を端から端まで歩くと良い運動に
なるくらいの広さです。
管理が女性職員の為に施設を借りても傷つが付くのでと、理解力の無いクレームが多い所。財政の赤字に手を貸している。",出羽遊心館,"
〒998-0055 山形県酒田市飯森山３丁目１７−８６","
0234-31-3737",http://www.city.sakata.lg.jp/smph/shisei/shisetsu/kyoiku/annai_dewayuushinkan.html,"3.9
(32)",営業時間を追加,コミュニティ センター,38.894213,139.8163449
zzz,5,5 年前,"素晴らしい建築物
日本人ならどこか懐かしいような落ち着いた気分に浸れるだろう
庭が見える部屋でお茶が頂ける",出羽遊心館,"
〒998-0055 山形県酒田市飯森山３丁目１７−８６","
0234-31-3737",http://www.city.sakata.lg.jp/smph/shisei/shisetsu/kyoiku/annai_dewayuushinkan.html,"3.9
(32)",営業時間を追加,コミュニティ センター,38.894213,139.8163449
zzz,5,5 年前,"素晴らしい建築物
日本人ならどこか懐かしいような落ち着いた気分に浸れるだろう
庭が見える部屋でお茶が頂ける",出羽遊心館,"
〒998-0055 山形県酒田市飯森山３丁目１７−８６","
0234-31-3737",http://www.city.sakata.lg.jp/smph/shisei/shisetsu/kyoiku/annai_dewayuushinkan.html,"3.9
(32)",営業時間を追加,コミュニティ センター,38.894213,139.8163449
進藤誠,5,2 年前,眺めが良く、落ち着きます。庭も良い。,出羽遊心館,"
〒998-0055 山形県酒田市飯森山３丁目１７−８６","
0234-31-3737",http://www.city.sakata.lg.jp/smph/shisei/shisetsu/kyoiku/annai_dewayuushinkan.html,"3.9
(32)",営業時間を追加,コミュニティ センター,38.894213,139.8163449
進藤誠,5,2 年前,眺めが良く、落ち着きます。庭も良い。,出羽遊心館,"
〒998-0055 山形県酒田市飯森山３丁目１７−８６","
0234-31-3737",http://www.city.sakata.lg.jp/smph/shisei/shisetsu/kyoiku/annai_dewayuushinkan.html,"3.9
(32)",営業時間を追加,コミュニティ センター,38.894213,139.8163449
