Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
iPhone2092,5,7 か月前,"北海道にある百名山９座のうちの一つ。利尻山自体がひとつの島になっているので、山頂からは360度どこみても海。地元の人曰く、くっきりと晴れる日は少ないようですが、雲間から一目見た景色は絶景でした。礼文島からみる利尻富士も圧巻でした。お時間ある方はぜひ礼文の桃岩展望台コースがおすすめ。
登山道は地形的に細いところもありますが、全体的にかなり整備され素晴らしい登山道です。何より熊がいないので終始安心できる。また北海道では珍しくトイレ小屋(携帯トイレ持参)がありかなりきれいです。鴛泊コースの北麗野営場管理棟に手書きの花マップが無料設置あり。何合目に何の花があるのが記されているのでおすすめ。あと甘露水、めちゃうまです。北海道で浄水なしで飲める水のなかでは一番うまい。
丘珠空港から利尻空港まで1時半。利尻空港から登山口まで30分と、以外とアクセスがく意外と近く感じました。ホテル泊だと大体登山口まで送迎ついてるとことあり。",利尻山（利尻富士）,"
〒097-0211 北海道利尻郡利尻富士町鬼脇",Unknown,Unknown,"4.6
(250)",Unknown,〒097-0211 北海道利尻郡利尻富士町鬼脇,45.1805882,141.2411722
iPhone2092,5,7 か月前,"北海道にある百名山９座のうちの一つ。利尻山自体がひとつの島になっているので、山頂からは360度どこみても海。地元の人曰く、くっきりと晴れる日は少ないようですが、雲間から一目見た景色は絶景でした。礼文島からみる利尻富士も圧巻でした。お時間ある方はぜひ礼文の桃岩展望台コースがおすすめ。
登山道は地形的に細いところもありますが、全体的にかなり整備され素晴らしい登山道です。何より熊がいないので終始安心できる。また北海道では珍しくトイレ小屋(携帯トイレ持参)がありかなりきれいです。鴛泊コースの北麗野営場管理棟に手書きの花マップが無料設置あり。何合目に何の花があるのが記されているのでおすすめ。あと甘露水、めちゃうまです。北海道で浄水なしで飲める水のなかでは一番うまい。
丘珠空港から利尻空港まで1時半。利尻空港から登山口まで30分と、以外とアクセスがく意外と近く感じました。ホテル泊だと大体登山口まで送迎ついてるとことあり。",利尻山（利尻富士）,"
〒097-0211 北海道利尻郡利尻富士町鬼脇",Unknown,Unknown,"4.6
(250)",Unknown,〒097-0211 北海道利尻郡利尻富士町鬼脇,45.1805882,141.2411722
山本,5,7 か月前,"日本百名山の1番目を飾る素晴らしい山です
この日は登山口にあるキャンプ場でテント泊をして次の日にアタック！
どこからでも海が見渡せる光景はまさに絶景の一言！
道も歩きやすくサイコーの山行となりました！🏔 …",利尻山（利尻富士）,"
〒097-0211 北海道利尻郡利尻富士町鬼脇",Unknown,Unknown,"4.6
(250)",Unknown,〒097-0211 北海道利尻郡利尻富士町鬼脇,45.1805882,141.2411722
山本,5,7 か月前,"日本百名山の1番目を飾る素晴らしい山です
この日は登山口にあるキャンプ場でテント泊をして次の日にアタック！
どこからでも海が見渡せる光景はまさに絶景の一言！
道も歩きやすくサイコーの山行となりました！🏔 …",利尻山（利尻富士）,"
〒097-0211 北海道利尻郡利尻富士町鬼脇",Unknown,Unknown,"4.6
(250)",Unknown,〒097-0211 北海道利尻郡利尻富士町鬼脇,45.1805882,141.2411722
ねこネコ爺さん,5,5 か月前,"テント泊三日。登頂しました。登りしっかり4時間半かかりました。68の爺さんやで、しゃあないか。途中何回も心が折れかけて、諦めようか思いました、何故かというと、登頂は可能だけど最近下山中に疲れて救助要請する高齢者が多いのて゛、でも頑張りました。
美しい山でした。",利尻山（利尻富士）,"
〒097-0211 北海道利尻郡利尻富士町鬼脇",Unknown,Unknown,"4.6
(250)",Unknown,〒097-0211 北海道利尻郡利尻富士町鬼脇,45.1805882,141.2411722
ねこネコ爺さん,5,5 か月前,"テント泊三日。登頂しました。登りしっかり4時間半かかりました。68の爺さんやで、しゃあないか。途中何回も心が折れかけて、諦めようか思いました、何故かというと、登頂は可能だけど最近下山中に疲れて救助要請する高齢者が多いのて゛、でも頑張りました。
美しい山でした。",利尻山（利尻富士）,"
〒097-0211 北海道利尻郡利尻富士町鬼脇",Unknown,Unknown,"4.6
(250)",Unknown,〒097-0211 北海道利尻郡利尻富士町鬼脇,45.1805882,141.2411722
竹内仁栄,5,8 か月前,"天気に恵まれ
とにかく絶景でした❗️
日本の最北端の百名山
標高1721メーター

「島全体が一つの頂点に引きしぼられて天に向かっている。こんなみごとな海上の山は利尻岳だけである」と称賛している。別名利尻富士とも呼ばれ、昭和49年（1974）に利尻礼文（れぶん）サロベツ国立公園に指定された。
アイヌ語でリイシリは「高い島山」を意味する。古くから高くそびえるその美しい姿は航海や漁場の目印とされた。人々はその山に航海の安全を祈り、豊漁を祈願した。山は海からも信仰されあがめられたのだ。ついに明治23年（1890）ごろ、修験者・天野磯次郎が鴛泊（おしどまり）から利尻山頂上まで登山道を開削したと伝えられている。
登山コースは3つあるが、鴛泊コースが一般的だ。鬼脇（おにわき）コースは9合目の崩壊が著しく登山禁止になっている。鴛泊コースは3合目のキャンプ場まで車で入れ、便利である。トドマツの鬱蒼とした山道を行くと、冷たい湧水があふれる甘露泉の水場がある。登るにつれダケカンバやミヤマハンノキが続き、6合目を過ぎると尾根も急になりジグザグの登りとなる。8合目の石碑のあるピークが一等三角点のある長官山（ちようかんざん）だ。展望が開け、礼文島が見下ろせる。少し上に避難小屋がある。長官山から尾根をたどるが次第に登りもきつく、足場も悪くなる。9合目は高山植物帯で、沓形（くつがた）コース分岐を通過し、急斜面を直登すると頂上である。頂上には三角点と小さな祠があり、北峰とも呼ばれている。頂上は三峰に分かれ、最高地点は南の南峰であるが、一般の登山者向ではない。3合目から頂上までは約4時間30分。

5時　利尻北麓野営場
5時30分　登山開始　3号目
5時45分　甘露泉水
水場はココだけ
9時　8号目
11時30分 山頂
11時45分下山
16時　甘露泉水に戻る
17時　キャンプ場到着",利尻山（利尻富士）,"
〒097-0211 北海道利尻郡利尻富士町鬼脇",Unknown,Unknown,"4.6
(250)",Unknown,〒097-0211 北海道利尻郡利尻富士町鬼脇,45.1805882,141.2411722
竹内仁栄,5,8 か月前,"天気に恵まれ
とにかく絶景でした❗️
日本の最北端の百名山
標高1721メーター

「島全体が一つの頂点に引きしぼられて天に向かっている。こんなみごとな海上の山は利尻岳だけである」と称賛している。別名利尻富士とも呼ばれ、昭和49年（1974）に利尻礼文（れぶん）サロベツ国立公園に指定された。
アイヌ語でリイシリは「高い島山」を意味する。古くから高くそびえるその美しい姿は航海や漁場の目印とされた。人々はその山に航海の安全を祈り、豊漁を祈願した。山は海からも信仰されあがめられたのだ。ついに明治23年（1890）ごろ、修験者・天野磯次郎が鴛泊（おしどまり）から利尻山頂上まで登山道を開削したと伝えられている。
登山コースは3つあるが、鴛泊コースが一般的だ。鬼脇（おにわき）コースは9合目の崩壊が著しく登山禁止になっている。鴛泊コースは3合目のキャンプ場まで車で入れ、便利である。トドマツの鬱蒼とした山道を行くと、冷たい湧水があふれる甘露泉の水場がある。登るにつれダケカンバやミヤマハンノキが続き、6合目を過ぎると尾根も急になりジグザグの登りとなる。8合目の石碑のあるピークが一等三角点のある長官山（ちようかんざん）だ。展望が開け、礼文島が見下ろせる。少し上に避難小屋がある。長官山から尾根をたどるが次第に登りもきつく、足場も悪くなる。9合目は高山植物帯で、沓形（くつがた）コース分岐を通過し、急斜面を直登すると頂上である。頂上には三角点と小さな祠があり、北峰とも呼ばれている。頂上は三峰に分かれ、最高地点は南の南峰であるが、一般の登山者向ではない。3合目から頂上までは約4時間30分。

5時　利尻北麓野営場
5時30分　登山開始　3号目
5時45分　甘露泉水
水場はココだけ
9時　8号目
11時30分 山頂
11時45分下山
16時　甘露泉水に戻る
17時　キャンプ場到着",利尻山（利尻富士）,"
〒097-0211 北海道利尻郡利尻富士町鬼脇",Unknown,Unknown,"4.6
(250)",Unknown,〒097-0211 北海道利尻郡利尻富士町鬼脇,45.1805882,141.2411722
Hiro,5,1 年前,"海上の独立峰である利尻山頂からの眺めは最高です。ただガスがかかることが多くなかなか綺麗な景色を見ることは出来ませんが、日程に余裕を持っておき、天気予報を見ながら臨機応変に登ることで晴天に恵まれる可能性が高くなります。
私も山腹で時間調整をしながら登ったので山頂ではガスが晴れて最高の体験ができました。
鴛泊コースの登山道は危険な箇所はありませんがかなり体力が必要なので十分準備をしてから挑戦してください。",利尻山（利尻富士）,"
〒097-0211 北海道利尻郡利尻富士町鬼脇",Unknown,Unknown,"4.6
(250)",Unknown,〒097-0211 北海道利尻郡利尻富士町鬼脇,45.1805882,141.2411722
Hiro,5,1 年前,"海上の独立峰である利尻山頂からの眺めは最高です。ただガスがかかることが多くなかなか綺麗な景色を見ることは出来ませんが、日程に余裕を持っておき、天気予報を見ながら臨機応変に登ることで晴天に恵まれる可能性が高くなります。
私も山腹で時間調整をしながら登ったので山頂ではガスが晴れて最高の体験ができました。
鴛泊コースの登山道は危険な箇所はありませんがかなり体力が必要なので十分準備をしてから挑戦してください。",利尻山（利尻富士）,"
〒097-0211 北海道利尻郡利尻富士町鬼脇",Unknown,Unknown,"4.6
(250)",Unknown,〒097-0211 北海道利尻郡利尻富士町鬼脇,45.1805882,141.2411722
