Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
3xoy xtxi,3,2 年前,"遊具：有
トイレ：有
駐輪スペース：有
白山神社のお膝元。遊歩道の一部が公園になったような作り。",北区立白山堀公園,"
〒114-0004 東京都北区堀船３丁目１１",Unknown,Unknown,"3.4
(31)",お店やスポットの電話番号を追加する,公園,35.7346537,139.7474757
3xoy xtxi,3,2 年前,"遊具：有
トイレ：有
駐輪スペース：有
白山神社のお膝元。遊歩道の一部が公園になったような作り。",北区立白山堀公園,"
〒114-0004 東京都北区堀船３丁目１１",Unknown,Unknown,"3.4
(31)",お店やスポットの電話番号を追加する,公園,35.7346537,139.7474757
taka kon (HP0000 enl),4,3 年前,"北区の白山神社と読売新聞の印刷所の間にある公園です。ほりふな健康ロードと半ば一体化していて敷地がどこからどこまでなのやらよくわかりません。実際にGoogleマップでは公園の敷地が色分けされるのが普通なのですがここは色分け出来ていません。周囲に高い建物がないので面積の割に開放的で、小さなお子様からお年寄りまで幅広い層に親しまれています。
ブランコなどの動きのある遊具はありませんが、年季の入った動物の遊具はいい感じです。神社の付近にはのびのび育ったプラタナスがあり秋には梵天の様な実をつけます。他にも製紙業繋がりなのかミツマタや、実を摘みたくなるグミの茂みなどが植え込まれていて四季を通じて緑を楽しめます。
トイレは割と清潔でハンディキャップのある方向けの用意もあります。
ほりふな健康ロードの坂道を隅田川の方に進むと桜並木が見事です。隅田川沿いの散歩の入り口の様な公園です。",北区立白山堀公園,"
〒114-0004 東京都北区堀船３丁目１１",Unknown,Unknown,"3.4
(31)",お店やスポットの電話番号を追加する,公園,35.7346537,139.7474757
taka kon (HP0000 enl),4,3 年前,"北区の白山神社と読売新聞の印刷所の間にある公園です。ほりふな健康ロードと半ば一体化していて敷地がどこからどこまでなのやらよくわかりません。実際にGoogleマップでは公園の敷地が色分けされるのが普通なのですがここは色分け出来ていません。周囲に高い建物がないので面積の割に開放的で、小さなお子様からお年寄りまで幅広い層に親しまれています。
ブランコなどの動きのある遊具はありませんが、年季の入った動物の遊具はいい感じです。神社の付近にはのびのび育ったプラタナスがあり秋には梵天の様な実をつけます。他にも製紙業繋がりなのかミツマタや、実を摘みたくなるグミの茂みなどが植え込まれていて四季を通じて緑を楽しめます。
トイレは割と清潔でハンディキャップのある方向けの用意もあります。
ほりふな健康ロードの坂道を隅田川の方に進むと桜並木が見事です。隅田川沿いの散歩の入り口の様な公園です。",北区立白山堀公園,"
〒114-0004 東京都北区堀船３丁目１１",Unknown,Unknown,"3.4
(31)",お店やスポットの電話番号を追加する,公園,35.7346537,139.7474757
島田敦彦,4,5 年前,あまり広くは無いですが、遊具も複数あり付随している公衆トイレも定期的に清掃されています。隣には堀船白山神社もあり緑も多いです。☆ひとつマイナスは近所に新聞の印刷工場があるので時間帯によりトラックがいっぱい走ってるからです。,北区立白山堀公園,"
〒114-0004 東京都北区堀船３丁目１１",Unknown,Unknown,"3.4
(31)",お店やスポットの電話番号を追加する,公園,35.7346537,139.7474757
島田敦彦,4,5 年前,あまり広くは無いですが、遊具も複数あり付随している公衆トイレも定期的に清掃されています。隣には堀船白山神社もあり緑も多いです。☆ひとつマイナスは近所に新聞の印刷工場があるので時間帯によりトラックがいっぱい走ってるからです。,北区立白山堀公園,"
〒114-0004 東京都北区堀船３丁目１１",Unknown,Unknown,"3.4
(31)",お店やスポットの電話番号を追加する,公園,35.7346537,139.7474757
Tsutomu Takano,3,6 年前,白山神社に隣接し、ほりふな健康ロードのスタート地点にもなっています。トイレが整備されています。ここのベンチは仕事の合間に軽食をとる人がよく利用しています。,北区立白山堀公園,"
〒114-0004 東京都北区堀船３丁目１１",Unknown,Unknown,"3.4
(31)",お店やスポットの電話番号を追加する,公園,35.7346537,139.7474757
Tsutomu Takano,3,6 年前,白山神社に隣接し、ほりふな健康ロードのスタート地点にもなっています。トイレが整備されています。ここのベンチは仕事の合間に軽食をとる人がよく利用しています。,北区立白山堀公園,"
〒114-0004 東京都北区堀船３丁目１１",Unknown,Unknown,"3.4
(31)",お店やスポットの電話番号を追加する,公園,35.7346537,139.7474757
とも,5,2 年前,ワンちゃんOKの公園です！最近、ワンちゃんNG公園が多いので、助かります☺️✨少し奥に歩くと隅田川があります。真っ黒の川でした…💦 …,北区立白山堀公園,"
〒114-0004 東京都北区堀船３丁目１１",Unknown,Unknown,"3.4
(31)",お店やスポットの電話番号を追加する,公園,35.7346537,139.7474757
とも,5,2 年前,ワンちゃんOKの公園です！最近、ワンちゃんNG公園が多いので、助かります☺️✨少し奥に歩くと隅田川があります。真っ黒の川でした…💦 …,北区立白山堀公園,"
〒114-0004 東京都北区堀船３丁目１１",Unknown,Unknown,"3.4
(31)",お店やスポットの電話番号を追加する,公園,35.7346537,139.7474757
平野光重,4,4 年前,紅葉が綺麗。平日の朝は静かに過ごせますがたまに鳩が一杯いる。,北区立白山堀公園,"
〒114-0004 東京都北区堀船３丁目１１",Unknown,Unknown,"3.4
(31)",お店やスポットの電話番号を追加する,公園,35.7346537,139.7474757
平野光重,4,4 年前,紅葉が綺麗。平日の朝は静かに過ごせますがたまに鳩が一杯いる。,北区立白山堀公園,"
〒114-0004 東京都北区堀船３丁目１１",Unknown,Unknown,"3.4
(31)",お店やスポットの電話番号を追加する,公園,35.7346537,139.7474757
三浦広幸,3,1 年前,少し歩くと隅田川があり、散歩にちょうど良いです,北区立白山堀公園,"
〒114-0004 東京都北区堀船３丁目１１",Unknown,Unknown,"3.4
(31)",お店やスポットの電話番号を追加する,公園,35.7346537,139.7474757
三浦広幸,3,1 年前,少し歩くと隅田川があり、散歩にちょうど良いです,北区立白山堀公園,"
〒114-0004 東京都北区堀船３丁目１１",Unknown,Unknown,"3.4
(31)",お店やスポットの電話番号を追加する,公園,35.7346537,139.7474757
