Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
tos,5,2 週間前,"王子神社の後階段のすぐ目の前。凄くフォトジェニック！音無川（石神井川）の旧水路を整備した公園。平日16時、花見する人、散歩の人、休憩の人、読書の人。みな自由気まま。底に降りると岩で造った小川、上にはアーチ型の橋が架かり、両脇の舗道に桜。情緒ある～ww　初夏の水が流れる風景を見てみたい。
半日散策して王子再発見。こんな歴史と見どころがあるなんて、来て良かったです。",北区立音無親水公園,"
〒114-0022 東京都北区王子本町１丁目","
03-5980-9210",https://www.city.kita.lg.jp/parks/list/1009539/1009548.html,"4.1
(523)",Unknown,公園,35.752828,139.736299
tos,5,2 週間前,"王子神社の後階段のすぐ目の前。凄くフォトジェニック！音無川（石神井川）の旧水路を整備した公園。平日16時、花見する人、散歩の人、休憩の人、読書の人。みな自由気まま。底に降りると岩で造った小川、上にはアーチ型の橋が架かり、両脇の舗道に桜。情緒ある～ww　初夏の水が流れる風景を見てみたい。
半日散策して王子再発見。こんな歴史と見どころがあるなんて、来て良かったです。",北区立音無親水公園,"
〒114-0022 東京都北区王子本町１丁目","
03-5980-9210",https://www.city.kita.lg.jp/parks/list/1009539/1009548.html,"4.1
(523)",Unknown,公園,35.752828,139.736299
T S,5,2 週間前,2025年4月4日（金）に訪れました。日本の都市公園100選にも選ばれている桜満開の音無親水公園はとても奇麗で、遊歩道の桜や新緑のモミジ、水車、公園を横切るアーチの橋など見どころの多い素敵な場所です。,北区立音無親水公園,"
〒114-0022 東京都北区王子本町１丁目","
03-5980-9210",https://www.city.kita.lg.jp/parks/list/1009539/1009548.html,"4.1
(523)",Unknown,公園,35.752828,139.736299
T S,5,2 週間前,2025年4月4日（金）に訪れました。日本の都市公園100選にも選ばれている桜満開の音無親水公園はとても奇麗で、遊歩道の桜や新緑のモミジ、水車、公園を横切るアーチの橋など見どころの多い素敵な場所です。,北区立音無親水公園,"
〒114-0022 東京都北区王子本町１丁目","
03-5980-9210",https://www.city.kita.lg.jp/parks/list/1009539/1009548.html,"4.1
(523)",Unknown,公園,35.752828,139.736299
Safari Safari,5,3 か月前,音無親水公園って、まじで最高！四季を通してめっちゃ綺麗で、都会にいるのを忘れるレベル。夏は涼しくて、子供とかは水遊びとかして楽しそう。桜とか紅葉とか、インスタ映えもバッチリだし。昔ながらの滝とか橋とかもあって、歴史好きにもおすすめ。お弁当広げてまったりするのもありだし、散歩するのも◎,北区立音無親水公園,"
〒114-0022 東京都北区王子本町１丁目","
03-5980-9210",https://www.city.kita.lg.jp/parks/list/1009539/1009548.html,"4.1
(523)",Unknown,公園,35.752828,139.736299
Safari Safari,5,3 か月前,音無親水公園って、まじで最高！四季を通してめっちゃ綺麗で、都会にいるのを忘れるレベル。夏は涼しくて、子供とかは水遊びとかして楽しそう。桜とか紅葉とか、インスタ映えもバッチリだし。昔ながらの滝とか橋とかもあって、歴史好きにもおすすめ。お弁当広げてまったりするのもありだし、散歩するのも◎,北区立音無親水公園,"
〒114-0022 東京都北区王子本町１丁目","
03-5980-9210",https://www.city.kita.lg.jp/parks/list/1009539/1009548.html,"4.1
(523)",Unknown,公園,35.752828,139.736299
菅原一樹,5,6 か月前,"秋の紅葉と春の桜が美しいとの触れ込みを聞いていましたが、初めて訪れたのは10月の曇り空の午後。でも、その佇まいに、個人的には大満足の公園でした。

初の王子界隈散策ということで、当初は飛鳥山公園及びその中の博物館３館を見てみよう、くらいの計画だった訳ですが・・・。

石畳の遊歩道をゆっくり、かみしめながら歩いて辺りを見回すと、どこを切り取っても絵になる気がしました。これまで訪問した都内の公園や庭園は、草木が整えられ、池があって、滝があって・・・と、一般的にイメージしやすい部分もあるのですが、ここ音無親水公園の、川辺・お堀のイメージは新鮮ですね。ごつごつした岩に生い茂る苔もいい具合です。

俯瞰とあおり、それぞれの視点も相まって、見どころ満載の素敵な公園でした。もうすぐ訪れる紅葉のシーズンに、また来ようかな？",北区立音無親水公園,"
〒114-0022 東京都北区王子本町１丁目","
03-5980-9210",https://www.city.kita.lg.jp/parks/list/1009539/1009548.html,"4.1
(523)",Unknown,公園,35.752828,139.736299
菅原一樹,5,6 か月前,"秋の紅葉と春の桜が美しいとの触れ込みを聞いていましたが、初めて訪れたのは10月の曇り空の午後。でも、その佇まいに、個人的には大満足の公園でした。

初の王子界隈散策ということで、当初は飛鳥山公園及びその中の博物館３館を見てみよう、くらいの計画だった訳ですが・・・。

石畳の遊歩道をゆっくり、かみしめながら歩いて辺りを見回すと、どこを切り取っても絵になる気がしました。これまで訪問した都内の公園や庭園は、草木が整えられ、池があって、滝があって・・・と、一般的にイメージしやすい部分もあるのですが、ここ音無親水公園の、川辺・お堀のイメージは新鮮ですね。ごつごつした岩に生い茂る苔もいい具合です。

俯瞰とあおり、それぞれの視点も相まって、見どころ満載の素敵な公園でした。もうすぐ訪れる紅葉のシーズンに、また来ようかな？",北区立音無親水公園,"
〒114-0022 東京都北区王子本町１丁目","
03-5980-9210",https://www.city.kita.lg.jp/parks/list/1009539/1009548.html,"4.1
(523)",Unknown,公園,35.752828,139.736299
Shigetaka Yoshida,5,3 週間前,"音無親水公園の桜を楽しんできました🌸❣️
桜が綺麗に咲いていて、お花見を楽しんでいる方がいらっしゃいました🌸🌸🌸
音無川の水辺へ階段で降りて、水辺から見上げる形で桜を眺めるのもまた新鮮でした❣️
また音無橋は関東大震災後に竣工した震災復興橋梁で（昭和5年竣工）、そのデザインも独特です🌉
近代橋梁と桜のコラボも楽しめました🌸(^^)v",北区立音無親水公園,"
〒114-0022 東京都北区王子本町１丁目","
03-5980-9210",https://www.city.kita.lg.jp/parks/list/1009539/1009548.html,"4.1
(523)",Unknown,公園,35.752828,139.736299
Shigetaka Yoshida,5,3 週間前,"音無親水公園の桜を楽しんできました🌸❣️
桜が綺麗に咲いていて、お花見を楽しんでいる方がいらっしゃいました🌸🌸🌸
音無川の水辺へ階段で降りて、水辺から見上げる形で桜を眺めるのもまた新鮮でした❣️
また音無橋は関東大震災後に竣工した震災復興橋梁で（昭和5年竣工）、そのデザインも独特です🌉
近代橋梁と桜のコラボも楽しめました🌸(^^)v",北区立音無親水公園,"
〒114-0022 東京都北区王子本町１丁目","
03-5980-9210",https://www.city.kita.lg.jp/parks/list/1009539/1009548.html,"4.1
(523)",Unknown,公園,35.752828,139.736299
