Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
健二郎,5,6 か月前,登るなら山頂到着は午前中早めがおすすめ。夏場は昼あたりから雲が発生しやすく午後の景観は絶望的になってしまうかも。しっかり整備されており登りやすかったです。,北岳,"
〒400-0241 山梨県南アルプス市芦安芦倉",Unknown,Unknown,"4.7
(349)",Unknown,山頂,35.6747903,138.238854
健二郎,5,6 か月前,登るなら山頂到着は午前中早めがおすすめ。夏場は昼あたりから雲が発生しやすく午後の景観は絶望的になってしまうかも。しっかり整備されており登りやすかったです。,北岳,"
〒400-0241 山梨県南アルプス市芦安芦倉",Unknown,Unknown,"4.7
(349)",Unknown,山頂,35.6747903,138.238854
4M-2M,5,4 か月前,"広河原の登山口 約1520mから山頂3193mまで、標高差 約1700mの登りはとてもキツイです。
肩の小屋から見た日の入り前の雲を纏った山々の眺めが凄く綺麗でカッコ良かったですよ。
山頂直下には約150人収容規模の北岳肩の小屋と北岳山荘があります。
北アルプスの劔岳、槍ヶ岳、穂高岳と並んで登山者に人気のある名峰に登れて幸せです。
〈2024年9月〉",北岳,"
〒400-0241 山梨県南アルプス市芦安芦倉",Unknown,Unknown,"4.7
(349)",Unknown,山頂,35.6747903,138.238854
4M-2M,5,4 か月前,"広河原の登山口 約1520mから山頂3193mまで、標高差 約1700mの登りはとてもキツイです。
肩の小屋から見た日の入り前の雲を纏った山々の眺めが凄く綺麗でカッコ良かったですよ。
山頂直下には約150人収容規模の北岳肩の小屋と北岳山荘があります。
北アルプスの劔岳、槍ヶ岳、穂高岳と並んで登山者に人気のある名峰に登れて幸せです。
〈2024年9月〉",北岳,"
〒400-0241 山梨県南アルプス市芦安芦倉",Unknown,Unknown,"4.7
(349)",Unknown,山頂,35.6747903,138.238854
Ten Ten,4,7 か月前,"日本、第二番目の高さを誇る山。

『北岳』

山荘もありますが休日や連休の時には予約が取れない事が多いので注意です。

晴れた日の景観は素晴らしい場所です。
頂上は比較的広く寛げます。",北岳,"
〒400-0241 山梨県南アルプス市芦安芦倉",Unknown,Unknown,"4.7
(349)",Unknown,山頂,35.6747903,138.238854
Ten Ten,4,7 か月前,"日本、第二番目の高さを誇る山。

『北岳』

山荘もありますが休日や連休の時には予約が取れない事が多いので注意です。

晴れた日の景観は素晴らしい場所です。
頂上は比較的広く寛げます。",北岳,"
〒400-0241 山梨県南アルプス市芦安芦倉",Unknown,Unknown,"4.7
(349)",Unknown,山頂,35.6747903,138.238854
KEI,5,8 か月前,"富士山（標高3776m）に次ぐ、日本第二位標高3193mを誇る南アルプスの山。日本百名山の一座。
山頂からは、富士山、甲斐駒ヶ岳、北アルプスなど360度ぐるりと山に囲まれた日本有数の絶景を楽しむことが可能です。午後は曇ることが多いので、ぜひ肩の小屋で一泊して午前中に登頂することをおすすめします。肩の小屋は予約がなくてもテント泊できる貴重なテント場です。
登山道は一部急勾配が続く区間もありますが、概ねきれいに整備され、山小屋も複数立地しているため、標高のわりには登りやすい山だと思います。
所要時間は、広河原から北岳山頂まで7時間ほど、下りは5時間ほどでした。最短の草スベリルートを通る方が多いと思いますが、右俣コースも高山植物が多く、すれ違う人が少ないので、悪くないルートです。時間に余裕のある方におすすめ。
広河原からの日帰りも登山可能ですが、通行規制のため18時までに広河原山荘に着く必要があり、相当慌ただしくなりますのでご注意ください。",北岳,"
〒400-0241 山梨県南アルプス市芦安芦倉",Unknown,Unknown,"4.7
(349)",Unknown,山頂,35.6747903,138.238854
KEI,5,8 か月前,"富士山（標高3776m）に次ぐ、日本第二位標高3193mを誇る南アルプスの山。日本百名山の一座。
山頂からは、富士山、甲斐駒ヶ岳、北アルプスなど360度ぐるりと山に囲まれた日本有数の絶景を楽しむことが可能です。午後は曇ることが多いので、ぜひ肩の小屋で一泊して午前中に登頂することをおすすめします。肩の小屋は予約がなくてもテント泊できる貴重なテント場です。
登山道は一部急勾配が続く区間もありますが、概ねきれいに整備され、山小屋も複数立地しているため、標高のわりには登りやすい山だと思います。
所要時間は、広河原から北岳山頂まで7時間ほど、下りは5時間ほどでした。最短の草スベリルートを通る方が多いと思いますが、右俣コースも高山植物が多く、すれ違う人が少ないので、悪くないルートです。時間に余裕のある方におすすめ。
広河原からの日帰りも登山可能ですが、通行規制のため18時までに広河原山荘に着く必要があり、相当慌ただしくなりますのでご注意ください。",北岳,"
〒400-0241 山梨県南アルプス市芦安芦倉",Unknown,Unknown,"4.7
(349)",Unknown,山頂,35.6747903,138.238854
Ananas ys,5,7 か月前,"今回、地元の島根県からの遠征で、北岳に登りました。当初、近くの甲斐駒ヶ岳を計画していたのですが、会社の同僚に話を聞き、いいなと思って、今回はこちらに登ることにしました。

日本で２番目に高い3,193Mの山とのことで、近くの山で予行練習をしました。ところが私の地元では、大山(だいせん/1,729M)が最高峰で、登山口から1,000M弱の登坂で頂上に着くのですが、今回は登山口から累積で1,900Mと、２倍近くの登坂をしないといけないことになります。

大山でも地元では評判のきつさで、覚悟はしていましたが、特に白根御池小屋からの草すべりは、急坂が延々と、いつまでも終わらない感じで、気力の限界に挑戦のような感じもしました (^^;

それでも、トレーニングをしていたこともあり、朝６時半に標高1,530Mの広河原を出発し、１２時半頃には何とか、標高3,000Mの肩の小屋に到達できました。当日、曇りがちでしたが、直射日光を避け、体力の温存にもなり、登りとしては有難かったかもです。

ところで、私は山の夕陽が好きで、夕方に電灯持参で、山頂に登って見ましたが、残念ながら霧でダメでした。それでも翌日の早朝には、綺麗な景色を堪能できました。周囲の仙丈ヶ岳、甲斐駒ヶ岳を始め、富士山や中央アルプスの山々なども、見渡すことが出来ました。

道中、同じ地元のグループの方や、東京、神奈川、埼玉、群馬、神戸、山口、福岡からの方達と、ご一緒させて頂きました。楽しい時間を大変ありがとう御座いました。（2024/8/7, 8訪問）",北岳,"
〒400-0241 山梨県南アルプス市芦安芦倉",Unknown,Unknown,"4.7
(349)",Unknown,山頂,35.6747903,138.238854
Ananas ys,5,7 か月前,"今回、地元の島根県からの遠征で、北岳に登りました。当初、近くの甲斐駒ヶ岳を計画していたのですが、会社の同僚に話を聞き、いいなと思って、今回はこちらに登ることにしました。

日本で２番目に高い3,193Mの山とのことで、近くの山で予行練習をしました。ところが私の地元では、大山(だいせん/1,729M)が最高峰で、登山口から1,000M弱の登坂で頂上に着くのですが、今回は登山口から累積で1,900Mと、２倍近くの登坂をしないといけないことになります。

大山でも地元では評判のきつさで、覚悟はしていましたが、特に白根御池小屋からの草すべりは、急坂が延々と、いつまでも終わらない感じで、気力の限界に挑戦のような感じもしました (^^;

それでも、トレーニングをしていたこともあり、朝６時半に標高1,530Mの広河原を出発し、１２時半頃には何とか、標高3,000Mの肩の小屋に到達できました。当日、曇りがちでしたが、直射日光を避け、体力の温存にもなり、登りとしては有難かったかもです。

ところで、私は山の夕陽が好きで、夕方に電灯持参で、山頂に登って見ましたが、残念ながら霧でダメでした。それでも翌日の早朝には、綺麗な景色を堪能できました。周囲の仙丈ヶ岳、甲斐駒ヶ岳を始め、富士山や中央アルプスの山々なども、見渡すことが出来ました。

道中、同じ地元のグループの方や、東京、神奈川、埼玉、群馬、神戸、山口、福岡からの方達と、ご一緒させて頂きました。楽しい時間を大変ありがとう御座いました。（2024/8/7, 8訪問）",北岳,"
〒400-0241 山梨県南アルプス市芦安芦倉",Unknown,Unknown,"4.7
(349)",Unknown,山頂,35.6747903,138.238854
