Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
スワすわ,5,3 か月前,"晴れて風が穏やかな日だとスカイツリーと水面に反射したスカイツリーが二つ撮れるスポットです
交通量そんなに多くない橋で車道に出なくてもパノラマモードなら歩道側で撮れます
車だと路駐するほど道が広くないのでスカイツリーに停めるかコインパーキングを薦めます
スカイツリーからだと歩いて10分位で着くと思います",十間橋,"
〒130-0002 東京都墨田区業平５丁目１５−４",Unknown,Unknown,"4.5
(352)",お店やスポットの電話番号を追加する,橋,35.6154064,137.6390918
スワすわ,5,3 か月前,"晴れて風が穏やかな日だとスカイツリーと水面に反射したスカイツリーが二つ撮れるスポットです
交通量そんなに多くない橋で車道に出なくてもパノラマモードなら歩道側で撮れます
車だと路駐するほど道が広くないのでスカイツリーに停めるかコインパーキングを薦めます
スカイツリーからだと歩いて10分位で着くと思います",十間橋,"
〒130-0002 東京都墨田区業平５丁目１５−４",Unknown,Unknown,"4.5
(352)",お店やスポットの電話番号を追加する,橋,35.6154064,137.6390918
愉快なスナフキン,5,4 か月前,"十間橋に映る東京スカイツリー

ここは本当に絶景ポイントです！写真は少し前のものですが、僕のスマホで撮ったものです。（2021年12月17日訪問）",十間橋,"
〒130-0002 東京都墨田区業平５丁目１５−４",Unknown,Unknown,"4.5
(352)",お店やスポットの電話番号を追加する,橋,35.6154064,137.6390918
愉快なスナフキン,5,4 か月前,"十間橋に映る東京スカイツリー

ここは本当に絶景ポイントです！写真は少し前のものですが、僕のスマホで撮ったものです。（2021年12月17日訪問）",十間橋,"
〒130-0002 東京都墨田区業平５丁目１５−４",Unknown,Unknown,"4.5
(352)",お店やスポットの電話番号を追加する,橋,35.6154064,137.6390918
写真好人。,5,1 年前,"川沿いの道から撮る東京スカイツリーは面白い！！

有名な所らしく！？
行った時には先客が数名〜
自分が撮ってた時も後から来る人も多く

やっぱり有名なんだなぁ〜って実感
人通りもそこそこあるので〜

歩行者に注意です(^o^)",十間橋,"
〒130-0002 東京都墨田区業平５丁目１５−４",Unknown,Unknown,"4.5
(352)",お店やスポットの電話番号を追加する,橋,35.6154064,137.6390918
写真好人。,5,1 年前,"川沿いの道から撮る東京スカイツリーは面白い！！

有名な所らしく！？
行った時には先客が数名〜
自分が撮ってた時も後から来る人も多く

やっぱり有名なんだなぁ〜って実感
人通りもそこそこあるので〜

歩行者に注意です(^o^)",十間橋,"
〒130-0002 東京都墨田区業平５丁目１５−４",Unknown,Unknown,"4.5
(352)",お店やスポットの電話番号を追加する,橋,35.6154064,137.6390918
ms,4,1 年前,"十間橋からのスカイツリーは、スカイツリーを撮影するには最高のスポットと言われています。よく通りますが、たまに立ち止まり夕焼けや雨上がりなど、晴天のもと以外のスカイツリーを撮影しています。
綺麗です！",十間橋,"
〒130-0002 東京都墨田区業平５丁目１５−４",Unknown,Unknown,"4.5
(352)",お店やスポットの電話番号を追加する,橋,35.6154064,137.6390918
ms,4,1 年前,"十間橋からのスカイツリーは、スカイツリーを撮影するには最高のスポットと言われています。よく通りますが、たまに立ち止まり夕焼けや雨上がりなど、晴天のもと以外のスカイツリーを撮影しています。
綺麗です！",十間橋,"
〒130-0002 東京都墨田区業平５丁目１５−４",Unknown,Unknown,"4.5
(352)",お店やスポットの電話番号を追加する,橋,35.6154064,137.6390918
t n,5,9 か月前,"スカイツリーが完成する前、北十間川に映るその姿を撮る主が、十間橋の上に数人いて、我々素人がその場所で撮る場合には、許可を得なければならないような雰囲気でした。
チョット目立つ方に、北海道から来た者ですと自己紹介すると、今日は一番の主が居ないと断りつつ、B5版 にプリントしたスカイツリーの見事な写真をプレゼントされたことがありました。１３年前のことです。",十間橋,"
〒130-0002 東京都墨田区業平５丁目１５−４",Unknown,Unknown,"4.5
(352)",お店やスポットの電話番号を追加する,橋,35.6154064,137.6390918
t n,5,9 か月前,"スカイツリーが完成する前、北十間川に映るその姿を撮る主が、十間橋の上に数人いて、我々素人がその場所で撮る場合には、許可を得なければならないような雰囲気でした。
チョット目立つ方に、北海道から来た者ですと自己紹介すると、今日は一番の主が居ないと断りつつ、B5版 にプリントしたスカイツリーの見事な写真をプレゼントされたことがありました。１３年前のことです。",十間橋,"
〒130-0002 東京都墨田区業平５丁目１５−４",Unknown,Unknown,"4.5
(352)",お店やスポットの電話番号を追加する,橋,35.6154064,137.6390918
