Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Toshi Andy,4,2 か月前,"☆住吉大社表参道、西大鳥居の先、見事な朱色の太鼓橋が「反橋」、池越しに水面に映る逆反橋も凄く風情あり素敵です、長さ20m×幅5.5m×高さ3.6mと立派😄
今の橋は昭和56年(1981年)の造営、現在残る石造り梁脚は慶長年間(1596～1615)の現存構造物、淀殿または豊臣秀頼が寄進したとの伝承🤔 …",反橋,"
〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９",Unknown,http://www.sumiyoshitaisha.net/,"4.4
(164)",お店やスポットの電話番号を追加する,〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９,34.6125177,133.0532658
Toshi Andy,4,2 か月前,"☆住吉大社表参道、西大鳥居の先、見事な朱色の太鼓橋が「反橋」、池越しに水面に映る逆反橋も凄く風情あり素敵です、長さ20m×幅5.5m×高さ3.6mと立派😄
今の橋は昭和56年(1981年)の造営、現在残る石造り梁脚は慶長年間(1596～1615)の現存構造物、淀殿または豊臣秀頼が寄進したとの伝承🤔 …",反橋,"
〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９",Unknown,http://www.sumiyoshitaisha.net/,"4.4
(164)",お店やスポットの電話番号を追加する,〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９,34.6125177,133.0532658
Yuuichi A,5,2 か月前,"平日でしたが
たくさんの人が訪れていました😁
キレイなリフレクションを撮影することができました👍 …",反橋,"
〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９",Unknown,http://www.sumiyoshitaisha.net/,"4.4
(164)",お店やスポットの電話番号を追加する,〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９,34.6125177,133.0532658
Yuuichi A,5,2 か月前,"平日でしたが
たくさんの人が訪れていました😁
キレイなリフレクションを撮影することができました👍 …",反橋,"
〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９",Unknown,http://www.sumiyoshitaisha.net/,"4.4
(164)",お店やスポットの電話番号を追加する,〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９,34.6125177,133.0532658
lover trip,5,11 か月前,"住吉神社の象徴的な太鼓橋。
反橋と言われており、池に映った景色は綺麗です。
正面の鳥居か、真っ直ぐ進むとあります。
お参り前後にこの橋を渡って橋から周りを眺めるのも良いし、少し離れて反橋を見るのも良いです。",反橋,"
〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９",Unknown,http://www.sumiyoshitaisha.net/,"4.4
(164)",お店やスポットの電話番号を追加する,〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９,34.6125177,133.0532658
lover trip,5,11 か月前,"住吉神社の象徴的な太鼓橋。
反橋と言われており、池に映った景色は綺麗です。
正面の鳥居か、真っ直ぐ進むとあります。
お参り前後にこの橋を渡って橋から周りを眺めるのも良いし、少し離れて反橋を見るのも良いです。",反橋,"
〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９",Unknown,http://www.sumiyoshitaisha.net/,"4.4
(164)",お店やスポットの電話番号を追加する,〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９,34.6125177,133.0532658
アニャー,3,1 年前,"住吉大社の神池に架けられた神橋。反橋と呼ばれ、住吉大社の象徴の一つです。長さ20ｍ、高さ3.6m、幅約5.5ｍ、最大傾斜48度の橋。この橋を渡ることで「おはらい」になるという信仰があり、多くの参詣客がこの橋を渡って本殿にお参りに向かいます。現在の石造端脚は淀君が豊臣秀頼公の成長を祈願して奉納したものと伝えられています。
写真には反橋と、境内に点在する大きな灯籠を掲載させていただきます。江戸時代に奉納された灯籠でしょうか。とても趣がある素晴らしい灯籠です。住吉大社が古くから当地の人たちから崇敬されていたことが伝わります。",反橋,"
〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９",Unknown,http://www.sumiyoshitaisha.net/,"4.4
(164)",お店やスポットの電話番号を追加する,〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９,34.6125177,133.0532658
アニャー,3,1 年前,"住吉大社の神池に架けられた神橋。反橋と呼ばれ、住吉大社の象徴の一つです。長さ20ｍ、高さ3.6m、幅約5.5ｍ、最大傾斜48度の橋。この橋を渡ることで「おはらい」になるという信仰があり、多くの参詣客がこの橋を渡って本殿にお参りに向かいます。現在の石造端脚は淀君が豊臣秀頼公の成長を祈願して奉納したものと伝えられています。
写真には反橋と、境内に点在する大きな灯籠を掲載させていただきます。江戸時代に奉納された灯籠でしょうか。とても趣がある素晴らしい灯籠です。住吉大社が古くから当地の人たちから崇敬されていたことが伝わります。",反橋,"
〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９",Unknown,http://www.sumiyoshitaisha.net/,"4.4
(164)",お店やスポットの電話番号を追加する,〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９,34.6125177,133.0532658
浮雲遊子,5,8 か月前,"★神寂びて 静もる水に 映り込む
反橋渡る 渡御の御神輿

住吉大社の象徴、太鼓橋とも。
水面に映り込む姿が美しい。",反橋,"
〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９",Unknown,http://www.sumiyoshitaisha.net/,"4.4
(164)",お店やスポットの電話番号を追加する,〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９,34.6125177,133.0532658
浮雲遊子,5,8 か月前,"★神寂びて 静もる水に 映り込む
反橋渡る 渡御の御神輿

住吉大社の象徴、太鼓橋とも。
水面に映り込む姿が美しい。",反橋,"
〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９",Unknown,http://www.sumiyoshitaisha.net/,"4.4
(164)",お店やスポットの電話番号を追加する,〒558-0045 大阪府大阪市住吉区住吉２丁目９−８９,34.6125177,133.0532658
