Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
美紅,5,9 か月前,"落ち着いた雰囲気で美味しい東北料理が食べられます☺️

東北って美味しい郷土料理がたくさんあって大好きです♡
とはいえ、宮城、山形ぐらいしか行ったことないので色々な東北料理が食べられて幸せでした✨️

🌟宮城仙台　厚切り牛タン
歯ごたえのある仙台牛タンでした。
🌟東北チーズの盛り合わせ
八戸産チーズといかの「なかよし」初めて食べたのですが、チータラのタラの部分がいか？みたいな感じでお酒がすすむ珍味でした。
「いぶりがっこクリームチーズ」は定番ですがいぶりがっこの香りとクリームチーズが最高でした。
🌟青森　前沖サバのスモーク
スモークよりやっぱりしめサバの方が好きだなと感じましたがこれはこれで美味しかったです。
🌟鱧とじゅんさい
じゅんさいがすごく好きで楽しみにしていましたがジュレ状になっていたのでじゅんさい本来のとぅるん感が楽しめなくて少し残念でしたが鱧は美味しかったです。
🌟青森大間【生】天然鮪刺身
とても贅沢に分厚く切られていていました。もうちょっと熟成されて水分抜かれてる方が好みではありましたが美味しかったです。
🌟秋田県　稲庭うどん(冷)
〆にさっぱりつるんといただきました。

そして日本酒がとにかく美味しい❣
磨かれた飲みやすい大吟醸が好きなんですが頼んだ「雪の茅舎」「天の戸」「新政」どれも美味しくて平日だから日本酒は控えめにしよう～と思っていたのに次から次へと頼んでしまいました😅

料理は他にも十和田バラ焼きや玉こんにゃく、出汁巻玉子など食べたいのがたくさんあったのでまた伺いたいです。",和の食 Hako,"
〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F","
03-3845-8515",https://ws-hako.info/,"4.2
(181)",Unknown,〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F,35.691741,139.7382411
美紅,5,9 か月前,"落ち着いた雰囲気で美味しい東北料理が食べられます☺️

東北って美味しい郷土料理がたくさんあって大好きです♡
とはいえ、宮城、山形ぐらいしか行ったことないので色々な東北料理が食べられて幸せでした✨️

🌟宮城仙台　厚切り牛タン
歯ごたえのある仙台牛タンでした。
🌟東北チーズの盛り合わせ
八戸産チーズといかの「なかよし」初めて食べたのですが、チータラのタラの部分がいか？みたいな感じでお酒がすすむ珍味でした。
「いぶりがっこクリームチーズ」は定番ですがいぶりがっこの香りとクリームチーズが最高でした。
🌟青森　前沖サバのスモーク
スモークよりやっぱりしめサバの方が好きだなと感じましたがこれはこれで美味しかったです。
🌟鱧とじゅんさい
じゅんさいがすごく好きで楽しみにしていましたがジュレ状になっていたのでじゅんさい本来のとぅるん感が楽しめなくて少し残念でしたが鱧は美味しかったです。
🌟青森大間【生】天然鮪刺身
とても贅沢に分厚く切られていていました。もうちょっと熟成されて水分抜かれてる方が好みではありましたが美味しかったです。
🌟秋田県　稲庭うどん(冷)
〆にさっぱりつるんといただきました。

そして日本酒がとにかく美味しい❣
磨かれた飲みやすい大吟醸が好きなんですが頼んだ「雪の茅舎」「天の戸」「新政」どれも美味しくて平日だから日本酒は控えめにしよう～と思っていたのに次から次へと頼んでしまいました😅

料理は他にも十和田バラ焼きや玉こんにゃく、出汁巻玉子など食べたいのがたくさんあったのでまた伺いたいです。",和の食 Hako,"
〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F","
03-3845-8515",https://ws-hako.info/,"4.2
(181)",Unknown,〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F,35.691741,139.7382411
N O,4,8 か月前,"年に2回ほど利用させて頂いてます。
同じコースを頼んでいますが、季節に合わせてメニューに変わるので毎回、わくわくします。
東北の美味しいものを堪能出来るので話も弾むし、伺うのが楽しみなお店です。",和の食 Hako,"
〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F","
03-3845-8515",https://ws-hako.info/,"4.2
(181)",Unknown,〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F,35.691741,139.7382411
N O,4,8 か月前,"年に2回ほど利用させて頂いてます。
同じコースを頼んでいますが、季節に合わせてメニューに変わるので毎回、わくわくします。
東北の美味しいものを堪能出来るので話も弾むし、伺うのが楽しみなお店です。",和の食 Hako,"
〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F","
03-3845-8515",https://ws-hako.info/,"4.2
(181)",Unknown,〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F,35.691741,139.7382411
つくし鍼灸整骨院,5,1 年前,"たまたま上野駅周辺を歩いていたら、見つけたお店です。

私自身、青森県出身もあり親近感を勝手にもってお店に入りました。店内は落ち着いた感じで、とても綺麗でした。日本酒も料理もとても美味しくいただきました。

店員さんも丁寧に教えてくれたり案内してもらい、好印象でした。また、友人を誘っていきたいです。",和の食 Hako,"
〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F","
03-3845-8515",https://ws-hako.info/,"4.2
(181)",Unknown,〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F,35.691741,139.7382411
つくし鍼灸整骨院,5,1 年前,"たまたま上野駅周辺を歩いていたら、見つけたお店です。

私自身、青森県出身もあり親近感を勝手にもってお店に入りました。店内は落ち着いた感じで、とても綺麗でした。日本酒も料理もとても美味しくいただきました。

店員さんも丁寧に教えてくれたり案内してもらい、好印象でした。また、友人を誘っていきたいです。",和の食 Hako,"
〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F","
03-3845-8515",https://ws-hako.info/,"4.2
(181)",Unknown,〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F,35.691741,139.7382411
Yam Kin,5,1 年前,"大切な人とのちょっと遅いお食事に☺
雰囲気も良く、週末とはいいながら上野駅前の好立地👍いろんな人いて騒がしいのかな？と心配しましたが、ゆっくり過ごすことが出来ました。

ただ一組、少し下品な女子二人の囂しい声が気になって、カウンター席をずらして頂きました。そんなこちらの思いも汲み取って下さるような良いお店です。

関東以北・・・いや東北地方のお料理を提供してくださり、味濃いめの量多め・・・良いですね👍

連れもお腹いっぱい〜と、満足してくれました。

また行こう❤",和の食 Hako,"
〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F","
03-3845-8515",https://ws-hako.info/,"4.2
(181)",Unknown,〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F,35.691741,139.7382411
Yam Kin,5,1 年前,"大切な人とのちょっと遅いお食事に☺
雰囲気も良く、週末とはいいながら上野駅前の好立地👍いろんな人いて騒がしいのかな？と心配しましたが、ゆっくり過ごすことが出来ました。

ただ一組、少し下品な女子二人の囂しい声が気になって、カウンター席をずらして頂きました。そんなこちらの思いも汲み取って下さるような良いお店です。

関東以北・・・いや東北地方のお料理を提供してくださり、味濃いめの量多め・・・良いですね👍

連れもお腹いっぱい〜と、満足してくれました。

また行こう❤",和の食 Hako,"
〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F","
03-3845-8515",https://ws-hako.info/,"4.2
(181)",Unknown,〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F,35.691741,139.7382411
natsudaze ottottotto,5,2 年前,"東北の料理が多く東北在住歴がある自分としてはなんとも嬉しいお店でした！
雰囲気も上品で大切な人をを連れて行っても安心なお店ですね。",和の食 Hako,"
〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F","
03-3845-8515",https://ws-hako.info/,"4.2
(181)",Unknown,〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F,35.691741,139.7382411
natsudaze ottottotto,5,2 年前,"東北の料理が多く東北在住歴がある自分としてはなんとも嬉しいお店でした！
雰囲気も上品で大切な人をを連れて行っても安心なお店ですね。",和の食 Hako,"
〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F","
03-3845-8515",https://ws-hako.info/,"4.2
(181)",Unknown,〒110-0005 東京都台東区上野７丁目２−１６ ＴＫビル 1F,35.691741,139.7382411
