Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
高山博之,5,2 か月前,"肘折温泉を予約し訪れた山形県大蔵村。お目当ては「四ヶ村棚田ほたる火コンサート」　７年振りの参加です(*^^)v

８年前両親を連れ大蔵村にお邪魔した際、偶然見つけたこのイベント。その翌年初めて参加したんですが、またいつか行きたいな！と思っていたことが実現できました。

送迎バスで会場手前まで送ってくれます。そこから歩く事５００ｍほど。こちらが、四ヶ村の棚田です。

初めて見たときは、日本の原風景ともいえる棚田に衝撃を覚えました。

スケジュールはこの通り。演奏中の撮影はＮＧとの事。少し残念ですが、決まりなのでしょうがないですね(^^;)

数日前の豪雨からは考えられない程の好天に恵まれ、ラッキーですね(^^♪

私達はコンサート付きの宿泊予約でしたので、席が確保されてます。宿泊予約の方はもちろん、自由参加の方々も沢山。

今回で１８年連続出場の小林真人さんと、４回目登場のオカリナ奏者の第一人者宗次郎さん。そして宗次郎ファミリィ、バイオリンの今井博子さんとアコースティックギターの小林健作さんのカルテットで演奏スタート。

棚田に響き渡る楽器の音色が素敵です。風景はもちろん、心ににも染み渡る、そんな感じ(#^.^#)

大倉中学校の１年生とのコラボセッションも行われ、開場は大盛り上がり。一部終了後には、ほら貝を鳴らしながら山伏の登場。松明に点灯する儀式も行われました。

二部は、その山伏の柿崎泉さんも参加し、演奏開始。実は柿崎さん、サックス演奏者であり、スケジュール表にもしっかり名前が記載されてるんですよ！

演奏はスケジュールにもなかった２曲目のアンコール「コンドルは飛んでいく」で〆られ、感動の中終了。

演奏が終わる頃にはすっかり日も消え、ランタンの明りが棚田いっぱいに広がってます。

この風景を観るためにここに来たといっても過言ではありません！　写真では伝わらないのが本当に残念です(-_-;)

また企画し、お邪魔したイベント。是非末永く続けて欲しいものです。",四ケ村の棚田,"
〒996-0201 山形県最上郡大蔵村南山","
0233-75-2324",http://www.vill.ohkura.yamagata.jp/,"4.1
(153)",Unknown,〒996-0201 山形県最上郡大蔵村南山,38.6135055,140.213124
高山博之,5,2 か月前,"肘折温泉を予約し訪れた山形県大蔵村。お目当ては「四ヶ村棚田ほたる火コンサート」　７年振りの参加です(*^^)v

８年前両親を連れ大蔵村にお邪魔した際、偶然見つけたこのイベント。その翌年初めて参加したんですが、またいつか行きたいな！と思っていたことが実現できました。

送迎バスで会場手前まで送ってくれます。そこから歩く事５００ｍほど。こちらが、四ヶ村の棚田です。

初めて見たときは、日本の原風景ともいえる棚田に衝撃を覚えました。

スケジュールはこの通り。演奏中の撮影はＮＧとの事。少し残念ですが、決まりなのでしょうがないですね(^^;)

数日前の豪雨からは考えられない程の好天に恵まれ、ラッキーですね(^^♪

私達はコンサート付きの宿泊予約でしたので、席が確保されてます。宿泊予約の方はもちろん、自由参加の方々も沢山。

今回で１８年連続出場の小林真人さんと、４回目登場のオカリナ奏者の第一人者宗次郎さん。そして宗次郎ファミリィ、バイオリンの今井博子さんとアコースティックギターの小林健作さんのカルテットで演奏スタート。

棚田に響き渡る楽器の音色が素敵です。風景はもちろん、心ににも染み渡る、そんな感じ(#^.^#)

大倉中学校の１年生とのコラボセッションも行われ、開場は大盛り上がり。一部終了後には、ほら貝を鳴らしながら山伏の登場。松明に点灯する儀式も行われました。

二部は、その山伏の柿崎泉さんも参加し、演奏開始。実は柿崎さん、サックス演奏者であり、スケジュール表にもしっかり名前が記載されてるんですよ！

演奏はスケジュールにもなかった２曲目のアンコール「コンドルは飛んでいく」で〆られ、感動の中終了。

演奏が終わる頃にはすっかり日も消え、ランタンの明りが棚田いっぱいに広がってます。

この風景を観るためにここに来たといっても過言ではありません！　写真では伝わらないのが本当に残念です(-_-;)

また企画し、お邪魔したイベント。是非末永く続けて欲しいものです。",四ケ村の棚田,"
〒996-0201 山形県最上郡大蔵村南山","
0233-75-2324",http://www.vill.ohkura.yamagata.jp/,"4.1
(153)",Unknown,〒996-0201 山形県最上郡大蔵村南山,38.6135055,140.213124
テイラースイフト,5,8 か月前,"2024.07.29
自身恒例の「みちのく一人旅」は、ようやく今年7回目、昨年の同時期は15回を数えるのだからダブルスコアつけられてる訳だ。
これも銀婚年である今年は、自身なりに奮発した家族旅行・夫婦旅行を前半に2つ設けたためだから仕方ない。
では普段に戻っていよいよ一人旅のサイクルに戻すとしよう。
今回の目的地は2回目の訪問となる「肘折温泉」、昨年1月にも訪れ好印象を受けた温泉であり、午後になると学校を下校してくる小学生の元気な声が印象的な温泉街でもある。

さきの大雨で肘折へと向かう導線は通行止めの区間もあり迂回が必要となる。
今回その迂回路となる過程に「四ケ村の棚田」がある。
実は迂回で巡って来なくても立ち寄ろうとは決めていた。

終始曇り空の午前から正午を回ると、目的地到着20〜30分くらい前には、雲の切れ間から日差しが顔をのぞかせる。
「持ってくれ！」と期待を込めながら車を進めると、タッチの差で曇天に戻る…。

それでも圧巻の棚田、田んぼは決して珍しくない育ち、なんなら家からわずかものの10秒程度歩けば稲穂は間近。
ただこの光景とは全く比にならない。
形に秩序のない棚田を鶯の鳴き声と望むそれは絶景。
誰もいない高台から贅沢にこの絶景を独り占めしたかと思いきや、ちゃんと先客がいる…。",四ケ村の棚田,"
〒996-0201 山形県最上郡大蔵村南山","
0233-75-2324",http://www.vill.ohkura.yamagata.jp/,"4.1
(153)",Unknown,〒996-0201 山形県最上郡大蔵村南山,38.6135055,140.213124
テイラースイフト,5,8 か月前,"2024.07.29
自身恒例の「みちのく一人旅」は、ようやく今年7回目、昨年の同時期は15回を数えるのだからダブルスコアつけられてる訳だ。
これも銀婚年である今年は、自身なりに奮発した家族旅行・夫婦旅行を前半に2つ設けたためだから仕方ない。
では普段に戻っていよいよ一人旅のサイクルに戻すとしよう。
今回の目的地は2回目の訪問となる「肘折温泉」、昨年1月にも訪れ好印象を受けた温泉であり、午後になると学校を下校してくる小学生の元気な声が印象的な温泉街でもある。

さきの大雨で肘折へと向かう導線は通行止めの区間もあり迂回が必要となる。
今回その迂回路となる過程に「四ケ村の棚田」がある。
実は迂回で巡って来なくても立ち寄ろうとは決めていた。

終始曇り空の午前から正午を回ると、目的地到着20〜30分くらい前には、雲の切れ間から日差しが顔をのぞかせる。
「持ってくれ！」と期待を込めながら車を進めると、タッチの差で曇天に戻る…。

それでも圧巻の棚田、田んぼは決して珍しくない育ち、なんなら家からわずかものの10秒程度歩けば稲穂は間近。
ただこの光景とは全く比にならない。
形に秩序のない棚田を鶯の鳴き声と望むそれは絶景。
誰もいない高台から贅沢にこの絶景を独り占めしたかと思いきや、ちゃんと先客がいる…。",四ケ村の棚田,"
〒996-0201 山形県最上郡大蔵村南山","
0233-75-2324",http://www.vill.ohkura.yamagata.jp/,"4.1
(153)",Unknown,〒996-0201 山形県最上郡大蔵村南山,38.6135055,140.213124
Ella Anna,4,1 年前,"ほたる火コンサートを観に行きました。ダイナミックなロケーションでの演奏はとても素晴らしかったです。
残念なのは、実行委員会さんの発信力が乏しいこと。詳細がとにかく分かりにくく、調べながら、途中めんどくさくなりました。。。
でも、イベント自体はとても素敵だし、無料というのもすごい！
2,000円は取っても良いと思いましたので、2,000円寄付して来ました。
毎年開催しているそうなので、来年も行きたい！

そして、棚田の風景もめちゃくちゃ美しかった。
コンサートが無くても、この風景には魅了されます。季節を変えて訪れるのも良さそう。",四ケ村の棚田,"
〒996-0201 山形県最上郡大蔵村南山","
0233-75-2324",http://www.vill.ohkura.yamagata.jp/,"4.1
(153)",Unknown,〒996-0201 山形県最上郡大蔵村南山,38.6135055,140.213124
Ella Anna,4,1 年前,"ほたる火コンサートを観に行きました。ダイナミックなロケーションでの演奏はとても素晴らしかったです。
残念なのは、実行委員会さんの発信力が乏しいこと。詳細がとにかく分かりにくく、調べながら、途中めんどくさくなりました。。。
でも、イベント自体はとても素敵だし、無料というのもすごい！
2,000円は取っても良いと思いましたので、2,000円寄付して来ました。
毎年開催しているそうなので、来年も行きたい！

そして、棚田の風景もめちゃくちゃ美しかった。
コンサートが無くても、この風景には魅了されます。季節を変えて訪れるのも良さそう。",四ケ村の棚田,"
〒996-0201 山形県最上郡大蔵村南山","
0233-75-2324",http://www.vill.ohkura.yamagata.jp/,"4.1
(153)",Unknown,〒996-0201 山形県最上郡大蔵村南山,38.6135055,140.213124
みのいち,4,5 か月前,稲刈り後だったのでいまいちでしたが、かなり雄大な景色で、水をはったら散りばめた鏡みたいに綺麗でしょうね。,四ケ村の棚田,"
〒996-0201 山形県最上郡大蔵村南山","
0233-75-2324",http://www.vill.ohkura.yamagata.jp/,"4.1
(153)",Unknown,〒996-0201 山形県最上郡大蔵村南山,38.6135055,140.213124
みのいち,4,5 か月前,稲刈り後だったのでいまいちでしたが、かなり雄大な景色で、水をはったら散りばめた鏡みたいに綺麗でしょうね。,四ケ村の棚田,"
〒996-0201 山形県最上郡大蔵村南山","
0233-75-2324",http://www.vill.ohkura.yamagata.jp/,"4.1
(153)",Unknown,〒996-0201 山形県最上郡大蔵村南山,38.6135055,140.213124
あけ,4,8 か月前,標識がいくつかあり、ひとつ見落とすと細道に迷い込むこともあり、見所スポットに着くまで気が抜けないなと思いました。幸運にも棚田ガイドマップを入手でき、そちらに従って行ったら楽にたどりつけたました。ビュースポットは複数箇所あるようです。,四ケ村の棚田,"
〒996-0201 山形県最上郡大蔵村南山","
0233-75-2324",http://www.vill.ohkura.yamagata.jp/,"4.1
(153)",Unknown,〒996-0201 山形県最上郡大蔵村南山,38.6135055,140.213124
あけ,4,8 か月前,標識がいくつかあり、ひとつ見落とすと細道に迷い込むこともあり、見所スポットに着くまで気が抜けないなと思いました。幸運にも棚田ガイドマップを入手でき、そちらに従って行ったら楽にたどりつけたました。ビュースポットは複数箇所あるようです。,四ケ村の棚田,"
〒996-0201 山形県最上郡大蔵村南山","
0233-75-2324",http://www.vill.ohkura.yamagata.jp/,"4.1
(153)",Unknown,〒996-0201 山形県最上郡大蔵村南山,38.6135055,140.213124
