Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
はるのおもち（Anpulin）,5,3 か月前,"遊覧船に乗り、沈下橋を潜りました。
60分コース2000円でした。乗る価値有ります。
水の透明度高く、本当に綺麗でした。",四万十川,"
高知県",Unknown,Unknown,"4.4
(182)",Unknown,河川,33.1917302,132.9802373
はるのおもち（Anpulin）,5,3 か月前,"遊覧船に乗り、沈下橋を潜りました。
60分コース2000円でした。乗る価値有ります。
水の透明度高く、本当に綺麗でした。",四万十川,"
高知県",Unknown,Unknown,"4.4
(182)",Unknown,河川,33.1917302,132.9802373
Nobuyuki Tsuchida,5,4 週間前,"四万十川清らかな清流に愛犬と傷心旅行記
正月🎍でしたが暖かくてとても穏やかな一日になりました🫶 …",四万十川,"
高知県",Unknown,Unknown,"4.4
(182)",Unknown,河川,33.1917302,132.9802373
Nobuyuki Tsuchida,5,4 週間前,"四万十川清らかな清流に愛犬と傷心旅行記
正月🎍でしたが暖かくてとても穏やかな一日になりました🫶 …",四万十川,"
高知県",Unknown,Unknown,"4.4
(182)",Unknown,河川,33.1917302,132.9802373
Taka Shigeru,5,7 か月前,"四万十川と言えば「日本最後の清流」として有名です。実際に四万十川へ行くと、何で「最後の清流」と言われるのかが分かるような気がします。
四万十川は川幅に加えて河川敷が広く、山間の間を蛇行して穏やかに流れています。四万十川沿いの道路は川の蛇行に合わせて川からはあまり見えないように走っているため、川の付替えとかは行われていないようで、昔からの河川環境が保全されているという印象です。
雄大な山々の間を澄んだ水が流れる四万十川、そして沈下橋という風景が四万十川を特徴付けているように思います。

沈下橋には欄干がありません。大洪水で橋が水中に「沈下」することを想定し、水の抵抗を受けにくくするためや、欄干があることにより木などが引掛って水の流れが悪くなることを防いでいます。
沈下橋は自然を押さえつけるのではなく、あるがままの自然を受け入れているという感じがします。

四万十川は、高知県の西部を流れる一級河川で、長さが約196kmある西日本で最長の川です。四国には「四国三郎」と呼ばれる有名な吉野川がありますが、そちらの長さは194km なので、僅差で四万十川が最長になっています。

四万十川と言えば鰻でも有名ですが、鰻を食べられるお店は四万十市街地に集中していて、川の途中にはありませんでした。途中一軒だけ鰻屋さんがありましたが、臨時休業となっていたので、四万十川の鰻を食べるなら四万十市内が良いと思います。",四万十川,"
高知県",Unknown,Unknown,"4.4
(182)",Unknown,河川,33.1917302,132.9802373
Taka Shigeru,5,7 か月前,"四万十川と言えば「日本最後の清流」として有名です。実際に四万十川へ行くと、何で「最後の清流」と言われるのかが分かるような気がします。
四万十川は川幅に加えて河川敷が広く、山間の間を蛇行して穏やかに流れています。四万十川沿いの道路は川の蛇行に合わせて川からはあまり見えないように走っているため、川の付替えとかは行われていないようで、昔からの河川環境が保全されているという印象です。
雄大な山々の間を澄んだ水が流れる四万十川、そして沈下橋という風景が四万十川を特徴付けているように思います。

沈下橋には欄干がありません。大洪水で橋が水中に「沈下」することを想定し、水の抵抗を受けにくくするためや、欄干があることにより木などが引掛って水の流れが悪くなることを防いでいます。
沈下橋は自然を押さえつけるのではなく、あるがままの自然を受け入れているという感じがします。

四万十川は、高知県の西部を流れる一級河川で、長さが約196kmある西日本で最長の川です。四国には「四国三郎」と呼ばれる有名な吉野川がありますが、そちらの長さは194km なので、僅差で四万十川が最長になっています。

四万十川と言えば鰻でも有名ですが、鰻を食べられるお店は四万十市街地に集中していて、川の途中にはありませんでした。途中一軒だけ鰻屋さんがありましたが、臨時休業となっていたので、四万十川の鰻を食べるなら四万十市内が良いと思います。",四万十川,"
高知県",Unknown,Unknown,"4.4
(182)",Unknown,河川,33.1917302,132.9802373
和人,3,7 か月前,"「四万十川」を観に行きましたが、四万十川と言っても、広く長く、観るスポットは多数。

観に行く場所によっては景色が違う所もあり、前日に雨が降っていれば景色も違う。

橋から観る景色が良かったですが、橋から観るスポットも多数あり迷います。

四万十川町・四万十市と、両方の地域で四万十川が観て楽しめる事を考えると、時間が必要ですね。",四万十川,"
高知県",Unknown,Unknown,"4.4
(182)",Unknown,河川,33.1917302,132.9802373
和人,3,7 か月前,"「四万十川」を観に行きましたが、四万十川と言っても、広く長く、観るスポットは多数。

観に行く場所によっては景色が違う所もあり、前日に雨が降っていれば景色も違う。

橋から観る景色が良かったですが、橋から観るスポットも多数あり迷います。

四万十川町・四万十市と、両方の地域で四万十川が観て楽しめる事を考えると、時間が必要ですね。",四万十川,"
高知県",Unknown,Unknown,"4.4
(182)",Unknown,河川,33.1917302,132.9802373
na k,5,5 か月前,"四万十川行ってみたい、で「四万十川」で調べてナビでここまで来ましたが(よくわからない脇道をのぼり絶句😄)ポスターなどの絶景スポットではないです😅💫
安易な考えで検索して、絶句したので....ここにナビを設定してしまう人が出ないように口コミします！笑

四万十川、絶景スポットで調べて自分が見てみたいスポットを調べて行ってください🤣🫶💞

ちなみに私は来た道を戻り岩間沈下橋へ行きました！笑

最高でした！",四万十川,"
高知県",Unknown,Unknown,"4.4
(182)",Unknown,河川,33.1917302,132.9802373
na k,5,5 か月前,"四万十川行ってみたい、で「四万十川」で調べてナビでここまで来ましたが(よくわからない脇道をのぼり絶句😄)ポスターなどの絶景スポットではないです😅💫
安易な考えで検索して、絶句したので....ここにナビを設定してしまう人が出ないように口コミします！笑

四万十川、絶景スポットで調べて自分が見てみたいスポットを調べて行ってください🤣🫶💞

ちなみに私は来た道を戻り岩間沈下橋へ行きました！笑

最高でした！",四万十川,"
高知県",Unknown,Unknown,"4.4
(182)",Unknown,河川,33.1917302,132.9802373
