Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
いけみにゃあ,4,5 か月前,"四谷千枚田の中腹あたりにある駐車場。
舗装はしていないが、しっかりと踏み固められているので安心して停められる。",四谷千枚田 第２駐車場,"
〒441-1942 愛知県新城市四谷",Unknown,Unknown,"4.1
(74)",お店やスポットの電話番号を追加する,〒441-1942 愛知県新城市四谷,35.0525631,137.5687565
いけみにゃあ,4,5 か月前,"四谷千枚田の中腹あたりにある駐車場。
舗装はしていないが、しっかりと踏み固められているので安心して停められる。",四谷千枚田 第２駐車場,"
〒441-1942 愛知県新城市四谷",Unknown,Unknown,"4.1
(74)",お店やスポットの電話番号を追加する,〒441-1942 愛知県新城市四谷,35.0525631,137.5687565
酒井靖,5,4 か月前,"2024.12.12
ふたご座流星群を観測しに
行きました
流星群は確認できませんでした
21時頃でしたが
千枚田は
綺麗に写真撮れました📸",四谷千枚田 第２駐車場,"
〒441-1942 愛知県新城市四谷",Unknown,Unknown,"4.1
(74)",お店やスポットの電話番号を追加する,〒441-1942 愛知県新城市四谷,35.0525631,137.5687565
酒井靖,5,4 か月前,"2024.12.12
ふたご座流星群を観測しに
行きました
流星群は確認できませんでした
21時頃でしたが
千枚田は
綺麗に写真撮れました📸",四谷千枚田 第２駐車場,"
〒441-1942 愛知県新城市四谷",Unknown,Unknown,"4.1
(74)",お店やスポットの電話番号を追加する,〒441-1942 愛知県新城市四谷,35.0525631,137.5687565
Love Shiba,3,6 年前,"車で迷わず行けました。
駐車場は少し坂道がきついので車体が低い車は要注意‼️
平日に行ったので働いてる方以外は誰もいませんでした。
のどか～で気持ちが良い場所。行って良かったです💮 …",四谷千枚田 第２駐車場,"
〒441-1942 愛知県新城市四谷",Unknown,Unknown,"4.1
(74)",お店やスポットの電話番号を追加する,〒441-1942 愛知県新城市四谷,35.0525631,137.5687565
Love Shiba,3,6 年前,"車で迷わず行けました。
駐車場は少し坂道がきついので車体が低い車は要注意‼️
平日に行ったので働いてる方以外は誰もいませんでした。
のどか～で気持ちが良い場所。行って良かったです💮 …",四谷千枚田 第２駐車場,"
〒441-1942 愛知県新城市四谷",Unknown,Unknown,"4.1
(74)",お店やスポットの電話番号を追加する,〒441-1942 愛知県新城市四谷,35.0525631,137.5687565
あおぶうぶう,3,2 年前,上からの眺めより やはり 下からの眺めが最高かな 秋の実り時期に また伺いたいと思います,四谷千枚田 第２駐車場,"
〒441-1942 愛知県新城市四谷",Unknown,Unknown,"4.1
(74)",お店やスポットの電話番号を追加する,〒441-1942 愛知県新城市四谷,35.0525631,137.5687565
あおぶうぶう,3,2 年前,上からの眺めより やはり 下からの眺めが最高かな 秋の実り時期に また伺いたいと思います,四谷千枚田 第２駐車場,"
〒441-1942 愛知県新城市四谷",Unknown,Unknown,"4.1
(74)",お店やスポットの電話番号を追加する,〒441-1942 愛知県新城市四谷,35.0525631,137.5687565
TRK,3,1 年前,春、夏、秋と来ましたが、水田に水を張った時が私的には好きです。,四谷千枚田 第２駐車場,"
〒441-1942 愛知県新城市四谷",Unknown,Unknown,"4.1
(74)",お店やスポットの電話番号を追加する,〒441-1942 愛知県新城市四谷,35.0525631,137.5687565
TRK,3,1 年前,春、夏、秋と来ましたが、水田に水を張った時が私的には好きです。,四谷千枚田 第２駐車場,"
〒441-1942 愛知県新城市四谷",Unknown,Unknown,"4.1
(74)",お店やスポットの電話番号を追加する,〒441-1942 愛知県新城市四谷,35.0525631,137.5687565
