Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
CRYSTAL spirits,5,4 か月前,JRと東京メトロ丸の内線と南北線のある四谷駅の橋、新宿通りの一部でもあり、橋の麹町口側にはアールデコ風デザインの街灯が見事で橋の手すりも劣化はしているが装飾的で珍しいデザイン,四谷見附橋,"
〒160-0004 東京都新宿区四谷１丁目",Unknown,Unknown,"3.7
(53)",お店やスポットの電話番号を追加する,〒160-0004 東京都新宿区四谷１丁目,35.6857417,139.7302166
CRYSTAL spirits,5,4 か月前,JRと東京メトロ丸の内線と南北線のある四谷駅の橋、新宿通りの一部でもあり、橋の麹町口側にはアールデコ風デザインの街灯が見事で橋の手すりも劣化はしているが装飾的で珍しいデザイン,四谷見附橋,"
〒160-0004 東京都新宿区四谷１丁目",Unknown,Unknown,"3.7
(53)",お店やスポットの電話番号を追加する,〒160-0004 東京都新宿区四谷１丁目,35.6857417,139.7302166
むぺる,4,3 か月前,"大正2(1913)年9月竣工。
2代目は平成3(1991)年竣工。
2代目は八王子市の多摩ニュータウンの長池見附橋として移築された。",四谷見附橋,"
〒160-0004 東京都新宿区四谷１丁目",Unknown,Unknown,"3.7
(53)",お店やスポットの電話番号を追加する,〒160-0004 東京都新宿区四谷１丁目,35.6857417,139.7302166
むぺる,4,3 か月前,"大正2(1913)年9月竣工。
2代目は平成3(1991)年竣工。
2代目は八王子市の多摩ニュータウンの長池見附橋として移築された。",四谷見附橋,"
〒160-0004 東京都新宿区四谷１丁目",Unknown,Unknown,"3.7
(53)",お店やスポットの電話番号を追加する,〒160-0004 東京都新宿区四谷１丁目,35.6857417,139.7302166
Taka尾,3,2 年前,"薄汚れている上に、欄干の塗装は剥げかかっているし、橋灯がなければ目立たない。
八王子市にある旧橋の長池見附橋の方が、立派で威厳があるように見えたことが残念。環境の違いなのか?",四谷見附橋,"
〒160-0004 東京都新宿区四谷１丁目",Unknown,Unknown,"3.7
(53)",お店やスポットの電話番号を追加する,〒160-0004 東京都新宿区四谷１丁目,35.6857417,139.7302166
Taka尾,3,2 年前,"薄汚れている上に、欄干の塗装は剥げかかっているし、橋灯がなければ目立たない。
八王子市にある旧橋の長池見附橋の方が、立派で威厳があるように見えたことが残念。環境の違いなのか?",四谷見附橋,"
〒160-0004 東京都新宿区四谷１丁目",Unknown,Unknown,"3.7
(53)",お店やスポットの電話番号を追加する,〒160-0004 東京都新宿区四谷１丁目,35.6857417,139.7302166
毎日逆立ち,4,7 か月前,"【四ツ谷駅にある橋】
道路になっているので橋であることはスルーされてしまいそう
一部工事中のようですが、せっかくの立派な橋が綺麗に見られるスポットがあればいいのになぁと思います",四谷見附橋,"
〒160-0004 東京都新宿区四谷１丁目",Unknown,Unknown,"3.7
(53)",お店やスポットの電話番号を追加する,〒160-0004 東京都新宿区四谷１丁目,35.6857417,139.7302166
毎日逆立ち,4,7 か月前,"【四ツ谷駅にある橋】
道路になっているので橋であることはスルーされてしまいそう
一部工事中のようですが、せっかくの立派な橋が綺麗に見られるスポットがあればいいのになぁと思います",四谷見附橋,"
〒160-0004 東京都新宿区四谷１丁目",Unknown,Unknown,"3.7
(53)",お店やスポットの電話番号を追加する,〒160-0004 東京都新宿区四谷１丁目,35.6857417,139.7302166
おくまさま,3,2 年前,"現在の四ツ谷駅東側の江戸城外濠内側に、江戸城防衛の要のひとつ四谷御門がありましたが、明治に入ると門は撤去さます。
1894年（明治27年）、外濠の一部の水を抜き、甲武鉄道（現在のJR中央本線）の四ツ谷駅が開業、1913年（大正2年）に四谷見附橋が完成しました。橋上には東京市街鉄道により新宿と月島を結ぶ路面電車が敷設され、1968年まで運行されていました。この橋は400メートルほど離れた赤坂離宮との調和を図り、高欄や橋灯はネオ・バロック様式が採用されました。橋台は隅を花崗岩で押さえた煉瓦積みの外殻で、アーチは茶褐色に塗装されていました。
1991年には、新宿通りの拡幅と四谷見附橋の架け替えが竣工。旧橋の橋体は八王子市の多摩ニュータウンにある長池公園に移築されました。新らしい橋は旧橋のアーチをイメージしたラーメン構造で、高欄や橋灯は旧橋のものが再利用されています。",四谷見附橋,"
〒160-0004 東京都新宿区四谷１丁目",Unknown,Unknown,"3.7
(53)",お店やスポットの電話番号を追加する,〒160-0004 東京都新宿区四谷１丁目,35.6857417,139.7302166
おくまさま,3,2 年前,"現在の四ツ谷駅東側の江戸城外濠内側に、江戸城防衛の要のひとつ四谷御門がありましたが、明治に入ると門は撤去さます。
1894年（明治27年）、外濠の一部の水を抜き、甲武鉄道（現在のJR中央本線）の四ツ谷駅が開業、1913年（大正2年）に四谷見附橋が完成しました。橋上には東京市街鉄道により新宿と月島を結ぶ路面電車が敷設され、1968年まで運行されていました。この橋は400メートルほど離れた赤坂離宮との調和を図り、高欄や橋灯はネオ・バロック様式が採用されました。橋台は隅を花崗岩で押さえた煉瓦積みの外殻で、アーチは茶褐色に塗装されていました。
1991年には、新宿通りの拡幅と四谷見附橋の架け替えが竣工。旧橋の橋体は八王子市の多摩ニュータウンにある長池公園に移築されました。新らしい橋は旧橋のアーチをイメージしたラーメン構造で、高欄や橋灯は旧橋のものが再利用されています。",四谷見附橋,"
〒160-0004 東京都新宿区四谷１丁目",Unknown,Unknown,"3.7
(53)",お店やスポットの電話番号を追加する,〒160-0004 東京都新宿区四谷１丁目,35.6857417,139.7302166
