Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
ゆき,5,1 週間前,平日のお昼に伺いました。4組くらいの待ちでした。のどぐろが300円台、上生ウニが600円台です。どちらも美味しかったです。ほかは特にとろサーモンが美味しかったです。,回転寿司 飛鳥,"
〒114-0002 東京都北区王子１丁目１７−１","
03-3914-7460",https://www.hotpepper.jp/strJ001041431/,"3.9
(705)",Unknown,回転寿司店,35.7079471,139.7402748
ゆき,5,1 週間前,平日のお昼に伺いました。4組くらいの待ちでした。のどぐろが300円台、上生ウニが600円台です。どちらも美味しかったです。ほかは特にとろサーモンが美味しかったです。,回転寿司 飛鳥,"
〒114-0002 東京都北区王子１丁目１７−１","
03-3914-7460",https://www.hotpepper.jp/strJ001041431/,"3.9
(705)",Unknown,回転寿司店,35.7079471,139.7402748
玉露,4,4 か月前,"今は絶滅危惧になってきた職人さんが真ん中スタイルの回転ずし屋さん。タブレット？注文票？そんなもんはありません。口頭で職人さんに伝えます。注文を取り違えたり、通ってなかったり、こっちが忘れたり…それがたまらないｗｗｗ
対策として…ちゃんと大きな声で伝える、ややこしい言い方はしない（エビ頂戴ではなく、何々エビ頂戴とちゃんと言う）、一回の注文は2・3個に抑える（あっちもこっちも忘れないように）です。何より臆せず声をかけましょうｗ
常時のネタもいいですが、ホワイトボードのネタは嫌いでなければできれば頼んでおきたい。美味しいネタが多いです。
カウンター席なので座りは横並びです。3人以上の方はご注意。また店内は狭く、衣紋掛け（上着掛け）や荷物置き場はありません。（座席下の小さな棚はあります）
2025年にリニューアル工事で休業予定（2025年1月14日-3月中旬）です。",回転寿司 飛鳥,"
〒114-0002 東京都北区王子１丁目１７−１","
03-3914-7460",https://www.hotpepper.jp/strJ001041431/,"3.9
(705)",Unknown,回転寿司店,35.7079471,139.7402748
玉露,4,4 か月前,"今は絶滅危惧になってきた職人さんが真ん中スタイルの回転ずし屋さん。タブレット？注文票？そんなもんはありません。口頭で職人さんに伝えます。注文を取り違えたり、通ってなかったり、こっちが忘れたり…それがたまらないｗｗｗ
対策として…ちゃんと大きな声で伝える、ややこしい言い方はしない（エビ頂戴ではなく、何々エビ頂戴とちゃんと言う）、一回の注文は2・3個に抑える（あっちもこっちも忘れないように）です。何より臆せず声をかけましょうｗ
常時のネタもいいですが、ホワイトボードのネタは嫌いでなければできれば頼んでおきたい。美味しいネタが多いです。
カウンター席なので座りは横並びです。3人以上の方はご注意。また店内は狭く、衣紋掛け（上着掛け）や荷物置き場はありません。（座席下の小さな棚はあります）
2025年にリニューアル工事で休業予定（2025年1月14日-3月中旬）です。",回転寿司 飛鳥,"
〒114-0002 東京都北区王子１丁目１７−１","
03-3914-7460",https://www.hotpepper.jp/strJ001041431/,"3.9
(705)",Unknown,回転寿司店,35.7079471,139.7402748
Chibee Mari,4,4 か月前,"回転寿司と言っても目の前で職人さんたちがちゃんと握ってくださるお店です。
店内は小綺麗ですしおトイレも綺麗です。
土曜のお昼には、かなり待っていたので、他のお店でサクッと食べてから、2時半頃改めて行ったら2、3組待ちでサッと座れました。
松前漬けも卵焼きもお手製でお酒が進みました！
大好きな貝のお寿司も美味しくいただきました
。シャリ少なめやおつまみ(シャリなし)も選べてGoodです！",回転寿司 飛鳥,"
〒114-0002 東京都北区王子１丁目１７−１","
03-3914-7460",https://www.hotpepper.jp/strJ001041431/,"3.9
(705)",Unknown,回転寿司店,35.7079471,139.7402748
Chibee Mari,4,4 か月前,"回転寿司と言っても目の前で職人さんたちがちゃんと握ってくださるお店です。
店内は小綺麗ですしおトイレも綺麗です。
土曜のお昼には、かなり待っていたので、他のお店でサクッと食べてから、2時半頃改めて行ったら2、3組待ちでサッと座れました。
松前漬けも卵焼きもお手製でお酒が進みました！
大好きな貝のお寿司も美味しくいただきました
。シャリ少なめやおつまみ(シャリなし)も選べてGoodです！",回転寿司 飛鳥,"
〒114-0002 東京都北区王子１丁目１７−１","
03-3914-7460",https://www.hotpepper.jp/strJ001041431/,"3.9
(705)",Unknown,回転寿司店,35.7079471,139.7402748
TAKUJI I.,4,4 か月前,"王子駅北口を出て通りを渡るとこの店がある。
人気の回転寿司。
閉店前に初めて入った。

カウンター席に座る。
まず生ビール。
メニューを見るとかなりリーズナブル。

鯵とねぎトロ。
寿司屋で必ず注文する鯵。
中々美味しい。

ねぎトロ軍艦。
優しい味のねぎトロと海苔のバランスがいい。
ビールが進む。

追加で赤貝。
赤貝250円は嬉しい。
しかも美味しい。

もう少しビールを飲みたいので、アテはとろたく巻。
たくあんのしょっぱさがトロと合う。

全体にリーズナブルで気軽。
ちょい飲みに良い店見つけた。",回転寿司 飛鳥,"
〒114-0002 東京都北区王子１丁目１７−１","
03-3914-7460",https://www.hotpepper.jp/strJ001041431/,"3.9
(705)",Unknown,回転寿司店,35.7079471,139.7402748
TAKUJI I.,4,4 か月前,"王子駅北口を出て通りを渡るとこの店がある。
人気の回転寿司。
閉店前に初めて入った。

カウンター席に座る。
まず生ビール。
メニューを見るとかなりリーズナブル。

鯵とねぎトロ。
寿司屋で必ず注文する鯵。
中々美味しい。

ねぎトロ軍艦。
優しい味のねぎトロと海苔のバランスがいい。
ビールが進む。

追加で赤貝。
赤貝250円は嬉しい。
しかも美味しい。

もう少しビールを飲みたいので、アテはとろたく巻。
たくあんのしょっぱさがトロと合う。

全体にリーズナブルで気軽。
ちょい飲みに良い店見つけた。",回転寿司 飛鳥,"
〒114-0002 東京都北区王子１丁目１７−１","
03-3914-7460",https://www.hotpepper.jp/strJ001041431/,"3.9
(705)",Unknown,回転寿司店,35.7079471,139.7402748
KS,5,5 か月前,"コスパと味全てにおいて素晴らしいです。
某回転寿司と値段もそこまで変わらないので断然こちらの方が美味しく昔ながらの回転寿司の雰囲気を味わえます。
週に2回いきました(^^)",回転寿司 飛鳥,"
〒114-0002 東京都北区王子１丁目１７−１","
03-3914-7460",https://www.hotpepper.jp/strJ001041431/,"3.9
(705)",Unknown,回転寿司店,35.7079471,139.7402748
KS,5,5 か月前,"コスパと味全てにおいて素晴らしいです。
某回転寿司と値段もそこまで変わらないので断然こちらの方が美味しく昔ながらの回転寿司の雰囲気を味わえます。
週に2回いきました(^^)",回転寿司 飛鳥,"
〒114-0002 東京都北区王子１丁目１７−１","
03-3914-7460",https://www.hotpepper.jp/strJ001041431/,"3.9
(705)",Unknown,回転寿司店,35.7079471,139.7402748
