Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
椿（まさくん）,3,1 週間前,"バレーボール観戦で行きました。
座席はかたいので、シート持参すると良いと思います。
トイレ前に自販機あります。
コーヒーはありませんでした。
トイレは2ヶ所ありました。",国立代々木競技場 第二体育館,"
〒150-0041 東京都渋谷区神南２丁目１−１","
03-3468-1171",http://www.jpnsport.go.jp/yoyogi/sisetu/tabid/76/Default.aspx,"4.2
(540)",Unknown,〒150-0041 東京都渋谷区神南２丁目１−１,35.6676472,139.7001458
椿（まさくん）,3,1 週間前,"バレーボール観戦で行きました。
座席はかたいので、シート持参すると良いと思います。
トイレ前に自販機あります。
コーヒーはありませんでした。
トイレは2ヶ所ありました。",国立代々木競技場 第二体育館,"
〒150-0041 東京都渋谷区神南２丁目１−１","
03-3468-1171",http://www.jpnsport.go.jp/yoyogi/sisetu/tabid/76/Default.aspx,"4.2
(540)",Unknown,〒150-0041 東京都渋谷区神南２丁目１−１,35.6676472,139.7001458
米谷伸之（米ちゃん）,4,2 週間前,バスケットのBリーグ、SR渋谷とシーホース三河の試合を見に行った。初めてプロバスケットの試合見てとても良かった。SR渋谷のホームゲームで周りの熱気がすごかった,国立代々木競技場 第二体育館,"
〒150-0041 東京都渋谷区神南２丁目１−１","
03-3468-1171",http://www.jpnsport.go.jp/yoyogi/sisetu/tabid/76/Default.aspx,"4.2
(540)",Unknown,〒150-0041 東京都渋谷区神南２丁目１−１,35.6676472,139.7001458
米谷伸之（米ちゃん）,4,2 週間前,バスケットのBリーグ、SR渋谷とシーホース三河の試合を見に行った。初めてプロバスケットの試合見てとても良かった。SR渋谷のホームゲームで周りの熱気がすごかった,国立代々木競技場 第二体育館,"
〒150-0041 東京都渋谷区神南２丁目１−１","
03-3468-1171",http://www.jpnsport.go.jp/yoyogi/sisetu/tabid/76/Default.aspx,"4.2
(540)",Unknown,〒150-0041 東京都渋谷区神南２丁目１−１,35.6676472,139.7001458
てつや,3,3 か月前,あんまりキャパは少ないけれどコンパクトで見やすいです　ちなみにこの日第一でNiziUのライブが行われたためバスケが第二になっておりました。　残念　しかしあの「ブザービート」の最終回の会場になっていたとは感慨深いです,国立代々木競技場 第二体育館,"
〒150-0041 東京都渋谷区神南２丁目１−１","
03-3468-1171",http://www.jpnsport.go.jp/yoyogi/sisetu/tabid/76/Default.aspx,"4.2
(540)",Unknown,〒150-0041 東京都渋谷区神南２丁目１−１,35.6676472,139.7001458
てつや,3,3 か月前,あんまりキャパは少ないけれどコンパクトで見やすいです　ちなみにこの日第一でNiziUのライブが行われたためバスケが第二になっておりました。　残念　しかしあの「ブザービート」の最終回の会場になっていたとは感慨深いです,国立代々木競技場 第二体育館,"
〒150-0041 東京都渋谷区神南２丁目１−１","
03-3468-1171",http://www.jpnsport.go.jp/yoyogi/sisetu/tabid/76/Default.aspx,"4.2
(540)",Unknown,〒150-0041 東京都渋谷区神南２丁目１−１,35.6676472,139.7001458
a donabe,4,4 か月前,"子供が体操祭で使用しました。私も高校の運動会で使用したりと昔からある懐かしい場所です。
観客席から見やすくていいですよね！
そして私の大好きな岡本太郎の作品が見れるので、素敵な体育館です(^^)",国立代々木競技場 第二体育館,"
〒150-0041 東京都渋谷区神南２丁目１−１","
03-3468-1171",http://www.jpnsport.go.jp/yoyogi/sisetu/tabid/76/Default.aspx,"4.2
(540)",Unknown,〒150-0041 東京都渋谷区神南２丁目１−１,35.6676472,139.7001458
a donabe,4,4 か月前,"子供が体操祭で使用しました。私も高校の運動会で使用したりと昔からある懐かしい場所です。
観客席から見やすくていいですよね！
そして私の大好きな岡本太郎の作品が見れるので、素敵な体育館です(^^)",国立代々木競技場 第二体育館,"
〒150-0041 東京都渋谷区神南２丁目１−１","
03-3468-1171",http://www.jpnsport.go.jp/yoyogi/sisetu/tabid/76/Default.aspx,"4.2
(540)",Unknown,〒150-0041 東京都渋谷区神南２丁目１−１,35.6676472,139.7001458
渡辺正幸,4,3 か月前,卓球の試合を観に、初めてこの会場に来ました。２階席でしたが、コートに近く臨場感を感じました。口コミにあるように、トイレは１階にしかなく、満員になるイベントには、危険と感じます。,国立代々木競技場 第二体育館,"
〒150-0041 東京都渋谷区神南２丁目１−１","
03-3468-1171",http://www.jpnsport.go.jp/yoyogi/sisetu/tabid/76/Default.aspx,"4.2
(540)",Unknown,〒150-0041 東京都渋谷区神南２丁目１−１,35.6676472,139.7001458
渡辺正幸,4,3 か月前,卓球の試合を観に、初めてこの会場に来ました。２階席でしたが、コートに近く臨場感を感じました。口コミにあるように、トイレは１階にしかなく、満員になるイベントには、危険と感じます。,国立代々木競技場 第二体育館,"
〒150-0041 東京都渋谷区神南２丁目１−１","
03-3468-1171",http://www.jpnsport.go.jp/yoyogi/sisetu/tabid/76/Default.aspx,"4.2
(540)",Unknown,〒150-0041 東京都渋谷区神南２丁目１−１,35.6676472,139.7001458
