Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
巽富美男,5,1 年前,1984年3月に自転車で久万側から越えました。標高は約1080mです。緑の草原に憧れて行ったのに雪で真っ白です。四国の山を舐めていました。,地芳峠,"
〒785-0601 高知県高岡郡梼原町永野",Unknown,Unknown,"4.5
(6)",Unknown,〒785-0601 高知県高岡郡梼原町永野,33.4714168,132.9216154
巽富美男,5,1 年前,1984年3月に自転車で久万側から越えました。標高は約1080mです。緑の草原に憧れて行ったのに雪で真っ白です。四国の山を舐めていました。,地芳峠,"
〒785-0601 高知県高岡郡梼原町永野",Unknown,Unknown,"4.5
(6)",Unknown,〒785-0601 高知県高岡郡梼原町永野,33.4714168,132.9216154
森林,5,3 年前,"石鎚山遥拝石
姫鶴荘と梼原の分岐点の大きな2本の杉の間にあり今は木が伸びて見えませんが昔はこの遥拝石の穴から石鎚山を遥拝したそうです",地芳峠,"
〒785-0601 高知県高岡郡梼原町永野",Unknown,Unknown,"4.5
(6)",Unknown,〒785-0601 高知県高岡郡梼原町永野,33.4714168,132.9216154
森林,5,3 年前,"石鎚山遥拝石
姫鶴荘と梼原の分岐点の大きな2本の杉の間にあり今は木が伸びて見えませんが昔はこの遥拝石の穴から石鎚山を遥拝したそうです",地芳峠,"
〒785-0601 高知県高岡郡梼原町永野",Unknown,Unknown,"4.5
(6)",Unknown,〒785-0601 高知県高岡郡梼原町永野,33.4714168,132.9216154
petitdxのっぽさん,3,4 年前,峠の下を通る国道440号の旧道で、四国カルストへアクセスする分岐点にある峠です。古い道で狭くカーブが多いので、通行する際は対向車に注意してください。特に高知県側はヘアピンカーブが多いので特に注意してください。,地芳峠,"
〒785-0601 高知県高岡郡梼原町永野",Unknown,Unknown,"4.5
(6)",Unknown,〒785-0601 高知県高岡郡梼原町永野,33.4714168,132.9216154
petitdxのっぽさん,3,4 年前,峠の下を通る国道440号の旧道で、四国カルストへアクセスする分岐点にある峠です。古い道で狭くカーブが多いので、通行する際は対向車に注意してください。特に高知県側はヘアピンカーブが多いので特に注意してください。,地芳峠,"
〒785-0601 高知県高岡郡梼原町永野",Unknown,Unknown,"4.5
(6)",Unknown,〒785-0601 高知県高岡郡梼原町永野,33.4714168,132.9216154
kazushi shimada,5,8 か月前,      8 か月前,地芳峠,"
〒785-0601 高知県高岡郡梼原町永野",Unknown,Unknown,"4.5
(6)",Unknown,〒785-0601 高知県高岡郡梼原町永野,33.4714168,132.9216154
kazushi shimada,5,8 か月前,      8 か月前,地芳峠,"
〒785-0601 高知県高岡郡梼原町永野",Unknown,Unknown,"4.5
(6)",Unknown,〒785-0601 高知県高岡郡梼原町永野,33.4714168,132.9216154
夜花紋RC,5,3 年前,      3 年前,地芳峠,"
〒785-0601 高知県高岡郡梼原町永野",Unknown,Unknown,"4.5
(6)",Unknown,〒785-0601 高知県高岡郡梼原町永野,33.4714168,132.9216154
夜花紋RC,5,3 年前,      3 年前,地芳峠,"
〒785-0601 高知県高岡郡梼原町永野",Unknown,Unknown,"4.5
(6)",Unknown,〒785-0601 高知県高岡郡梼原町永野,33.4714168,132.9216154
Kazuyoshi Fujii,4,4 年前,      4 年前,地芳峠,"
〒785-0601 高知県高岡郡梼原町永野",Unknown,Unknown,"4.5
(6)",Unknown,〒785-0601 高知県高岡郡梼原町永野,33.4714168,132.9216154
Kazuyoshi Fujii,4,4 年前,      4 年前,地芳峠,"
〒785-0601 高知県高岡郡梼原町永野",Unknown,Unknown,"4.5
(6)",Unknown,〒785-0601 高知県高岡郡梼原町永野,33.4714168,132.9216154
