Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
38みねちゃん,5,6 か月前,"まさに絶景！素晴らしい棚田!!
朝一ギリギリお天道様を拝めましたw
駐車場は砂利仕様ですが、地盤が硬めに整地されているのでバイクでも問題なしです(雨降ったら知らん)。
東屋もトイレも完備され綺麗に管理されています。
収穫後でしたが四季折々色んな季節に訪れてみたいですね。",坂折棚田,"
〒509-8231 岐阜県恵那市中野方町","
0573-23-2032",http://sakaori-tanada.com/,"4.2
(340)",Unknown,観光名所,27.1800396,130.4288966
38みねちゃん,5,6 か月前,"まさに絶景！素晴らしい棚田!!
朝一ギリギリお天道様を拝めましたw
駐車場は砂利仕様ですが、地盤が硬めに整地されているのでバイクでも問題なしです(雨降ったら知らん)。
東屋もトイレも完備され綺麗に管理されています。
収穫後でしたが四季折々色んな季節に訪れてみたいですね。",坂折棚田,"
〒509-8231 岐阜県恵那市中野方町","
0573-23-2032",http://sakaori-tanada.com/,"4.2
(340)",Unknown,観光名所,27.1800396,130.4288966
hyun,4,6 か月前,"良い所だが上手く写真を撮るのは難しい
バイクなら登る道の途中にある①第３区公民館手前で撮る
②(MAPにはお勧めとビューポイントと書かれているが撮るには下過ぎてしまうので)MAPの中央右下にある清水口辺りか更に上側でも良いと思う

スマホで普通に撮る人は良さを出すにはかなり難しいと思う",坂折棚田,"
〒509-8231 岐阜県恵那市中野方町","
0573-23-2032",http://sakaori-tanada.com/,"4.2
(340)",Unknown,観光名所,27.1800396,130.4288966
hyun,4,6 か月前,"良い所だが上手く写真を撮るのは難しい
バイクなら登る道の途中にある①第３区公民館手前で撮る
②(MAPにはお勧めとビューポイントと書かれているが撮るには下過ぎてしまうので)MAPの中央右下にある清水口辺りか更に上側でも良いと思う

スマホで普通に撮る人は良さを出すにはかなり難しいと思う",坂折棚田,"
〒509-8231 岐阜県恵那市中野方町","
0573-23-2032",http://sakaori-tanada.com/,"4.2
(340)",Unknown,観光名所,27.1800396,130.4288966
Mi Ho,5,7 か月前,"18.05.31
綺麗な田園風景に癒やされます✨　棚田の維持管理は大変だと思います。

こうやって400年前に完成した棚田を見られるのも、守っている人のお陰だね😄",坂折棚田,"
〒509-8231 岐阜県恵那市中野方町","
0573-23-2032",http://sakaori-tanada.com/,"4.2
(340)",Unknown,観光名所,27.1800396,130.4288966
Mi Ho,5,7 か月前,"18.05.31
綺麗な田園風景に癒やされます✨　棚田の維持管理は大変だと思います。

こうやって400年前に完成した棚田を見られるのも、守っている人のお陰だね😄",坂折棚田,"
〒509-8231 岐阜県恵那市中野方町","
0573-23-2032",http://sakaori-tanada.com/,"4.2
(340)",Unknown,観光名所,27.1800396,130.4288966
あさのけんじ,5,7 か月前,自分の定番の散歩ツーリングコースの途中にあるので度々寄ります。春夏秋と季節によって色が変わる日本の原風景、とても良いです。訪問する度に案山子も変わってて楽しめます。,坂折棚田,"
〒509-8231 岐阜県恵那市中野方町","
0573-23-2032",http://sakaori-tanada.com/,"4.2
(340)",Unknown,観光名所,27.1800396,130.4288966
あさのけんじ,5,7 か月前,自分の定番の散歩ツーリングコースの途中にあるので度々寄ります。春夏秋と季節によって色が変わる日本の原風景、とても良いです。訪問する度に案山子も変わってて楽しめます。,坂折棚田,"
〒509-8231 岐阜県恵那市中野方町","
0573-23-2032",http://sakaori-tanada.com/,"4.2
(340)",Unknown,観光名所,27.1800396,130.4288966
かわさきおじさん,4,7 か月前,"2024年9月初旬日曜日。
稲穂も色づきました。

2024年3月初旬日曜日再訪。
まだまだ寒い。

2023年8月お盆休み、日の出前に訪問。
誰も居ませんでしたが、案山子さんが三人居られました。
青々とした稲穂も良いものです。",坂折棚田,"
〒509-8231 岐阜県恵那市中野方町","
0573-23-2032",http://sakaori-tanada.com/,"4.2
(340)",Unknown,観光名所,27.1800396,130.4288966
かわさきおじさん,4,7 か月前,"2024年9月初旬日曜日。
稲穂も色づきました。

2024年3月初旬日曜日再訪。
まだまだ寒い。

2023年8月お盆休み、日の出前に訪問。
誰も居ませんでしたが、案山子さんが三人居られました。
青々とした稲穂も良いものです。",坂折棚田,"
〒509-8231 岐阜県恵那市中野方町","
0573-23-2032",http://sakaori-tanada.com/,"4.2
(340)",Unknown,観光名所,27.1800396,130.4288966
