Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
TAKERU S,4,2 か月前,"城ヶ島に行きました。車だとラクですが、交通機関を使うとなると東京からは結構遠いです。城ヶ島の島内も結構歩きます。見どころとしては城ヶ島の見どころとしては、まず歴史ある城ヶ島灯台が挙げられます。1870年に建てられたこの灯台は、白い建物が青い空と海に映えて美しく、絶景スポットです。また、灯台からは遠くの水平線まで見渡すことができます。

次に、城ヶ島公園もおすすめです。広い敷地には遊歩道や展望台が整備されており、特に「馬の背洞門」からの眺めが印象的です。切り立った岩とその下を流れる波のコントラストが美しく、自然の力を感じることができます。

さらに、城ヶ島はウミネコの繁殖地としても知られており、多くの鳥たちが飛び交う姿を間近で観察することができます。ハイキングコースを歩きながら、海岸線を進むとウミネコの鳴き声が聞こえてきます。

最後に、新鮮な海の幸も見逃せません。島内の海鮮料理店で味わえる地元の魚介類は絶品で、特にマグロやイカが有名です。",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
TAKERU S,4,2 か月前,"城ヶ島に行きました。車だとラクですが、交通機関を使うとなると東京からは結構遠いです。城ヶ島の島内も結構歩きます。見どころとしては城ヶ島の見どころとしては、まず歴史ある城ヶ島灯台が挙げられます。1870年に建てられたこの灯台は、白い建物が青い空と海に映えて美しく、絶景スポットです。また、灯台からは遠くの水平線まで見渡すことができます。

次に、城ヶ島公園もおすすめです。広い敷地には遊歩道や展望台が整備されており、特に「馬の背洞門」からの眺めが印象的です。切り立った岩とその下を流れる波のコントラストが美しく、自然の力を感じることができます。

さらに、城ヶ島はウミネコの繁殖地としても知られており、多くの鳥たちが飛び交う姿を間近で観察することができます。ハイキングコースを歩きながら、海岸線を進むとウミネコの鳴き声が聞こえてきます。

最後に、新鮮な海の幸も見逃せません。島内の海鮮料理店で味わえる地元の魚介類は絶品で、特にマグロやイカが有名です。",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
なみかぜ,5,9 か月前,"先日、城ヶ島を訪れました。ここは、自然の美しさが溢れる素晴らしい場所で、特に海の景色がとても印象的でした。城ヶ島の海は透き通っており、波打ち際の岩場から見える水中の様子もクリアに観察できました。青い海と青い空が一体となった景色は、まさに絶景で、心が洗われるような感覚を味わいました。

島内には散策コースが整備されており、灯台や岩場を歩きながら、さまざまな角度から海を楽しむことができます。特に、城ヶ島公園からの眺めは絶景で、遠くに富士山が見えることもあり、写真撮影スポットとしても人気です。公園内にはベンチも多く、のんびりと海を眺めながらリラックスできる場所がたくさんあります。

また、地元の海鮮料理も楽しみの一つです。新鮮な魚介類を使った料理はどれも美味しく、特にマグロの刺身は絶品でした。食事を楽しんだ後は、港を散策しながら地元の人々との交流も楽しめました。

城ヶ島は、自然の美しさと地元の温かさを感じられる素晴らしい場所です。美しい海と心地よい風に包まれながら、心身ともにリフレッシュすることができました。ぜひ再訪したいと思いますし、自然が好きな方にはぜひ訪れてほしい場所です。",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
なみかぜ,5,9 か月前,"先日、城ヶ島を訪れました。ここは、自然の美しさが溢れる素晴らしい場所で、特に海の景色がとても印象的でした。城ヶ島の海は透き通っており、波打ち際の岩場から見える水中の様子もクリアに観察できました。青い海と青い空が一体となった景色は、まさに絶景で、心が洗われるような感覚を味わいました。

島内には散策コースが整備されており、灯台や岩場を歩きながら、さまざまな角度から海を楽しむことができます。特に、城ヶ島公園からの眺めは絶景で、遠くに富士山が見えることもあり、写真撮影スポットとしても人気です。公園内にはベンチも多く、のんびりと海を眺めながらリラックスできる場所がたくさんあります。

また、地元の海鮮料理も楽しみの一つです。新鮮な魚介類を使った料理はどれも美味しく、特にマグロの刺身は絶品でした。食事を楽しんだ後は、港を散策しながら地元の人々との交流も楽しめました。

城ヶ島は、自然の美しさと地元の温かさを感じられる素晴らしい場所です。美しい海と心地よい風に包まれながら、心身ともにリフレッシュすることができました。ぜひ再訪したいと思いますし、自然が好きな方にはぜひ訪れてほしい場所です。",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
M Sousou,4,11 か月前,私の勝手な城ヶ島の予想イメージは、人が少なく、車で行けるよく整備されたこじんまりとした島でした。しかし、実際は全く違いました。ゴールデンウィークということもありましたが、とにかく、人だらけ。昼前には駐車場前は入庫待ちの車の大行列。また沖に面した遊歩道はアップダウンの激しい階段だらけの道で、島全体も予想よりもはるかに大きいものでした。遊歩道沿いの景色は最高に美しく、ウグイスの声が多数聞こえる素晴らしい場所でしたが、島の陸に面した方は、平坦な町で、バスが走り回り、飲食店はどこもお客の長蛇の列という町でよく見る光景でした。勝手なイメージがあったため、本当に驚きました。城ヶ島は美しく、子供の遊ぶ広場もある良いところですが、ハイシーズンは城ヶ島を訪れたら他の場所の観光は厳しいかもしれません。城ヶ島を制覇するならば車は第二駐車場にとめ、安房埼灯台の方を先にまわり(平坦で歩きやすいため)、そこから反対側のウミウ展望台、馬の背洞門、城ヶ島灯台の方(こちらは階段や岩場があり、少し険しい)をまわると良いと思われます。疲れた頃に車に着きますので。前述のようにアップダウンの階段や岩場があるため運動靴が望ましく、暑い日にはタオルや着替え、十分な飲み物を持参しましょう。また弁当を食べることのできる場所もあるため、持参するのも良いかと思います。,城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
M Sousou,4,11 か月前,私の勝手な城ヶ島の予想イメージは、人が少なく、車で行けるよく整備されたこじんまりとした島でした。しかし、実際は全く違いました。ゴールデンウィークということもありましたが、とにかく、人だらけ。昼前には駐車場前は入庫待ちの車の大行列。また沖に面した遊歩道はアップダウンの激しい階段だらけの道で、島全体も予想よりもはるかに大きいものでした。遊歩道沿いの景色は最高に美しく、ウグイスの声が多数聞こえる素晴らしい場所でしたが、島の陸に面した方は、平坦な町で、バスが走り回り、飲食店はどこもお客の長蛇の列という町でよく見る光景でした。勝手なイメージがあったため、本当に驚きました。城ヶ島は美しく、子供の遊ぶ広場もある良いところですが、ハイシーズンは城ヶ島を訪れたら他の場所の観光は厳しいかもしれません。城ヶ島を制覇するならば車は第二駐車場にとめ、安房埼灯台の方を先にまわり(平坦で歩きやすいため)、そこから反対側のウミウ展望台、馬の背洞門、城ヶ島灯台の方(こちらは階段や岩場があり、少し険しい)をまわると良いと思われます。疲れた頃に車に着きますので。前述のようにアップダウンの階段や岩場があるため運動靴が望ましく、暑い日にはタオルや着替え、十分な飲み物を持参しましょう。また弁当を食べることのできる場所もあるため、持参するのも良いかと思います。,城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
高瀬賢一,5,8 か月前,"駅からレンタサイクル借りて、散策を含め行きました。大橋を渡るとき(車では味わえない)の爽快感は格別。
灯台は工事中？でしたが途中、気さくな店主がやっているお店でソフトクリーム食べて帰ってきました。
地元の皆さん、気さくで優しい方でとても心地よかったです‼️",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
高瀬賢一,5,8 か月前,"駅からレンタサイクル借りて、散策を含め行きました。大橋を渡るとき(車では味わえない)の爽快感は格別。
灯台は工事中？でしたが途中、気さくな店主がやっているお店でソフトクリーム食べて帰ってきました。
地元の皆さん、気さくで優しい方でとても心地よかったです‼️",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
R E,4,1 年前,"島を散策するとかなり広いから２日は楽しめる。とは言ってもポイントさえ押さえれば日帰りでも見て回れる。
釣り人にも人気のスポットらしい。",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
R E,4,1 年前,"島を散策するとかなり広いから２日は楽しめる。とは言ってもポイントさえ押さえれば日帰りでも見て回れる。
釣り人にも人気のスポットらしい。",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
Y Ohta,5,1 年前,"日中は海の町独特のよい雰囲気があり、
夜は星がめちゃくちゃきれい。
写真を撮りにいくにはとても楽しい町。
あとこの辺りはマグロで有名なので、海鮮料理も美味しい。",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
Y Ohta,5,1 年前,"日中は海の町独特のよい雰囲気があり、
夜は星がめちゃくちゃきれい。
写真を撮りにいくにはとても楽しい町。
あとこの辺りはマグロで有名なので、海鮮料理も美味しい。",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
狹山由美,5,1 か月前,"城ヶ島は私の釣り場として最高の場所です。また観光スポットとして多くの観光客やブライダル撮影スポット、天気が良ければ富士山も綺麗に見える素晴らしい場所でもあります。
今ではリゾートホテルも建設中です。
でも、ゴミ等が少し目立つので観光される方、勿論釣り客も綺麗にして頂きたいと思いますね。",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
狹山由美,5,1 か月前,"城ヶ島は私の釣り場として最高の場所です。また観光スポットとして多くの観光客やブライダル撮影スポット、天気が良ければ富士山も綺麗に見える素晴らしい場所でもあります。
今ではリゾートホテルも建設中です。
でも、ゴミ等が少し目立つので観光される方、勿論釣り客も綺麗にして頂きたいと思いますね。",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
マロ,5,1 年前,"景色が素晴らしくて癒される場所
富士山もとても綺麗に見れてラッキーだった

京急で『マグロ切符』を購入すれば往復の電車賃くらいで、提携の飲食店の食事券やらお土産券？が付いてて大変お得に観光できます

この日は車で訪問
城ケ島の駐車場は何ヵ所かあり、ワンデーパス450円で24時間出入りが自由なので車での観光にも良いです

夜に着いたんですが、地元の少年達がバイクで島内のネコ達を追いかけ回していじめていました
お店の外にある小屋で寝てる猫
小屋をガタガタやって逃げた猫をバイクで追い回したりとか最悪",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
マロ,5,1 年前,"景色が素晴らしくて癒される場所
富士山もとても綺麗に見れてラッキーだった

京急で『マグロ切符』を購入すれば往復の電車賃くらいで、提携の飲食店の食事券やらお土産券？が付いてて大変お得に観光できます

この日は車で訪問
城ケ島の駐車場は何ヵ所かあり、ワンデーパス450円で24時間出入りが自由なので車での観光にも良いです

夜に着いたんですが、地元の少年達がバイクで島内のネコ達を追いかけ回していじめていました
お店の外にある小屋で寝てる猫
小屋をガタガタやって逃げた猫をバイクで追い回したりとか最悪",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
MAKO SIESTA,5,1 年前,東京から1時間半のところに素晴らしい自然がある。富士山が大きく見えて夕景も息を呑む美しさ。小さな商店街で軽食も食べられる。駐車場多数あり。馬の背、城ヶ島公園、長津呂、風雨が長年かけて形作った豪快な地形が楽しめる。夏は海水浴もできる。,城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
MAKO SIESTA,5,1 年前,東京から1時間半のところに素晴らしい自然がある。富士山が大きく見えて夕景も息を呑む美しさ。小さな商店街で軽食も食べられる。駐車場多数あり。馬の背、城ヶ島公園、長津呂、風雨が長年かけて形作った豪快な地形が楽しめる。夏は海水浴もできる。,城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
らん.,4,1 か月前,"ウエディングフォトをここで撮りたいと思っていたので下見も兼ねて行ってきました。
海辺は自然を感じられてとても良かったです。
ウエディングフォトを撮ってるカップルがたくさんいました。",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
らん.,4,1 か月前,"ウエディングフォトをここで撮りたいと思っていたので下見も兼ねて行ってきました。
海辺は自然を感じられてとても良かったです。
ウエディングフォトを撮ってるカップルがたくさんいました。",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
さささん,5,1 年前,"人懐っこい猫が多い。
ロケーションがいいのでハイキングにオススメかも。最近はウェディングの前撮りをしてる人をよく見かけます。",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
さささん,5,1 年前,"人懐っこい猫が多い。
ロケーションがいいのでハイキングにオススメかも。最近はウェディングの前撮りをしてる人をよく見かけます。",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
ayano w,5,11 か月前,"晴れている夕陽が今度は見たいです。
意外と人がいるのと、時期柄か、ウェディングフォトのグループが10組近くいました笑",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
ayano w,5,11 か月前,"晴れている夕陽が今度は見たいです。
意外と人がいるのと、時期柄か、ウェディングフォトのグループが10組近くいました笑",城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
・T・K Yuuya,5,1 年前,城ヶ島へ行った際、良かった1つはコインパーキング🅿️が島内に第一～第五駐車場と点々とあるのですが、一日フリーパスを買って使うと車で島内の移動は結構手軽かもと思いました。勿論歩いてでも島内散策を楽しむ方には、歩きでも島内の雰囲気を、ゆっくり味わえてよろしいかと思います😊 …,城ヶ島,"
〒238-0237 神奈川県三浦市三崎町城ヶ島",Unknown,Unknown,"4.4
(340)",Unknown,島,35.1332083,139.6191454
