Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
T. Rie,4,2 か月前,"ドッグランを利用するために週末の朝に行っていますが、テニスをする人、ジョギング・ウォーキングする人、ラジオ体操する人、ワンコのお散歩する人、と、それなりに人がいて、明るい雰囲気です。
陸上トラックの近くには売店や自販機もあり（お手洗いも）ドッグランから帰る頃には開いています。

帰る頃には駐車場もいっぱい。
いつも駐車場↔︎ドッグランしか歩かないけれど、他のルートを歩くと竪穴式住居があったり、大きな滑り台があったり、ぶら下がってぐいーんっていく遊具もあったり、また違う楽しみがあるのでぐるりとお散歩してみるのもオススメします。",城北中央公園,"
〒179-0084 東京都練馬区氷川台１丁目３−１","
03-3931-3650",https://www.tokyo-park.or.jp/park/format/index022.html,"4.0
(2,295)",Unknown,〒179-0084 東京都練馬区氷川台１丁目３−１,35.7560136,139.6358356
T. Rie,4,2 か月前,"ドッグランを利用するために週末の朝に行っていますが、テニスをする人、ジョギング・ウォーキングする人、ラジオ体操する人、ワンコのお散歩する人、と、それなりに人がいて、明るい雰囲気です。
陸上トラックの近くには売店や自販機もあり（お手洗いも）ドッグランから帰る頃には開いています。

帰る頃には駐車場もいっぱい。
いつも駐車場↔︎ドッグランしか歩かないけれど、他のルートを歩くと竪穴式住居があったり、大きな滑り台があったり、ぶら下がってぐいーんっていく遊具もあったり、また違う楽しみがあるのでぐるりとお散歩してみるのもオススメします。",城北中央公園,"
〒179-0084 東京都練馬区氷川台１丁目３−１","
03-3931-3650",https://www.tokyo-park.or.jp/park/format/index022.html,"4.0
(2,295)",Unknown,〒179-0084 東京都練馬区氷川台１丁目３−１,35.7560136,139.6358356
yasushi Hirabayashi (yasushi H),4,3 か月前,"板橋区と練馬区に隣接している公園です。

【Point】
①駐車場完備、相当の台数が停められます。ただ、土日は結構混み合いますので注意が必要です。
②桜のメッカです。公園内も素晴らしいですが、石神井川沿いは桜並木が整備されており、とてもキレイです。
③公園自体はそれほど広い訳ではありませんが、子ども達が運動する分には十分なスペースがあり、家族の憩いの場になっています。
④車で行く事をお勧めしますが、東武東上線上板橋駅、有楽町線氷川台駅から徒歩15分程度で行く事も可能です。",城北中央公園,"
〒179-0084 東京都練馬区氷川台１丁目３−１","
03-3931-3650",https://www.tokyo-park.or.jp/park/format/index022.html,"4.0
(2,295)",Unknown,〒179-0084 東京都練馬区氷川台１丁目３−１,35.7560136,139.6358356
yasushi Hirabayashi (yasushi H),4,3 か月前,"板橋区と練馬区に隣接している公園です。

【Point】
①駐車場完備、相当の台数が停められます。ただ、土日は結構混み合いますので注意が必要です。
②桜のメッカです。公園内も素晴らしいですが、石神井川沿いは桜並木が整備されており、とてもキレイです。
③公園自体はそれほど広い訳ではありませんが、子ども達が運動する分には十分なスペースがあり、家族の憩いの場になっています。
④車で行く事をお勧めしますが、東武東上線上板橋駅、有楽町線氷川台駅から徒歩15分程度で行く事も可能です。",城北中央公園,"
〒179-0084 東京都練馬区氷川台１丁目３−１","
03-3931-3650",https://www.tokyo-park.or.jp/park/format/index022.html,"4.0
(2,295)",Unknown,〒179-0084 東京都練馬区氷川台１丁目３−１,35.7560136,139.6358356
WING RED,5,3 週間前,"桜も満開になり城北公園の桜も綺麗ですが近くに流れる石神井川の桜を散策。
色々な川に桜はありますが石神井川も良いですよ🌸",城北中央公園,"
〒179-0084 東京都練馬区氷川台１丁目３−１","
03-3931-3650",https://www.tokyo-park.or.jp/park/format/index022.html,"4.0
(2,295)",Unknown,〒179-0084 東京都練馬区氷川台１丁目３−１,35.7560136,139.6358356
WING RED,5,3 週間前,"桜も満開になり城北公園の桜も綺麗ですが近くに流れる石神井川の桜を散策。
色々な川に桜はありますが石神井川も良いですよ🌸",城北中央公園,"
〒179-0084 東京都練馬区氷川台１丁目３−１","
03-3931-3650",https://www.tokyo-park.or.jp/park/format/index022.html,"4.0
(2,295)",Unknown,〒179-0084 東京都練馬区氷川台１丁目３−１,35.7560136,139.6358356
Taka Taka,5,1 週間前,"とても広大なため人が混雑していることはあまりなさそうでした。

その結果ゆったりと過ごすことができ、またお花がとても手入れされていたため、ベンチに座るだけで幸せになります。

少し駅から歩きますが、一人で本を読むとか一人時間は確実にここだと感じます。",城北中央公園,"
〒179-0084 東京都練馬区氷川台１丁目３−１","
03-3931-3650",https://www.tokyo-park.or.jp/park/format/index022.html,"4.0
(2,295)",Unknown,〒179-0084 東京都練馬区氷川台１丁目３−１,35.7560136,139.6358356
Taka Taka,5,1 週間前,"とても広大なため人が混雑していることはあまりなさそうでした。

その結果ゆったりと過ごすことができ、またお花がとても手入れされていたため、ベンチに座るだけで幸せになります。

少し駅から歩きますが、一人で本を読むとか一人時間は確実にここだと感じます。",城北中央公園,"
〒179-0084 東京都練馬区氷川台１丁目３−１","
03-3931-3650",https://www.tokyo-park.or.jp/park/format/index022.html,"4.0
(2,295)",Unknown,〒179-0084 東京都練馬区氷川台１丁目３−１,35.7560136,139.6358356
Yosuke,4,4 か月前,広大な地に野球場が4面、テニスコートが9面に陸上競技場が1面という昭和なセッティングの公園。施設は古いがベンチがたくさん設置されており憩いの場所として良い。大きめの駐車場もあり便利。トイレが和式なのが辛いところ。,城北中央公園,"
〒179-0084 東京都練馬区氷川台１丁目３−１","
03-3931-3650",https://www.tokyo-park.or.jp/park/format/index022.html,"4.0
(2,295)",Unknown,〒179-0084 東京都練馬区氷川台１丁目３−１,35.7560136,139.6358356
Yosuke,4,4 か月前,広大な地に野球場が4面、テニスコートが9面に陸上競技場が1面という昭和なセッティングの公園。施設は古いがベンチがたくさん設置されており憩いの場所として良い。大きめの駐車場もあり便利。トイレが和式なのが辛いところ。,城北中央公園,"
〒179-0084 東京都練馬区氷川台１丁目３−１","
03-3931-3650",https://www.tokyo-park.or.jp/park/format/index022.html,"4.0
(2,295)",Unknown,〒179-0084 東京都練馬区氷川台１丁目３−１,35.7560136,139.6358356
