Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
R san,5,2 週間前,"館山城跡の公園
戦国期に里見氏の居城として栄えるも、戦国末期に里見氏の伯耆国移封による断絶で事実上の廃城となる
現在の天守閣は昭和57年に建築された鉄筋コンクリート製です
天守閣は駐車場から約500メートル
全行程ゆるやかな上り坂です
一応送迎用のワンボックスカーが出ていますが、健常者の方はほとんどが歩いて登っています
天守閣の入場料は500円
博物館との共通券になっています
展望台からは館山市街360度の景色が広がります
桜の名所にもなっていて、開花時期になると駐車場は満車でかなり混雑します",城山公園,"
〒294-0036 千葉県館山市館山３６２","
0470-22-8854",http://www.city.tateyama.chiba.jp/tosikeikaku/page000890.html,"3.9
(2,113)",Unknown,市立公園,34.7097012,134.871133
R san,5,2 週間前,"館山城跡の公園
戦国期に里見氏の居城として栄えるも、戦国末期に里見氏の伯耆国移封による断絶で事実上の廃城となる
現在の天守閣は昭和57年に建築された鉄筋コンクリート製です
天守閣は駐車場から約500メートル
全行程ゆるやかな上り坂です
一応送迎用のワンボックスカーが出ていますが、健常者の方はほとんどが歩いて登っています
天守閣の入場料は500円
博物館との共通券になっています
展望台からは館山市街360度の景色が広がります
桜の名所にもなっていて、開花時期になると駐車場は満車でかなり混雑します",城山公園,"
〒294-0036 千葉県館山市館山３６２","
0470-22-8854",http://www.city.tateyama.chiba.jp/tosikeikaku/page000890.html,"3.9
(2,113)",Unknown,市立公園,34.7097012,134.871133
rika nogi,5,3 週間前,"お花見に行きました。
満開に近い土曜日、大変混んでいました。
車で行きましたが、周りの臨時駐車場はどこも満車。ようやく、館山市立館山小学校の南側にある臨時駐車場に停めることができました。駐車台数も多く、空きが結構ありました。
城山公園までは5分ほど歩きますが、歩行者専用道路が多く、安全に歩く事ができました。
駐車場満車の時は、おすすめです。
お城までの道のりは、結構疲れますが、桜とお城と海と、綺麗な思い出の写真を撮る事ができました。
公園には出店もたくさんありました。（有名なお団子屋さんはテイクアウトで3時間半待ちとの事、諦めました。）シートを敷いてお花見してる方もたくさんいらっしゃいました。",城山公園,"
〒294-0036 千葉県館山市館山３６２","
0470-22-8854",http://www.city.tateyama.chiba.jp/tosikeikaku/page000890.html,"3.9
(2,113)",Unknown,市立公園,34.7097012,134.871133
rika nogi,5,3 週間前,"お花見に行きました。
満開に近い土曜日、大変混んでいました。
車で行きましたが、周りの臨時駐車場はどこも満車。ようやく、館山市立館山小学校の南側にある臨時駐車場に停めることができました。駐車台数も多く、空きが結構ありました。
城山公園までは5分ほど歩きますが、歩行者専用道路が多く、安全に歩く事ができました。
駐車場満車の時は、おすすめです。
お城までの道のりは、結構疲れますが、桜とお城と海と、綺麗な思い出の写真を撮る事ができました。
公園には出店もたくさんありました。（有名なお団子屋さんはテイクアウトで3時間半待ちとの事、諦めました。）シートを敷いてお花見してる方もたくさんいらっしゃいました。",城山公園,"
〒294-0036 千葉県館山市館山３６２","
0470-22-8854",http://www.city.tateyama.chiba.jp/tosikeikaku/page000890.html,"3.9
(2,113)",Unknown,市立公園,34.7097012,134.871133
たーと,3,4 週間前,"館山市街の南側丘陵にあり、戦国時代の武将里見氏の城跡につくられた公園。公園内は、椿・梅・桜・ツツジ等が植えられていて、季節に合わせた見どころがある。訪問時は桜の季節で、花見客が多く訪れていました。混雑具合もほどほどなので、ゆっくり過ごすことができる。
かなり、きつく長い坂道を上がると、頂上に立派な天守閣がある。天守閣は昭和57年開館の八犬伝博物館で、里見氏を題材にした『南総里見八犬伝』に関する資料展示があり、また上まで上がると館山市を一望できる。
ちなみに、ここに館山城があったことは確かだが、天守閣があったか、あったとしても場所や規模、姿も不明。そのため、再現ではなく模擬天守であり、犬山城をモデルに勝手に作った観光用、歴史的な価値はない。
さらに、大々的にPRしている『八犬伝』も、江戸時代とはいえ、作家曲亭馬琴の作品、フィクションだし、しかも馬琴関係というより、後世のテレビ放送関係なので、歴史的意義は皆無。
ただ、天守閣のビジュアル、山頂にたたずむ姿は、非常に美しいと感じる。",城山公園,"
〒294-0036 千葉県館山市館山３６２","
0470-22-8854",http://www.city.tateyama.chiba.jp/tosikeikaku/page000890.html,"3.9
(2,113)",Unknown,市立公園,34.7097012,134.871133
たーと,3,4 週間前,"館山市街の南側丘陵にあり、戦国時代の武将里見氏の城跡につくられた公園。公園内は、椿・梅・桜・ツツジ等が植えられていて、季節に合わせた見どころがある。訪問時は桜の季節で、花見客が多く訪れていました。混雑具合もほどほどなので、ゆっくり過ごすことができる。
かなり、きつく長い坂道を上がると、頂上に立派な天守閣がある。天守閣は昭和57年開館の八犬伝博物館で、里見氏を題材にした『南総里見八犬伝』に関する資料展示があり、また上まで上がると館山市を一望できる。
ちなみに、ここに館山城があったことは確かだが、天守閣があったか、あったとしても場所や規模、姿も不明。そのため、再現ではなく模擬天守であり、犬山城をモデルに勝手に作った観光用、歴史的な価値はない。
さらに、大々的にPRしている『八犬伝』も、江戸時代とはいえ、作家曲亭馬琴の作品、フィクションだし、しかも馬琴関係というより、後世のテレビ放送関係なので、歴史的意義は皆無。
ただ、天守閣のビジュアル、山頂にたたずむ姿は、非常に美しいと感じる。",城山公園,"
〒294-0036 千葉県館山市館山３６２","
0470-22-8854",http://www.city.tateyama.chiba.jp/tosikeikaku/page000890.html,"3.9
(2,113)",Unknown,市立公園,34.7097012,134.871133
YUJIRO IGA,4,3 週間前,"4/4金曜日に桜を見に行きました。
桜は満開でした。
すごい数の桜の木で、綺麗でした。
お城がある山頂からは、満開の桜と海が見え、最高の景色でした。
平日の金曜日でしたが、それでも駐車場に入るのに渋滞していましたが、明日の土曜日は大渋滞になるでしょう。",城山公園,"
〒294-0036 千葉県館山市館山３６２","
0470-22-8854",http://www.city.tateyama.chiba.jp/tosikeikaku/page000890.html,"3.9
(2,113)",Unknown,市立公園,34.7097012,134.871133
YUJIRO IGA,4,3 週間前,"4/4金曜日に桜を見に行きました。
桜は満開でした。
すごい数の桜の木で、綺麗でした。
お城がある山頂からは、満開の桜と海が見え、最高の景色でした。
平日の金曜日でしたが、それでも駐車場に入るのに渋滞していましたが、明日の土曜日は大渋滞になるでしょう。",城山公園,"
〒294-0036 千葉県館山市館山３６２","
0470-22-8854",http://www.city.tateyama.chiba.jp/tosikeikaku/page000890.html,"3.9
(2,113)",Unknown,市立公園,34.7097012,134.871133
Chi,4,3 か月前,"里見八犬伝に関する展示物あり。多少、物足りない感はありますが、レプリカじゃないのが嬉しい♪  入場券大人400円。展望も◯

元旦からやってました！
送迎車もありました♪  短い距離ですが足腰に不安がある方には便利ではないかと思われます★",城山公園,"
〒294-0036 千葉県館山市館山３６２","
0470-22-8854",http://www.city.tateyama.chiba.jp/tosikeikaku/page000890.html,"3.9
(2,113)",Unknown,市立公園,34.7097012,134.871133
Chi,4,3 か月前,"里見八犬伝に関する展示物あり。多少、物足りない感はありますが、レプリカじゃないのが嬉しい♪  入場券大人400円。展望も◯

元旦からやってました！
送迎車もありました♪  短い距離ですが足腰に不安がある方には便利ではないかと思われます★",城山公園,"
〒294-0036 千葉県館山市館山３６２","
0470-22-8854",http://www.city.tateyama.chiba.jp/tosikeikaku/page000890.html,"3.9
(2,113)",Unknown,市立公園,34.7097012,134.871133
