Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
厳木暗雲,1,1 か月前,"中学が高校と付属の学校だったのですが成績不振で出されてしまい通信制や単位制の高校も検討していたときに学習塾の先生に勧められて入学しました
結論からいいますと真面目で大人しいタイプの人には向かない高校です
幸せな人生を送りたい人であれば他の高校をおすすめします
僕みたいな心療内科通院の生活を送るような人になりたくなければですね",堀越高等学校,"
〒164-0011 東京都中野区中央２丁目５６−２","
03-3363-7661",http://www.horikoshigakuen.ed.jp/index.php,"3.0
(148)",営業時間を追加,〒164-0011 東京都中野区中央２丁目５６−２,35.6965573,139.7309069
厳木暗雲,1,1 か月前,"中学が高校と付属の学校だったのですが成績不振で出されてしまい通信制や単位制の高校も検討していたときに学習塾の先生に勧められて入学しました
結論からいいますと真面目で大人しいタイプの人には向かない高校です
幸せな人生を送りたい人であれば他の高校をおすすめします
僕みたいな心療内科通院の生活を送るような人になりたくなければですね",堀越高等学校,"
〒164-0011 東京都中野区中央２丁目５６−２","
03-3363-7661",http://www.horikoshigakuen.ed.jp/index.php,"3.0
(148)",営業時間を追加,〒164-0011 東京都中野区中央２丁目５６−２,35.6965573,139.7309069
r s,1,10 か月前,生徒ばかりではなく先生の知能もひくく、授業の質も悪いです。私なりに印象が濃かったのは生物の授業です。教科書に書いてある文章をそのままノートに写すだけで特に説明もなく重要なポイントをまとめているようにも思えません。 …,堀越高等学校,"
〒164-0011 東京都中野区中央２丁目５６−２","
03-3363-7661",http://www.horikoshigakuen.ed.jp/index.php,"3.0
(148)",営業時間を追加,〒164-0011 東京都中野区中央２丁目５６−２,35.6965573,139.7309069
r s,1,10 か月前,生徒ばかりではなく先生の知能もひくく、授業の質も悪いです。私なりに印象が濃かったのは生物の授業です。教科書に書いてある文章をそのままノートに写すだけで特に説明もなく重要なポイントをまとめているようにも思えません。 …,堀越高等学校,"
〒164-0011 東京都中野区中央２丁目５６−２","
03-3363-7661",http://www.horikoshigakuen.ed.jp/index.php,"3.0
(148)",営業時間を追加,〒164-0011 東京都中野区中央２丁目５６−２,35.6965573,139.7309069
蓮見和足,3,11 か月前,"堀越学園、🌹😎撮影では御世話に為りました、らんま1/2 　基本的に進学校と考えた方が善いかと、子役は親族か親が過去に芸能人か役者ですから、役者や音楽は2歳児から学びますので、夢を叶える為の進学校と頑張って下さい。夢は捨てない気持ちが大切です♡　私の伯父が国際Aクラスのオートバイレーサーとした草刈正雄さんが演じて頂きました。題名 汚れた英雄, 堀越学園の高等部卒　松坂慶子さんとの映画撮影とした、サクヤ妖怪伝から蒲田行進曲、知り合いましたので、コメント …",堀越高等学校,"
〒164-0011 東京都中野区中央２丁目５６−２","
03-3363-7661",http://www.horikoshigakuen.ed.jp/index.php,"3.0
(148)",営業時間を追加,〒164-0011 東京都中野区中央２丁目５６−２,35.6965573,139.7309069
蓮見和足,3,11 か月前,"堀越学園、🌹😎撮影では御世話に為りました、らんま1/2 　基本的に進学校と考えた方が善いかと、子役は親族か親が過去に芸能人か役者ですから、役者や音楽は2歳児から学びますので、夢を叶える為の進学校と頑張って下さい。夢は捨てない気持ちが大切です♡　私の伯父が国際Aクラスのオートバイレーサーとした草刈正雄さんが演じて頂きました。題名 汚れた英雄, 堀越学園の高等部卒　松坂慶子さんとの映画撮影とした、サクヤ妖怪伝から蒲田行進曲、知り合いましたので、コメント …",堀越高等学校,"
〒164-0011 東京都中野区中央２丁目５６−２","
03-3363-7661",http://www.horikoshigakuen.ed.jp/index.php,"3.0
(148)",営業時間を追加,〒164-0011 東京都中野区中央２丁目５６−２,35.6965573,139.7309069
荒木悠海,3,3 か月前,"芸能特化型コースのある、珍しい学校。数々の伝説な芸能人がここの卒業生。
大手某芸能事務所や大物芸能人など。",堀越高等学校,"
〒164-0011 東京都中野区中央２丁目５６−２","
03-3363-7661",http://www.horikoshigakuen.ed.jp/index.php,"3.0
(148)",営業時間を追加,〒164-0011 東京都中野区中央２丁目５６−２,35.6965573,139.7309069
荒木悠海,3,3 か月前,"芸能特化型コースのある、珍しい学校。数々の伝説な芸能人がここの卒業生。
大手某芸能事務所や大物芸能人など。",堀越高等学校,"
〒164-0011 東京都中野区中央２丁目５６−２","
03-3363-7661",http://www.horikoshigakuen.ed.jp/index.php,"3.0
(148)",営業時間を追加,〒164-0011 東京都中野区中央２丁目５６−２,35.6965573,139.7309069
さうしー,1,6 か月前,"生徒のレベルも教師のレベルも酷く低いです最悪です
いじめを絶対にしないとお話される割にはいじめへの対応が甘く、された側に親身に寄り添ってなんてくれません。加害者に指導をして終わり、被害者は放ってかれてそのままです。人の心はないと思います。目の前でいじめが起きても止めようとしないで見過ごす教師さえいます …",堀越高等学校,"
〒164-0011 東京都中野区中央２丁目５６−２","
03-3363-7661",http://www.horikoshigakuen.ed.jp/index.php,"3.0
(148)",営業時間を追加,〒164-0011 東京都中野区中央２丁目５６−２,35.6965573,139.7309069
さうしー,1,6 か月前,"生徒のレベルも教師のレベルも酷く低いです最悪です
いじめを絶対にしないとお話される割にはいじめへの対応が甘く、された側に親身に寄り添ってなんてくれません。加害者に指導をして終わり、被害者は放ってかれてそのままです。人の心はないと思います。目の前でいじめが起きても止めようとしないで見過ごす教師さえいます …",堀越高等学校,"
〒164-0011 東京都中野区中央２丁目５６−２","
03-3363-7661",http://www.horikoshigakuen.ed.jp/index.php,"3.0
(148)",営業時間を追加,〒164-0011 東京都中野区中央２丁目５６−２,35.6965573,139.7309069
