Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
健知（健知）,4,4 か月前,"車中泊の旅、九州大分スタートし手持ち天然水が少なくなりました。道の駅で調べ補充に訪問しました。
周辺は緑多く良い環境です。日本全国で天然水を頂きますが周辺環境良さと地域関係者方努力で保全されています。日本の自然に感謝と関係者方々にお礼致します。車中泊は続きます。愛知県に向かいます。",塩釜の冷泉,"
〒717-0504 岡山県真庭市蒜山下福田","
0867-66-3612",http://cms.top-page.jp/p/maniwa/3/1/17/,"4.2
(892)",Unknown,〒717-0504 岡山県真庭市蒜山下福田,35.3020299,133.6791583
健知（健知）,4,4 か月前,"車中泊の旅、九州大分スタートし手持ち天然水が少なくなりました。道の駅で調べ補充に訪問しました。
周辺は緑多く良い環境です。日本全国で天然水を頂きますが周辺環境良さと地域関係者方努力で保全されています。日本の自然に感謝と関係者方々にお礼致します。車中泊は続きます。愛知県に向かいます。",塩釜の冷泉,"
〒717-0504 岡山県真庭市蒜山下福田","
0867-66-3612",http://cms.top-page.jp/p/maniwa/3/1/17/,"4.2
(892)",Unknown,〒717-0504 岡山県真庭市蒜山下福田,35.3020299,133.6791583
Kiitos,3,4 か月前,"蒜山高原に旅行で初めて訪れました。途中で道の駅などあったり、移住者の方がパン屋さんやカフェなどされていたりして、寄りながら楽しみました。
塩釜のレストランは臨時休業され休憩場として利用できました。また登山口もあり登山を楽しめたり、野菜や果物を販売しているお店もありました。そもそもキャンプ場でグランピング施設もあり、夏場はきっと沢山の方が訪れいることでしょう。
あと、屋外の小さなカフェでぜんざいを注文して身体を温めることができました。この時期に訪れる方はかなり寒いのでダウンなど必要です。",塩釜の冷泉,"
〒717-0504 岡山県真庭市蒜山下福田","
0867-66-3612",http://cms.top-page.jp/p/maniwa/3/1/17/,"4.2
(892)",Unknown,〒717-0504 岡山県真庭市蒜山下福田,35.3020299,133.6791583
Kiitos,3,4 か月前,"蒜山高原に旅行で初めて訪れました。途中で道の駅などあったり、移住者の方がパン屋さんやカフェなどされていたりして、寄りながら楽しみました。
塩釜のレストランは臨時休業され休憩場として利用できました。また登山口もあり登山を楽しめたり、野菜や果物を販売しているお店もありました。そもそもキャンプ場でグランピング施設もあり、夏場はきっと沢山の方が訪れいることでしょう。
あと、屋外の小さなカフェでぜんざいを注文して身体を温めることができました。この時期に訪れる方はかなり寒いのでダウンなど必要です。",塩釜の冷泉,"
〒717-0504 岡山県真庭市蒜山下福田","
0867-66-3612",http://cms.top-page.jp/p/maniwa/3/1/17/,"4.2
(892)",Unknown,〒717-0504 岡山県真庭市蒜山下福田,35.3020299,133.6791583
chiwa wanko,5,5 か月前,"こちらで湧き水を汲み宿泊施設でお米を炊き、珈琲をいれましたがとても美味しかったです。無料で汲む場所と湧き水が出る場所が見学出来ます。
周りはキャンプ場や珈琲ショップ、野菜など売っている場所がありました。
また奥のショップでは空のペットボトルも売っていて、入れ物がなく水をくみたい人には良さそうです。",塩釜の冷泉,"
〒717-0504 岡山県真庭市蒜山下福田","
0867-66-3612",http://cms.top-page.jp/p/maniwa/3/1/17/,"4.2
(892)",Unknown,〒717-0504 岡山県真庭市蒜山下福田,35.3020299,133.6791583
chiwa wanko,5,5 か月前,"こちらで湧き水を汲み宿泊施設でお米を炊き、珈琲をいれましたがとても美味しかったです。無料で汲む場所と湧き水が出る場所が見学出来ます。
周りはキャンプ場や珈琲ショップ、野菜など売っている場所がありました。
また奥のショップでは空のペットボトルも売っていて、入れ物がなく水をくみたい人には良さそうです。",塩釜の冷泉,"
〒717-0504 岡山県真庭市蒜山下福田","
0867-66-3612",http://cms.top-page.jp/p/maniwa/3/1/17/,"4.2
(892)",Unknown,〒717-0504 岡山県真庭市蒜山下福田,35.3020299,133.6791583
n. Watson,4,7 か月前,"何度行っても気持ちが良いところです。
キャンプ地を兼ねているためショップにはアウトドア商品ばかりがならんでいます。今日日、かき氷は500円くらい。ソフトクリームも450円と恐ろしい金額で売っています。冷泉は安定の11度。かなり冷たいです。なお、ここでは水汲み禁止となっております。水汲み場は駐車場付近に別途設けられているのでそちらで頂きましょう。",塩釜の冷泉,"
〒717-0504 岡山県真庭市蒜山下福田","
0867-66-3612",http://cms.top-page.jp/p/maniwa/3/1/17/,"4.2
(892)",Unknown,〒717-0504 岡山県真庭市蒜山下福田,35.3020299,133.6791583
n. Watson,4,7 か月前,"何度行っても気持ちが良いところです。
キャンプ地を兼ねているためショップにはアウトドア商品ばかりがならんでいます。今日日、かき氷は500円くらい。ソフトクリームも450円と恐ろしい金額で売っています。冷泉は安定の11度。かなり冷たいです。なお、ここでは水汲み禁止となっております。水汲み場は駐車場付近に別途設けられているのでそちらで頂きましょう。",塩釜の冷泉,"
〒717-0504 岡山県真庭市蒜山下福田","
0867-66-3612",http://cms.top-page.jp/p/maniwa/3/1/17/,"4.2
(892)",Unknown,〒717-0504 岡山県真庭市蒜山下福田,35.3020299,133.6791583
槇野幸治,5,4 か月前,約50年前、蒜山BCの夏ワークキャンプで仲間たちと冷泉に手をつけ我慢比べしたことが思い起こされます・・・。当時は養魚場はあったけど、まだキャンプ場は整備されていなかったような・・・,塩釜の冷泉,"
〒717-0504 岡山県真庭市蒜山下福田","
0867-66-3612",http://cms.top-page.jp/p/maniwa/3/1/17/,"4.2
(892)",Unknown,〒717-0504 岡山県真庭市蒜山下福田,35.3020299,133.6791583
槇野幸治,5,4 か月前,約50年前、蒜山BCの夏ワークキャンプで仲間たちと冷泉に手をつけ我慢比べしたことが思い起こされます・・・。当時は養魚場はあったけど、まだキャンプ場は整備されていなかったような・・・,塩釜の冷泉,"
〒717-0504 岡山県真庭市蒜山下福田","
0867-66-3612",http://cms.top-page.jp/p/maniwa/3/1/17/,"4.2
(892)",Unknown,〒717-0504 岡山県真庭市蒜山下福田,35.3020299,133.6791583
