Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Shingo Igarashi,5,4 年前,8月26日、夕張岳に登って来ました。季節外れで往復ひとりきり。今年は出没の多いヒグマの恐怖とカウベルとホイッスルを頼りに頂上まで。十勝岳連峰はもちろん恵庭岳、樽前山や日高の山々も遠望できました。季節はもう秋でりんどうの紫がきれいでした,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
Shingo Igarashi,5,4 年前,8月26日、夕張岳に登って来ました。季節外れで往復ひとりきり。今年は出没の多いヒグマの恐怖とカウベルとホイッスルを頼りに頂上まで。十勝岳連峰はもちろん恵庭岳、樽前山や日高の山々も遠望できました。季節はもう秋でりんどうの紫がきれいでした,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
ぶんちゃん,5,3 年前,"ユウパリコザクラ会員です
山開き前のロープ設置と高山植物洞窟防止パトロールに参加
6-6時点ではかなり雪渓が残っていました
また吹き通しから上はガスの中
ユウパリコザクラは下山時に開花の確認
ユウパリソウは10日後くらいが見頃かと思われます
ゲート開放は11の予定要確認",夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
ぶんちゃん,5,3 年前,"ユウパリコザクラ会員です
山開き前のロープ設置と高山植物洞窟防止パトロールに参加
6-6時点ではかなり雪渓が残っていました
また吹き通しから上はガスの中
ユウパリコザクラは下山時に開花の確認
ユウパリソウは10日後くらいが見頃かと思われます
ゲート開放は11の予定要確認",夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
PATA夫婦ののんびり旅,5,1 年前,"登山口までは崩壊しそうな林道を、
山頂付近には普通にヒグマが、
難易度というか危険度の高い山ですが大自然を肌で感じられるいいお山でした⛰

体力が余っていたので下山後に富良野西岳も登りました。",夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
PATA夫婦ののんびり旅,5,1 年前,"登山口までは崩壊しそうな林道を、
山頂付近には普通にヒグマが、
難易度というか危険度の高い山ですが大自然を肌で感じられるいいお山でした⛰

体力が余っていたので下山後に富良野西岳も登りました。",夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
Sakai Kanzo,5,5 年前,"花、景色、変化に富んだルートが素晴らしい文句無しの花の100名山。
日帰り登山としてはそこそこの距離を歩かないといけないが、中盤以降の湿原地帯が緩やかな上に百花繚乱していて楽しいので、苦しさ皆無で登頂できました。登山口迄のアプローチに難があるのが玉に瑕かも。

去年、一昨年は林道の閉鎖と長雨で登れず三年越しの悲願達成。",夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
Sakai Kanzo,5,5 年前,"花、景色、変化に富んだルートが素晴らしい文句無しの花の100名山。
日帰り登山としてはそこそこの距離を歩かないといけないが、中盤以降の湿原地帯が緩やかな上に百花繚乱していて楽しいので、苦しさ皆無で登頂できました。登山口迄のアプローチに難があるのが玉に瑕かも。

去年、一昨年は林道の閉鎖と長雨で登れず三年越しの悲願達成。",夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
なまらまな,5,4 年前,"登山口迄はオフロード、普通の車でも行けます。

登山道は往復13km位です。中間に木道があり花が咲くほぼ平地なので、心身ともに癒される。
この木道を作った方々運んだり作るのは大変だったでしょう。

景色、花に癒される登りやすい山でした。",夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
なまらまな,5,4 年前,"登山口迄はオフロード、普通の車でも行けます。

登山道は往復13km位です。中間に木道があり花が咲くほぼ平地なので、心身ともに癒される。
この木道を作った方々運んだり作るのは大変だったでしょう。

景色、花に癒される登りやすい山でした。",夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
七半,5,7 年前,"上は広々とした湿原に木道が伸びる。
秋もいいものです。",夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
七半,5,7 年前,"上は広々とした湿原に木道が伸びる。
秋もいいものです。",夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
のすのすこい,5,5 年前,お花の季節ではなかったのですがとても良かったです,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
のすのすこい,5,5 年前,お花の季節ではなかったのですがとても良かったです,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
アノニマスOne,5,5 年前,花も眺め模、満足！,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
アノニマスOne,5,5 年前,花も眺め模、満足！,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
まさと22,5,4 年前,いいお天気でした。,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
まさと22,5,4 年前,いいお天気でした。,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
松G,5,5 年前,木道あり花あり、眺め良し！,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
松G,5,5 年前,木道あり花あり、眺め良し！,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
POSEIDON,5,3 年前,とても良い山,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
POSEIDON,5,3 年前,とても良い山,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
masa,5,1 年前,      1 年前 +47,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
masa,5,1 年前,      1 年前 +47,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
さる,5,7 年前,      7 年前,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
さる,5,7 年前,      7 年前,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
hidekazu kasai,5,5 年前,      5 年前,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
hidekazu kasai,5,5 年前,      5 年前,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
Casa Ezavel,4,1 年前,      1 年前,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
Casa Ezavel,4,1 年前,      1 年前,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
sjuf 5,4,3 年前,      3 年前,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
sjuf 5,4,3 年前,      3 年前,夕張岳,"
〒079-2131 北海道空知郡南富良野町金山",Unknown,Unknown,"4.6
(41)",Unknown,山頂,43.0996482,142.2510157
