Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
田村徹,5,3 週間前,"伊豆大島はどんな島？
伊豆大島は、伊豆諸島の中でも最も面積が大きな島で大島町の約７割が山林原野というダイナミックな自然が魅了です。海の美しさと開放感は抜群です。島の中心部にそびえる三原山や三原山の東側に広がる裏砂漠も大島町特有の自然スポットになっています。
（大島は別名なんて呼ばれている？）
⦿長い年月を経て、火山灰等の堆積物が積もって複雑な縞模様に。その見た目から別名『バームクーヘン』とも呼ばれています。
（伊豆大島の特産品）
⦿椿油：大島を代表する花・ヤブツバキの種子から抽出した油です。
⦿焼酎：大島をはじめ、伊豆諸島では古くから焼酎が造られてきました。
⦿塩：大島の周りを流れる清らかな海水を原料に、太陽と風と火の力を利用した伝統的な製法によって作られる貴重や天然の塩。
（名所）
⦿伊豆大島火山博物館。
１９８６年の噴火の記録や火山噴火の仕組み、火山災害防災対策などを学べる火山専門の博物館。
（島津の切り通し）
島の東側側に広がる自然あふれるエリアで神秘的な雰囲気を持った場所が多くパワースポットとしても人気です。",大島,"
東京都大島町",Unknown,Unknown,"4.2
(354)",Unknown,島,34.7386412,139.399328
田村徹,5,3 週間前,"伊豆大島はどんな島？
伊豆大島は、伊豆諸島の中でも最も面積が大きな島で大島町の約７割が山林原野というダイナミックな自然が魅了です。海の美しさと開放感は抜群です。島の中心部にそびえる三原山や三原山の東側に広がる裏砂漠も大島町特有の自然スポットになっています。
（大島は別名なんて呼ばれている？）
⦿長い年月を経て、火山灰等の堆積物が積もって複雑な縞模様に。その見た目から別名『バームクーヘン』とも呼ばれています。
（伊豆大島の特産品）
⦿椿油：大島を代表する花・ヤブツバキの種子から抽出した油です。
⦿焼酎：大島をはじめ、伊豆諸島では古くから焼酎が造られてきました。
⦿塩：大島の周りを流れる清らかな海水を原料に、太陽と風と火の力を利用した伝統的な製法によって作られる貴重や天然の塩。
（名所）
⦿伊豆大島火山博物館。
１９８６年の噴火の記録や火山噴火の仕組み、火山災害防災対策などを学べる火山専門の博物館。
（島津の切り通し）
島の東側側に広がる自然あふれるエリアで神秘的な雰囲気を持った場所が多くパワースポットとしても人気です。",大島,"
東京都大島町",Unknown,Unknown,"4.2
(354)",Unknown,島,34.7386412,139.399328
猫猫,5,6 か月前,"空気感&解放感は　ほぼ沖縄離島です　笑
日帰りバスツアーもあるし泊まりも日帰りもお勧め出来る観光地です",大島,"
東京都大島町",Unknown,Unknown,"4.2
(354)",Unknown,島,34.7386412,139.399328
猫猫,5,6 か月前,"空気感&解放感は　ほぼ沖縄離島です　笑
日帰りバスツアーもあるし泊まりも日帰りもお勧め出来る観光地です",大島,"
東京都大島町",Unknown,Unknown,"4.2
(354)",Unknown,島,34.7386412,139.399328
D. Zawa,4,1 年前,"竹芝客船ターミナルからさるびあ丸でおよそ8時間かけて朝6時に到着する伊豆諸島最大の島。
所属は東京都で、正式名称は伊豆大島。1986年の記憶に残る噴火で知られる三原山を中心に据える活火山島。
伊豆諸島で尤も北端に位置する為、諸島群の中では比較的気楽に訪れる事が出来る。",大島,"
東京都大島町",Unknown,Unknown,"4.2
(354)",Unknown,島,34.7386412,139.399328
D. Zawa,4,1 年前,"竹芝客船ターミナルからさるびあ丸でおよそ8時間かけて朝6時に到着する伊豆諸島最大の島。
所属は東京都で、正式名称は伊豆大島。1986年の記憶に残る噴火で知られる三原山を中心に据える活火山島。
伊豆諸島で尤も北端に位置する為、諸島群の中では比較的気楽に訪れる事が出来る。",大島,"
東京都大島町",Unknown,Unknown,"4.2
(354)",Unknown,島,34.7386412,139.399328
わしわし,4,6 年前,"夜行日帰りで訪問。全くのノープラン。
大型船で行きは竹芝22時発、大島6時着。2等和室は思いのほか暖かく揺れず快適！
到着港では始発船接続の路線バスが3系統が待機してたけど、即出発なので考える間も無く三原山温泉ホテル行きへ飛び乗りました（降車時に島内フリーの一日乗車券￥2,000を購入）。
終点のホテルから三原山駐車場までは徒歩で40分掛かり、出来ればそこまで始発バスを延伸して欲しかったです。
駐車場から内輪山までは舗装路なので見た目ほど大変ではないです。何処を見ても素晴らしい景色と山頂付近の火口と強風は、自然への畏怖（と言うか恐怖）を感じさせ東京とは思えません。
その後、元町港方面へ行き温泉施設と食事処に寄ってから町歩きしましたが、シーズンオフもあってか閑散としてました。
帰りのジェット船が14時の岡田港発と早かったので最後は慌ただしかったですが、自然が素晴らしく日帰りでも充分楽しめました。
気になるお店やスポットも出来たので、また来たいと思いました。",大島,"
東京都大島町",Unknown,Unknown,"4.2
(354)",Unknown,島,34.7386412,139.399328
わしわし,4,6 年前,"夜行日帰りで訪問。全くのノープラン。
大型船で行きは竹芝22時発、大島6時着。2等和室は思いのほか暖かく揺れず快適！
到着港では始発船接続の路線バスが3系統が待機してたけど、即出発なので考える間も無く三原山温泉ホテル行きへ飛び乗りました（降車時に島内フリーの一日乗車券￥2,000を購入）。
終点のホテルから三原山駐車場までは徒歩で40分掛かり、出来ればそこまで始発バスを延伸して欲しかったです。
駐車場から内輪山までは舗装路なので見た目ほど大変ではないです。何処を見ても素晴らしい景色と山頂付近の火口と強風は、自然への畏怖（と言うか恐怖）を感じさせ東京とは思えません。
その後、元町港方面へ行き温泉施設と食事処に寄ってから町歩きしましたが、シーズンオフもあってか閑散としてました。
帰りのジェット船が14時の岡田港発と早かったので最後は慌ただしかったですが、自然が素晴らしく日帰りでも充分楽しめました。
気になるお店やスポットも出来たので、また来たいと思いました。",大島,"
東京都大島町",Unknown,Unknown,"4.2
(354)",Unknown,島,34.7386412,139.399328
加賀たかし,2,5 年前,"本当に伊豆大島は残念

温泉がいいわけでなく、堤防でも爆釣する期待もなく、、

凄く旨いものもなく、

椿油は時代的に、、、

観光案内所も積極的でなく

バスでの移動も高くつく(無理やり動けば

対岸の伊東、熱海のついでに、三原山でも見ていこうかな？、、、

そんな軽い気持ちで来るとよくて、島だ！伊豆七島だ！

となると、、ちょっと重い気がします",大島,"
東京都大島町",Unknown,Unknown,"4.2
(354)",Unknown,島,34.7386412,139.399328
加賀たかし,2,5 年前,"本当に伊豆大島は残念

温泉がいいわけでなく、堤防でも爆釣する期待もなく、、

凄く旨いものもなく、

椿油は時代的に、、、

観光案内所も積極的でなく

バスでの移動も高くつく(無理やり動けば

対岸の伊東、熱海のついでに、三原山でも見ていこうかな？、、、

そんな軽い気持ちで来るとよくて、島だ！伊豆七島だ！

となると、、ちょっと重い気がします",大島,"
東京都大島町",Unknown,Unknown,"4.2
(354)",Unknown,島,34.7386412,139.399328
