Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
yogu yogu,5,4 週間前,"ここは春になると、河津桜からソメイヨシノ、八重桜と次々に目を楽しませてくれます。
今日はバスでの見物です。公園に駐車する車で入りきれずに道路は大渋滞でした。これが嫌で、長崎からエッチラエッチラと何とか到着でした。入り口には開花情報が有り、満開の文字が。中は凄い人手でごった返し。どこかのアーケード商店街みたいな感じ。菖蒲園の周りに沢山の桜並木に咲き誇っています。大きな樹の下ではお花見してる。
テントの出店ではお客様で大混雑。梅ヶ枝餅を食べようと思ったけど、待ちきれません。さらに、この日曜日は桜まつりかな？で、猿回しも有ってて、凄い人だかりでしたね。バス停の直ぐ近くなんで、まつりの時はバスでの見物がお勧めかなと思います。長崎からでしたら、公園前からシャトルバスで来れるし帰れるしで、便利ですね。",大村公園,"
〒856-0834 長崎県大村市玖島１丁目４５−３","
0957-53-4111",https://www.city.omura.nagasaki.jp/kankou/kanko/omuranohana/ohanami/omurakoen.html,"4.1
(1,506)",Unknown,公園,32.8991527,129.959046
yogu yogu,5,4 週間前,"ここは春になると、河津桜からソメイヨシノ、八重桜と次々に目を楽しませてくれます。
今日はバスでの見物です。公園に駐車する車で入りきれずに道路は大渋滞でした。これが嫌で、長崎からエッチラエッチラと何とか到着でした。入り口には開花情報が有り、満開の文字が。中は凄い人手でごった返し。どこかのアーケード商店街みたいな感じ。菖蒲園の周りに沢山の桜並木に咲き誇っています。大きな樹の下ではお花見してる。
テントの出店ではお客様で大混雑。梅ヶ枝餅を食べようと思ったけど、待ちきれません。さらに、この日曜日は桜まつりかな？で、猿回しも有ってて、凄い人だかりでしたね。バス停の直ぐ近くなんで、まつりの時はバスでの見物がお勧めかなと思います。長崎からでしたら、公園前からシャトルバスで来れるし帰れるしで、便利ですね。",大村公園,"
〒856-0834 長崎県大村市玖島１丁目４５−３","
0957-53-4111",https://www.city.omura.nagasaki.jp/kankou/kanko/omuranohana/ohanami/omurakoen.html,"4.1
(1,506)",Unknown,公園,32.8991527,129.959046
あっきー,3,4 週間前,"2025年3月30日(日)に訪れました
諫早方面からでしたが、公園の手前1キロくらいから渋滞してました。駐車場はたくさん停める所はありますが、どこもいっぱいです。

｢日本さくら名所100選｣の地なだけあってか、人はかなり多かったです！！

ただ桜は満開の所もありましたが、若干咲ききれてない所も目立ちました。また神社の手前で梅ヶ枝焼を食べましたが、やはり梅ヶ枝餅の方が福岡県民にとっては美味しいです。",大村公園,"
〒856-0834 長崎県大村市玖島１丁目４５−３","
0957-53-4111",https://www.city.omura.nagasaki.jp/kankou/kanko/omuranohana/ohanami/omurakoen.html,"4.1
(1,506)",Unknown,公園,32.8991527,129.959046
あっきー,3,4 週間前,"2025年3月30日(日)に訪れました
諫早方面からでしたが、公園の手前1キロくらいから渋滞してました。駐車場はたくさん停める所はありますが、どこもいっぱいです。

｢日本さくら名所100選｣の地なだけあってか、人はかなり多かったです！！

ただ桜は満開の所もありましたが、若干咲ききれてない所も目立ちました。また神社の手前で梅ヶ枝焼を食べましたが、やはり梅ヶ枝餅の方が福岡県民にとっては美味しいです。",大村公園,"
〒856-0834 長崎県大村市玖島１丁目４５−３","
0957-53-4111",https://www.city.omura.nagasaki.jp/kankou/kanko/omuranohana/ohanami/omurakoen.html,"4.1
(1,506)",Unknown,公園,32.8991527,129.959046
やまYama,4,5 か月前,"桜の時期は人多くてびっくりしますが、オフ期の平日はゆっくり歩けました。
座る場所はあちこちにあって屋根つきなので、本を読んでいる方がいました。
遊び場はないですが、水ボチャに注意すれば、小さい橋から鯉や鴨を見る事ができるので子どもさんは嬉しいかも。鴨たくさんいます。

今日は秋晴れで景色が最高でした。
菖蒲はまだまだ小さかったです。
ピクニックと言うよりは、3000歩弱の軽めのウォーキングに利用されるといいかもです。",大村公園,"
〒856-0834 長崎県大村市玖島１丁目４５−３","
0957-53-4111",https://www.city.omura.nagasaki.jp/kankou/kanko/omuranohana/ohanami/omurakoen.html,"4.1
(1,506)",Unknown,公園,32.8991527,129.959046
やまYama,4,5 か月前,"桜の時期は人多くてびっくりしますが、オフ期の平日はゆっくり歩けました。
座る場所はあちこちにあって屋根つきなので、本を読んでいる方がいました。
遊び場はないですが、水ボチャに注意すれば、小さい橋から鯉や鴨を見る事ができるので子どもさんは嬉しいかも。鴨たくさんいます。

今日は秋晴れで景色が最高でした。
菖蒲はまだまだ小さかったです。
ピクニックと言うよりは、3000歩弱の軽めのウォーキングに利用されるといいかもです。",大村公園,"
〒856-0834 長崎県大村市玖島１丁目４５−３","
0957-53-4111",https://www.city.omura.nagasaki.jp/kankou/kanko/omuranohana/ohanami/omurakoen.html,"4.1
(1,506)",Unknown,公園,32.8991527,129.959046
谷川正宏,3,3 週間前,"大村市役所前にある公園ですね。
3月から4月ぐらいは、桜が綺麗ですよ。
夏以外は、お花が代わる代わる楽しめる所だと思いますね。",大村公園,"
〒856-0834 長崎県大村市玖島１丁目４５−３","
0957-53-4111",https://www.city.omura.nagasaki.jp/kankou/kanko/omuranohana/ohanami/omurakoen.html,"4.1
(1,506)",Unknown,公園,32.8991527,129.959046
谷川正宏,3,3 週間前,"大村市役所前にある公園ですね。
3月から4月ぐらいは、桜が綺麗ですよ。
夏以外は、お花が代わる代わる楽しめる所だと思いますね。",大村公園,"
〒856-0834 長崎県大村市玖島１丁目４５−３","
0957-53-4111",https://www.city.omura.nagasaki.jp/kankou/kanko/omuranohana/ohanami/omurakoen.html,"4.1
(1,506)",Unknown,公園,32.8991527,129.959046
Kazuhisa Fujimoto,5,5 か月前,"長崎本線の旧線が猪との衝突で止まってしまい、その影響で大村線も止まったので、岩松から散歩がてらにやってきました。桜や花菖蒲で有名な公園なんですね。日本さくら名所100選、日本の歴史公園100選になっています。
玖島城の外堀を利用した公園で、昭和１４年（1939年）に公園指定されたとのことです。
本丸跡には大村氏歴代藩主を祀る大村神社があります。
桜や花菖蒲の季節に再訪したいと思わせる公園です。",大村公園,"
〒856-0834 長崎県大村市玖島１丁目４５−３","
0957-53-4111",https://www.city.omura.nagasaki.jp/kankou/kanko/omuranohana/ohanami/omurakoen.html,"4.1
(1,506)",Unknown,公園,32.8991527,129.959046
Kazuhisa Fujimoto,5,5 か月前,"長崎本線の旧線が猪との衝突で止まってしまい、その影響で大村線も止まったので、岩松から散歩がてらにやってきました。桜や花菖蒲で有名な公園なんですね。日本さくら名所100選、日本の歴史公園100選になっています。
玖島城の外堀を利用した公園で、昭和１４年（1939年）に公園指定されたとのことです。
本丸跡には大村氏歴代藩主を祀る大村神社があります。
桜や花菖蒲の季節に再訪したいと思わせる公園です。",大村公園,"
〒856-0834 長崎県大村市玖島１丁目４５−３","
0957-53-4111",https://www.city.omura.nagasaki.jp/kankou/kanko/omuranohana/ohanami/omurakoen.html,"4.1
(1,506)",Unknown,公園,32.8991527,129.959046
