Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
NING ZHANG (あかつき),5,2 週間前,海行きたいからアプリで探しました。すごく気持ちよかったです,大浜公園,"
〒422-8045 静岡県静岡市駿河区西島１３８０","
054-221-1251",Unknown,"3.8
(527)",ウェブサイトを追加してください,市立公園,31.6712988,134.1145165
NING ZHANG (あかつき),5,2 週間前,海行きたいからアプリで探しました。すごく気持ちよかったです,大浜公園,"
〒422-8045 静岡県静岡市駿河区西島１３８０","
054-221-1251",Unknown,"3.8
(527)",ウェブサイトを追加してください,市立公園,31.6712988,134.1145165
けそち,4,7 年前,"プールは入場無料なのがいいですね。
更衣室も無料ですが、かなり簡易的な作りで、
男女の分け方もかなり雑なので、神経質な方はちょっと困りそうです。
お金が必要なのは
近隣の駐車場がだいたいどこも１日1000円、
コインロッカーが100円、
ウォータースライダーが、大人220円子供150円で、
身長120センチ未満は利用できないのでご注意を。
あとはプールの前に焼きそばやフランクやかき氷の販売もされていて、小腹がすいた時にはちょうどいいかも知れません。
うきわのレンタルなんかもやってるみたいなので、
もし万が一忘れてしまっても安心ですね！",大浜公園,"
〒422-8045 静岡県静岡市駿河区西島１３８０","
054-221-1251",Unknown,"3.8
(527)",ウェブサイトを追加してください,市立公園,31.6712988,134.1145165
けそち,4,7 年前,"プールは入場無料なのがいいですね。
更衣室も無料ですが、かなり簡易的な作りで、
男女の分け方もかなり雑なので、神経質な方はちょっと困りそうです。
お金が必要なのは
近隣の駐車場がだいたいどこも１日1000円、
コインロッカーが100円、
ウォータースライダーが、大人220円子供150円で、
身長120センチ未満は利用できないのでご注意を。
あとはプールの前に焼きそばやフランクやかき氷の販売もされていて、小腹がすいた時にはちょうどいいかも知れません。
うきわのレンタルなんかもやってるみたいなので、
もし万が一忘れてしまっても安心ですね！",大浜公園,"
〒422-8045 静岡県静岡市駿河区西島１３８０","
054-221-1251",Unknown,"3.8
(527)",ウェブサイトを追加してください,市立公園,31.6712988,134.1145165
堀麻美,3,6 年前,"3月。娘(ヨチヨチ歩きの1歳)連れて散歩がてら。
駐車場無料。駐車場のすぐ横のスロープから海岸へ降り、砂遊びしつつ波打ち際まで。
ゴミが殆ど無いので安心して遊ばすことが出来た。
駐車場にトイレがあり、壁に折り畳むタイプのおむつ交換用の台もあった。試しに開いてみたところ強度は問題無さそうだったが砂で汚れており整備されていない感じがした。
車で来てるなら車内ですべし。
砂浜にオムツ替えシート敷いて青空の下で交換するのもありか、と考えたり考えなかったり。",大浜公園,"
〒422-8045 静岡県静岡市駿河区西島１３８０","
054-221-1251",Unknown,"3.8
(527)",ウェブサイトを追加してください,市立公園,31.6712988,134.1145165
堀麻美,3,6 年前,"3月。娘(ヨチヨチ歩きの1歳)連れて散歩がてら。
駐車場無料。駐車場のすぐ横のスロープから海岸へ降り、砂遊びしつつ波打ち際まで。
ゴミが殆ど無いので安心して遊ばすことが出来た。
駐車場にトイレがあり、壁に折り畳むタイプのおむつ交換用の台もあった。試しに開いてみたところ強度は問題無さそうだったが砂で汚れており整備されていない感じがした。
車で来てるなら車内ですべし。
砂浜にオムツ替えシート敷いて青空の下で交換するのもありか、と考えたり考えなかったり。",大浜公園,"
〒422-8045 静岡県静岡市駿河区西島１３８０","
054-221-1251",Unknown,"3.8
(527)",ウェブサイトを追加してください,市立公園,31.6712988,134.1145165
堀田針井,4,1 年前,30年前に無料という魅力に取り憑かれ10km以上の道のりをて自転車こいで行ってました、休業とは書いてますが無料での再開は無理でしょう、かなり広い流れるプールなので300~500円取っても集客出来ると思いますが今の時期は厳しいか…,大浜公園,"
〒422-8045 静岡県静岡市駿河区西島１３８０","
054-221-1251",Unknown,"3.8
(527)",ウェブサイトを追加してください,市立公園,31.6712988,134.1145165
堀田針井,4,1 年前,30年前に無料という魅力に取り憑かれ10km以上の道のりをて自転車こいで行ってました、休業とは書いてますが無料での再開は無理でしょう、かなり広い流れるプールなので300~500円取っても集客出来ると思いますが今の時期は厳しいか…,大浜公園,"
〒422-8045 静岡県静岡市駿河区西島１３８０","
054-221-1251",Unknown,"3.8
(527)",ウェブサイトを追加してください,市立公園,31.6712988,134.1145165
-.-マチナ 埼北,4,2 年前,"海無し県🦆から来たので一目海が見たくて立ち寄りました。
天気の良い日だったらとても眺めが良さそうで

私が訪れたのはどんよりしてたので
残念です😭

車はあまり置けませんが　トイレはあります
なんでしょ植木？が南国ぽい🤣",大浜公園,"
〒422-8045 静岡県静岡市駿河区西島１３８０","
054-221-1251",Unknown,"3.8
(527)",ウェブサイトを追加してください,市立公園,31.6712988,134.1145165
-.-マチナ 埼北,4,2 年前,"海無し県🦆から来たので一目海が見たくて立ち寄りました。
天気の良い日だったらとても眺めが良さそうで

私が訪れたのはどんよりしてたので
残念です😭

車はあまり置けませんが　トイレはあります
なんでしょ植木？が南国ぽい🤣",大浜公園,"
〒422-8045 静岡県静岡市駿河区西島１３８０","
054-221-1251",Unknown,"3.8
(527)",ウェブサイトを追加してください,市立公園,31.6712988,134.1145165
