Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
YONOMORI,5,2 年前,"大滝根山は阿武隈高地最高峰にして、自衛隊の駐屯地とレーダーサイトがある国防の重要地点でもあります。

そのため山頂三角点は自衛隊敷地内で触れることはできません。見学を申請することは可能ですが数週間の余裕をみる必要があるそうです。
最も平坦な山頂なのでレーダーサイト付近の大嶽根峯霊神社を訪問すれば登頂の達成感は十分に得ることができます。

眺望は付近の展望ポイントを訪問する必要があり面倒ですが、特に南側斜面からの眺望は見事。
またここは花の百名山でシロヤシオやヤマツツジ、シャクナゲの名所でもあります。",大滝根山,"
〒963-3602 福島県田村市滝根町神俣入新田",Unknown,Unknown,"4.1
(27)",Unknown,〒963-3602 福島県田村市滝根町神俣入新田,37.3545796,140.7016992
YONOMORI,5,2 年前,"大滝根山は阿武隈高地最高峰にして、自衛隊の駐屯地とレーダーサイトがある国防の重要地点でもあります。

そのため山頂三角点は自衛隊敷地内で触れることはできません。見学を申請することは可能ですが数週間の余裕をみる必要があるそうです。
最も平坦な山頂なのでレーダーサイト付近の大嶽根峯霊神社を訪問すれば登頂の達成感は十分に得ることができます。

眺望は付近の展望ポイントを訪問する必要があり面倒ですが、特に南側斜面からの眺望は見事。
またここは花の百名山でシロヤシオやヤマツツジ、シャクナゲの名所でもあります。",大滝根山,"
〒963-3602 福島県田村市滝根町神俣入新田",Unknown,Unknown,"4.1
(27)",Unknown,〒963-3602 福島県田村市滝根町神俣入新田,37.3545796,140.7016992
古藤靖志,4,1 年前,"標高1,192mの阿武隈高地最高峰になる山です。山頂に自衛隊のレーダー基地がありますので頂上に立つことは出来ませんが、フェンス越しに三角点を見ることが出来ます。
今回は高塚高原キャンプ場へ車を置いて登りました。登山道はしっかり踏み固められていて分かりやすく登りやすいです。親子でのトレッキングにはちょうど良いかも。
基地周辺からの眺望は最高です。
山頂付近には大嶽根山峯霊神社が鎮座されていたので参拝して下山しました。
基地フェンス越しの登山道に一部滑落しやすい場所があるので、そこだけ要注意ですね。",大滝根山,"
〒963-3602 福島県田村市滝根町神俣入新田",Unknown,Unknown,"4.1
(27)",Unknown,〒963-3602 福島県田村市滝根町神俣入新田,37.3545796,140.7016992
古藤靖志,4,1 年前,"標高1,192mの阿武隈高地最高峰になる山です。山頂に自衛隊のレーダー基地がありますので頂上に立つことは出来ませんが、フェンス越しに三角点を見ることが出来ます。
今回は高塚高原キャンプ場へ車を置いて登りました。登山道はしっかり踏み固められていて分かりやすく登りやすいです。親子でのトレッキングにはちょうど良いかも。
基地周辺からの眺望は最高です。
山頂付近には大嶽根山峯霊神社が鎮座されていたので参拝して下山しました。
基地フェンス越しの登山道に一部滑落しやすい場所があるので、そこだけ要注意ですね。",大滝根山,"
〒963-3602 福島県田村市滝根町神俣入新田",Unknown,Unknown,"4.1
(27)",Unknown,〒963-3602 福島県田村市滝根町神俣入新田,37.3545796,140.7016992
vodka wahaha,4,1 年前,"往復2時間程度のあっという間に終わる登山。
ただ訪れる人が少ないせいか、道が不明瞭だったり荒れている場所もあるので注意が必要。素人が登ると迷子になる可能性もあり。
山頂から絶景を眺める山、ではなくて自衛隊のレーダーとかを見学する山かもしれない。
事前に申請をすればフェンスの向こうの真の山頂に立つことが出来るけれど、冬季は申請を受け付けていなかった。
道中、トイレは無し。登山道入口の近くの駐車場にトイレがあった。
＼(^o^)／",大滝根山,"
〒963-3602 福島県田村市滝根町神俣入新田",Unknown,Unknown,"4.1
(27)",Unknown,〒963-3602 福島県田村市滝根町神俣入新田,37.3545796,140.7016992
vodka wahaha,4,1 年前,"往復2時間程度のあっという間に終わる登山。
ただ訪れる人が少ないせいか、道が不明瞭だったり荒れている場所もあるので注意が必要。素人が登ると迷子になる可能性もあり。
山頂から絶景を眺める山、ではなくて自衛隊のレーダーとかを見学する山かもしれない。
事前に申請をすればフェンスの向こうの真の山頂に立つことが出来るけれど、冬季は申請を受け付けていなかった。
道中、トイレは無し。登山道入口の近くの駐車場にトイレがあった。
＼(^o^)／",大滝根山,"
〒963-3602 福島県田村市滝根町神俣入新田",Unknown,Unknown,"4.1
(27)",Unknown,〒963-3602 福島県田村市滝根町神俣入新田,37.3545796,140.7016992
まなまな,4,6 年前,仙台平キャンプ場に駐車してからの登山。頂上まで鎖場、梯子ありましたが迂回できます。三角点は触れませんでしたが、自衛隊のレーダー基地を目の前で見れて山々の景色も見られて不思議な登山でした。面白かったです。猪に遭遇したので注意が必要です。紅葉し始めてましたよー。,大滝根山,"
〒963-3602 福島県田村市滝根町神俣入新田",Unknown,Unknown,"4.1
(27)",Unknown,〒963-3602 福島県田村市滝根町神俣入新田,37.3545796,140.7016992
まなまな,4,6 年前,仙台平キャンプ場に駐車してからの登山。頂上まで鎖場、梯子ありましたが迂回できます。三角点は触れませんでしたが、自衛隊のレーダー基地を目の前で見れて山々の景色も見られて不思議な登山でした。面白かったです。猪に遭遇したので注意が必要です。紅葉し始めてましたよー。,大滝根山,"
〒963-3602 福島県田村市滝根町神俣入新田",Unknown,Unknown,"4.1
(27)",Unknown,〒963-3602 福島県田村市滝根町神俣入新田,37.3545796,140.7016992
無風.,3,3 年前,"往復2時間半のハイキングコースです。
金網沿い歩いていると自衛隊の方から道路に出ると自衛隊敷地内ですから入らないでくださいと。
金網沿いを行かなくても木のピンクテープ沿いを歩けば梵天岩に行け、自衛隊の基地を一望できます。",大滝根山,"
〒963-3602 福島県田村市滝根町神俣入新田",Unknown,Unknown,"4.1
(27)",Unknown,〒963-3602 福島県田村市滝根町神俣入新田,37.3545796,140.7016992
無風.,3,3 年前,"往復2時間半のハイキングコースです。
金網沿い歩いていると自衛隊の方から道路に出ると自衛隊敷地内ですから入らないでくださいと。
金網沿いを行かなくても木のピンクテープ沿いを歩けば梵天岩に行け、自衛隊の基地を一望できます。",大滝根山,"
〒963-3602 福島県田村市滝根町神俣入新田",Unknown,Unknown,"4.1
(27)",Unknown,〒963-3602 福島県田村市滝根町神俣入新田,37.3545796,140.7016992
