Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Lunoy,5,1 週間前,"大きなわさびのオブジェが特徴的な大規模わさび農園です。

わさび田は日光を避けるために基本的に黒いシートを張っていますが、観光客用に中を見えるようにしてあるところもあります。

その他、わさび田の清流の水を利用したマスの養殖場もあったり、水車もあったりと涼を感じられる場所でもあります。",大王わさび農場,"
〒399-8303 長野県安曇野市穂高３６４０","
0263-82-2118",http://www.daiowasabi.co.jp/,"4.0
(13,823)",Unknown,観光名所,36.3372974,137.8859576
Lunoy,5,1 週間前,"大きなわさびのオブジェが特徴的な大規模わさび農園です。

わさび田は日光を避けるために基本的に黒いシートを張っていますが、観光客用に中を見えるようにしてあるところもあります。

その他、わさび田の清流の水を利用したマスの養殖場もあったり、水車もあったりと涼を感じられる場所でもあります。",大王わさび農場,"
〒399-8303 長野県安曇野市穂高３６４０","
0263-82-2118",http://www.daiowasabi.co.jp/,"4.0
(13,823)",Unknown,観光名所,36.3372974,137.8859576
AC DC,4,2 週間前,無料で入園出来て、見る場所もそれなりにあります。園内に本格的なわさび丼を食べるれるお店側あるので近くに来た時は一見の価値ありです。,大王わさび農場,"
〒399-8303 長野県安曇野市穂高３６４０","
0263-82-2118",http://www.daiowasabi.co.jp/,"4.0
(13,823)",Unknown,観光名所,36.3372974,137.8859576
AC DC,4,2 週間前,無料で入園出来て、見る場所もそれなりにあります。園内に本格的なわさび丼を食べるれるお店側あるので近くに来た時は一見の価値ありです。,大王わさび農場,"
〒399-8303 長野県安曇野市穂高３６４０","
0263-82-2118",http://www.daiowasabi.co.jp/,"4.0
(13,823)",Unknown,観光名所,36.3372974,137.8859576
さすらいのワタリガニ,5,2 か月前,"無料で入れる観光ワサビ農園です、敷地内はとても広いです。
ワサビを育ててる水田も綺麗ですが他の場所も水車小屋や水がとても綺麗で美しい自然を感じながら歩く事が出来ます。中には巨大な草鞋の置いてある神社や小さい洞窟(？)や山葵のオブジェなど見所がたくさんあります。
水車小屋のある川ではガイドさんの指示のもと乗れるゴムボートがあります。自分達で漕いで水車小屋を川から眺めたり冷たい水に足をつけたりと、とても楽しいのでわさび農場に来たら是非体験してもらいたいです。

わさび定食やカフェなど食事する所も何ヶ所かあります。売店のわさびコロッケとわさびソフトクリームがオススメです。わさびコロッケはサクサクほくほくで、わさび菜(かな？)が入っているのですが辛くはなくほんのり甘みがあってとても美味しいです。わさびソフトクリームも少しツンッとしますがそこまで辛くはなく食べやすいです。ただ、ガツンとワサビを感じたい人には物足りないかもしれせん。

売店もわさび商品が豊富で、生ワサビやワサビチューブや漬物、ワサビのお菓子など魅力的なものがたくさんありました。",大王わさび農場,"
〒399-8303 長野県安曇野市穂高３６４０","
0263-82-2118",http://www.daiowasabi.co.jp/,"4.0
(13,823)",Unknown,観光名所,36.3372974,137.8859576
さすらいのワタリガニ,5,2 か月前,"無料で入れる観光ワサビ農園です、敷地内はとても広いです。
ワサビを育ててる水田も綺麗ですが他の場所も水車小屋や水がとても綺麗で美しい自然を感じながら歩く事が出来ます。中には巨大な草鞋の置いてある神社や小さい洞窟(？)や山葵のオブジェなど見所がたくさんあります。
水車小屋のある川ではガイドさんの指示のもと乗れるゴムボートがあります。自分達で漕いで水車小屋を川から眺めたり冷たい水に足をつけたりと、とても楽しいのでわさび農場に来たら是非体験してもらいたいです。

わさび定食やカフェなど食事する所も何ヶ所かあります。売店のわさびコロッケとわさびソフトクリームがオススメです。わさびコロッケはサクサクほくほくで、わさび菜(かな？)が入っているのですが辛くはなくほんのり甘みがあってとても美味しいです。わさびソフトクリームも少しツンッとしますがそこまで辛くはなく食べやすいです。ただ、ガツンとワサビを感じたい人には物足りないかもしれせん。

売店もわさび商品が豊富で、生ワサビやワサビチューブや漬物、ワサビのお菓子など魅力的なものがたくさんありました。",大王わさび農場,"
〒399-8303 長野県安曇野市穂高３６４０","
0263-82-2118",http://www.daiowasabi.co.jp/,"4.0
(13,823)",Unknown,観光名所,36.3372974,137.8859576
餃子c,5,2 か月前,"平日に行きました。ガラガラでした。
限定品に弱いわたしはほとんど購入してしまいました。塩もぴりっとおいしくて、お肉に振っています。生ワサビがまるごと購入できるのもありがたいです。
ワサビコロッケはサックサクで、ソースがまたたまらなくおいしい。お兄さんが揚げたてを持ってきてくれました。
コーヒーも酸味が少なく飲みやすい。おやきもホクホクでおいしかったです。
お姉さん方もとても愛想がよくて素敵でした。
トイレもきれい！！",大王わさび農場,"
〒399-8303 長野県安曇野市穂高３６４０","
0263-82-2118",http://www.daiowasabi.co.jp/,"4.0
(13,823)",Unknown,観光名所,36.3372974,137.8859576
餃子c,5,2 か月前,"平日に行きました。ガラガラでした。
限定品に弱いわたしはほとんど購入してしまいました。塩もぴりっとおいしくて、お肉に振っています。生ワサビがまるごと購入できるのもありがたいです。
ワサビコロッケはサックサクで、ソースがまたたまらなくおいしい。お兄さんが揚げたてを持ってきてくれました。
コーヒーも酸味が少なく飲みやすい。おやきもホクホクでおいしかったです。
お姉さん方もとても愛想がよくて素敵でした。
トイレもきれい！！",大王わさび農場,"
〒399-8303 長野県安曇野市穂高３６４０","
0263-82-2118",http://www.daiowasabi.co.jp/,"4.0
(13,823)",Unknown,観光名所,36.3372974,137.8859576
新快速森たん（新快速党鉄オタ）,5,2 か月前,"家族で訪れましたがとても広くわさびを使ったたくさんの料理があります、またわさびの栽培してるところも見ることができるのでおすすめです。大糸線豊科駅から大体25分くらいと電車では不便ですが車だと大きな駐車場も有りいいと思います😊
小さい洞窟や橋があって空気も澄んでいます、とても楽しかったのでぜひ行ってみてください",大王わさび農場,"
〒399-8303 長野県安曇野市穂高３６４０","
0263-82-2118",http://www.daiowasabi.co.jp/,"4.0
(13,823)",Unknown,観光名所,36.3372974,137.8859576
新快速森たん（新快速党鉄オタ）,5,2 か月前,"家族で訪れましたがとても広くわさびを使ったたくさんの料理があります、またわさびの栽培してるところも見ることができるのでおすすめです。大糸線豊科駅から大体25分くらいと電車では不便ですが車だと大きな駐車場も有りいいと思います😊
小さい洞窟や橋があって空気も澄んでいます、とても楽しかったのでぜひ行ってみてください",大王わさび農場,"
〒399-8303 長野県安曇野市穂高３６４０","
0263-82-2118",http://www.daiowasabi.co.jp/,"4.0
(13,823)",Unknown,観光名所,36.3372974,137.8859576
