Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
もといわはるまさ,5,2 週間前,"きれいなダムです。
ダム湖のすぐそこまで簡単に歩いて行けるのも、いい感じです。
ハイシーズンには、かなりの釣り人が来るのだろうと想像します。
桜で有名ですが、他より遅い開化だと思われるので、そういう意味では穴場だと思います。",大野ダム,"
〒601-0777 京都府南丹市美山町樫原中野山４１−２","
0771-75-0143",https://www.pref.kyoto.jp/dam/oono/index.html,"4.0
(439)",Unknown,観光名所,35.2621904,130.582904
もといわはるまさ,5,2 週間前,"きれいなダムです。
ダム湖のすぐそこまで簡単に歩いて行けるのも、いい感じです。
ハイシーズンには、かなりの釣り人が来るのだろうと想像します。
桜で有名ですが、他より遅い開化だと思われるので、そういう意味では穴場だと思います。",大野ダム,"
〒601-0777 京都府南丹市美山町樫原中野山４１−２","
0771-75-0143",https://www.pref.kyoto.jp/dam/oono/index.html,"4.0
(439)",Unknown,観光名所,35.2621904,130.582904
スーパーらっこ,3,1 週間前,ツーリングの目的地。桜が綺麗に咲いてた。桜の下でお弁当食べてる人もいた。服装はまだ長袖だったな。4月の中旬。,大野ダム,"
〒601-0777 京都府南丹市美山町樫原中野山４１−２","
0771-75-0143",https://www.pref.kyoto.jp/dam/oono/index.html,"4.0
(439)",Unknown,観光名所,35.2621904,130.582904
スーパーらっこ,3,1 週間前,ツーリングの目的地。桜が綺麗に咲いてた。桜の下でお弁当食べてる人もいた。服装はまだ長袖だったな。4月の中旬。,大野ダム,"
〒601-0777 京都府南丹市美山町樫原中野山４１−２","
0771-75-0143",https://www.pref.kyoto.jp/dam/oono/index.html,"4.0
(439)",Unknown,観光名所,35.2621904,130.582904
hiro katsuta,3,1 年前,公園では桜まつりを開催中で混雑していましたが、こちらは空いていました。ダム周辺を散策する人、桜を見ながらお弁当を食べる人等、それぞれに楽しんでいます。桜の鑑賞エリアとしてはかなり穴場です。たくさんの花が咲いているのに人はまばら。一周6キロの散策路が用意されていますが、利用者は少なく整備されていない様子です。ダムから反時計回りに歩いてみましたが、スタート早々に道が荒れていました。歩き始めには対岸から公園を眺めることができ、ダム湖に映る桜を楽しむことができます。パターゴルフと自転車のコース辺りまで出るとアスファルト舗装された綺麗な道になります。さらに進み橋を渡ると復路になりますが、歩道がなく車道を歩く区間が長いので子供連れには危険。日本最古の農家住宅と古い神社あり。,大野ダム,"
〒601-0777 京都府南丹市美山町樫原中野山４１−２","
0771-75-0143",https://www.pref.kyoto.jp/dam/oono/index.html,"4.0
(439)",Unknown,観光名所,35.2621904,130.582904
hiro katsuta,3,1 年前,公園では桜まつりを開催中で混雑していましたが、こちらは空いていました。ダム周辺を散策する人、桜を見ながらお弁当を食べる人等、それぞれに楽しんでいます。桜の鑑賞エリアとしてはかなり穴場です。たくさんの花が咲いているのに人はまばら。一周6キロの散策路が用意されていますが、利用者は少なく整備されていない様子です。ダムから反時計回りに歩いてみましたが、スタート早々に道が荒れていました。歩き始めには対岸から公園を眺めることができ、ダム湖に映る桜を楽しむことができます。パターゴルフと自転車のコース辺りまで出るとアスファルト舗装された綺麗な道になります。さらに進み橋を渡ると復路になりますが、歩道がなく車道を歩く区間が長いので子供連れには危険。日本最古の農家住宅と古い神社あり。,大野ダム,"
〒601-0777 京都府南丹市美山町樫原中野山４１−２","
0771-75-0143",https://www.pref.kyoto.jp/dam/oono/index.html,"4.0
(439)",Unknown,観光名所,35.2621904,130.582904
kamiru bidan,5,1 年前,バイクを購入してから3年連続京都府美山にツーリングで来てました。桜がめっちゃ綺麗なんで今回はおかんを連れて来ました。大野ダム公園の桜本当に素敵やわ。駐車場は500円でしたよ。『大野ダム桜まつり』お勧めです,大野ダム,"
〒601-0777 京都府南丹市美山町樫原中野山４１−２","
0771-75-0143",https://www.pref.kyoto.jp/dam/oono/index.html,"4.0
(439)",Unknown,観光名所,35.2621904,130.582904
kamiru bidan,5,1 年前,バイクを購入してから3年連続京都府美山にツーリングで来てました。桜がめっちゃ綺麗なんで今回はおかんを連れて来ました。大野ダム公園の桜本当に素敵やわ。駐車場は500円でしたよ。『大野ダム桜まつり』お勧めです,大野ダム,"
〒601-0777 京都府南丹市美山町樫原中野山４１−２","
0771-75-0143",https://www.pref.kyoto.jp/dam/oono/index.html,"4.0
(439)",Unknown,観光名所,35.2621904,130.582904
小西厚,5,1 年前,"毎年、桜祭りの時期に訪問しています。ダムの壮観、たくさんの桜は見応えがあります。
とても広いので、お弁当を広げて、ゆっくり楽しめます。",大野ダム,"
〒601-0777 京都府南丹市美山町樫原中野山４１−２","
0771-75-0143",https://www.pref.kyoto.jp/dam/oono/index.html,"4.0
(439)",Unknown,観光名所,35.2621904,130.582904
小西厚,5,1 年前,"毎年、桜祭りの時期に訪問しています。ダムの壮観、たくさんの桜は見応えがあります。
とても広いので、お弁当を広げて、ゆっくり楽しめます。",大野ダム,"
〒601-0777 京都府南丹市美山町樫原中野山４１−２","
0771-75-0143",https://www.pref.kyoto.jp/dam/oono/index.html,"4.0
(439)",Unknown,観光名所,35.2621904,130.582904
