Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
You Sierra,3,1 週間前,"展望台利用しました。
ATCから入ると二階なので一階に降りてから入場券1200円買って専用エレベーターで行けます。

ビル内はATCより閑散としてますが展望台は景色が綺麗で行く価値あります。
カフェで寛いだり、家族連れも人たちもチラホラ来られてました。
万博のリングも見えます。",大阪府咲洲庁舎,"
〒559-0034 大阪府大阪市住之江区南港北１丁目１４−１６","
06-6941-0351",https://www.pref.osaka.lg.jp/koho/location/location16.html,"3.9
(592)",Unknown,県庁舎,34.6380343,135.338449
You Sierra,3,1 週間前,"展望台利用しました。
ATCから入ると二階なので一階に降りてから入場券1200円買って専用エレベーターで行けます。

ビル内はATCより閑散としてますが展望台は景色が綺麗で行く価値あります。
カフェで寛いだり、家族連れも人たちもチラホラ来られてました。
万博のリングも見えます。",大阪府咲洲庁舎,"
〒559-0034 大阪府大阪市住之江区南港北１丁目１４−１６","
06-6941-0351",https://www.pref.osaka.lg.jp/koho/location/location16.html,"3.9
(592)",Unknown,県庁舎,34.6380343,135.338449
N N,4,3 か月前,近未来的なデザインが特徴的な高層ビルで、堂々とした外観が目を引きます。ビルの展望台からは、大阪湾や市内の美しい景色を一望でき、特に夕暮れ時や夜景は圧巻です。周囲の静かな環境と相まって、都会の喧騒を忘れ、落ち着いて過ごせるスポットです。建物内は非常に清潔で、広々としており、公共施設としての機能性も高く、訪れる人々にとって非常に便利な場所です。オフィスビルとしても利用されているため、仕事をしている人たちにも快適な空間を提供しているのが分かります。また、交通の便も良く、周辺の商業施設やレストランにもアクセスしやすいので、観光ついでに立ち寄るのにもおすすめです。静かな場所で一息つきたい方や、景色を楽しみたい方には最適な場所です。,大阪府咲洲庁舎,"
〒559-0034 大阪府大阪市住之江区南港北１丁目１４−１６","
06-6941-0351",https://www.pref.osaka.lg.jp/koho/location/location16.html,"3.9
(592)",Unknown,県庁舎,34.6380343,135.338449
N N,4,3 か月前,近未来的なデザインが特徴的な高層ビルで、堂々とした外観が目を引きます。ビルの展望台からは、大阪湾や市内の美しい景色を一望でき、特に夕暮れ時や夜景は圧巻です。周囲の静かな環境と相まって、都会の喧騒を忘れ、落ち着いて過ごせるスポットです。建物内は非常に清潔で、広々としており、公共施設としての機能性も高く、訪れる人々にとって非常に便利な場所です。オフィスビルとしても利用されているため、仕事をしている人たちにも快適な空間を提供しているのが分かります。また、交通の便も良く、周辺の商業施設やレストランにもアクセスしやすいので、観光ついでに立ち寄るのにもおすすめです。静かな場所で一息つきたい方や、景色を楽しみたい方には最適な場所です。,大阪府咲洲庁舎,"
〒559-0034 大阪府大阪市住之江区南港北１丁目１４−１６","
06-6941-0351",https://www.pref.osaka.lg.jp/koho/location/location16.html,"3.9
(592)",Unknown,県庁舎,34.6380343,135.338449
やすだしゅうへい,4,3 か月前,"2024/12/31の11時頃に、さきしまコスモタワー展望台に行きました。年末だからなのかすいていました。万博会場のゆめしまが見えます。双眼鏡で明石海峡大橋も見えます。
また、あべのハルカスも見えます。
穴場的なスポットなのかなぁ。",大阪府咲洲庁舎,"
〒559-0034 大阪府大阪市住之江区南港北１丁目１４−１６","
06-6941-0351",https://www.pref.osaka.lg.jp/koho/location/location16.html,"3.9
(592)",Unknown,県庁舎,34.6380343,135.338449
やすだしゅうへい,4,3 か月前,"2024/12/31の11時頃に、さきしまコスモタワー展望台に行きました。年末だからなのかすいていました。万博会場のゆめしまが見えます。双眼鏡で明石海峡大橋も見えます。
また、あべのハルカスも見えます。
穴場的なスポットなのかなぁ。",大阪府咲洲庁舎,"
〒559-0034 大阪府大阪市住之江区南港北１丁目１４−１６","
06-6941-0351",https://www.pref.osaka.lg.jp/koho/location/location16.html,"3.9
(592)",Unknown,県庁舎,34.6380343,135.338449
InoNouE,4,3 か月前,"空テナントが目立つ。1階にローソンあり。ナゾに多いエレベーター使えるかは不明。
展望台がおすすめ。正門向かって右に行けば無料駐輪場あり。",大阪府咲洲庁舎,"
〒559-0034 大阪府大阪市住之江区南港北１丁目１４−１６","
06-6941-0351",https://www.pref.osaka.lg.jp/koho/location/location16.html,"3.9
(592)",Unknown,県庁舎,34.6380343,135.338449
InoNouE,4,3 か月前,"空テナントが目立つ。1階にローソンあり。ナゾに多いエレベーター使えるかは不明。
展望台がおすすめ。正門向かって右に行けば無料駐輪場あり。",大阪府咲洲庁舎,"
〒559-0034 大阪府大阪市住之江区南港北１丁目１４−１６","
06-6941-0351",https://www.pref.osaka.lg.jp/koho/location/location16.html,"3.9
(592)",Unknown,県庁舎,34.6380343,135.338449
8787 chura,3,5 か月前,"日本で3番目の高さを誇る「さきしまコスモタワー」は地上256m
最上階55階の展望台からは、六甲山や生駒山...大阪の色々なスタジアム...近くには大阪万博開催予定地を上から望むことができます🌏
大阪の夜景も夕焼けの時間帯も綺麗でしょうね …",大阪府咲洲庁舎,"
〒559-0034 大阪府大阪市住之江区南港北１丁目１４−１６","
06-6941-0351",https://www.pref.osaka.lg.jp/koho/location/location16.html,"3.9
(592)",Unknown,県庁舎,34.6380343,135.338449
8787 chura,3,5 か月前,"日本で3番目の高さを誇る「さきしまコスモタワー」は地上256m
最上階55階の展望台からは、六甲山や生駒山...大阪の色々なスタジアム...近くには大阪万博開催予定地を上から望むことができます🌏
大阪の夜景も夕焼けの時間帯も綺麗でしょうね …",大阪府咲洲庁舎,"
〒559-0034 大阪府大阪市住之江区南港北１丁目１４−１６","
06-6941-0351",https://www.pref.osaka.lg.jp/koho/location/location16.html,"3.9
(592)",Unknown,県庁舎,34.6380343,135.338449
