Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
ちっちゃいマン153,5,2 か月前,大雪山には北海道最高峰の旭岳(2291メートル)が、有ります。,大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
ちっちゃいマン153,5,2 か月前,大雪山には北海道最高峰の旭岳(2291メートル)が、有ります。,大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
Naoto S,5,2 年前,"2020年8月中旬に来訪した。蒸気が吹き出していて迫力がある。
北海道最高峰だが登山道は歩きやすくロープウェイもあるので登りやすい。",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
Naoto S,5,2 年前,"2020年8月中旬に来訪した。蒸気が吹き出していて迫力がある。
北海道最高峰だが登山道は歩きやすくロープウェイもあるので登りやすい。",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
Naoki Goto,5,2 年前,"９月３０日に訪れました。
天気は快晴でした。紅葉は始まっていましたが、訪問前の何日か前に風速５０メートルの風が吹き荒れて、赤い葉はほぼ全部吹き飛ばされて落ちてしまい、黄色がほとんどでした。
ロープウェイで上ったら、ぜひ歩いてください。ほぼ１時間で回れます。８０歳くらいのお年寄りも頑張って歩いています。上れば絶景が見られるので、頑張ってください。",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
Naoki Goto,5,2 年前,"９月３０日に訪れました。
天気は快晴でした。紅葉は始まっていましたが、訪問前の何日か前に風速５０メートルの風が吹き荒れて、赤い葉はほぼ全部吹き飛ばされて落ちてしまい、黄色がほとんどでした。
ロープウェイで上ったら、ぜひ歩いてください。ほぼ１時間で回れます。８０歳くらいのお年寄りも頑張って歩いています。上れば絶景が見られるので、頑張ってください。",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
とし坊,4,3 年前,大雪山には夏、こちらから側からも層雲峡側からも登っていますが、今回は紅葉を見に出かけました。頂上からの外輪山とカムイミンタラの眺めは最高でした。,大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
とし坊,4,3 年前,大雪山には夏、こちらから側からも層雲峡側からも登っていますが、今回は紅葉を見に出かけました。頂上からの外輪山とカムイミンタラの眺めは最高でした。,大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
Hあひる,5,6 年前,"雪山を見に行きました。
ゴンドラに乗って山頂まで向かいます。ゴンドラを降りると他の人達が更に上の方に向かって行くので付いて行くと徐々に山が見えてきました。全部見えた頃には
こんなにも壮大な景色が待っているとは思ってもいませんでした。天気にも恵まれ暑かったです。
今度は紅葉の時期にも来てみたいです。",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
Hあひる,5,6 年前,"雪山を見に行きました。
ゴンドラに乗って山頂まで向かいます。ゴンドラを降りると他の人達が更に上の方に向かって行くので付いて行くと徐々に山が見えてきました。全部見えた頃には
こんなにも壮大な景色が待っているとは思ってもいませんでした。天気にも恵まれ暑かったです。
今度は紅葉の時期にも来てみたいです。",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
punn,5,6 年前,"9月初旬。旭川や東川は厚い雲に覆われていました。どうかなと進んで行くと、忠別ダムのトンネルを越えると晴天。

朝7時台、旭岳ロープウェイ駅から上昇していくと、旭川や東川の上は雲海が広がっていました。姿見駅から散策すると、人もまだ少なく歩きやすい。空気も澄んでとても気持ちが良かったです！思いっきり深呼吸して、パワーいただきました！感謝！山は少しずつ色づきはじめ、秋の気配を感じます。リンドウの青さが印象的。",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
punn,5,6 年前,"9月初旬。旭川や東川は厚い雲に覆われていました。どうかなと進んで行くと、忠別ダムのトンネルを越えると晴天。

朝7時台、旭岳ロープウェイ駅から上昇していくと、旭川や東川の上は雲海が広がっていました。姿見駅から散策すると、人もまだ少なく歩きやすい。空気も澄んでとても気持ちが良かったです！思いっきり深呼吸して、パワーいただきました！感謝！山は少しずつ色づきはじめ、秋の気配を感じます。リンドウの青さが印象的。",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
tetsuya kano,5,7 年前,大雪山系は日本で最初に紅葉が訪れます。その時期はウラジロナナカマドの朱、チングルマの赤など息を吞む美しさです。,大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
tetsuya kano,5,7 年前,大雪山系は日本で最初に紅葉が訪れます。その時期はウラジロナナカマドの朱、チングルマの赤など息を吞む美しさです。,大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
あおい,4,3 年前,道がしっかり整備されていて良かったです。また、季節によって見られる花などの種類も違うので、季節が変わるごとに見に来たくなります。このエリアを探索するのに最適な方法は、旭岳ロープウェイ（ケーブルカー）に乗り、頂上へ歩くことです(山側から駐車場まで約3時間かかります)。時間をかけた甲斐あって 私は素晴らしい景色を見る事ができました。紅葉はまだでしたが、次回行くときは紅葉シーズンを狙っていきたいです。,大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
あおい,4,3 年前,道がしっかり整備されていて良かったです。また、季節によって見られる花などの種類も違うので、季節が変わるごとに見に来たくなります。このエリアを探索するのに最適な方法は、旭岳ロープウェイ（ケーブルカー）に乗り、頂上へ歩くことです(山側から駐車場まで約3時間かかります)。時間をかけた甲斐あって 私は素晴らしい景色を見る事ができました。紅葉はまだでしたが、次回行くときは紅葉シーズンを狙っていきたいです。,大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
so1,5,6 年前,"2018 10/21 9:30より登山開始
ブリザードで余儀なく8合目手前で下山
大雪山旭岳を肌で感じた日",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
so1,5,6 年前,"2018 10/21 9:30より登山開始
ブリザードで余儀なく8合目手前で下山
大雪山旭岳を肌で感じた日",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
Jun.じい,5,1 年前,いつかきっとと長い間楽しみにしていたのに、羽田から旭川へ飛び、山小屋に泊まって、いざカマクラとなったら悪天候で、一日中霧と強風の中をさまよい歩くという散々のていたらく。しかし幸いにも翌日は快晴、旭岳山麓の遊歩道を散策して夢に見た雄大な眺望を目に納めて、どうにかこうにか溜飲を下げる。今でもあの日の情けなさは尾を引いている。20年も前のことなのに…。,大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
Jun.じい,5,1 年前,いつかきっとと長い間楽しみにしていたのに、羽田から旭川へ飛び、山小屋に泊まって、いざカマクラとなったら悪天候で、一日中霧と強風の中をさまよい歩くという散々のていたらく。しかし幸いにも翌日は快晴、旭岳山麓の遊歩道を散策して夢に見た雄大な眺望を目に納めて、どうにかこうにか溜飲を下げる。今でもあの日の情けなさは尾を引いている。20年も前のことなのに…。,大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
明美,5,3 年前,いつ行っても感動します。,大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
明美,5,3 年前,いつ行っても感動します。,大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
佐々木直美,5,1 年前,5月の大雪山はとても綺麗でパワーがすごい✨また来年も行きたい,大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
佐々木直美,5,1 年前,5月の大雪山はとても綺麗でパワーがすごい✨また来年も行きたい,大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
秘密の花子,4,6 年前,"層雲峡温泉に泊まり、朝8時過ぎのロープウェイに乗り、続けてリフトで7合目まで行きました。昨日雨でしたが今朝はスッキリと晴れました。ダケカンバの白い幹が青空に映えてきれいでした。
紅葉は盛りではありませんでしたが、所々のナナカマドやウルシの赤い紅葉がきれいでした。
7合目の展望台では霜も降りていました。寒かったです。防寒対策はしっかりとしてください。",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
秘密の花子,4,6 年前,"層雲峡温泉に泊まり、朝8時過ぎのロープウェイに乗り、続けてリフトで7合目まで行きました。昨日雨でしたが今朝はスッキリと晴れました。ダケカンバの白い幹が青空に映えてきれいでした。
紅葉は盛りではありませんでしたが、所々のナナカマドやウルシの赤い紅葉がきれいでした。
7合目の展望台では霜も降りていました。寒かったです。防寒対策はしっかりとしてください。",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
Ray Crosmy,5,3 年前,"アイヌ語でカムイミンタラ、日本語では神々が遊ぶ庭→神野と呼ばれて、畏敬と崇敬の対象とされてきた大自然を楽しむことができる神域の山系です。

9月中旬から10月上旬ごろまでの紅葉シーズンが見頃となります。

１）旭岳。２）羽衣の滝。３）天人峡。4）層雲峡。5）銀河・流星の滝。6）黒岳。7）大雪高原沼。8）大函。9）原始ヶ原。10）十勝岳。11）然別湖。12）三国峠の大樹海。13）五色ヶ原。

などの観光名所が点在しています。",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
Ray Crosmy,5,3 年前,"アイヌ語でカムイミンタラ、日本語では神々が遊ぶ庭→神野と呼ばれて、畏敬と崇敬の対象とされてきた大自然を楽しむことができる神域の山系です。

9月中旬から10月上旬ごろまでの紅葉シーズンが見頃となります。

１）旭岳。２）羽衣の滝。３）天人峡。4）層雲峡。5）銀河・流星の滝。6）黒岳。7）大雪高原沼。8）大函。9）原始ヶ原。10）十勝岳。11）然別湖。12）三国峠の大樹海。13）五色ヶ原。

などの観光名所が点在しています。",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
村口英雄,5,4 年前,"北海道の屋根はさすがでした。
層雲峡温泉で泊まった翌朝、ロープウエーとリフトを乗りつぎ黒岳七合目へ。この辺りはトドマツ、エゾマツに混じってダケカンバが美しい。
八合目からは雪田地帯があり、森林限界を過ぎると黒岳山頂に飛び出す。
石狩川がきらきら輝き、阿寒方面の山々が整然と佇み息をのむ絶景です。砂礫地にはコマクサ、キンバイ、イワウメの咲き誇る高山植物のお花畑。
黒岳石室、中岳、間宮岳と稜線漫歩。雪渓と砂礫の中を歩き旭岳山頂に着きました。
北海道の最高峰だけに隔てる物はなにもなく360度の展望で、十勝連峰や、いつか登りたいと思っているトムラウシが悠然と佇んでいる。日常から解放されて、ここは平和そのもの“明るい明日”が見えるようで、心踊ります。
姿見の池へ下りる途中に見た噴煙上げる地獄谷は大地の息吹を感じるような光景で、地獄どころか、生き生きと躍動感にあふれていました。
行程は長いが、山の姿良し、眺め良し、千変万化で歩くことが楽しい極上の山旅でした。",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
村口英雄,5,4 年前,"北海道の屋根はさすがでした。
層雲峡温泉で泊まった翌朝、ロープウエーとリフトを乗りつぎ黒岳七合目へ。この辺りはトドマツ、エゾマツに混じってダケカンバが美しい。
八合目からは雪田地帯があり、森林限界を過ぎると黒岳山頂に飛び出す。
石狩川がきらきら輝き、阿寒方面の山々が整然と佇み息をのむ絶景です。砂礫地にはコマクサ、キンバイ、イワウメの咲き誇る高山植物のお花畑。
黒岳石室、中岳、間宮岳と稜線漫歩。雪渓と砂礫の中を歩き旭岳山頂に着きました。
北海道の最高峰だけに隔てる物はなにもなく360度の展望で、十勝連峰や、いつか登りたいと思っているトムラウシが悠然と佇んでいる。日常から解放されて、ここは平和そのもの“明るい明日”が見えるようで、心踊ります。
姿見の池へ下りる途中に見た噴煙上げる地獄谷は大地の息吹を感じるような光景で、地獄どころか、生き生きと躍動感にあふれていました。
行程は長いが、山の姿良し、眺め良し、千変万化で歩くことが楽しい極上の山旅でした。",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
雨池晴雲,4,4 年前,"標　高　2291m
登山日　2005年6月28日
使用地図　山と高原地図 大雪山

日本百名山
花の百名山
新・花の百名山
新版・北海道百名山
北海道の百名山
新日本百名山
日本の山岳標高一覧１００３山
都道府県最高峰",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
雨池晴雲,4,4 年前,"標　高　2291m
登山日　2005年6月28日
使用地図　山と高原地図 大雪山

日本百名山
花の百名山
新・花の百名山
新版・北海道百名山
北海道の百名山
新日本百名山
日本の山岳標高一覧１００３山
都道府県最高峰",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
Hitomi,5,6 年前,"道がしっかり整備されていて良かったです。
また、季節によって見られる花などの種類も違うので、季節が変わるごとに見に来たくなります。(*´∀｀*)",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
Hitomi,5,6 年前,"道がしっかり整備されていて良かったです。
また、季節によって見られる花などの種類も違うので、季節が変わるごとに見に来たくなります。(*´∀｀*)",大雪山,"
〒071-1471 北海道上川郡東川町ノカナン",Unknown,Unknown,"4.5
(83)",Unknown,火山,43.6850653,142.8063076
