Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
城山守,3,1 年前,無料駐車場からやや登り坂になっている道には、少し陽の光が差し込み、水の音のみ聴こえる。,天の岩戸 三の鳥居,"
〒517-0209 三重県志摩市磯部町恵利原","
0599-55-1857",https://www.kanko-shima.com/purpose/1990/,"4.1
(17)",営業時間を追加,神社,34.4077486,136.7635584
城山守,3,1 年前,無料駐車場からやや登り坂になっている道には、少し陽の光が差し込み、水の音のみ聴こえる。,天の岩戸 三の鳥居,"
〒517-0209 三重県志摩市磯部町恵利原","
0599-55-1857",https://www.kanko-shima.com/purpose/1990/,"4.1
(17)",営業時間を追加,神社,34.4077486,136.7635584
がらん【まこと】“がらん”,4,4 年前,"中佐上からの参道なかばに「天の岩戸へ200m」の標識。足形跡遺跡を眺めつつ、さらに道半ばのところに三之鳥居があります。灯籠列にまじって井瓜伊造の歌碑があります。
神路なる　岩戸の瀧に　禊してこ　ヽろも身をも　祓ひつるかな",天の岩戸 三の鳥居,"
〒517-0209 三重県志摩市磯部町恵利原","
0599-55-1857",https://www.kanko-shima.com/purpose/1990/,"4.1
(17)",営業時間を追加,神社,34.4077486,136.7635584
がらん【まこと】“がらん”,4,4 年前,"中佐上からの参道なかばに「天の岩戸へ200m」の標識。足形跡遺跡を眺めつつ、さらに道半ばのところに三之鳥居があります。灯籠列にまじって井瓜伊造の歌碑があります。
神路なる　岩戸の瀧に　禊してこ　ヽろも身をも　祓ひつるかな",天の岩戸 三の鳥居,"
〒517-0209 三重県志摩市磯部町恵利原","
0599-55-1857",https://www.kanko-shima.com/purpose/1990/,"4.1
(17)",営業時間を追加,神社,34.4077486,136.7635584
Junko,5,3 年前,"とても明るく柔らかい光で迎えてくださいます☀️ゾクッとする瞬間と場所はありますが😅
みそぎの滝では滝を浴びる事ができます。
更衣室も用意されています✨ …",天の岩戸 三の鳥居,"
〒517-0209 三重県志摩市磯部町恵利原","
0599-55-1857",https://www.kanko-shima.com/purpose/1990/,"4.1
(17)",営業時間を追加,神社,34.4077486,136.7635584
Junko,5,3 年前,"とても明るく柔らかい光で迎えてくださいます☀️ゾクッとする瞬間と場所はありますが😅
みそぎの滝では滝を浴びる事ができます。
更衣室も用意されています✨ …",天の岩戸 三の鳥居,"
〒517-0209 三重県志摩市磯部町恵利原","
0599-55-1857",https://www.kanko-shima.com/purpose/1990/,"4.1
(17)",営業時間を追加,神社,34.4077486,136.7635584
番号の人,5,1 年前,"駐車場から歩いていくと通過する鳥居
道は整備されており、さらにとても雰囲気があり良い場所です",天の岩戸 三の鳥居,"
〒517-0209 三重県志摩市磯部町恵利原","
0599-55-1857",https://www.kanko-shima.com/purpose/1990/,"4.1
(17)",営業時間を追加,神社,34.4077486,136.7635584
番号の人,5,1 年前,"駐車場から歩いていくと通過する鳥居
道は整備されており、さらにとても雰囲気があり良い場所です",天の岩戸 三の鳥居,"
〒517-0209 三重県志摩市磯部町恵利原","
0599-55-1857",https://www.kanko-shima.com/purpose/1990/,"4.1
(17)",営業時間を追加,神社,34.4077486,136.7635584
kinoshita haruki,3,3 年前,"天の岩戸 三之鳥居です。
すこし小さめな感じの鳥居です。
森林の枝葉から差し込む陽の光が鳥居に差し掛かりとても神秘的な雰囲気です。",天の岩戸 三の鳥居,"
〒517-0209 三重県志摩市磯部町恵利原","
0599-55-1857",https://www.kanko-shima.com/purpose/1990/,"4.1
(17)",営業時間を追加,神社,34.4077486,136.7635584
kinoshita haruki,3,3 年前,"天の岩戸 三之鳥居です。
すこし小さめな感じの鳥居です。
森林の枝葉から差し込む陽の光が鳥居に差し掛かりとても神秘的な雰囲気です。",天の岩戸 三の鳥居,"
〒517-0209 三重県志摩市磯部町恵利原","
0599-55-1857",https://www.kanko-shima.com/purpose/1990/,"4.1
(17)",営業時間を追加,神社,34.4077486,136.7635584
takechan,1,3 年前,国道から二キロ分けいった駐車場直前にコロナの為利用禁止の虎柵が。だったら国道の入り口看板にそう書いとけ！てか三重の観光地ってみんなそんな感じ。,天の岩戸 三の鳥居,"
〒517-0209 三重県志摩市磯部町恵利原","
0599-55-1857",https://www.kanko-shima.com/purpose/1990/,"4.1
(17)",営業時間を追加,神社,34.4077486,136.7635584
takechan,1,3 年前,国道から二キロ分けいった駐車場直前にコロナの為利用禁止の虎柵が。だったら国道の入り口看板にそう書いとけ！てか三重の観光地ってみんなそんな感じ。,天の岩戸 三の鳥居,"
〒517-0209 三重県志摩市磯部町恵利原","
0599-55-1857",https://www.kanko-shima.com/purpose/1990/,"4.1
(17)",営業時間を追加,神社,34.4077486,136.7635584
Akinori Hirota,5,8 か月前,"ぜひ夏休みに行ってみてください。
自然の気持ちいいところです。",天の岩戸 三の鳥居,"
〒517-0209 三重県志摩市磯部町恵利原","
0599-55-1857",https://www.kanko-shima.com/purpose/1990/,"4.1
(17)",営業時間を追加,神社,34.4077486,136.7635584
Akinori Hirota,5,8 か月前,"ぜひ夏休みに行ってみてください。
自然の気持ちいいところです。",天の岩戸 三の鳥居,"
〒517-0209 三重県志摩市磯部町恵利原","
0599-55-1857",https://www.kanko-shima.com/purpose/1990/,"4.1
(17)",営業時間を追加,神社,34.4077486,136.7635584
JY L,4,3 年前,伊雑宮にお参りしたついでに天の岩戸に寄りました。,天の岩戸 三の鳥居,"
〒517-0209 三重県志摩市磯部町恵利原","
0599-55-1857",https://www.kanko-shima.com/purpose/1990/,"4.1
(17)",営業時間を追加,神社,34.4077486,136.7635584
JY L,4,3 年前,伊雑宮にお参りしたついでに天の岩戸に寄りました。,天の岩戸 三の鳥居,"
〒517-0209 三重県志摩市磯部町恵利原","
0599-55-1857",https://www.kanko-shima.com/purpose/1990/,"4.1
(17)",営業時間を追加,神社,34.4077486,136.7635584
優神風,4,2 年前,神聖な場所でした！,天の岩戸 三の鳥居,"
〒517-0209 三重県志摩市磯部町恵利原","
0599-55-1857",https://www.kanko-shima.com/purpose/1990/,"4.1
(17)",営業時間を追加,神社,34.4077486,136.7635584
優神風,4,2 年前,神聖な場所でした！,天の岩戸 三の鳥居,"
〒517-0209 三重県志摩市磯部町恵利原","
0599-55-1857",https://www.kanko-shima.com/purpose/1990/,"4.1
(17)",営業時間を追加,神社,34.4077486,136.7635584
Run kumamon,4,1 日前,"◎天の岩戸「三の鳥居」
⚫︎鳥居の横は清流、鳥居の奥の山からは、霊気が漂いまくってます。
⚫︎鳥居は新しく平成に建てられたもの。",天の岩戸 三の鳥居,"
〒517-0209 三重県志摩市磯部町恵利原","
0599-55-1857",https://www.kanko-shima.com/purpose/1990/,"4.1
(17)",営業時間を追加,神社,34.4077486,136.7635584
