Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
さとうゆずる,4,1 週間前,"2025.3.21
登山口〜万二郎岳〜万三郎岳周回コース
登山道は積雪や泥濘があり、歩きにくいし、
眺望はあまりなかった。
しかしルート間違いで谷を下ってしまった。
シャクナゲが咲いている時期に行けたら、
百名山に選出された意義がわかると思う。
トイレは冬季期間は使用不可だか、
訪れた時は使用できた。
また、登山靴を洗える場所もある。
路線バスの本数が大幅に減少したため、
車で行った方がいい。",天城山,"
〒413-0301 静岡県賀茂郡東伊豆町大川",Unknown,Unknown,"4.0
(117)",Unknown,山頂,34.8463566,138.9812424
さとうゆずる,4,1 週間前,"2025.3.21
登山口〜万二郎岳〜万三郎岳周回コース
登山道は積雪や泥濘があり、歩きにくいし、
眺望はあまりなかった。
しかしルート間違いで谷を下ってしまった。
シャクナゲが咲いている時期に行けたら、
百名山に選出された意義がわかると思う。
トイレは冬季期間は使用不可だか、
訪れた時は使用できた。
また、登山靴を洗える場所もある。
路線バスの本数が大幅に減少したため、
車で行った方がいい。",天城山,"
〒413-0301 静岡県賀茂郡東伊豆町大川",Unknown,Unknown,"4.0
(117)",Unknown,山頂,34.8463566,138.9812424
ゴンチロ,5,2 か月前,前回は、伊豆に帰省する大学の友人の車に便乗し、水生地下（すいしょうちした）から天城山を縦走しました　あれから３０年以上が経ち、ようやく再び天城山に帰ってくることが出来ました　と言うのも、カミさんが河津桜祭りを楽しみに伊豆へ行くと言うので、これに便乗して、天城縦走路登山口でデポってもらうことにしたのです　朝８時少し前に登山口に到着し、縦走スタート　ここ数日の寒波で登山道には数センチの積雪がありましたが、凍ってはおらず、起伏も緩やかなので、持参したチェーンスパイクを装着することもなく、のんびり快適に歩くことが出来ました　稜線から見る快晴の空や伊豆の青い海に感動しながら歩みを進めていると、やがて凍結した八丁池に到着　この八丁池でドローンを飛ばしているはずのTETSU君（彼もボクらと一緒に伊豆へ来ました）と合流できればと思いましたが、会えません　因みに彼は「天城」をテンシロと読むんだとずっと思っていたそうです(笑)　八丁池は気温が上がって少し氷が溶けてしまっていましたが、充分に美しかったです　そこから水生地下駐車場まで下り、ボクをピックアップするため駐車場に向かうカミさんを待ちながら、持参のビールを楽しみました　外気温が低かったせいで、ザックの中のビールはキンキンに冷えていて、とても美味しかったです　その後、遅れて下りてきたTETSU君と合流し、修善寺のスーパー銭湯でひとっ風呂浴びてから帰宅しました　あ～楽しかった😸,天城山,"
〒413-0301 静岡県賀茂郡東伊豆町大川",Unknown,Unknown,"4.0
(117)",Unknown,山頂,34.8463566,138.9812424
ゴンチロ,5,2 か月前,前回は、伊豆に帰省する大学の友人の車に便乗し、水生地下（すいしょうちした）から天城山を縦走しました　あれから３０年以上が経ち、ようやく再び天城山に帰ってくることが出来ました　と言うのも、カミさんが河津桜祭りを楽しみに伊豆へ行くと言うので、これに便乗して、天城縦走路登山口でデポってもらうことにしたのです　朝８時少し前に登山口に到着し、縦走スタート　ここ数日の寒波で登山道には数センチの積雪がありましたが、凍ってはおらず、起伏も緩やかなので、持参したチェーンスパイクを装着することもなく、のんびり快適に歩くことが出来ました　稜線から見る快晴の空や伊豆の青い海に感動しながら歩みを進めていると、やがて凍結した八丁池に到着　この八丁池でドローンを飛ばしているはずのTETSU君（彼もボクらと一緒に伊豆へ来ました）と合流できればと思いましたが、会えません　因みに彼は「天城」をテンシロと読むんだとずっと思っていたそうです(笑)　八丁池は気温が上がって少し氷が溶けてしまっていましたが、充分に美しかったです　そこから水生地下駐車場まで下り、ボクをピックアップするため駐車場に向かうカミさんを待ちながら、持参のビールを楽しみました　外気温が低かったせいで、ザックの中のビールはキンキンに冷えていて、とても美味しかったです　その後、遅れて下りてきたTETSU君と合流し、修善寺のスーパー銭湯でひとっ風呂浴びてから帰宅しました　あ～楽しかった😸,天城山,"
〒413-0301 静岡県賀茂郡東伊豆町大川",Unknown,Unknown,"4.0
(117)",Unknown,山頂,34.8463566,138.9812424
宅配クリーニングネットで洗濯 . com,5,6 か月前,"景色などのご褒美は少なめのストイックな百名山天城山に登ってきました。

無料駐車場にはトイレなど登山靴を洗う設備もあります。

天城しゃくなげコースで約6時間半のコースでしたが、特に涸沢分岐点から四辻の間は、道がかなりわかりにくく、変なところのガレ場を約30分ほど登ってしまい焦りました。

遭難者もいると言うことで、駐車場には注意書きがかなり多く貼られていましたが、そんな中でも不注意で道に迷ってしまいました。幸い携帯に地図を入れていたのですぐに気づくことができましたが、準備は万全にして登ることをお勧めです。

馬の背からは富士山が見ることができましてよかったです。",天城山,"
〒413-0301 静岡県賀茂郡東伊豆町大川",Unknown,Unknown,"4.0
(117)",Unknown,山頂,34.8463566,138.9812424
宅配クリーニングネットで洗濯 . com,5,6 か月前,"景色などのご褒美は少なめのストイックな百名山天城山に登ってきました。

無料駐車場にはトイレなど登山靴を洗う設備もあります。

天城しゃくなげコースで約6時間半のコースでしたが、特に涸沢分岐点から四辻の間は、道がかなりわかりにくく、変なところのガレ場を約30分ほど登ってしまい焦りました。

遭難者もいると言うことで、駐車場には注意書きがかなり多く貼られていましたが、そんな中でも不注意で道に迷ってしまいました。幸い携帯に地図を入れていたのですぐに気づくことができましたが、準備は万全にして登ることをお勧めです。

馬の背からは富士山が見ることができましてよかったです。",天城山,"
〒413-0301 静岡県賀茂郡東伊豆町大川",Unknown,Unknown,"4.0
(117)",Unknown,山頂,34.8463566,138.9812424
yoshio yokoya,3,5 か月前,"2024.11.24
6時半〜10時半でシャクナゲコースを登山。曇天だったためあまり景観は良くなかった。",天城山,"
〒413-0301 静岡県賀茂郡東伊豆町大川",Unknown,Unknown,"4.0
(117)",Unknown,山頂,34.8463566,138.9812424
yoshio yokoya,3,5 か月前,"2024.11.24
6時半〜10時半でシャクナゲコースを登山。曇天だったためあまり景観は良くなかった。",天城山,"
〒413-0301 静岡県賀茂郡東伊豆町大川",Unknown,Unknown,"4.0
(117)",Unknown,山頂,34.8463566,138.9812424
Katsumi,4,1 年前,"天城山（万二郎岳・万三郎岳）周回コースに行ってきました～
4月19日（金曜日）駐車場（天城高原ハイカー専用駐車場）に9時前に到着、駐車場は平日だったので空いていました～
とても良い天気でしたが、黄砂のせいか少し藻ヤっていましたが、コース的には面白い登山だと思います。
景色は山頂からは今いちですが、途中途中で山と海が見えるコントラスト？最高です。が、はしごや足場が崩れていて歩きにくい（段差が高いです）場所が所々あるので歩行注意です。
歩行距離は8,4km15,000歩 約6時間 、休憩を入れたら丸１日コースでした。
因みにヤマップではコースタイム4時間半となってます。",天城山,"
〒413-0301 静岡県賀茂郡東伊豆町大川",Unknown,Unknown,"4.0
(117)",Unknown,山頂,34.8463566,138.9812424
Katsumi,4,1 年前,"天城山（万二郎岳・万三郎岳）周回コースに行ってきました～
4月19日（金曜日）駐車場（天城高原ハイカー専用駐車場）に9時前に到着、駐車場は平日だったので空いていました～
とても良い天気でしたが、黄砂のせいか少し藻ヤっていましたが、コース的には面白い登山だと思います。
景色は山頂からは今いちですが、途中途中で山と海が見えるコントラスト？最高です。が、はしごや足場が崩れていて歩きにくい（段差が高いです）場所が所々あるので歩行注意です。
歩行距離は8,4km15,000歩 約6時間 、休憩を入れたら丸１日コースでした。
因みにヤマップではコースタイム4時間半となってます。",天城山,"
〒413-0301 静岡県賀茂郡東伊豆町大川",Unknown,Unknown,"4.0
(117)",Unknown,山頂,34.8463566,138.9812424
