Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
hanao,5,8 か月前,"京都のプールでは太陽が丘か、亀岡プールの2択かと思いますが私は太陽が丘の方がおすすめです。事前予約制ですが、入場時にQRコードを読みとった後の決済になります。京都市の子育てパスポートが使えます。
簡易のテントを持込めますので、必須です。猛暑日予想の日でしたが、周りが木々で覆われているからか、意外と暑さは感じず、風が吹くと涼しいくらいでした。プールに入った後は、子供が寒いと言っていたくらいでした。
飲食店も豊富で、食べ物にも困りません。
水上アスレチックは有料ですが、やる価値はあります！大人も楽しめます。
そして私が何と言ってもここが好きな理由が、監視員の方々が厳しく監視してくださっているところです。プールサイドを走っている子や、飛び込みをしている子がいるとすかさず注意してくださいます。時には厳しめに注意されている事もあります。とても安心できます。
是非1度行ってみてください。",太陽が丘ファミリープール,"
〒611-0031 京都府宇治市広野町八軒屋谷１","
0774-24-1313",https://www.kyoto-park.jp/pool/,"3.9
(276)",Unknown,屋外プール,34.867927,135.8024449
hanao,5,8 か月前,"京都のプールでは太陽が丘か、亀岡プールの2択かと思いますが私は太陽が丘の方がおすすめです。事前予約制ですが、入場時にQRコードを読みとった後の決済になります。京都市の子育てパスポートが使えます。
簡易のテントを持込めますので、必須です。猛暑日予想の日でしたが、周りが木々で覆われているからか、意外と暑さは感じず、風が吹くと涼しいくらいでした。プールに入った後は、子供が寒いと言っていたくらいでした。
飲食店も豊富で、食べ物にも困りません。
水上アスレチックは有料ですが、やる価値はあります！大人も楽しめます。
そして私が何と言ってもここが好きな理由が、監視員の方々が厳しく監視してくださっているところです。プールサイドを走っている子や、飛び込みをしている子がいるとすかさず注意してくださいます。時には厳しめに注意されている事もあります。とても安心できます。
是非1度行ってみてください。",太陽が丘ファミリープール,"
〒611-0031 京都府宇治市広野町八軒屋谷１","
0774-24-1313",https://www.kyoto-park.jp/pool/,"3.9
(276)",Unknown,屋外プール,34.867927,135.8024449
y r,3,9 か月前,"7月21日日曜日にいきました。
京都市民は子育てパスポートがあるので
安く1日過ごせるが、人が多いせいかプールの水が濁ってる💦
日陰があまりないのでテントは必須です。
水上アスレチックは別料金です。",太陽が丘ファミリープール,"
〒611-0031 京都府宇治市広野町八軒屋谷１","
0774-24-1313",https://www.kyoto-park.jp/pool/,"3.9
(276)",Unknown,屋外プール,34.867927,135.8024449
y r,3,9 か月前,"7月21日日曜日にいきました。
京都市民は子育てパスポートがあるので
安く1日過ごせるが、人が多いせいかプールの水が濁ってる💦
日陰があまりないのでテントは必須です。
水上アスレチックは別料金です。",太陽が丘ファミリープール,"
〒611-0031 京都府宇治市広野町八軒屋谷１","
0774-24-1313",https://www.kyoto-park.jp/pool/,"3.9
(276)",Unknown,屋外プール,34.867927,135.8024449
Jr.の足跡,2,7 か月前,昔から有名なプール、だけど、ちょっと古くなってきたかなー。アスレチック作ったり頑張ってはいるし、小さい子なら充分は広さですが、小学生高学年以上には物足りなく感じるかも。,太陽が丘ファミリープール,"
〒611-0031 京都府宇治市広野町八軒屋谷１","
0774-24-1313",https://www.kyoto-park.jp/pool/,"3.9
(276)",Unknown,屋外プール,34.867927,135.8024449
Jr.の足跡,2,7 か月前,昔から有名なプール、だけど、ちょっと古くなってきたかなー。アスレチック作ったり頑張ってはいるし、小さい子なら充分は広さですが、小学生高学年以上には物足りなく感じるかも。,太陽が丘ファミリープール,"
〒611-0031 京都府宇治市広野町八軒屋谷１","
0774-24-1313",https://www.kyoto-park.jp/pool/,"3.9
(276)",Unknown,屋外プール,34.867927,135.8024449
きなこ,5,9 か月前,"事前に公式サイトから予約する必要があります。
入場の際にQRコードを読み込んだ時点で支払い完了。行かなければ、そのままキャンセル扱いになります。キャンセル料かからないのは有難い。
さらに京都府子育てパスポートがあれば、小学生以下の子供1人に対し、大人が1人無料になります。めちゃくちゃお得です。

夏休み初日の土曜日9時に予約。15分ぐらい前に到着。一番近くの駐車場にギリギリで停められました。
プールの入口は入場待ちで並んでいたけど、入場しだすとスムーズに入れました。
木も多く木陰もあるけど、テントは必須。
ロッカーは100円で返却なし。
いろいろなプールがある中でも、波のプールは子供たちに大好評！
スライダーも見た目以上に楽しめました。
これで大人1人分無料はかなりコスパ良いです。採算取れてるのか心配になります。",太陽が丘ファミリープール,"
〒611-0031 京都府宇治市広野町八軒屋谷１","
0774-24-1313",https://www.kyoto-park.jp/pool/,"3.9
(276)",Unknown,屋外プール,34.867927,135.8024449
きなこ,5,9 か月前,"事前に公式サイトから予約する必要があります。
入場の際にQRコードを読み込んだ時点で支払い完了。行かなければ、そのままキャンセル扱いになります。キャンセル料かからないのは有難い。
さらに京都府子育てパスポートがあれば、小学生以下の子供1人に対し、大人が1人無料になります。めちゃくちゃお得です。

夏休み初日の土曜日9時に予約。15分ぐらい前に到着。一番近くの駐車場にギリギリで停められました。
プールの入口は入場待ちで並んでいたけど、入場しだすとスムーズに入れました。
木も多く木陰もあるけど、テントは必須。
ロッカーは100円で返却なし。
いろいろなプールがある中でも、波のプールは子供たちに大好評！
スライダーも見た目以上に楽しめました。
これで大人1人分無料はかなりコスパ良いです。採算取れてるのか心配になります。",太陽が丘ファミリープール,"
〒611-0031 京都府宇治市広野町八軒屋谷１","
0774-24-1313",https://www.kyoto-park.jp/pool/,"3.9
(276)",Unknown,屋外プール,34.867927,135.8024449
ドラクエマニア,4,2 年前,"今年最終日に初訪問。
最終日だからかあまり混んでおらず、水や施設も綺麗でゆっくりと遊ばせて頂きました。
子供は波のあるプールや滑り台でかなり楽しんでいました。

幼児から小・中学生まで幅広く遊べるよう浅いプールや深いプールなどメリハリが効いています。
来年は何回かお世話になろうかと思いました。
ちなみに2022年は事前予約が必要でしたので確認して下さい。

京都子育てパスポートがあれば子供1名につき大人1名が無料なのは本当に助かるので来年以降も継続してほしいです。
それと他の方も書かれていますがトイレのリニューアル(和式→洋式)をして頂ければ更に嬉しいです。",太陽が丘ファミリープール,"
〒611-0031 京都府宇治市広野町八軒屋谷１","
0774-24-1313",https://www.kyoto-park.jp/pool/,"3.9
(276)",Unknown,屋外プール,34.867927,135.8024449
ドラクエマニア,4,2 年前,"今年最終日に初訪問。
最終日だからかあまり混んでおらず、水や施設も綺麗でゆっくりと遊ばせて頂きました。
子供は波のあるプールや滑り台でかなり楽しんでいました。

幼児から小・中学生まで幅広く遊べるよう浅いプールや深いプールなどメリハリが効いています。
来年は何回かお世話になろうかと思いました。
ちなみに2022年は事前予約が必要でしたので確認して下さい。

京都子育てパスポートがあれば子供1名につき大人1名が無料なのは本当に助かるので来年以降も継続してほしいです。
それと他の方も書かれていますがトイレのリニューアル(和式→洋式)をして頂ければ更に嬉しいです。",太陽が丘ファミリープール,"
〒611-0031 京都府宇治市広野町八軒屋谷１","
0774-24-1313",https://www.kyoto-park.jp/pool/,"3.9
(276)",Unknown,屋外プール,34.867927,135.8024449
