Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
tooru isaka,4,1 か月前,"建築として評価
上の穴から電波飛ばしてそう …",奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
tooru isaka,4,1 か月前,"建築として評価
上の穴から電波飛ばしてそう …",奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
ma tsu goh,4,8 か月前,"奈々鹿 さんという奈良宣伝担当Vtuberの名刺を8月9日（金）まで配布してるということで、行ってきました。

初めて奈良県庁に訪れましたが、屋上が良いところでした♪展望台から360°パノラマで東大寺や鹿公園および生駒山上まで全体を眺めることが出来ます！ …",奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
ma tsu goh,4,8 か月前,"奈々鹿 さんという奈良宣伝担当Vtuberの名刺を8月9日（金）まで配布してるということで、行ってきました。

初めて奈良県庁に訪れましたが、屋上が良いところでした♪展望台から360°パノラマで東大寺や鹿公園および生駒山上まで全体を眺めることが出来ます！ …",奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
K N,5,5 か月前,平日限定になりますが、屋上開放しています。奈良公園の願望は最高です。また、6階食堂からの眺めもよく、一般利用出来ます。,奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
K N,5,5 か月前,平日限定になりますが、屋上開放しています。奈良公園の願望は最高です。また、6階食堂からの眺めもよく、一般利用出来ます。,奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
Ami Iida (Google Nerd),3,6 か月前,"奈良県庁の屋上の展望塔から奈良公園の様々な世界遺産を見ることができます。
奈良県庁 真ん中にして 東西南北の景色を様々に楽しむことができます。
特に 東側の東大寺や若草山は緑色の美しい風景を眺める事ができる。",奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
Ami Iida (Google Nerd),3,6 か月前,"奈良県庁の屋上の展望塔から奈良公園の様々な世界遺産を見ることができます。
奈良県庁 真ん中にして 東西南北の景色を様々に楽しむことができます。
特に 東側の東大寺や若草山は緑色の美しい風景を眺める事ができる。",奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
Takashi Wara,4,1 年前,"奈良の行政と観光の中心。屋上が整備されており見晴らしが最高に良いです。無料の望遠鏡が生駒の山までしっかりと見れます。若草山、東大寺、興福寺などがぐるっと一望出来るのはここだけです。また、食堂がありかなり安く食べられます。営業時間は短めで13時以降は売り切れメニューも出てきます。食堂からの見晴らしも非常に良く、職員の方々が羨ましいです。屋上の更に上に展望台がありベランダを一周出来ます。あの辺りで一番高い建物なので東大寺大仏殿の大屋根も見下ろす感じになります。
是非、奈良にお便りの際は奈良県庁へ！！",奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
Takashi Wara,4,1 年前,"奈良の行政と観光の中心。屋上が整備されており見晴らしが最高に良いです。無料の望遠鏡が生駒の山までしっかりと見れます。若草山、東大寺、興福寺などがぐるっと一望出来るのはここだけです。また、食堂がありかなり安く食べられます。営業時間は短めで13時以降は売り切れメニューも出てきます。食堂からの見晴らしも非常に良く、職員の方々が羨ましいです。屋上の更に上に展望台がありベランダを一周出来ます。あの辺りで一番高い建物なので東大寺大仏殿の大屋根も見下ろす感じになります。
是非、奈良にお便りの際は奈良県庁へ！！",奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
小川聡,5,9 か月前,一般人でも食堂で食事ができる奈良県庁。奈良公園付近では食べるところも少なく観光地価格のところも多いけど、ここは600円でランチが食べられました。食堂からの眺めも良かったですが、さらに屋上も展望台として開放されているので、食後は屋上に登って東大寺や若草山を眺めて楽しみました。,奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
小川聡,5,9 か月前,一般人でも食堂で食事ができる奈良県庁。奈良公園付近では食べるところも少なく観光地価格のところも多いけど、ここは600円でランチが食べられました。食堂からの眺めも良かったですが、さらに屋上も展望台として開放されているので、食後は屋上に登って東大寺や若草山を眺めて楽しみました。,奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
hiro bu,5,1 年前,"６階にある広い眺望の良い県庁職員食堂は13:30 迄は一般の方でもOKである!

因みにお昼のランチ600円! …",奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
hiro bu,5,1 年前,"６階にある広い眺望の良い県庁職員食堂は13:30 迄は一般の方でもOKである!

因みにお昼のランチ600円! …",奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
お池,4,1 年前,"近鉄奈良駅から奈良公園へ向かって進むと
左手に見えてくる建物
入口でせんとくんがお出迎えをしている …",奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
お池,4,1 年前,"近鉄奈良駅から奈良公園へ向かって進むと
左手に見えてくる建物
入口でせんとくんがお出迎えをしている …",奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
HON RIDE,1,1 か月前,車中泊で旅をしています。奈良県は歴史のある素晴らしい場所であるのは間違いありませんが、奈良県に入った途端に奈良ナンバーの危険運転をする奈良ナンバー車3台立て続けに遭遇しました。異常だと思います。 …,奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
HON RIDE,1,1 か月前,車中泊で旅をしています。奈良県は歴史のある素晴らしい場所であるのは間違いありませんが、奈良県に入った途端に奈良ナンバーの危険運転をする奈良ナンバー車3台立て続けに遭遇しました。異常だと思います。 …,奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
S Sato,5,1 年前,"東大寺の帰りに立ち寄り。
玄関前のセントくんと記念撮影。
守衛の方のオススメで屋上の展望台へ …",奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
S Sato,5,1 年前,"東大寺の帰りに立ち寄り。
玄関前のセントくんと記念撮影。
守衛の方のオススメで屋上の展望台へ …",奈良県庁,"
〒630-8501 奈良県奈良市登大路町３０","
0742-22-1101",http://www.pref.nara.jp/,"3.9
(191)",Unknown,〒630-8501 奈良県奈良市登大路町３０,35.1753889,137.7800963
