Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Pikachu Tasaki,5,4 か月前,"これは只見川の上流部にあります超巨大建造物です。
奥只見シルバーラインからしかたどり着けない場所でまさしく陸の孤島です。
有効貯水量日本一のダムで有効貯水量は約4億5800万m3です。重力式コンクリートダムとしては堰堤の高さが日本一です。﻿ダム式水力発電所としての最大発電能力も日本一です。
ダムの完成により日本屈指の人造湖「奥只見湖（おくただみこ）」（ダム湖百選）が形成されました。
J-POWER(電源開発株式会社)により建設され1961年にダムは完成しました。同時期に完成した黒部ダムと並んで日本のダムの歴史における金字塔となっています。🗾🗾🗾",奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
Pikachu Tasaki,5,4 か月前,"これは只見川の上流部にあります超巨大建造物です。
奥只見シルバーラインからしかたどり着けない場所でまさしく陸の孤島です。
有効貯水量日本一のダムで有効貯水量は約4億5800万m3です。重力式コンクリートダムとしては堰堤の高さが日本一です。﻿ダム式水力発電所としての最大発電能力も日本一です。
ダムの完成により日本屈指の人造湖「奥只見湖（おくただみこ）」（ダム湖百選）が形成されました。
J-POWER(電源開発株式会社)により建設され1961年にダムは完成しました。同時期に完成した黒部ダムと並んで日本のダムの歴史における金字塔となっています。🗾🗾🗾",奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
あいーた。,5,5 か月前,"福島県の檜枝岐村方面から352号を走り朝一目指しましたが、秘境すぎる為ダムが見えても昼前に到着する道のりでした。
ですが頑張って車を走らせたかいもあって素晴らしい景色が見れることが出来ました。
校外学習で来ていた学生達と一緒に遊覧船を楽しみました。",奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
あいーた。,5,5 か月前,"福島県の檜枝岐村方面から352号を走り朝一目指しましたが、秘境すぎる為ダムが見えても昼前に到着する道のりでした。
ですが頑張って車を走らせたかいもあって素晴らしい景色が見れることが出来ました。
校外学習で来ていた学生達と一緒に遊覧船を楽しみました。",奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
Toshiaki I,5,6 か月前,貯水量国内２位のダム、奥只見電力館でダムカード２種類とボールペンをもらいました。スロプカー操作されてる方の話しですが『例年ですと紅葉しているが今年は暖かいので遅れている』との事で、訪れた2024/10/21日は色付き始めでした。,奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
Toshiaki I,5,6 か月前,貯水量国内２位のダム、奥只見電力館でダムカード２種類とボールペンをもらいました。スロプカー操作されてる方の話しですが『例年ですと紅葉しているが今年は暖かいので遅れている』との事で、訪れた2024/10/21日は色付き始めでした。,奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
Yumi narak,4,11 か月前,シルバーラインどん詰まりにある1960年に完成した巨大なダム。どよーんと無機質な雰囲気の湖に観光船が巡る。ここまでの道シルバーラインや駐車場のひなびた食堂、遊覧船乗り場行きの100円ケーブルカ－といい、昭和な感じでなかなかよい。,奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
Yumi narak,4,11 か月前,シルバーラインどん詰まりにある1960年に完成した巨大なダム。どよーんと無機質な雰囲気の湖に観光船が巡る。ここまでの道シルバーラインや駐車場のひなびた食堂、遊覧船乗り場行きの100円ケーブルカ－といい、昭和な感じでなかなかよい。,奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
Tomita Hiroki,4,2 年前,"2022/9/5
真夏でも20度を超えない岩盤むき出しの長いトンネル(計18.1km)、シルバーラインを抜けると幅480mx高さ157mの巨大ダムが出現します。同種の貯水池式発電所としては日本最大で最大出力56万kW、有名な黒部ダムの1.6倍の規模です。ダム湖も広大で遊覧船で巡る事が出来、また、周囲の名山、平ヶ岳や越後駒ヶ岳などから一部を望む事が出来ます。特に、越後駒ヶ岳から望むダム湖の上を埋め尽くす雲海は珠玉の日の出の光景です。発電開始は1960年、シルバーラインは1971年の開通で、江戸時代の銀鉱がその名の由来です。流れ落ちた水は阿賀野川となり、会津を抜け新潟市の日本海へ流れ込みます。積雪量は想像を絶し、隣接するスキー場は冬期に閉鎖します。シルバーラインも同様で冬場はダムへ行くことは出来ません。ダム脇に大きな無料駐車場(トイレ有り)があり、レストラン兼お土産屋さんが2件あります。ダムカレー、岩魚料理、山ぶどうアイスクリームが有名です。ダム上部には駐車場からやや急登5分、スロープカー(片道100円)を使えば座って行けます。遊覧船(一周40分)乗り場や電力館があります。",奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
Tomita Hiroki,4,2 年前,"2022/9/5
真夏でも20度を超えない岩盤むき出しの長いトンネル(計18.1km)、シルバーラインを抜けると幅480mx高さ157mの巨大ダムが出現します。同種の貯水池式発電所としては日本最大で最大出力56万kW、有名な黒部ダムの1.6倍の規模です。ダム湖も広大で遊覧船で巡る事が出来、また、周囲の名山、平ヶ岳や越後駒ヶ岳などから一部を望む事が出来ます。特に、越後駒ヶ岳から望むダム湖の上を埋め尽くす雲海は珠玉の日の出の光景です。発電開始は1960年、シルバーラインは1971年の開通で、江戸時代の銀鉱がその名の由来です。流れ落ちた水は阿賀野川となり、会津を抜け新潟市の日本海へ流れ込みます。積雪量は想像を絶し、隣接するスキー場は冬期に閉鎖します。シルバーラインも同様で冬場はダムへ行くことは出来ません。ダム脇に大きな無料駐車場(トイレ有り)があり、レストラン兼お土産屋さんが2件あります。ダムカレー、岩魚料理、山ぶどうアイスクリームが有名です。ダム上部には駐車場からやや急登5分、スロープカー(片道100円)を使えば座って行けます。遊覧船(一周40分)乗り場や電力館があります。",奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
只見荘一郎,5,8 か月前,"奥只見ダムは1960年に竣工した重力式コンクリートダムで、総貯水容量は徳山ダムに次ぐ国内第2位です。
ダムカード収集目的に、初夏の奥只見ダムに行ってきました。アクセスは極めて不良で、車で奥只見シルバーラインを通る以外方法はありません。私はJR浦佐からバスを使いました。バスを降りると目の前に「秘境奥只見」の看板が見えます。周囲は山・山・山で、目立つ人工物はダムだけです。そのダムの堤高は157.0 mで、2024年現在国内第6位の高さを誇る巨大さです。釣りのメッカとしても知られていて、ヤマメ、ニジマス・サクラマスなどが多く生息します。また渓流では30㎝くらいまでしか成長しないイワナですが、ここには60cmを超えるモノもいるそうです。なお解禁日は４月21日です、良い釣果を。
とても静かなところです。以前生活した離島も静かでしたが、そこでは発電機が常時音を立てていたので「静寂」には至りませんでした。でもここは違います。湖畔の宿に泊まりましたが、夜間の静けさは半端じゃありません。なーんにも聞こえないのです。真の静寂です。時折尾瀬の方向が光ります。雷です。しかし距離があるせいか音は聞こえません。「沈黙の雷光」でした。
ところで仕事をするべくPCを持ちこんだのですが、静かすぎて逆に集中できません。しょうがないので、飲みながら湖面に映る雷光を見ていました。でもこれって最高の贅沢ですよね。",奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
只見荘一郎,5,8 か月前,"奥只見ダムは1960年に竣工した重力式コンクリートダムで、総貯水容量は徳山ダムに次ぐ国内第2位です。
ダムカード収集目的に、初夏の奥只見ダムに行ってきました。アクセスは極めて不良で、車で奥只見シルバーラインを通る以外方法はありません。私はJR浦佐からバスを使いました。バスを降りると目の前に「秘境奥只見」の看板が見えます。周囲は山・山・山で、目立つ人工物はダムだけです。そのダムの堤高は157.0 mで、2024年現在国内第6位の高さを誇る巨大さです。釣りのメッカとしても知られていて、ヤマメ、ニジマス・サクラマスなどが多く生息します。また渓流では30㎝くらいまでしか成長しないイワナですが、ここには60cmを超えるモノもいるそうです。なお解禁日は４月21日です、良い釣果を。
とても静かなところです。以前生活した離島も静かでしたが、そこでは発電機が常時音を立てていたので「静寂」には至りませんでした。でもここは違います。湖畔の宿に泊まりましたが、夜間の静けさは半端じゃありません。なーんにも聞こえないのです。真の静寂です。時折尾瀬の方向が光ります。雷です。しかし距離があるせいか音は聞こえません。「沈黙の雷光」でした。
ところで仕事をするべくPCを持ちこんだのですが、静かすぎて逆に集中できません。しょうがないので、飲みながら湖面に映る雷光を見ていました。でもこれって最高の贅沢ですよね。",奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
Jyoji,4,2 年前,"新潟と福島の県境にあるダム湖です。
新潟側から訪問する場合はシルバーライン、福島側から訪問する場合は尾瀬を越えて訪問することになるため訪問するのが大変です
また途中の道もまさに秘境のような雰囲気があります

公共交通を利用する場合も1日2往復くらいしかない交通機関を乗り継ぐ必要があります。

ダムは電力館や遊覧船、レストハウス、スロープカーなどの見どころがあり楽しめます。
ダムカードは電力館、遊覧船の御船印は遊覧船のりばでもらうことができます。

アクセスが悪くても十分訪れる価値のある場所だと思います。",奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
Jyoji,4,2 年前,"新潟と福島の県境にあるダム湖です。
新潟側から訪問する場合はシルバーライン、福島側から訪問する場合は尾瀬を越えて訪問することになるため訪問するのが大変です
また途中の道もまさに秘境のような雰囲気があります

公共交通を利用する場合も1日2往復くらいしかない交通機関を乗り継ぐ必要があります。

ダムは電力館や遊覧船、レストハウス、スロープカーなどの見どころがあり楽しめます。
ダムカードは電力館、遊覧船の御船印は遊覧船のりばでもらうことができます。

アクセスが悪くても十分訪れる価値のある場所だと思います。",奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
310k mcs,4,6 か月前,"大きなダムで迫力がありました!
ダムまでは徒歩か
ケーブルカーで往復200円です。
遊覧船もありました。",奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
310k mcs,4,6 か月前,"大きなダムで迫力がありました!
ダムまでは徒歩か
ケーブルカーで往復200円です。
遊覧船もありました。",奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
上野和之,5,3 年前,"ダムまでは片道22kmの奥只見シルバーラインを通ります。19個のトンネルを抜けると奥只見ダムへ到着です。重力式コンクリートダムでは日本一の高さがあるようです。
ダム湖をめぐる遊覧船もあり秋に訪れると紅葉を楽しめます🍁 …",奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
上野和之,5,3 年前,"ダムまでは片道22kmの奥只見シルバーラインを通ります。19個のトンネルを抜けると奥只見ダムへ到着です。重力式コンクリートダムでは日本一の高さがあるようです。
ダム湖をめぐる遊覧船もあり秋に訪れると紅葉を楽しめます🍁 …",奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
Nori,5,2 年前,秘境　奥只見にあるダムだけあって、壮大なスケール感があります。但し黒部ダムなどと異なり、放水口がかなり下流に有るそうなので、ダイナミックな放水を見ることは出来ません。ダムカードは丘を登った先の電力館に行かないと貰えないそうです。,奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
Nori,5,2 年前,秘境　奥只見にあるダムだけあって、壮大なスケール感があります。但し黒部ダムなどと異なり、放水口がかなり下流に有るそうなので、ダイナミックな放水を見ることは出来ません。ダムカードは丘を登った先の電力館に行かないと貰えないそうです。,奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
m i,3,1 年前,"1960年に完成 。
高さ157ｍ、全長480ｍの直線重力式コンクリートダム。
同形式のダムでは高さ日本一。
天気、時期が揃えば紅葉はとても綺麗。",奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
m i,3,1 年前,"1960年に完成 。
高さ157ｍ、全長480ｍの直線重力式コンクリートダム。
同形式のダムでは高さ日本一。
天気、時期が揃えば紅葉はとても綺麗。",奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
Kotobuki,4,4 年前,秘境奥只見というだけあって良くも悪くも何もないところです。何もないと言っても大自然やダム、土産物店、食堂、電源神社、電力館などありますが冬季はそれらも休業になるようです。ここは道中の奥只見シルバーラインも見どころですね。素掘りで地下水が滴り落ちてくるトンネルが計約18kmも続くのでドライブコースにもいいです。また、敢えてシルバーラインを通らずに枝折峠を超える樹海ラインを走るのも秘境感が味わえてオススメです。,奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
Kotobuki,4,4 年前,秘境奥只見というだけあって良くも悪くも何もないところです。何もないと言っても大自然やダム、土産物店、食堂、電源神社、電力館などありますが冬季はそれらも休業になるようです。ここは道中の奥只見シルバーラインも見どころですね。素掘りで地下水が滴り落ちてくるトンネルが計約18kmも続くのでドライブコースにもいいです。また、敢えてシルバーラインを通らずに枝折峠を超える樹海ラインを走るのも秘境感が味わえてオススメです。,奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
HIRO,5,2 年前,"シルバーラインのトンネルを抜けると奥只見ダムが現れます。
駐車場から見るダムも迫力があります。
ダム湖には遊覧船が10:30から1時間毎に運行していました。ダム湖はとても大きく景色も綺麗です。
ダムカレーも美味しくいただきました。",奥只見ダム,"
〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317","
025-795-2059",http://www.okutadami.co.jp/dam/index.html,"4.3
(138)",営業時間を追加,〒946-0082 新潟県魚沼市湯之谷芋川 字大鳥1317,37.1359012,139.1863564
