Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
もんたろう,N/A,"Google
より（10 か月前）",福地山登山の駐車場はこちらです。お店は70年代、80年代のアイドルのポスター、レコードジャケットが所狭しと張り巡らされ、昔話に花を咲かせていると、一時間くらい見ていられます。結果、登山路は懐メロのオンパートになる訳です。ザ・ベストテンなどの歌番組や明星などの雑誌も思い出されます。登山や温泉とは全く関係ないことですが、登山の前に青春時代の記憶が思い起こされて得した気分になりました。,奥飛騨温泉郷 福地温泉,"
〒506-1434 岐阜県高山市奥飛騨温泉郷福地",Unknown,http://fukujionsen.com/,"4.3
(72)",お店やスポットの電話番号を追加する,〒506-1434 岐阜県高山市奥飛騨温泉郷福地,36.2174545,137.5198038
もんたろう,N/A,"Google
より（10 か月前）",福地山登山の駐車場はこちらです。お店は70年代、80年代のアイドルのポスター、レコードジャケットが所狭しと張り巡らされ、昔話に花を咲かせていると、一時間くらい見ていられます。結果、登山路は懐メロのオンパートになる訳です。ザ・ベストテンなどの歌番組や明星などの雑誌も思い出されます。登山や温泉とは全く関係ないことですが、登山の前に青春時代の記憶が思い起こされて得した気分になりました。,奥飛騨温泉郷 福地温泉,"
〒506-1434 岐阜県高山市奥飛騨温泉郷福地",Unknown,http://fukujionsen.com/,"4.3
(72)",お店やスポットの電話番号を追加する,〒506-1434 岐阜県高山市奥飛騨温泉郷福地,36.2174545,137.5198038
FKSM YK,N/A,"Google
より（1 年前）","施設自体は
年季を感じつつもしっかり
手入れされていて好印象でした。

周辺では比較的遅くまで空いているので
アクティビティの後の気分転換に
とても良いと思います。♨️",奥飛騨温泉郷 福地温泉,"
〒506-1434 岐阜県高山市奥飛騨温泉郷福地",Unknown,http://fukujionsen.com/,"4.3
(72)",お店やスポットの電話番号を追加する,〒506-1434 岐阜県高山市奥飛騨温泉郷福地,36.2174545,137.5198038
FKSM YK,N/A,"Google
より（1 年前）","施設自体は
年季を感じつつもしっかり
手入れされていて好印象でした。

周辺では比較的遅くまで空いているので
アクティビティの後の気分転換に
とても良いと思います。♨️",奥飛騨温泉郷 福地温泉,"
〒506-1434 岐阜県高山市奥飛騨温泉郷福地",Unknown,http://fukujionsen.com/,"4.3
(72)",お店やスポットの電話番号を追加する,〒506-1434 岐阜県高山市奥飛騨温泉郷福地,36.2174545,137.5198038
Petit- gonta (Itsu-kana papa),N/A,"Google
より（6 年前）","個人的に一番のお気に入りの温泉。
国道から外れた場所にあり、看板やネオンなどは無く静かにノンビリ過ごせます。
どの宿も古民家を移築したり古民家風にしていたりと統一されており囲炉裏があるのも特徴です。春夏秋冬どの季節も風情があり浴衣を着て下駄を履いて歩ける雰囲気が最高です。

特に秋の紅葉と冬の雪深い季節が一番好きですが、宿泊した際今は有料になってしまいましたが「のくとまり手形」で各宿のお風呂に入ることが出来次回の宿泊の参考に出来ます。
静かな温泉街ゆえに静かに過ごしたい方やノンビリされたい方向けの温泉だと思います。",奥飛騨温泉郷 福地温泉,"
〒506-1434 岐阜県高山市奥飛騨温泉郷福地",Unknown,http://fukujionsen.com/,"4.3
(72)",お店やスポットの電話番号を追加する,〒506-1434 岐阜県高山市奥飛騨温泉郷福地,36.2174545,137.5198038
Petit- gonta (Itsu-kana papa),N/A,"Google
より（6 年前）","個人的に一番のお気に入りの温泉。
国道から外れた場所にあり、看板やネオンなどは無く静かにノンビリ過ごせます。
どの宿も古民家を移築したり古民家風にしていたりと統一されており囲炉裏があるのも特徴です。春夏秋冬どの季節も風情があり浴衣を着て下駄を履いて歩ける雰囲気が最高です。

特に秋の紅葉と冬の雪深い季節が一番好きですが、宿泊した際今は有料になってしまいましたが「のくとまり手形」で各宿のお風呂に入ることが出来次回の宿泊の参考に出来ます。
静かな温泉街ゆえに静かに過ごしたい方やノンビリされたい方向けの温泉だと思います。",奥飛騨温泉郷 福地温泉,"
〒506-1434 岐阜県高山市奥飛騨温泉郷福地",Unknown,http://fukujionsen.com/,"4.3
(72)",お店やスポットの電話番号を追加する,〒506-1434 岐阜県高山市奥飛騨温泉郷福地,36.2174545,137.5198038
Tomoyuki Sugizuru,N/A,"Google
より（11 年前）",福地温泉は、黒川温泉のように地区全体の旅館が協力して看板をなくしたり美観に努めており、素朴な田舎の風景が残る温泉地。田舎のおばあちゃんの家を訪問した、そんな気持ちにさせます。周囲旅館の内湯巡りもできます。,奥飛騨温泉郷 福地温泉,"
〒506-1434 岐阜県高山市奥飛騨温泉郷福地",Unknown,http://fukujionsen.com/,"4.3
(72)",お店やスポットの電話番号を追加する,〒506-1434 岐阜県高山市奥飛騨温泉郷福地,36.2174545,137.5198038
Tomoyuki Sugizuru,N/A,"Google
より（11 年前）",福地温泉は、黒川温泉のように地区全体の旅館が協力して看板をなくしたり美観に努めており、素朴な田舎の風景が残る温泉地。田舎のおばあちゃんの家を訪問した、そんな気持ちにさせます。周囲旅館の内湯巡りもできます。,奥飛騨温泉郷 福地温泉,"
〒506-1434 岐阜県高山市奥飛騨温泉郷福地",Unknown,http://fukujionsen.com/,"4.3
(72)",お店やスポットの電話番号を追加する,〒506-1434 岐阜県高山市奥飛騨温泉郷福地,36.2174545,137.5198038
hena ino,N/A,"Google
より（5 年前）","青だる、綺麗ですよ～‼️
寒い中の朝市も独特の雰囲気が……  一見の価値あり。",奥飛騨温泉郷 福地温泉,"
〒506-1434 岐阜県高山市奥飛騨温泉郷福地",Unknown,http://fukujionsen.com/,"4.3
(72)",お店やスポットの電話番号を追加する,〒506-1434 岐阜県高山市奥飛騨温泉郷福地,36.2174545,137.5198038
hena ino,N/A,"Google
より（5 年前）","青だる、綺麗ですよ～‼️
寒い中の朝市も独特の雰囲気が……  一見の価値あり。",奥飛騨温泉郷 福地温泉,"
〒506-1434 岐阜県高山市奥飛騨温泉郷福地",Unknown,http://fukujionsen.com/,"4.3
(72)",お店やスポットの電話番号を追加する,〒506-1434 岐阜県高山市奥飛騨温泉郷福地,36.2174545,137.5198038
