Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
cashias,2,1 年前,"旧東海道と聞いたので探索。
トンネルは長くて暗くて雰囲気もいい。
ただそれだけで他に何もないのが寂しい。
トンネル内も勿論、周辺の地質含めてボロボロだったので少し危ない感じがしました。

手前に昔使ってたであろう、簡易索道があってそっちの方が雰囲気が良かったり。",宇津ノ谷峠,"
〒421-1121 静岡県藤枝市岡部町岡部",Unknown,Unknown,"4.2
(10)",Unknown,〒421-1121 静岡県藤枝市岡部町岡部,34.9333325,138.303056
cashias,2,1 年前,"旧東海道と聞いたので探索。
トンネルは長くて暗くて雰囲気もいい。
ただそれだけで他に何もないのが寂しい。
トンネル内も勿論、周辺の地質含めてボロボロだったので少し危ない感じがしました。

手前に昔使ってたであろう、簡易索道があってそっちの方が雰囲気が良かったり。",宇津ノ谷峠,"
〒421-1121 静岡県藤枝市岡部町岡部",Unknown,Unknown,"4.2
(10)",Unknown,〒421-1121 静岡県藤枝市岡部町岡部,34.9333325,138.303056
八咫烏旅カラス,4,10 か月前,明治トンネルの上を通る旧東海道🌱途中にある竹林から見える木漏れ日がとでもキレイです🦀 …,宇津ノ谷峠,"
〒421-1121 静岡県藤枝市岡部町岡部",Unknown,Unknown,"4.2
(10)",Unknown,〒421-1121 静岡県藤枝市岡部町岡部,34.9333325,138.303056
八咫烏旅カラス,4,10 か月前,明治トンネルの上を通る旧東海道🌱途中にある竹林から見える木漏れ日がとでもキレイです🦀 …,宇津ノ谷峠,"
〒421-1121 静岡県藤枝市岡部町岡部",Unknown,Unknown,"4.2
(10)",Unknown,〒421-1121 静岡県藤枝市岡部町岡部,34.9333325,138.303056
Michisan Miu,5,8 か月前,"ランニングの途中で立ち寄った、前から行ってみたかった場所。
宿場町跡を綺麗に保存している町並みはとても趣があります。
人気のお蕎麦屋さんには車がたくさん停まってましたね。",宇津ノ谷峠,"
〒421-1121 静岡県藤枝市岡部町岡部",Unknown,Unknown,"4.2
(10)",Unknown,〒421-1121 静岡県藤枝市岡部町岡部,34.9333325,138.303056
Michisan Miu,5,8 か月前,"ランニングの途中で立ち寄った、前から行ってみたかった場所。
宿場町跡を綺麗に保存している町並みはとても趣があります。
人気のお蕎麦屋さんには車がたくさん停まってましたね。",宇津ノ谷峠,"
〒421-1121 静岡県藤枝市岡部町岡部",Unknown,Unknown,"4.2
(10)",Unknown,〒421-1121 静岡県藤枝市岡部町岡部,34.9333325,138.303056
EISUKE “ACE” ITO,5,2 年前,この峠から蔦の細道ルートへとつながっておりハイキングとしてもそしてちょっとした歴史探訪としても魅力のあるエリアです。,宇津ノ谷峠,"
〒421-1121 静岡県藤枝市岡部町岡部",Unknown,Unknown,"4.2
(10)",Unknown,〒421-1121 静岡県藤枝市岡部町岡部,34.9333325,138.303056
EISUKE “ACE” ITO,5,2 年前,この峠から蔦の細道ルートへとつながっておりハイキングとしてもそしてちょっとした歴史探訪としても魅力のあるエリアです。,宇津ノ谷峠,"
〒421-1121 静岡県藤枝市岡部町岡部",Unknown,Unknown,"4.2
(10)",Unknown,〒421-1121 静岡県藤枝市岡部町岡部,34.9333325,138.303056
きなこ餅,5,3 年前,"真夏のハイキングコ－スにいいです。
峠までの道は、ほとんど高い木々で直射日光が当たらず登って行けます。両側の沢があるので気温も上がらないのかと思われます。",宇津ノ谷峠,"
〒421-1121 静岡県藤枝市岡部町岡部",Unknown,Unknown,"4.2
(10)",Unknown,〒421-1121 静岡県藤枝市岡部町岡部,34.9333325,138.303056
きなこ餅,5,3 年前,"真夏のハイキングコ－スにいいです。
峠までの道は、ほとんど高い木々で直射日光が当たらず登って行けます。両側の沢があるので気温も上がらないのかと思われます。",宇津ノ谷峠,"
〒421-1121 静岡県藤枝市岡部町岡部",Unknown,Unknown,"4.2
(10)",Unknown,〒421-1121 静岡県藤枝市岡部町岡部,34.9333325,138.303056
川口勇治,3,4 年前,旧東海道がけんがくできます。,宇津ノ谷峠,"
〒421-1121 静岡県藤枝市岡部町岡部",Unknown,Unknown,"4.2
(10)",Unknown,〒421-1121 静岡県藤枝市岡部町岡部,34.9333325,138.303056
川口勇治,3,4 年前,旧東海道がけんがくできます。,宇津ノ谷峠,"
〒421-1121 静岡県藤枝市岡部町岡部",Unknown,Unknown,"4.2
(10)",Unknown,〒421-1121 静岡県藤枝市岡部町岡部,34.9333325,138.303056
Koichi Mochizuki,4,4 年前,散歩に良いです！,宇津ノ谷峠,"
〒421-1121 静岡県藤枝市岡部町岡部",Unknown,Unknown,"4.2
(10)",Unknown,〒421-1121 静岡県藤枝市岡部町岡部,34.9333325,138.303056
