Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Sawai K,4,10 か月前,"240622保久礼登山口から。駐車場までの林道が過去最大級に険しい。カーブミラーがほしい。
大岳までの登りはそこそこだが、大岳〜青雲岳のアップダウンが暑さもありかなりこたえて苦しかった。
ヒメサユリ見れたのはよかった",守門岳,"
〒955-0000 新潟県三条市吉ケ平",Unknown,Unknown,"4.3
(52)",Unknown,山頂,37.3902079,139.1365557
Sawai K,4,10 か月前,"240622保久礼登山口から。駐車場までの林道が過去最大級に険しい。カーブミラーがほしい。
大岳までの登りはそこそこだが、大岳〜青雲岳のアップダウンが暑さもありかなりこたえて苦しかった。
ヒメサユリ見れたのはよかった",守門岳,"
〒955-0000 新潟県三条市吉ケ平",Unknown,Unknown,"4.3
(52)",Unknown,山頂,37.3902079,139.1365557
kana Hasumi,4,5 年前,4月28日は林道が残雪により通行止めになってます。二口登山入口まで歩いてから登山。落ち葉や土と残雪により足場はかなり悲惨、二号目から雪で滑りやすいのでアイゼン装着を進めます。欅や椚がある間は小枝の積もった氷が無数に降り注ぐ事があり七号目からは遮るものがなく冷たい風が吹き付けるので、春でも気温1℃前後なため耳や手。鼻などを保護すると良いと思います。山頂は絶景なのでこの時期はお勧めです。,守門岳,"
〒955-0000 新潟県三条市吉ケ平",Unknown,Unknown,"4.3
(52)",Unknown,山頂,37.3902079,139.1365557
kana Hasumi,4,5 年前,4月28日は林道が残雪により通行止めになってます。二口登山入口まで歩いてから登山。落ち葉や土と残雪により足場はかなり悲惨、二号目から雪で滑りやすいのでアイゼン装着を進めます。欅や椚がある間は小枝の積もった氷が無数に降り注ぐ事があり七号目からは遮るものがなく冷たい風が吹き付けるので、春でも気温1℃前後なため耳や手。鼻などを保護すると良いと思います。山頂は絶景なのでこの時期はお勧めです。,守門岳,"
〒955-0000 新潟県三条市吉ケ平",Unknown,Unknown,"4.3
(52)",Unknown,山頂,37.3902079,139.1365557
T khaneshir,5,4 年前,3月に周回ルートで登りました。山頂付近はアイゼン･ピッケルがあった方が歩きやすいです。午後からは雪が緩み、踏み抜きが多くなるのでワカンやスノーシューが役立ちます。晴れれば普段見れない絶景が見られます。,守門岳,"
〒955-0000 新潟県三条市吉ケ平",Unknown,Unknown,"4.3
(52)",Unknown,山頂,37.3902079,139.1365557
T khaneshir,5,4 年前,3月に周回ルートで登りました。山頂付近はアイゼン･ピッケルがあった方が歩きやすいです。午後からは雪が緩み、踏み抜きが多くなるのでワカンやスノーシューが役立ちます。晴れれば普段見れない絶景が見られます。,守門岳,"
〒955-0000 新潟県三条市吉ケ平",Unknown,Unknown,"4.3
(52)",Unknown,山頂,37.3902079,139.1365557
瀬尾淳一,5,7 年前,日本二百名山の一つです。あいにくの天気でしたが、とてもスケールの大きな山でした。山頂付近の紅葉は終わっていましたが、下を見下ろすとまだ見事な紅葉が見えました。,守門岳,"
〒955-0000 新潟県三条市吉ケ平",Unknown,Unknown,"4.3
(52)",Unknown,山頂,37.3902079,139.1365557
瀬尾淳一,5,7 年前,日本二百名山の一つです。あいにくの天気でしたが、とてもスケールの大きな山でした。山頂付近の紅葉は終わっていましたが、下を見下ろすとまだ見事な紅葉が見えました。,守門岳,"
〒955-0000 新潟県三条市吉ケ平",Unknown,Unknown,"4.3
(52)",Unknown,山頂,37.3902079,139.1365557
billybozzio,5,4 年前,"晩秋の守門岳に行ってきました。

往路の大白川（大原）コースはひたすら急登が続く登りごたえのあるルートで、脚に自信がある人向きです。
ただ、復路に選ぶのはあまりオススメできません。

復路は二口コースでしたが眺望はイマイチで、次回は保久礼コースを行ってみたいです。

冬支度をしていたのか、ウサギ、イタチ、サルなど動物たちにやたらと遭遇しました。
クマには出会わずひと安心。

天気も紅葉も最高で、山頂からは新潟平野や越後の山々、遠くは福島や栃木の山々までパノラマビューが楽しめました。",守門岳,"
〒955-0000 新潟県三条市吉ケ平",Unknown,Unknown,"4.3
(52)",Unknown,山頂,37.3902079,139.1365557
billybozzio,5,4 年前,"晩秋の守門岳に行ってきました。

往路の大白川（大原）コースはひたすら急登が続く登りごたえのあるルートで、脚に自信がある人向きです。
ただ、復路に選ぶのはあまりオススメできません。

復路は二口コースでしたが眺望はイマイチで、次回は保久礼コースを行ってみたいです。

冬支度をしていたのか、ウサギ、イタチ、サルなど動物たちにやたらと遭遇しました。
クマには出会わずひと安心。

天気も紅葉も最高で、山頂からは新潟平野や越後の山々、遠くは福島や栃木の山々までパノラマビューが楽しめました。",守門岳,"
〒955-0000 新潟県三条市吉ケ平",Unknown,Unknown,"4.3
(52)",Unknown,山頂,37.3902079,139.1365557
