Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Stella,5,1 週間前,"日本でも有数の滝だと思う。
滝壺ギリギリまで近づけるので迫力がすごい。
ただし車での道のりも相当悪い上に
結構な距離を歩く必要がある。
そこまで急な登りや難所はないが、
一部ぬかるんでいたりする場所もある。
何より間違いなく熊の生息地なので自衛は必要。
それでも行く価値は十分にある。",安の滝,"
〒018-3312 秋田県北秋田市","
0186-62-1851",http://www.city.kitaakita.akita.jp/kankou/category/shizen/ani/003.html,"4.6
(80)",Unknown,〒018-3312 秋田県北秋田市,39.9441105,140.6139171
Stella,5,1 週間前,"日本でも有数の滝だと思う。
滝壺ギリギリまで近づけるので迫力がすごい。
ただし車での道のりも相当悪い上に
結構な距離を歩く必要がある。
そこまで急な登りや難所はないが、
一部ぬかるんでいたりする場所もある。
何より間違いなく熊の生息地なので自衛は必要。
それでも行く価値は十分にある。",安の滝,"
〒018-3312 秋田県北秋田市","
0186-62-1851",http://www.city.kitaakita.akita.jp/kankou/category/shizen/ani/003.html,"4.6
(80)",Unknown,〒018-3312 秋田県北秋田市,39.9441105,140.6139171
イワダイ,3,8 か月前,"2024年は通行止めとなっています。
ただ通常時も駐車場までの5kmは幅狭ダート道です。
紅葉期の激混みを避けて9月に行ったら水量が乏しく、滝壺周辺で寝そべることができるぐらいでした。晴天が続いた時は避けた方が良さそうです。道中はトレッキングコースで少し歩きますが、沢沿い歩きなので清々しいです。",安の滝,"
〒018-3312 秋田県北秋田市","
0186-62-1851",http://www.city.kitaakita.akita.jp/kankou/category/shizen/ani/003.html,"4.6
(80)",Unknown,〒018-3312 秋田県北秋田市,39.9441105,140.6139171
イワダイ,3,8 か月前,"2024年は通行止めとなっています。
ただ通常時も駐車場までの5kmは幅狭ダート道です。
紅葉期の激混みを避けて9月に行ったら水量が乏しく、滝壺周辺で寝そべることができるぐらいでした。晴天が続いた時は避けた方が良さそうです。道中はトレッキングコースで少し歩きますが、沢沿い歩きなので清々しいです。",安の滝,"
〒018-3312 秋田県北秋田市","
0186-62-1851",http://www.city.kitaakita.akita.jp/kankou/category/shizen/ani/003.html,"4.6
(80)",Unknown,〒018-3312 秋田県北秋田市,39.9441105,140.6139171
Ar Kn,5,1 年前,"中ノ又沢に流れる落差90mの段瀑。日本の滝百選に選ばれている。名称の『安』とは滝に身投げした女性の名前で悲恋の話が残っている。その後は恋愛成就の場所となった整備されている観光滝です。

入口から滝前まで約1.9km、25〜30分程度。基本的に遊歩道は整備されている。一部足場の狭い所はあるので注意。

下段の滝前からさらに進めば上段滝前と下段落口に到達できる。少し荒れ気味ではあるが道の整備をした跡は残っています。
上段の登攀や巻きは上級者の世界で、とてもじゃないが登れる雰囲気は無い。ここから上段落口へ行くのは無理だと思います。

かなり変則的なルートになるが上段落口には行ける。桃洞沢を詰めて中ノ又沢に入渓すれば到達できます。距離は野生鳥獣センターから落口まで約8.8km、道程の半分以上が沢登りとなり一定の技術や体力は必要。観光感覚で気軽に行くことはできない場所です。

服装は肌を露出させない動きやすい物を。靴はスニーカー程度でも可能だが軽登山靴であれば楽です。

20台停めれる駐車場、トイレ有り。",安の滝,"
〒018-3312 秋田県北秋田市","
0186-62-1851",http://www.city.kitaakita.akita.jp/kankou/category/shizen/ani/003.html,"4.6
(80)",Unknown,〒018-3312 秋田県北秋田市,39.9441105,140.6139171
Ar Kn,5,1 年前,"中ノ又沢に流れる落差90mの段瀑。日本の滝百選に選ばれている。名称の『安』とは滝に身投げした女性の名前で悲恋の話が残っている。その後は恋愛成就の場所となった整備されている観光滝です。

入口から滝前まで約1.9km、25〜30分程度。基本的に遊歩道は整備されている。一部足場の狭い所はあるので注意。

下段の滝前からさらに進めば上段滝前と下段落口に到達できる。少し荒れ気味ではあるが道の整備をした跡は残っています。
上段の登攀や巻きは上級者の世界で、とてもじゃないが登れる雰囲気は無い。ここから上段落口へ行くのは無理だと思います。

かなり変則的なルートになるが上段落口には行ける。桃洞沢を詰めて中ノ又沢に入渓すれば到達できます。距離は野生鳥獣センターから落口まで約8.8km、道程の半分以上が沢登りとなり一定の技術や体力は必要。観光感覚で気軽に行くことはできない場所です。

服装は肌を露出させない動きやすい物を。靴はスニーカー程度でも可能だが軽登山靴であれば楽です。

20台停めれる駐車場、トイレ有り。",安の滝,"
〒018-3312 秋田県北秋田市","
0186-62-1851",http://www.city.kitaakita.akita.jp/kankou/category/shizen/ani/003.html,"4.6
(80)",Unknown,〒018-3312 秋田県北秋田市,39.9441105,140.6139171
みみみみやび,5,2 年前,"滝です。（景勝地）
日本の滝100選にも選ばれていて２段になっていて２段でおおよそ９０メートルの高さになります。

最初に訪れる際の注意をいくつか書きます。大事なので参考にしていただけると幸いです。

①令和４年７月１日から９月３０日までは遊歩道の工事のため通行止めになりいけませんので訪れる際注意してください。
また、非常に山道かつ雪解けが進みにくい地域のため、毎年１１月から４月頃まで通行止めになるようです。天候によっても前後するようなので予め確認をしたほうがいいです。
②滝までは山道です。
駐車場から滝まではおおよそ片道３０分から４５分程度になります。
天候は晴れていても途中ぬかるんでいる場所も多々あります。汚れてもいい靴、動きやすい服装でいくことをオススメします。
③虫が多いので、苦手な方には向いていないと思います。熊の出没もあるようなので音が出るものを持っていくといいと思います。
④自販機等はないです。また、結構歩いて体力も使うので水分は準備したほうがいいです。
⑤電波は圏外です。
⑥駐車場までの道中、６キロほど砂利道です。駅からも距離があるため、アクセスは車が必須かと思います。道幅も少し狭いので運転も気をつけたほうがいいです。

いってみての感想ですが、前々から旅行雑誌でみた景色に感動を覚えて行きたいと思っていた場所でした。
６月上旬に訪れましたが、新緑が映えて蝉の鳴き声も聞こえる清々しい場所でした。
駐車場から滝までは自分の足で約３０分ほどでしたが、道中も横が川が流れていて川の音が気持ちよく涼しかったです。
川をよく見ると魚が肉眼で確認できたり、色々な植物を見ることができて自然に触れられて楽しかったです。
前述にも書いたように滝は２段構造となっていました。１段目付近に安の滝の看板と説明が書かれています。
休めるベンチもありました。
２段構造で長く迫力のある滝で見応えがありました。少し険しい道でしが５分ほど道を進むと２段目の滝が間近でみれます。2段目の滝は細く白糸のような水しぶきになっていて水の落ちる姿がきれいでした。
目の前まで近づいて見ることができ、滝の水飛沫を感じることができました。冷たく気持ちよかったです。
大きく迫力なある滝を間近でみれて感動でした。秋は紅葉が綺麗のようなので訪れてみたいです。また天気がいいと水の飛沫と光の反射で虹がかかったように見えるようです。今回見れなかったので次見てみたいです。
運転も歩きも少し大変でしたが見る価値はありました。大自然を感じられました。",安の滝,"
〒018-3312 秋田県北秋田市","
0186-62-1851",http://www.city.kitaakita.akita.jp/kankou/category/shizen/ani/003.html,"4.6
(80)",Unknown,〒018-3312 秋田県北秋田市,39.9441105,140.6139171
みみみみやび,5,2 年前,"滝です。（景勝地）
日本の滝100選にも選ばれていて２段になっていて２段でおおよそ９０メートルの高さになります。

最初に訪れる際の注意をいくつか書きます。大事なので参考にしていただけると幸いです。

①令和４年７月１日から９月３０日までは遊歩道の工事のため通行止めになりいけませんので訪れる際注意してください。
また、非常に山道かつ雪解けが進みにくい地域のため、毎年１１月から４月頃まで通行止めになるようです。天候によっても前後するようなので予め確認をしたほうがいいです。
②滝までは山道です。
駐車場から滝まではおおよそ片道３０分から４５分程度になります。
天候は晴れていても途中ぬかるんでいる場所も多々あります。汚れてもいい靴、動きやすい服装でいくことをオススメします。
③虫が多いので、苦手な方には向いていないと思います。熊の出没もあるようなので音が出るものを持っていくといいと思います。
④自販機等はないです。また、結構歩いて体力も使うので水分は準備したほうがいいです。
⑤電波は圏外です。
⑥駐車場までの道中、６キロほど砂利道です。駅からも距離があるため、アクセスは車が必須かと思います。道幅も少し狭いので運転も気をつけたほうがいいです。

いってみての感想ですが、前々から旅行雑誌でみた景色に感動を覚えて行きたいと思っていた場所でした。
６月上旬に訪れましたが、新緑が映えて蝉の鳴き声も聞こえる清々しい場所でした。
駐車場から滝までは自分の足で約３０分ほどでしたが、道中も横が川が流れていて川の音が気持ちよく涼しかったです。
川をよく見ると魚が肉眼で確認できたり、色々な植物を見ることができて自然に触れられて楽しかったです。
前述にも書いたように滝は２段構造となっていました。１段目付近に安の滝の看板と説明が書かれています。
休めるベンチもありました。
２段構造で長く迫力のある滝で見応えがありました。少し険しい道でしが５分ほど道を進むと２段目の滝が間近でみれます。2段目の滝は細く白糸のような水しぶきになっていて水の落ちる姿がきれいでした。
目の前まで近づいて見ることができ、滝の水飛沫を感じることができました。冷たく気持ちよかったです。
大きく迫力なある滝を間近でみれて感動でした。秋は紅葉が綺麗のようなので訪れてみたいです。また天気がいいと水の飛沫と光の反射で虹がかかったように見えるようです。今回見れなかったので次見てみたいです。
運転も歩きも少し大変でしたが見る価値はありました。大自然を感じられました。",安の滝,"
〒018-3312 秋田県北秋田市","
0186-62-1851",http://www.city.kitaakita.akita.jp/kankou/category/shizen/ani/003.html,"4.6
(80)",Unknown,〒018-3312 秋田県北秋田市,39.9441105,140.6139171
Aromagrass (AROGRA),5,2 年前,"日本の滝百選で第2位に選ばれている滝で二段ある滝で合計９０メートルの高さを誇ります。

安の滝の駐車場に行くまでの山道はとても細く車が一台しか通れないような場所がほとんどでした。
駐車場から約45分で目的地の滝に着くのですが、道中もブナ林が広がっていてとても美しい
最初に約30メートルの落差がある下段の滝に着きます
下段の滝の右側からさらに山を登ると60メートル高さを誇る上段の滝に着きます。
さらに10分くらい歩くと上段の滝に行く事ができる
上段の滝は迫力があり、晴れた日の午後に虹がかかります。
滝壺も大きく私は泳ぎました。
この滝は迫力があってとても美しく、とても印象に残る滝だと思うのでぜひ行ってみてください。",安の滝,"
〒018-3312 秋田県北秋田市","
0186-62-1851",http://www.city.kitaakita.akita.jp/kankou/category/shizen/ani/003.html,"4.6
(80)",Unknown,〒018-3312 秋田県北秋田市,39.9441105,140.6139171
Aromagrass (AROGRA),5,2 年前,"日本の滝百選で第2位に選ばれている滝で二段ある滝で合計９０メートルの高さを誇ります。

安の滝の駐車場に行くまでの山道はとても細く車が一台しか通れないような場所がほとんどでした。
駐車場から約45分で目的地の滝に着くのですが、道中もブナ林が広がっていてとても美しい
最初に約30メートルの落差がある下段の滝に着きます
下段の滝の右側からさらに山を登ると60メートル高さを誇る上段の滝に着きます。
さらに10分くらい歩くと上段の滝に行く事ができる
上段の滝は迫力があり、晴れた日の午後に虹がかかります。
滝壺も大きく私は泳ぎました。
この滝は迫力があってとても美しく、とても印象に残る滝だと思うのでぜひ行ってみてください。",安の滝,"
〒018-3312 秋田県北秋田市","
0186-62-1851",http://www.city.kitaakita.akita.jp/kankou/category/shizen/ani/003.html,"4.6
(80)",Unknown,〒018-3312 秋田県北秋田市,39.9441105,140.6139171
