Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Akino Shiori,5,11 か月前,"2024/5/13㈪に訪れました。
佐渡金銀山のガイダンス施設のきらりうむ佐渡で前以って知識を得てから訪れました。相川から佐渡スカイラインを上ると史跡佐渡金山の券売所・坑道入口があります。五つある坑道の内予約しないで入坑できるのはこの宗太夫坑と道游坑の二つです。どちらか一つだけの入坑だと1,000円ですが、両抗に入坑すると共通券1,500円で入坑できます。どちらから見るかは自由ですが、江戸時代の原始的な採掘作業の様子を人形が再現する、江戸絵巻コースの宗太夫坑から明治官営鉱山の様子を坑道の内外から体験できる道游坑への順が適していると思います。宗太夫坑の所要時間は30分ほどですが、興味深く見るとさらに時間がかかります。人形は喋りませんが体を動かしたり振り向いたりしますので、注意してみると面白いです。",宗太夫坑,"
〒952-1501 新潟県佐渡市下相川１３０５",Unknown,https://www.sado-kinzan.com/soudayu/,"4.7
(9)",お店やスポットの電話番号を追加する,史跡,38.0416936,138.2560014
Akino Shiori,5,11 か月前,"2024/5/13㈪に訪れました。
佐渡金銀山のガイダンス施設のきらりうむ佐渡で前以って知識を得てから訪れました。相川から佐渡スカイラインを上ると史跡佐渡金山の券売所・坑道入口があります。五つある坑道の内予約しないで入坑できるのはこの宗太夫坑と道游坑の二つです。どちらか一つだけの入坑だと1,000円ですが、両抗に入坑すると共通券1,500円で入坑できます。どちらから見るかは自由ですが、江戸時代の原始的な採掘作業の様子を人形が再現する、江戸絵巻コースの宗太夫坑から明治官営鉱山の様子を坑道の内外から体験できる道游坑への順が適していると思います。宗太夫坑の所要時間は30分ほどですが、興味深く見るとさらに時間がかかります。人形は喋りませんが体を動かしたり振り向いたりしますので、注意してみると面白いです。",宗太夫坑,"
〒952-1501 新潟県佐渡市下相川１３０５",Unknown,https://www.sado-kinzan.com/soudayu/,"4.7
(9)",お店やスポットの電話番号を追加する,史跡,38.0416936,138.2560014
しろくまじい,4,1 年前,"両津港から本数の少ない路線バスで来たのでアクセスが便利という感じではなかったです。

バス停から少し歩いたところに券売所があってそこで入場券を購入して坑道に入るという流れです。

とにかく階段だらけなので足元に不安がある方は見学するかどうかは慎重に考えた方が良いです。
一度は行ってしまえばエレベーターもエスカレーターも無いです。
狭い坑道なので何かあっても救助のしづらい環境だと思いますので慎重に考えてください。
途中にはトイレさえ無いのでそこも要注意です。

長い坑道の途中にはリアルな人形の採掘風景が再現されていて臨場感があります。
人形は時々動くものも混じっているのでびっくりします。

見て損はないです。",宗太夫坑,"
〒952-1501 新潟県佐渡市下相川１３０５",Unknown,https://www.sado-kinzan.com/soudayu/,"4.7
(9)",お店やスポットの電話番号を追加する,史跡,38.0416936,138.2560014
しろくまじい,4,1 年前,"両津港から本数の少ない路線バスで来たのでアクセスが便利という感じではなかったです。

バス停から少し歩いたところに券売所があってそこで入場券を購入して坑道に入るという流れです。

とにかく階段だらけなので足元に不安がある方は見学するかどうかは慎重に考えた方が良いです。
一度は行ってしまえばエレベーターもエスカレーターも無いです。
狭い坑道なので何かあっても救助のしづらい環境だと思いますので慎重に考えてください。
途中にはトイレさえ無いのでそこも要注意です。

長い坑道の途中にはリアルな人形の採掘風景が再現されていて臨場感があります。
人形は時々動くものも混じっているのでびっくりします。

見て損はないです。",宗太夫坑,"
〒952-1501 新潟県佐渡市下相川１３０５",Unknown,https://www.sado-kinzan.com/soudayu/,"4.7
(9)",お店やスポットの電話番号を追加する,史跡,38.0416936,138.2560014
Hirohito Kuno,5,1 年前,"江戸時代初期の頃に開坑された坑道とのこと。
「割れ間歩」って何？調べてみーよしぇッ、と",宗太夫坑,"
〒952-1501 新潟県佐渡市下相川１３０５",Unknown,https://www.sado-kinzan.com/soudayu/,"4.7
(9)",お店やスポットの電話番号を追加する,史跡,38.0416936,138.2560014
Hirohito Kuno,5,1 年前,"江戸時代初期の頃に開坑された坑道とのこと。
「割れ間歩」って何？調べてみーよしぇッ、と",宗太夫坑,"
〒952-1501 新潟県佐渡市下相川１３０５",Unknown,https://www.sado-kinzan.com/soudayu/,"4.7
(9)",お店やスポットの電話番号を追加する,史跡,38.0416936,138.2560014
KEN BASHI (温玉カレー),5,1 年前,歴史が学べる,宗太夫坑,"
〒952-1501 新潟県佐渡市下相川１３０５",Unknown,https://www.sado-kinzan.com/soudayu/,"4.7
(9)",お店やスポットの電話番号を追加する,史跡,38.0416936,138.2560014
KEN BASHI (温玉カレー),5,1 年前,歴史が学べる,宗太夫坑,"
〒952-1501 新潟県佐渡市下相川１３０５",Unknown,https://www.sado-kinzan.com/soudayu/,"4.7
(9)",お店やスポットの電話番号を追加する,史跡,38.0416936,138.2560014
Rei XI,5,1 か月前,当時の多くの鉱山労働者の労働条件や生活環境を紹介,宗太夫坑,"
〒952-1501 新潟県佐渡市下相川１３０５",Unknown,https://www.sado-kinzan.com/soudayu/,"4.7
(9)",お店やスポットの電話番号を追加する,史跡,38.0416936,138.2560014
Rei XI,5,1 か月前,当時の多くの鉱山労働者の労働条件や生活環境を紹介,宗太夫坑,"
〒952-1501 新潟県佐渡市下相川１３０５",Unknown,https://www.sado-kinzan.com/soudayu/,"4.7
(9)",お店やスポットの電話番号を追加する,史跡,38.0416936,138.2560014
