Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
ばくばく,5,2 週間前,人生で一回は行ってみたいと思っていましたが、一回経験すると何度も行きたくなる素晴らしい場所です。空港の近くにドンキがあるので、忘れ物をしてもすぐ調達できてありがたかったです。,宮古島,"
沖縄県宮古島市",Unknown,Unknown,"4.6
(511)",Unknown,沖縄県宮古島市,24.8128177,125.3609334
ばくばく,5,2 週間前,人生で一回は行ってみたいと思っていましたが、一回経験すると何度も行きたくなる素晴らしい場所です。空港の近くにドンキがあるので、忘れ物をしてもすぐ調達できてありがたかったです。,宮古島,"
沖縄県宮古島市",Unknown,Unknown,"4.6
(511)",Unknown,沖縄県宮古島市,24.8128177,125.3609334
YSK (よーべん),5,3 か月前,"沖縄の離島はけっこう攻めましたが、トップ3に入るぐらい大好きな島です。
周辺離島にも車でサクっと行けてどこの海も綺麗で最高！",宮古島,"
沖縄県宮古島市",Unknown,Unknown,"4.6
(511)",Unknown,沖縄県宮古島市,24.8128177,125.3609334
YSK (よーべん),5,3 か月前,"沖縄の離島はけっこう攻めましたが、トップ3に入るぐらい大好きな島です。
周辺離島にも車でサクっと行けてどこの海も綺麗で最高！",宮古島,"
沖縄県宮古島市",Unknown,Unknown,"4.6
(511)",Unknown,沖縄県宮古島市,24.8128177,125.3609334
pajero bighorn,5,2 か月前,最高の島です。ジャイアントトレバリーがたくさんいる夢の島。釣り人にはパラダイス。あと、島民の方が死ぬほど優しい。宿の方、道行く地元の方、こんな素晴らしい島が日本にあったのかと感動する。,宮古島,"
沖縄県宮古島市",Unknown,Unknown,"4.6
(511)",Unknown,沖縄県宮古島市,24.8128177,125.3609334
pajero bighorn,5,2 か月前,最高の島です。ジャイアントトレバリーがたくさんいる夢の島。釣り人にはパラダイス。あと、島民の方が死ぬほど優しい。宿の方、道行く地元の方、こんな素晴らしい島が日本にあったのかと感動する。,宮古島,"
沖縄県宮古島市",Unknown,Unknown,"4.6
(511)",Unknown,沖縄県宮古島市,24.8128177,125.3609334
猫猫,5,2 か月前,"宮古島も立派なリゾートアイランドになりました！　何回も訪れたくなる魅力あふれる島です
日本語の通じる治安の良い異国だと思っております　初めて訪れた時は地元民の集う食事処で
色黒体格良い強面なおじさん2人組に話かけられて絡まれてしまった！？と思いましたが泡盛ご馳走になり宮古島の魅力を聞き店内に飾ってあった三味線を弾いてくれ一気に宮古島のファンになってしまいました　笑　ちなみに強面おじさんは元〇〇県警あがりの現在宮古島にて〇〇公務員と名乗ってくれました　強面おじさんはルール遵守するしっかりした方だったので泡盛注がれる前に車？と聞かれ徒歩と答えておりますのでご安心して下さい　笑",宮古島,"
沖縄県宮古島市",Unknown,Unknown,"4.6
(511)",Unknown,沖縄県宮古島市,24.8128177,125.3609334
猫猫,5,2 か月前,"宮古島も立派なリゾートアイランドになりました！　何回も訪れたくなる魅力あふれる島です
日本語の通じる治安の良い異国だと思っております　初めて訪れた時は地元民の集う食事処で
色黒体格良い強面なおじさん2人組に話かけられて絡まれてしまった！？と思いましたが泡盛ご馳走になり宮古島の魅力を聞き店内に飾ってあった三味線を弾いてくれ一気に宮古島のファンになってしまいました　笑　ちなみに強面おじさんは元〇〇県警あがりの現在宮古島にて〇〇公務員と名乗ってくれました　強面おじさんはルール遵守するしっかりした方だったので泡盛注がれる前に車？と聞かれ徒歩と答えておりますのでご安心して下さい　笑",宮古島,"
沖縄県宮古島市",Unknown,Unknown,"4.6
(511)",Unknown,沖縄県宮古島市,24.8128177,125.3609334
おおゆう,5,2 か月前,"控えめに言っても最高！
人生で一度は訪れるべき島だと思います🏝️ …",宮古島,"
沖縄県宮古島市",Unknown,Unknown,"4.6
(511)",Unknown,沖縄県宮古島市,24.8128177,125.3609334
おおゆう,5,2 か月前,"控えめに言っても最高！
人生で一度は訪れるべき島だと思います🏝️ …",宮古島,"
沖縄県宮古島市",Unknown,Unknown,"4.6
(511)",Unknown,沖縄県宮古島市,24.8128177,125.3609334
