Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
yukac9564,5,4 週間前,常設展が無料だったので立ち寄ってみました。白を基調とした清潔感のある開放的な内装の美術館で居心地が良かったです。油絵、水墨画、水彩画、彫刻等作品のジャンルも幅広くてとても見応えがありました。,宮崎県立美術館,"
〒880-0031 宮崎県宮崎市船塚３丁目２１０","
0985-20-3792",http://www.miyazaki-archive.jp/bijutsu/,"4.2
(595)",Unknown,美術館,31.9341067,131.4186237
yukac9564,5,4 週間前,常設展が無料だったので立ち寄ってみました。白を基調とした清潔感のある開放的な内装の美術館で居心地が良かったです。油絵、水墨画、水彩画、彫刻等作品のジャンルも幅広くてとても見応えがありました。,宮崎県立美術館,"
〒880-0031 宮崎県宮崎市船塚３丁目２１０","
0985-20-3792",http://www.miyazaki-archive.jp/bijutsu/,"4.2
(595)",Unknown,美術館,31.9341067,131.4186237
眞,4,7 か月前,訪問された方によかったぁ❤と薦められて お盆しか見られない作品も見に 行ってきました。飼育員の方の熱い説明や 作品のうごく迫力にびっくりしました。お土産に作って遊べるものがいいかな？と思いましたが、息子は会場限定Tシャツを選びました。行って良かったです,宮崎県立美術館,"
〒880-0031 宮崎県宮崎市船塚３丁目２１０","
0985-20-3792",http://www.miyazaki-archive.jp/bijutsu/,"4.2
(595)",Unknown,美術館,31.9341067,131.4186237
眞,4,7 か月前,訪問された方によかったぁ❤と薦められて お盆しか見られない作品も見に 行ってきました。飼育員の方の熱い説明や 作品のうごく迫力にびっくりしました。お土産に作って遊べるものがいいかな？と思いましたが、息子は会場限定Tシャツを選びました。行って良かったです,宮崎県立美術館,"
〒880-0031 宮崎県宮崎市船塚３丁目２１０","
0985-20-3792",http://www.miyazaki-archive.jp/bijutsu/,"4.2
(595)",Unknown,美術館,31.9341067,131.4186237
コバさん,5,11 か月前,"常設展が無料で、また身近に鑑賞できる素敵な美術館😊👍

それゆえか、走り回ってる子供がピカソやマグリットの作品を触ったり😅💦
もちろん、即注意⚠️されますが、親は放任？
公共での礼儀など、教育する、いい場所なのになぁ…。😣",宮崎県立美術館,"
〒880-0031 宮崎県宮崎市船塚３丁目２１０","
0985-20-3792",http://www.miyazaki-archive.jp/bijutsu/,"4.2
(595)",Unknown,美術館,31.9341067,131.4186237
コバさん,5,11 か月前,"常設展が無料で、また身近に鑑賞できる素敵な美術館😊👍

それゆえか、走り回ってる子供がピカソやマグリットの作品を触ったり😅💦
もちろん、即注意⚠️されますが、親は放任？
公共での礼儀など、教育する、いい場所なのになぁ…。😣",宮崎県立美術館,"
〒880-0031 宮崎県宮崎市船塚３丁目２１０","
0985-20-3792",http://www.miyazaki-archive.jp/bijutsu/,"4.2
(595)",Unknown,美術館,31.9341067,131.4186237
梅さん,5,1 年前,"2023年10月 山下清展
平日の午後から 人は少なめでした。
初めて行ったが駐車場も広いし、敷地も広いし、、。
展示室も広く、ゆっくり見れます。
かれこれ50年前ぐらいに都城の大丸に父に肩車して 花火の貼り絵を見たのを覚えています。
大阪でも見ましたが、今回みたいに展示された数はなかったように思います。
貼り絵だけでなく、ペン画、油絵も素晴らしい。感激しました。
山下画伯の絵は私には癒しをもたらします。
今回、ほんとに来てよかったと思います。年配の方が多く来場していた印象です。
グッズはクリアファイルを購入しました。
画集は大阪で購入しましたが、重く持ち歩きしにくいので、持ち歩きできる画集などあれば また購入したいと思います。B5ぐらいがいいなと思いました。",宮崎県立美術館,"
〒880-0031 宮崎県宮崎市船塚３丁目２１０","
0985-20-3792",http://www.miyazaki-archive.jp/bijutsu/,"4.2
(595)",Unknown,美術館,31.9341067,131.4186237
梅さん,5,1 年前,"2023年10月 山下清展
平日の午後から 人は少なめでした。
初めて行ったが駐車場も広いし、敷地も広いし、、。
展示室も広く、ゆっくり見れます。
かれこれ50年前ぐらいに都城の大丸に父に肩車して 花火の貼り絵を見たのを覚えています。
大阪でも見ましたが、今回みたいに展示された数はなかったように思います。
貼り絵だけでなく、ペン画、油絵も素晴らしい。感激しました。
山下画伯の絵は私には癒しをもたらします。
今回、ほんとに来てよかったと思います。年配の方が多く来場していた印象です。
グッズはクリアファイルを購入しました。
画集は大阪で購入しましたが、重く持ち歩きしにくいので、持ち歩きできる画集などあれば また購入したいと思います。B5ぐらいがいいなと思いました。",宮崎県立美術館,"
〒880-0031 宮崎県宮崎市船塚３丁目２１０","
0985-20-3792",http://www.miyazaki-archive.jp/bijutsu/,"4.2
(595)",Unknown,美術館,31.9341067,131.4186237
Naka Hiro,4,1 年前,"文化公園に建つ美術館。公園内の3棟の建物の中央にあって、正面に立ちはだかるようにそびえる巨大な建築が目を引きます。
外観だけでなく内部もゆとりある構造になっていて、ゆったり作品の観覧ができます。
この日は時間の関係で常設展のみ観覧しましたが、無料にもかかわらず非常に内容の濃い展示で感銘を受けました。
博物館もそうですが、宮崎はいろいろな展示が無料で公開されていていいですね。
（なお企画展の山下清展のほうは有料です。念のため）",宮崎県立美術館,"
〒880-0031 宮崎県宮崎市船塚３丁目２１０","
0985-20-3792",http://www.miyazaki-archive.jp/bijutsu/,"4.2
(595)",Unknown,美術館,31.9341067,131.4186237
Naka Hiro,4,1 年前,"文化公園に建つ美術館。公園内の3棟の建物の中央にあって、正面に立ちはだかるようにそびえる巨大な建築が目を引きます。
外観だけでなく内部もゆとりある構造になっていて、ゆったり作品の観覧ができます。
この日は時間の関係で常設展のみ観覧しましたが、無料にもかかわらず非常に内容の濃い展示で感銘を受けました。
博物館もそうですが、宮崎はいろいろな展示が無料で公開されていていいですね。
（なお企画展の山下清展のほうは有料です。念のため）",宮崎県立美術館,"
〒880-0031 宮崎県宮崎市船塚３丁目２１０","
0985-20-3792",http://www.miyazaki-archive.jp/bijutsu/,"4.2
(595)",Unknown,美術館,31.9341067,131.4186237
