Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
tomo kaw,2,6 か月前,"階段を嫌というほど登ります。年配の方は止めたほうが良いと思います。
トンネルのところで帰り道に行くと通行止めになっていたので違う道を行くと、どんどん登っていくのでおかしいと思いつつ30分も登り、どうでもおかしいので引き返しました。引き返してによく見ると登山道でした。危うく寂地山に登るところでした。トンネルのとこの看板に行き止りと書いておいて欲しかったです。1時間も無駄にしました。滝は素晴らしかったです。寂地山の登山道の橋に、熊の爪の足跡がありました。熊が出るのですね。なるべく行かないほうがいいですね。気をつけてください！",寂地峡五竜の滝,"
〒740-0901 山口県岩国市錦町宇佐",Unknown,Unknown,"4.4
(173)",お店やスポットの電話番号を追加する,〒740-0901 山口県岩国市錦町宇佐,34.4300972,132.0548864
tomo kaw,2,6 か月前,"階段を嫌というほど登ります。年配の方は止めたほうが良いと思います。
トンネルのところで帰り道に行くと通行止めになっていたので違う道を行くと、どんどん登っていくのでおかしいと思いつつ30分も登り、どうでもおかしいので引き返しました。引き返してによく見ると登山道でした。危うく寂地山に登るところでした。トンネルのとこの看板に行き止りと書いておいて欲しかったです。1時間も無駄にしました。滝は素晴らしかったです。寂地山の登山道の橋に、熊の爪の足跡がありました。熊が出るのですね。なるべく行かないほうがいいですね。気をつけてください！",寂地峡五竜の滝,"
〒740-0901 山口県岩国市錦町宇佐",Unknown,Unknown,"4.4
(173)",お店やスポットの電話番号を追加する,〒740-0901 山口県岩国市錦町宇佐,34.4300972,132.0548864
Hiroshima Wiki,5,8 か月前,キャンプ場の駐車場に停めてから徒歩で山道を散策できます。手すり付きの整備された階段を330m登りながら片道20分程で5つの滝と滝壺を見てまわります。最後の15m程は、人ひとりが通れる急な斜面となっており、登山装備までは不要ですが、運動靴とズボンの装備は必要です。,寂地峡五竜の滝,"
〒740-0901 山口県岩国市錦町宇佐",Unknown,Unknown,"4.4
(173)",お店やスポットの電話番号を追加する,〒740-0901 山口県岩国市錦町宇佐,34.4300972,132.0548864
Hiroshima Wiki,5,8 か月前,キャンプ場の駐車場に停めてから徒歩で山道を散策できます。手すり付きの整備された階段を330m登りながら片道20分程で5つの滝と滝壺を見てまわります。最後の15m程は、人ひとりが通れる急な斜面となっており、登山装備までは不要ですが、運動靴とズボンの装備は必要です。,寂地峡五竜の滝,"
〒740-0901 山口県岩国市錦町宇佐",Unknown,Unknown,"4.4
(173)",お店やスポットの電話番号を追加する,〒740-0901 山口県岩国市錦町宇佐,34.4300972,132.0548864
Makoto Sakai,4,8 か月前,"小学生くらいは、水遊びできます
5つの滝を見るためには急な階段をのぼります
地図などは、案内所にあります
8/15時点では、Cルートは通行止めみたいでした
見ごたえがあって楽しかったです",寂地峡五竜の滝,"
〒740-0901 山口県岩国市錦町宇佐",Unknown,Unknown,"4.4
(173)",お店やスポットの電話番号を追加する,〒740-0901 山口県岩国市錦町宇佐,34.4300972,132.0548864
Makoto Sakai,4,8 か月前,"小学生くらいは、水遊びできます
5つの滝を見るためには急な階段をのぼります
地図などは、案内所にあります
8/15時点では、Cルートは通行止めみたいでした
見ごたえがあって楽しかったです",寂地峡五竜の滝,"
〒740-0901 山口県岩国市錦町宇佐",Unknown,Unknown,"4.4
(173)",お店やスポットの電話番号を追加する,〒740-0901 山口県岩国市錦町宇佐,34.4300972,132.0548864
シロ,5,3 年前,"滝との距離が非常に近く迫力とマイナスイオンを感じられます。滝もたくさんありハイキングを飽きることなく楽しめます。
ただ登りの階段の勾配が急なので靴や服装はしっかりしたものを用意したほうが無難です。
木が生い茂っているのでずっと日陰で涼しく歩くことができます。
麓の川で遊ぶことができ、水はとても冷たく涼を感じられます。
人もそれほど混雑していないので安心して楽しめます。",寂地峡五竜の滝,"
〒740-0901 山口県岩国市錦町宇佐",Unknown,Unknown,"4.4
(173)",お店やスポットの電話番号を追加する,〒740-0901 山口県岩国市錦町宇佐,34.4300972,132.0548864
シロ,5,3 年前,"滝との距離が非常に近く迫力とマイナスイオンを感じられます。滝もたくさんありハイキングを飽きることなく楽しめます。
ただ登りの階段の勾配が急なので靴や服装はしっかりしたものを用意したほうが無難です。
木が生い茂っているのでずっと日陰で涼しく歩くことができます。
麓の川で遊ぶことができ、水はとても冷たく涼を感じられます。
人もそれほど混雑していないので安心して楽しめます。",寂地峡五竜の滝,"
〒740-0901 山口県岩国市錦町宇佐",Unknown,Unknown,"4.4
(173)",お店やスポットの電話番号を追加する,〒740-0901 山口県岩国市錦町宇佐,34.4300972,132.0548864
ヤスごろ,5,5 年前,駐車場から2、3分で最初の竜尾の滝に着きます。登竜の滝、白竜の滝、竜門の滝、竜頭の滝と続いていて、一番上の竜頭の滝まで15分もあれば到達します。滝はそれぞれ姿形が違っていて、どれも水量があり滝壺の水も透き通ってキレイで文句なしです。遊歩道も整備されていて、スニーカー程度で十分歩けます。のんびり散策しながら滝群を楽しめ、さすが日本の滝百選に数えられる滝です。,寂地峡五竜の滝,"
〒740-0901 山口県岩国市錦町宇佐",Unknown,Unknown,"4.4
(173)",お店やスポットの電話番号を追加する,〒740-0901 山口県岩国市錦町宇佐,34.4300972,132.0548864
ヤスごろ,5,5 年前,駐車場から2、3分で最初の竜尾の滝に着きます。登竜の滝、白竜の滝、竜門の滝、竜頭の滝と続いていて、一番上の竜頭の滝まで15分もあれば到達します。滝はそれぞれ姿形が違っていて、どれも水量があり滝壺の水も透き通ってキレイで文句なしです。遊歩道も整備されていて、スニーカー程度で十分歩けます。のんびり散策しながら滝群を楽しめ、さすが日本の滝百選に数えられる滝です。,寂地峡五竜の滝,"
〒740-0901 山口県岩国市錦町宇佐",Unknown,Unknown,"4.4
(173)",お店やスポットの電話番号を追加する,〒740-0901 山口県岩国市錦町宇佐,34.4300972,132.0548864
tetsu,4,6 年前,"寂地峡（竜ヶ岳峡）には五つの滝が連続しており、総称して「寂地峡五竜の滝」と呼ばれ、「日本の滝百選」にも選ばれています。
キャンプ場の中を寂地川沿いに少し上ると、「寂地峡五竜の滝」の石碑があり、そこから落差15メートルの(竜尾の滝)を、見ることが出来ます。(竜尾の滝)の横には、(名水百選)に指定された名水(延齢の水)もあります。とても、冷たくて美味しいですよ
Bコース滝見道を、登っていくと、先ず、(竜尾の滝)、(登竜の滝)「大乗淵」があり(白竜の滝)が続いています。その上には落差18メートルの(竜門の滝)があり、最上段には落差14メートルの(竜頭の滝)と続いています。
渓流は奇岩怪岩の変化に富んだ美しい風景を展開し、遊歩道の散策は心を洗われます。
結構な、登り坂に、階段になっていますので、スニーカー系で、行った方が良いですね
中々の高所恐怖症の人は、無理だと思います。
特に(竜頭の滝)から上は、凄く狭い階段になっていますので手すりを、持ちながら上がったら良いと思います
それぞれ滝の近辺、手すりの下の方に、滝名の書いたプレートが、置いてますので、見逃さない様に、私は2つ逃しました。帰りに気付きました。
上がると、両側にトンネルが、有ります、左に行くと宇佐八幡宮のAコースに行きます
右側は、Cコースですが、途中、崖崩れで、金網で、通行止めになっています。(トンネルを通って途中迄は、行けますので、寂地峡五竜の滝へ流れる水流景色が、見れますよ)",寂地峡五竜の滝,"
〒740-0901 山口県岩国市錦町宇佐",Unknown,Unknown,"4.4
(173)",お店やスポットの電話番号を追加する,〒740-0901 山口県岩国市錦町宇佐,34.4300972,132.0548864
tetsu,4,6 年前,"寂地峡（竜ヶ岳峡）には五つの滝が連続しており、総称して「寂地峡五竜の滝」と呼ばれ、「日本の滝百選」にも選ばれています。
キャンプ場の中を寂地川沿いに少し上ると、「寂地峡五竜の滝」の石碑があり、そこから落差15メートルの(竜尾の滝)を、見ることが出来ます。(竜尾の滝)の横には、(名水百選)に指定された名水(延齢の水)もあります。とても、冷たくて美味しいですよ
Bコース滝見道を、登っていくと、先ず、(竜尾の滝)、(登竜の滝)「大乗淵」があり(白竜の滝)が続いています。その上には落差18メートルの(竜門の滝)があり、最上段には落差14メートルの(竜頭の滝)と続いています。
渓流は奇岩怪岩の変化に富んだ美しい風景を展開し、遊歩道の散策は心を洗われます。
結構な、登り坂に、階段になっていますので、スニーカー系で、行った方が良いですね
中々の高所恐怖症の人は、無理だと思います。
特に(竜頭の滝)から上は、凄く狭い階段になっていますので手すりを、持ちながら上がったら良いと思います
それぞれ滝の近辺、手すりの下の方に、滝名の書いたプレートが、置いてますので、見逃さない様に、私は2つ逃しました。帰りに気付きました。
上がると、両側にトンネルが、有ります、左に行くと宇佐八幡宮のAコースに行きます
右側は、Cコースですが、途中、崖崩れで、金網で、通行止めになっています。(トンネルを通って途中迄は、行けますので、寂地峡五竜の滝へ流れる水流景色が、見れますよ)",寂地峡五竜の滝,"
〒740-0901 山口県岩国市錦町宇佐",Unknown,Unknown,"4.4
(173)",お店やスポットの電話番号を追加する,〒740-0901 山口県岩国市錦町宇佐,34.4300972,132.0548864
篠原博人,5,3 年前,静観な処で、しっかり紅葉🍁を満喫しました。年寄りの自分には五竜の滝を観るのは結構体力がいります。でもすごく良い処ですね。来年もまた訪問したいですね。 …,寂地峡五竜の滝,"
〒740-0901 山口県岩国市錦町宇佐",Unknown,Unknown,"4.4
(173)",お店やスポットの電話番号を追加する,〒740-0901 山口県岩国市錦町宇佐,34.4300972,132.0548864
