Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
浅辺雅史,5,9 か月前,"隠れ家的な富岡海水浴場。波が穏やかで、お子さん連れでも、安心感はあるかな…

砂浜からすぐに海という感じではなく、コンクリートの広い階段から海に入る様になる為、滑り易くなるので注意が必要かも。

トイレやシャワー、広めな駐車場完備です。

屋外BGMが大音量で流れていて、雰囲気が出て最高です。",富岡海水浴場,"
〒863-2507 熊本県天草郡苓北町富岡字権現山地先","
0969-35-3332",https://kankou.reihoku-kumamoto.jp/tourist_02.html,"4.2
(160)",Unknown,公共ビーチ,32.5212616,125.1533678
浅辺雅史,5,9 か月前,"隠れ家的な富岡海水浴場。波が穏やかで、お子さん連れでも、安心感はあるかな…

砂浜からすぐに海という感じではなく、コンクリートの広い階段から海に入る様になる為、滑り易くなるので注意が必要かも。

トイレやシャワー、広めな駐車場完備です。

屋外BGMが大音量で流れていて、雰囲気が出て最高です。",富岡海水浴場,"
〒863-2507 熊本県天草郡苓北町富岡字権現山地先","
0969-35-3332",https://kankou.reihoku-kumamoto.jp/tourist_02.html,"4.2
(160)",Unknown,公共ビーチ,32.5212616,125.1533678
ぼんくら中学生,4,4 か月前,"12月に訪問しました
海と夕陽、星が綺麗でした
トイレは綺麗でシャワートイレでした
水飲み場の水も使えます",富岡海水浴場,"
〒863-2507 熊本県天草郡苓北町富岡字権現山地先","
0969-35-3332",https://kankou.reihoku-kumamoto.jp/tourist_02.html,"4.2
(160)",Unknown,公共ビーチ,32.5212616,125.1533678
ぼんくら中学生,4,4 か月前,"12月に訪問しました
海と夕陽、星が綺麗でした
トイレは綺麗でシャワートイレでした
水飲み場の水も使えます",富岡海水浴場,"
〒863-2507 熊本県天草郡苓北町富岡字権現山地先","
0969-35-3332",https://kankou.reihoku-kumamoto.jp/tourist_02.html,"4.2
(160)",Unknown,公共ビーチ,32.5212616,125.1533678
na na,4,1 年前,"海が綺麗との口コミを見て寄りました。
梅雨時期で雨の影響か、この日はそうでもなかったですが波は穏やかでのんびりできました。
遊歩道沿いが石段になっているので休憩しやすくていいですね。日陰になる東屋も良かったです。
駐車場の目の前がすぐ海なので、気軽に寄れて良かったです。

富岡海水浴場の2023年の海開き期間は
6月30日(金)～8月20日(日)のようです。",富岡海水浴場,"
〒863-2507 熊本県天草郡苓北町富岡字権現山地先","
0969-35-3332",https://kankou.reihoku-kumamoto.jp/tourist_02.html,"4.2
(160)",Unknown,公共ビーチ,32.5212616,125.1533678
na na,4,1 年前,"海が綺麗との口コミを見て寄りました。
梅雨時期で雨の影響か、この日はそうでもなかったですが波は穏やかでのんびりできました。
遊歩道沿いが石段になっているので休憩しやすくていいですね。日陰になる東屋も良かったです。
駐車場の目の前がすぐ海なので、気軽に寄れて良かったです。

富岡海水浴場の2023年の海開き期間は
6月30日(金)～8月20日(日)のようです。",富岡海水浴場,"
〒863-2507 熊本県天草郡苓北町富岡字権現山地先","
0969-35-3332",https://kankou.reihoku-kumamoto.jp/tourist_02.html,"4.2
(160)",Unknown,公共ビーチ,32.5212616,125.1533678
nomi chie,5,2 年前,"海もキレイで透明度も高い。
岩場には、熱帯魚やウニ、ナマコもいたし、結構大きい魚も泳いでました。
少し深い所まで行くと、エイも見れた♫
水族館みたいで、感動した〜(^^)
めっちゃ楽しかったです！

浅い所でも岩場辺りまで行くと魚は見れるので、小さなお子様連れでもとても楽しめる所だと思います。

シャワーは、お湯は出ないので、ちょっと冷たいです。",富岡海水浴場,"
〒863-2507 熊本県天草郡苓北町富岡字権現山地先","
0969-35-3332",https://kankou.reihoku-kumamoto.jp/tourist_02.html,"4.2
(160)",Unknown,公共ビーチ,32.5212616,125.1533678
nomi chie,5,2 年前,"海もキレイで透明度も高い。
岩場には、熱帯魚やウニ、ナマコもいたし、結構大きい魚も泳いでました。
少し深い所まで行くと、エイも見れた♫
水族館みたいで、感動した〜(^^)
めっちゃ楽しかったです！

浅い所でも岩場辺りまで行くと魚は見れるので、小さなお子様連れでもとても楽しめる所だと思います。

シャワーは、お湯は出ないので、ちょっと冷たいです。",富岡海水浴場,"
〒863-2507 熊本県天草郡苓北町富岡字権現山地先","
0969-35-3332",https://kankou.reihoku-kumamoto.jp/tourist_02.html,"4.2
(160)",Unknown,公共ビーチ,32.5212616,125.1533678
金子奈留美,4,2 年前,"潮が引くと、消波ブロック辺りまで浅瀬になってしまいますが、その分小さなお子さんには安全な海だと思います。
潮が満ちていると、消波ブロック辺りには魚🐟がたくさん泳いでいるので、楽しめます。
駐車場には、海水浴場の事務所があって、コロナ対策の海水浴場利用者の体温チェックなどしているので、安心できます。 …",富岡海水浴場,"
〒863-2507 熊本県天草郡苓北町富岡字権現山地先","
0969-35-3332",https://kankou.reihoku-kumamoto.jp/tourist_02.html,"4.2
(160)",Unknown,公共ビーチ,32.5212616,125.1533678
金子奈留美,4,2 年前,"潮が引くと、消波ブロック辺りまで浅瀬になってしまいますが、その分小さなお子さんには安全な海だと思います。
潮が満ちていると、消波ブロック辺りには魚🐟がたくさん泳いでいるので、楽しめます。
駐車場には、海水浴場の事務所があって、コロナ対策の海水浴場利用者の体温チェックなどしているので、安心できます。 …",富岡海水浴場,"
〒863-2507 熊本県天草郡苓北町富岡字権現山地先","
0969-35-3332",https://kankou.reihoku-kumamoto.jp/tourist_02.html,"4.2
(160)",Unknown,公共ビーチ,32.5212616,125.1533678
