Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
ライダーめん,4,6 か月前,"ツーリングにて
寄って来ました！
ダム下には行けない様なので
断念しました。
ダム管理事務所2Fの総務課で
ダムカードを頂きました！",寒河江ダム,"
〒990-0732 山形県西村山郡西川町砂子関",Unknown,http://www.thr.mlit.go.jp/mogami/sagae-info/overview.html,"4.0
(23)",お店やスポットの電話番号を追加する,〒990-0732 山形県西村山郡西川町砂子関,38.5182565,139.9662426
ライダーめん,4,6 か月前,"ツーリングにて
寄って来ました！
ダム下には行けない様なので
断念しました。
ダム管理事務所2Fの総務課で
ダムカードを頂きました！",寒河江ダム,"
〒990-0732 山形県西村山郡西川町砂子関",Unknown,http://www.thr.mlit.go.jp/mogami/sagae-info/overview.html,"4.0
(23)",お店やスポットの電話番号を追加する,〒990-0732 山形県西村山郡西川町砂子関,38.5182565,139.9662426
kibimochi,3,2 年前,"112mもの高さを誇る『月山湖大噴水』が名物。
「月山湖」と言っても、近くの月山ダムではなく寒河江ダムにあって紛らわしいので注意。

ちなみに、112と言う数字に結構なこだわりがあるのは有名な話。

ところで、この月山湖畔には「カンペイ」という名のキャラクターが何体か潜んでいる。
かれこれ20年以上昔に訪れた時からいたような気がするが、最近ではかなり色褪せていい感じになっている。

胸のボタンは壊れていて反応が無いが、2022年の5月現在、まだ元気に喋ってくれる個体を確認。いつまで喋ってくれるかも分からないので、興味のある人は是非、カンペイが存命のうちに話を聞いてもらいたい。

ちなみに、カンペイはホンドオコジョ。リアルに絶滅危惧種らしい。",寒河江ダム,"
〒990-0732 山形県西村山郡西川町砂子関",Unknown,http://www.thr.mlit.go.jp/mogami/sagae-info/overview.html,"4.0
(23)",お店やスポットの電話番号を追加する,〒990-0732 山形県西村山郡西川町砂子関,38.5182565,139.9662426
kibimochi,3,2 年前,"112mもの高さを誇る『月山湖大噴水』が名物。
「月山湖」と言っても、近くの月山ダムではなく寒河江ダムにあって紛らわしいので注意。

ちなみに、112と言う数字に結構なこだわりがあるのは有名な話。

ところで、この月山湖畔には「カンペイ」という名のキャラクターが何体か潜んでいる。
かれこれ20年以上昔に訪れた時からいたような気がするが、最近ではかなり色褪せていい感じになっている。

胸のボタンは壊れていて反応が無いが、2022年の5月現在、まだ元気に喋ってくれる個体を確認。いつまで喋ってくれるかも分からないので、興味のある人は是非、カンペイが存命のうちに話を聞いてもらいたい。

ちなみに、カンペイはホンドオコジョ。リアルに絶滅危惧種らしい。",寒河江ダム,"
〒990-0732 山形県西村山郡西川町砂子関",Unknown,http://www.thr.mlit.go.jp/mogami/sagae-info/overview.html,"4.0
(23)",お店やスポットの電話番号を追加する,〒990-0732 山形県西村山郡西川町砂子関,38.5182565,139.9662426
くろあめ!,4,1 年前,"国土交通省管理のダムは大きくていいですね。
ダムカードは管理事務所でもらえます。
下のほうに降りていくと夏はバーベキューができるみたいです。",寒河江ダム,"
〒990-0732 山形県西村山郡西川町砂子関",Unknown,http://www.thr.mlit.go.jp/mogami/sagae-info/overview.html,"4.0
(23)",お店やスポットの電話番号を追加する,〒990-0732 山形県西村山郡西川町砂子関,38.5182565,139.9662426
くろあめ!,4,1 年前,"国土交通省管理のダムは大きくていいですね。
ダムカードは管理事務所でもらえます。
下のほうに降りていくと夏はバーベキューができるみたいです。",寒河江ダム,"
〒990-0732 山形県西村山郡西川町砂子関",Unknown,http://www.thr.mlit.go.jp/mogami/sagae-info/overview.html,"4.0
(23)",お店やスポットの電話番号を追加する,〒990-0732 山形県西村山郡西川町砂子関,38.5182565,139.9662426
initial T,5,5 年前,"山形県で最も大きい、堤高112mの、特定多目的ロックフィルダム。観光地化に成功しているダムの1つ。

景観も大変素晴らしく、国道112号沿いでアクセスも抜群、さらにダム竣工により出来た人工湖として出来た「月山湖」に仕込んである「月山湖大噴水」は日本一の噴射能力を誇っており、世界規模で見ても世界第4位と、貴方が想像している以上の、まさに「大噴水」に、思わず歓声が漏れること間違いなし。

ちなみに最大能力から若干抑えた水頭圧は112mで、つまり水面から真上に、ダムと同じ高さまで噴水が上がるわけで、ここでも「112」と合わせているのが興味深い。

ダムカードは隣接する管理事務所でいただける。ダムサイトにはレストランもあり、大駐車場も完備。
月山エリア自体が観光地なので、ダムマニアではなくとも寄らない手はない。
逆にマニアならば、最上川水系セットで、巡る季節は雪解けで水量の多い「春」、やまびこが楽しい「長井ダム」、樹々が水中に沈んだ幻想的な景観が素晴らしい「白川ダム」は、ガチの鉄板コース。

計画当初は反対運動も強かったが、「おしん」効果もあり、むしろ誘致に変わっていったことも、興味深い部分である。",寒河江ダム,"
〒990-0732 山形県西村山郡西川町砂子関",Unknown,http://www.thr.mlit.go.jp/mogami/sagae-info/overview.html,"4.0
(23)",お店やスポットの電話番号を追加する,〒990-0732 山形県西村山郡西川町砂子関,38.5182565,139.9662426
initial T,5,5 年前,"山形県で最も大きい、堤高112mの、特定多目的ロックフィルダム。観光地化に成功しているダムの1つ。

景観も大変素晴らしく、国道112号沿いでアクセスも抜群、さらにダム竣工により出来た人工湖として出来た「月山湖」に仕込んである「月山湖大噴水」は日本一の噴射能力を誇っており、世界規模で見ても世界第4位と、貴方が想像している以上の、まさに「大噴水」に、思わず歓声が漏れること間違いなし。

ちなみに最大能力から若干抑えた水頭圧は112mで、つまり水面から真上に、ダムと同じ高さまで噴水が上がるわけで、ここでも「112」と合わせているのが興味深い。

ダムカードは隣接する管理事務所でいただける。ダムサイトにはレストランもあり、大駐車場も完備。
月山エリア自体が観光地なので、ダムマニアではなくとも寄らない手はない。
逆にマニアならば、最上川水系セットで、巡る季節は雪解けで水量の多い「春」、やまびこが楽しい「長井ダム」、樹々が水中に沈んだ幻想的な景観が素晴らしい「白川ダム」は、ガチの鉄板コース。

計画当初は反対運動も強かったが、「おしん」効果もあり、むしろ誘致に変わっていったことも、興味深い部分である。",寒河江ダム,"
〒990-0732 山形県西村山郡西川町砂子関",Unknown,http://www.thr.mlit.go.jp/mogami/sagae-info/overview.html,"4.0
(23)",お店やスポットの電話番号を追加する,〒990-0732 山形県西村山郡西川町砂子関,38.5182565,139.9662426
ありがとうございます!流浪の感謝マン,5,6 か月前,"謎ゆるキャラ像オヘソのボタンを押すと、このダムについて解説してくれるよ☺
眺めもイイ! まったり出来る。",寒河江ダム,"
〒990-0732 山形県西村山郡西川町砂子関",Unknown,http://www.thr.mlit.go.jp/mogami/sagae-info/overview.html,"4.0
(23)",お店やスポットの電話番号を追加する,〒990-0732 山形県西村山郡西川町砂子関,38.5182565,139.9662426
ありがとうございます!流浪の感謝マン,5,6 か月前,"謎ゆるキャラ像オヘソのボタンを押すと、このダムについて解説してくれるよ☺
眺めもイイ! まったり出来る。",寒河江ダム,"
〒990-0732 山形県西村山郡西川町砂子関",Unknown,http://www.thr.mlit.go.jp/mogami/sagae-info/overview.html,"4.0
(23)",お店やスポットの電話番号を追加する,〒990-0732 山形県西村山郡西川町砂子関,38.5182565,139.9662426
