Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
KatoShiki,4,2 か月前,駐車場にくるまを停めて遠方を望むと清々しい気分になりますね。あまぎ水の文花村から少しいったところにあるダムです。,寺内ダム,"
〒838-0029 福岡県朝倉市荷原",Unknown,https://www.water.go.jp/chikugo/terauchi/,"4.2
(66)",お店やスポットの電話番号を追加する,堰,33.4283001,125.8468171
KatoShiki,4,2 か月前,駐車場にくるまを停めて遠方を望むと清々しい気分になりますね。あまぎ水の文花村から少しいったところにあるダムです。,寺内ダム,"
〒838-0029 福岡県朝倉市荷原",Unknown,https://www.water.go.jp/chikugo/terauchi/,"4.2
(66)",お店やスポットの電話番号を追加する,堰,33.4283001,125.8468171
藤一,4,1 か月前,"桜が綺麗な日々でした。
けっこう古いダムで大きいです。ダムカードゲットしました。",寺内ダム,"
〒838-0029 福岡県朝倉市荷原",Unknown,https://www.water.go.jp/chikugo/terauchi/,"4.2
(66)",お店やスポットの電話番号を追加する,堰,33.4283001,125.8468171
藤一,4,1 か月前,"桜が綺麗な日々でした。
けっこう古いダムで大きいです。ダムカードゲットしました。",寺内ダム,"
〒838-0029 福岡県朝倉市荷原",Unknown,https://www.water.go.jp/chikugo/terauchi/,"4.2
(66)",お店やスポットの電話番号を追加する,堰,33.4283001,125.8468171
s e,5,3 週間前,"ダムの堤体が綺麗に見える広場があります。
かなり離れた朝倉市街地からも見えるほど目立つダムです。たまにライトアップや花火をやっています。主に利水を目的としたダムなので、水資源機構筑後川局管轄かと思われます。ここで堰き止めた水は筑後川へ流れ、久留米市にある福岡導水を通じて福岡市とその近郊の水道水として利用されています。",寺内ダム,"
〒838-0029 福岡県朝倉市荷原",Unknown,https://www.water.go.jp/chikugo/terauchi/,"4.2
(66)",お店やスポットの電話番号を追加する,堰,33.4283001,125.8468171
s e,5,3 週間前,"ダムの堤体が綺麗に見える広場があります。
かなり離れた朝倉市街地からも見えるほど目立つダムです。たまにライトアップや花火をやっています。主に利水を目的としたダムなので、水資源機構筑後川局管轄かと思われます。ここで堰き止めた水は筑後川へ流れ、久留米市にある福岡導水を通じて福岡市とその近郊の水道水として利用されています。",寺内ダム,"
〒838-0029 福岡県朝倉市荷原",Unknown,https://www.water.go.jp/chikugo/terauchi/,"4.2
(66)",お店やスポットの電話番号を追加する,堰,33.4283001,125.8468171
大五郎,3,3 週間前,"寺内ダムは、巨大な水がめとして私たちの生活を潤すため、また、ある時は洪水をガッチリ受けとめ下流を守るため、多くの人々の理解と協力のもとに造られました。 　ダムの特徴は岩や土を積み上げて造るロックフィルダム構造。周囲の環境と美しく調和するようにと、水資源開発公団（現 水資源機構）が手がけた最初のロックフィルダムです。 ロックフィルダムは、岩石や土を積み上げて作るダム。コンクリートに比べ軽い分、底の面積を広くして湖の水を支えていて、コンクリートダムが建つ場所より地盤のやわらかい所でも建てることができます。岩石だけでは水を通しやすいので、中心部に水が漏れないよう「コア」と呼ばれる土の壁を作ります。
堤高（ダム本体の高さ）は 83m。その堤頂から下流を見下ろすと、広大な筑後平野が一望できます。
総貯水容量は 18,000,000m3。総貯水容量とは、ダム湖に貯めることのできる水の総量のこと。寺内ダムの総貯水容量は、福岡ドームの容積の約10倍にもなります。
堤頂長（ダム本体の長さ）420m。
やや狭いですが、マイナスイオンを浴びなが車でダムの周りを1周することもできます。
河川:筑後川水系佐田川
形式:ロックフィルダム
堤高:83m
堤頂長:420m
堤体積:3,000,000m3
総貯水量:18,000,000m3
施工:間組・日本国土開発JV
工期:1970年〜1978年",寺内ダム,"
〒838-0029 福岡県朝倉市荷原",Unknown,https://www.water.go.jp/chikugo/terauchi/,"4.2
(66)",お店やスポットの電話番号を追加する,堰,33.4283001,125.8468171
大五郎,3,3 週間前,"寺内ダムは、巨大な水がめとして私たちの生活を潤すため、また、ある時は洪水をガッチリ受けとめ下流を守るため、多くの人々の理解と協力のもとに造られました。 　ダムの特徴は岩や土を積み上げて造るロックフィルダム構造。周囲の環境と美しく調和するようにと、水資源開発公団（現 水資源機構）が手がけた最初のロックフィルダムです。 ロックフィルダムは、岩石や土を積み上げて作るダム。コンクリートに比べ軽い分、底の面積を広くして湖の水を支えていて、コンクリートダムが建つ場所より地盤のやわらかい所でも建てることができます。岩石だけでは水を通しやすいので、中心部に水が漏れないよう「コア」と呼ばれる土の壁を作ります。
堤高（ダム本体の高さ）は 83m。その堤頂から下流を見下ろすと、広大な筑後平野が一望できます。
総貯水容量は 18,000,000m3。総貯水容量とは、ダム湖に貯めることのできる水の総量のこと。寺内ダムの総貯水容量は、福岡ドームの容積の約10倍にもなります。
堤頂長（ダム本体の長さ）420m。
やや狭いですが、マイナスイオンを浴びなが車でダムの周りを1周することもできます。
河川:筑後川水系佐田川
形式:ロックフィルダム
堤高:83m
堤頂長:420m
堤体積:3,000,000m3
総貯水量:18,000,000m3
施工:間組・日本国土開発JV
工期:1970年〜1978年",寺内ダム,"
〒838-0029 福岡県朝倉市荷原",Unknown,https://www.water.go.jp/chikugo/terauchi/,"4.2
(66)",お店やスポットの電話番号を追加する,堰,33.4283001,125.8468171
haruka harupapa,4,8 か月前,寺内ダム（美奈宜湖）の周回を時計の反対周りで回りました。1時間20分の行程で、総上昇量50メートルでアップダウンはあまりありません。車は水の文化村駐車場に停めるのが良いと思う｡周回中歩道のない一般道路を歩く場面がかなりありましたが、車は少なかった｡また､ダム湖は周回中あまり見えません。かなり下方にあるのと､木が茂っているのでアスファルトの山道を歩く場面が多かった｡暑かったが、日陰は半分くらいあり､日陰ではそれなりに涼しい｡この辺りはダムが幾つもあり､近くの上流に江川ダム､小石原ダムとダム銀座となっています。,寺内ダム,"
〒838-0029 福岡県朝倉市荷原",Unknown,https://www.water.go.jp/chikugo/terauchi/,"4.2
(66)",お店やスポットの電話番号を追加する,堰,33.4283001,125.8468171
haruka harupapa,4,8 か月前,寺内ダム（美奈宜湖）の周回を時計の反対周りで回りました。1時間20分の行程で、総上昇量50メートルでアップダウンはあまりありません。車は水の文化村駐車場に停めるのが良いと思う｡周回中歩道のない一般道路を歩く場面がかなりありましたが、車は少なかった｡また､ダム湖は周回中あまり見えません。かなり下方にあるのと､木が茂っているのでアスファルトの山道を歩く場面が多かった｡暑かったが、日陰は半分くらいあり､日陰ではそれなりに涼しい｡この辺りはダムが幾つもあり､近くの上流に江川ダム､小石原ダムとダム銀座となっています。,寺内ダム,"
〒838-0029 福岡県朝倉市荷原",Unknown,https://www.water.go.jp/chikugo/terauchi/,"4.2
(66)",お店やスポットの電話番号を追加する,堰,33.4283001,125.8468171
kazue m-,4,8 か月前,"森林が多くて素敵なところ。
福岡市水道局の企画でダム内部にも入らせてもらい、圧巻でした！
すごく涼しくてずっといたいくらい。",寺内ダム,"
〒838-0029 福岡県朝倉市荷原",Unknown,https://www.water.go.jp/chikugo/terauchi/,"4.2
(66)",お店やスポットの電話番号を追加する,堰,33.4283001,125.8468171
