Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
スガノハルキ,4,1 か月前,"ダムカード10枚目
紅葉シーズン真っ只中ではかなり駐車場が混雑しています⚠️
近くにある【奥多摩水と緑のふれあい館】は子供向け施設がメインであり、文献などはあまり期待できないです。
ただし、それを抜きにしても奥多摩湖の景観は素晴らしく、どの角度から撮ってみたいくらい楽しめます。
ダム湖百選の選出にも納得です",小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
スガノハルキ,4,1 か月前,"ダムカード10枚目
紅葉シーズン真っ只中ではかなり駐車場が混雑しています⚠️
近くにある【奥多摩水と緑のふれあい館】は子供向け施設がメインであり、文献などはあまり期待できないです。
ただし、それを抜きにしても奥多摩湖の景観は素晴らしく、どの角度から撮ってみたいくらい楽しめます。
ダム湖百選の選出にも納得です",小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
猫好き（ニャンコ先生）,4,2 週間前,"奥多摩湖ドライブがてらに小河内ダムを見に来ました☺️
中々大きなダムで壮観でした🤔
桜と水辺の景色はとっても風流☺️

ダムって何気に観光地になりますね☺️
ダムの資料館とかダムグルメやダムからの景色などなど…✨
ダムに来るまでの景色も新鮮☺️湖沿いの道路なんかカーブも多いですが信号無いので快適にドライブ出来ました😆
近くには道の駅もあるので周辺一帯含めて楽しい観光が出来ました😊",小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
猫好き（ニャンコ先生）,4,2 週間前,"奥多摩湖ドライブがてらに小河内ダムを見に来ました☺️
中々大きなダムで壮観でした🤔
桜と水辺の景色はとっても風流☺️

ダムって何気に観光地になりますね☺️
ダムの資料館とかダムグルメやダムからの景色などなど…✨
ダムに来るまでの景色も新鮮☺️湖沿いの道路なんかカーブも多いですが信号無いので快適にドライブ出来ました😆
近くには道の駅もあるので周辺一帯含めて楽しい観光が出来ました😊",小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
ランドクルーザープラド,5,4 か月前,"2024/10訪問
日本各地を愛車で巡る趣味のある自分ですが都心部はあまり好みでない為、いわゆる都内はあまり寄り道をしてこなかった。
こちらも都内ではあるわけだが、道中を含めて結構走り甲斐があると言うか意外と自然豊かで楽しかった。
洪水吐き？のいわゆる滑り台部分が今まで見て来たダムの中でも異様と言える程に長く目を引いた。

ダムカードあり",小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
ランドクルーザープラド,5,4 か月前,"2024/10訪問
日本各地を愛車で巡る趣味のある自分ですが都心部はあまり好みでない為、いわゆる都内はあまり寄り道をしてこなかった。
こちらも都内ではあるわけだが、道中を含めて結構走り甲斐があると言うか意外と自然豊かで楽しかった。
洪水吐き？のいわゆる滑り台部分が今まで見て来たダムの中でも異様と言える程に長く目を引いた。

ダムカードあり",小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
あるかな,5,4 か月前,奥多摩観光のハイライトと言えばここだと思います。公共交通機関利用の場合日中は、バスも1時間に1本以上はあるので近くの資料館で時間を潰しつつ待つことがてきます。因みにダムカードも資料館で頂けます。ダム上、中間のあたりに展望台があり、上まで登ると床一面に地図があり、奥多摩の観光スポットが紹介それています。また展望台からは、ダム湖側と渓谷側側よく見えます。,小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
あるかな,5,4 か月前,奥多摩観光のハイライトと言えばここだと思います。公共交通機関利用の場合日中は、バスも1時間に1本以上はあるので近くの資料館で時間を潰しつつ待つことがてきます。因みにダムカードも資料館で頂けます。ダム上、中間のあたりに展望台があり、上まで登ると床一面に地図があり、奥多摩の観光スポットが紹介それています。また展望台からは、ダム湖側と渓谷側側よく見えます。,小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
島津賢二,5,3 週間前,想像していたより、しっかり観光用のダムでした。お土産屋さん、食事処、説明設備がしっかり整備されているのでドライブがてら行くのはオススメです。,小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
島津賢二,5,3 週間前,想像していたより、しっかり観光用のダムでした。お土産屋さん、食事処、説明設備がしっかり整備されているのでドライブがてら行くのはオススメです。,小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
TAKU NAN,5,3 か月前,2024年12月31日、青梅街道の歩き旅道中に訪れました。風が強い日は、吹き飛ばされそうで少し怖いかも知れません。かなり大きいダムであり、その迫力がひしひしと伝わっています。,小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
TAKU NAN,5,3 か月前,2024年12月31日、青梅街道の歩き旅道中に訪れました。風が強い日は、吹き飛ばされそうで少し怖いかも知れません。かなり大きいダムであり、その迫力がひしひしと伝わっています。,小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
Erichan Yamato,3,4 か月前,"グーグルマップで[小河内ダム、経路車]と検索すると違う位置にマップが立ってしまうので、ダムを上からみたい方は[小河内ダム、駐車場]と入れて検索する方が良さそうです。
また、駐車場からダムまでは割と離れています。歩くのが苦手な方にはお勧め出来ません。秩父等のダムのように下から見上げる為に監視塔等からエレベーターに乗って下まで下りるといった事も出来ません。
ダム湖(奥多摩湖)を楽しむ感じです。
駐車場隣のふれあい館の中にレストランがあり、そちらのダムカレーをいただくと小河内ダムの全容がわかり面白いです。
とても広いダムです。",小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
Erichan Yamato,3,4 か月前,"グーグルマップで[小河内ダム、経路車]と検索すると違う位置にマップが立ってしまうので、ダムを上からみたい方は[小河内ダム、駐車場]と入れて検索する方が良さそうです。
また、駐車場からダムまでは割と離れています。歩くのが苦手な方にはお勧め出来ません。秩父等のダムのように下から見上げる為に監視塔等からエレベーターに乗って下まで下りるといった事も出来ません。
ダム湖(奥多摩湖)を楽しむ感じです。
駐車場隣のふれあい館の中にレストランがあり、そちらのダムカレーをいただくと小河内ダムの全容がわかり面白いです。
とても広いダムです。",小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
R san,5,2 か月前,"巨大都市東京都でありながら自然に囲まれた場所
ここは標高が割と高いので冬季は積雪や路面凍結があります
冬季は念のため冬用タイヤで来た方がいいと思います
ダムは車両進入禁止です",小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
R san,5,2 か月前,"巨大都市東京都でありながら自然に囲まれた場所
ここは標高が割と高いので冬季は積雪や路面凍結があります
冬季は念のため冬用タイヤで来た方がいいと思います
ダムは車両進入禁止です",小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
yama,4,7 か月前,"早朝7時30分ころ訪れたので、人が少なく気楽に観光出来ました。
駐車場からダムの堤防まで近いわけではありませんが、ダムの景色を見ながらなので、さほど時間を感じることがありません。
近くで見るとダムの水も綺麗で、ここが東京だということ事を忘れそうです。",小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
yama,4,7 か月前,"早朝7時30分ころ訪れたので、人が少なく気楽に観光出来ました。
駐車場からダムの堤防まで近いわけではありませんが、ダムの景色を見ながらなので、さほど時間を感じることがありません。
近くで見るとダムの水も綺麗で、ここが東京だということ事を忘れそうです。",小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
まさとも,4,1 年前,"ダムの上を歩くことが出来ました。
車も通るので、気をつけて見学する必要があります。
ダムの放水側は、高度感が物凄くあり吸い込まれそうでした。
ダムの中間点あたりに、長細い建物が２つあり奥の建物が展望塔で、見学できる施設でした。
のんびり散策しながら自然を感じるには、とても良い場所だと思います。",小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
まさとも,4,1 年前,"ダムの上を歩くことが出来ました。
車も通るので、気をつけて見学する必要があります。
ダムの放水側は、高度感が物凄くあり吸い込まれそうでした。
ダムの中間点あたりに、長細い建物が２つあり奥の建物が展望塔で、見学できる施設でした。
のんびり散策しながら自然を感じるには、とても良い場所だと思います。",小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
Kise I,5,6 か月前,"駐車場🅿️あり　無料
自転車🚲ラック　なし
トイレ🚽あり

特に何がある訳でもないところが良かった。
静かでどこからも音楽や呼び声、話し声もなくただただ静かな中に美しい景色が広がっています。",小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
Kise I,5,6 か月前,"駐車場🅿️あり　無料
自転車🚲ラック　なし
トイレ🚽あり

特に何がある訳でもないところが良かった。
静かでどこからも音楽や呼び声、話し声もなくただただ静かな中に美しい景色が広がっています。",小河内ダム,"
〒198-0223 東京都西多摩郡奥多摩町原","
0428-86-2211",https://www.waterworks.metro.tokyo.lg.jp/suigen/antei/ogochi,"4.2
(436)",営業時間を追加,堰,35.7911459,139.0490169
