Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
a-baoaqu,5,1 か月前,関西から行くと割と近くて行きやすいです、もちろん橋が架かってないのでフェリーで行きますがフェリーは旅情があってとても良いですね。船の中はゆっくり出来て島に行く前にテンションが上がります。また、学生さんのグループ旅行を良く見かけます。船の中でとても楽しそうにしていますね。小豆島は良い意味で田舎景色がとても合っています。都会の喧騒を忘れる静けさがとてもリラックス出来ます。また、夏の夜は星空がとても綺麗で天の川が見れます。それだけでも小豆島に行く価値があります。お勧めします!,小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
a-baoaqu,5,1 か月前,関西から行くと割と近くて行きやすいです、もちろん橋が架かってないのでフェリーで行きますがフェリーは旅情があってとても良いですね。船の中はゆっくり出来て島に行く前にテンションが上がります。また、学生さんのグループ旅行を良く見かけます。船の中でとても楽しそうにしていますね。小豆島は良い意味で田舎景色がとても合っています。都会の喧騒を忘れる静けさがとてもリラックス出来ます。また、夏の夜は星空がとても綺麗で天の川が見れます。それだけでも小豆島に行く価値があります。お勧めします!,小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
グレートジャンガリアン,5,11 か月前,"ゴールデンウィークに姫路からフェリーを使いマイカーで来ました。
一泊二日もあれば、島の観光地は大体まわれます。",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
グレートジャンガリアン,5,11 か月前,"ゴールデンウィークに姫路からフェリーを使いマイカーで来ました。
一泊二日もあれば、島の観光地は大体まわれます。",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
おもち,5,7 か月前,高速フェリーで1時間ぐらいでした。撮影スポットはたくさんあるし海は綺麗だし食べ物も美味しいし最高でした😆レンタカーを借りることをオススメします。 …,小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
おもち,5,7 か月前,高速フェリーで1時間ぐらいでした。撮影スポットはたくさんあるし海は綺麗だし食べ物も美味しいし最高でした😆レンタカーを借りることをオススメします。 …,小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
宇野晃二,4,3 か月前,のんびり暮らすにはいい場所ですね。人々が優しく素晴らしいですね。,小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
宇野晃二,4,3 か月前,のんびり暮らすにはいい場所ですね。人々が優しく素晴らしいですね。,小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
まつまつ,5,1 年前,"SNS等で色々検索して、沢山観光しました。
島一周するのに車なら3時間程で済むそうですが、観光スポットや、趣きのある場所、SNS映えしそうな所…色々あったので自転車で小道に入ったりするのも良いですよ👍
ちなみに写真は…
☆エンジェルロード
☆寒霞渓展望台
☆マルキン醤油",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
まつまつ,5,1 年前,"SNS等で色々検索して、沢山観光しました。
島一周するのに車なら3時間程で済むそうですが、観光スポットや、趣きのある場所、SNS映えしそうな所…色々あったので自転車で小道に入ったりするのも良いですよ👍
ちなみに写真は…
☆エンジェルロード
☆寒霞渓展望台
☆マルキン醤油",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
ゲラーデアオス,3,1 年前,見どころ満載の島で、ゆっくり回るなら2泊3日くらい掛かります。ですが、こんな小島にも某国の団体客が押し寄せ、記念撮影スポットを我が物顔で占領し、大声を出してはしゃいでいます。,小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
ゲラーデアオス,3,1 年前,見どころ満載の島で、ゆっくり回るなら2泊3日くらい掛かります。ですが、こんな小島にも某国の団体客が押し寄せ、記念撮影スポットを我が物顔で占領し、大声を出してはしゃいでいます。,小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
P Iso.,5,6 年前,"初めて訪れました。

レンタカーで周遊するのがオススメです。

ガイドブックにも載っていないような何気ない景色が素晴らしい。

瀬戸内海の海は波が少なく鏡面のように静かにたたずむ海を見ているだけで心落ち着きます。",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
P Iso.,5,6 年前,"初めて訪れました。

レンタカーで周遊するのがオススメです。

ガイドブックにも載っていないような何気ない景色が素晴らしい。

瀬戸内海の海は波が少なく鏡面のように静かにたたずむ海を見ているだけで心落ち着きます。",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
うりぼう,5,1 年前,"滞在が三日間でガイドブックにある主な場所にはすべて行くことができます。なのに何故かまた行く計画を立てています・・・
この島はリピーターや定住を考える人が多いと聞きましたがその意味が行ってわかりました。素晴らしい景色、自然と丁度良い住みやすさを備えた島です。",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
うりぼう,5,1 年前,"滞在が三日間でガイドブックにある主な場所にはすべて行くことができます。なのに何故かまた行く計画を立てています・・・
この島はリピーターや定住を考える人が多いと聞きましたがその意味が行ってわかりました。素晴らしい景色、自然と丁度良い住みやすさを備えた島です。",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
味噌汁大臣,5,9 か月前,"香川県小豆島最高でした。

オリーブ、エンジェルロード、アイス、サイクリング全部よいです。",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
味噌汁大臣,5,9 か月前,"香川県小豆島最高でした。

オリーブ、エンジェルロード、アイス、サイクリング全部よいです。",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
みんな幸せに,5,2 か月前,"大好き！

去年2回今年はまだ1回。
ゆっくりした時間が過ごせるから釣れなくても釣りしてぼーっとしていたいな。",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
みんな幸せに,5,2 か月前,"大好き！

去年2回今年はまだ1回。
ゆっくりした時間が過ごせるから釣れなくても釣りしてぼーっとしていたいな。",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
らくじん東琤,5,6 年前,ここ数年、紅葉の季節には寒霞渓を見に行っています。特に美し原高原からの眺めは美しく、イチオシです。マッタリツーリングには最適の島です。隠れ名所が沢山有りそうな島探検は楽しいです。,小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
らくじん東琤,5,6 年前,ここ数年、紅葉の季節には寒霞渓を見に行っています。特に美し原高原からの眺めは美しく、イチオシです。マッタリツーリングには最適の島です。隠れ名所が沢山有りそうな島探検は楽しいです。,小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
もちくさ,5,9 か月前,何度か来てます。飽きない景色。静かで素敵な島でした。,小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
もちくさ,5,9 か月前,何度か来てます。飽きない景色。静かで素敵な島でした。,小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
Ryo_ T (さぼ),5,6 年前,"小豆島は｢からかい上手の高木さん｣の舞台になっている所で、聖地巡礼をしに行きました！

夏に行く小豆島は他の季節と違って、景色がもの凄く良いのでオススメです👍✨

島の名物である生そうめんやオリーブ、醤油もとても美味しいので現地で味わってください！！＼(^o^)／

高木さんファンの方は絶対行ってほしいですし、ファン以外の方も是非行ってほしい所です！！

車があると便利です！軽やコンパクトカーだと狭い道も安心して行けるのでオススメです！レンタルサイクルやバスもあるのである程度の場所は巡れますよ！！",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
Ryo_ T (さぼ),5,6 年前,"小豆島は｢からかい上手の高木さん｣の舞台になっている所で、聖地巡礼をしに行きました！

夏に行く小豆島は他の季節と違って、景色がもの凄く良いのでオススメです👍✨

島の名物である生そうめんやオリーブ、醤油もとても美味しいので現地で味わってください！！＼(^o^)／

高木さんファンの方は絶対行ってほしいですし、ファン以外の方も是非行ってほしい所です！！

車があると便利です！軽やコンパクトカーだと狭い道も安心して行けるのでオススメです！レンタルサイクルやバスもあるのである程度の場所は巡れますよ！！",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
Z,4,4 か月前,"お友達が結婚され何度か宿泊しました。
のんびりしていてゆっくり過ごすには良い場所ですがお店は早めに閉めたがるのと
飲食店の土日休みは驚き‼️でした
また機会があれば行ってみたい場所です",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
Z,4,4 か月前,"お友達が結婚され何度か宿泊しました。
のんびりしていてゆっくり過ごすには良い場所ですがお店は早めに閉めたがるのと
飲食店の土日休みは驚き‼️でした
また機会があれば行ってみたい場所です",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
藤田力,4,5 年前,"瀬戸内国際芸術祭真っ盛りの小豆島弾丸ツアーに行って来ました。
小豆島に自生する孟宗竹を使用したオブジェが多く見られました。
天気にも恵まれ、一周する間にほとんどの作品も見ることが出来ました。
途中で、お昼に「アナゴ丼」、夕食に「スープカレー」を頂きました。

お遍路さんも多く、お話を聞くと、宿に泊まりながら数日かけて回るのだそうです！

次回は、島で一泊してゆっくり周りたいとおもいます。",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
藤田力,4,5 年前,"瀬戸内国際芸術祭真っ盛りの小豆島弾丸ツアーに行って来ました。
小豆島に自生する孟宗竹を使用したオブジェが多く見られました。
天気にも恵まれ、一周する間にほとんどの作品も見ることが出来ました。
途中で、お昼に「アナゴ丼」、夕食に「スープカレー」を頂きました。

お遍路さんも多く、お話を聞くと、宿に泊まりながら数日かけて回るのだそうです！

次回は、島で一泊してゆっくり周りたいとおもいます。",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
ma ko,5,2 年前,高松港から30分の高速艇もありますが、1時間のカーフェリーを利用しました。島内もバスの連絡が良く景色を楽しみながらの旅。フェリー内は売店や綺麗なトイレ、女性専用席もあり過ごしやすかったです。,小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
ma ko,5,2 年前,高松港から30分の高速艇もありますが、1時間のカーフェリーを利用しました。島内もバスの連絡が良く景色を楽しみながらの旅。フェリー内は売店や綺麗なトイレ、女性専用席もあり過ごしやすかったです。,小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
ててる,4,3 年前,"とても気持ちの良い場所でした。どこに行っても海が見え、海岸沿いは美しい景色ばかりでした。
オリーブ公園も素敵な場所でした。
採石場はまた格別の景色で、迫力がありましました。",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
ててる,4,3 年前,"とても気持ちの良い場所でした。どこに行っても海が見え、海岸沿いは美しい景色ばかりでした。
オリーブ公園も素敵な場所でした。
採石場はまた格別の景色で、迫力がありましました。",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
EMO YAN,5,8 年前,"昔から人気の観光スポット。
意外に🌸桜の綺麗🌸なスポットが点在しているので、４月の小豆島もオススメ出来ます。 …",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
EMO YAN,5,8 年前,"昔から人気の観光スポット。
意外に🌸桜の綺麗🌸なスポットが点在しているので、４月の小豆島もオススメ出来ます。 …",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
R TAKAHA,4,1 年前,姫路港も福田港も自販機しかなく旅の起点なのに愛想無さすぎ,小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
R TAKAHA,4,1 年前,姫路港も福田港も自販機しかなく旅の起点なのに愛想無さすぎ,小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
sorairo dennkyuu,5,6 年前,"2017年8月夏季休暇中に訪問。
エンジェルロード、寒霞渓、迷路のまちを楽しみました。エンジェルロード、迷路のまち辺りは土庄港から歩いても行ける距離です。",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
sorairo dennkyuu,5,6 年前,"2017年8月夏季休暇中に訪問。
エンジェルロード、寒霞渓、迷路のまちを楽しみました。エンジェルロード、迷路のまち辺りは土庄港から歩いても行ける距離です。",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
BLACK IRON HORSE,5,4 年前,"ツーリングで中型バイク、大型バイクで何度か行ったが、淡路島ほど広くなく3〜4時間で1周できてしまう。それが人によって、つまらないと思うか、余白を楽しめるか、別れるところだと思う🤔

寒霞渓⛰、オリーブ園🪴、二十四の瞳映画村📽などの観光スポットもあるが、やはり海をボーッとみて地元の海の幸に舌鼓を打つのが、実に良い。🐟🍲🍣🥢

大きな商業施設もなく、1週間もいたら何をして良いのかわからなくなってしまいそうな、それでもバイクで走れる良い道があって、存分に自然と戯れるには十分の環境がある。そんなところが小豆島の大きな魅力である。",小豆島,"
香川県小豆郡",Unknown,Unknown,"4.3
(584)",Unknown,島,34.4895978,134.2612725
