Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Moritaka Takahashi (guzuguzumokkyu),4,3 年前,"2020-2021シーズン
2回ほど滑りに行きました。幹線道路沿いにあるためアクセス抜群で、ファミリーで行くのに適したスキー場です。親子券で購入すると4時間券程度の値段で1日券が購入できるという破格の設定があります。

リフトはペアリフトが一本。降りると広い１枚バーンが広がります。起伏があるので、中上級者でも楽しめるし、大回りで滑れば初心者の練習にも最適です。

値段・コース・アクセスの良さはとても良いんですが、いかんせん駐車場が点在しすぎててわかりずらい。これで☆一つ減ってしまいました。駐車場は4箇所ほど確認できましたが、遠くに停めてしまうと結構歩くのキツイんですよね。

それでも、駐車場の問題があっても有り余るコスパの良さなので、来シーズンも行ってみたいと思います。",小野川温泉スキー場,"
〒992-0076 山形県米沢市小野川町１８８−１","
0238-32-2121",http://npo-onogawa.org/,"3.9
(64)",Unknown,〒992-0076 山形県米沢市小野川町１８８−１,37.8777846,137.6187192
Moritaka Takahashi (guzuguzumokkyu),4,3 年前,"2020-2021シーズン
2回ほど滑りに行きました。幹線道路沿いにあるためアクセス抜群で、ファミリーで行くのに適したスキー場です。親子券で購入すると4時間券程度の値段で1日券が購入できるという破格の設定があります。

リフトはペアリフトが一本。降りると広い１枚バーンが広がります。起伏があるので、中上級者でも楽しめるし、大回りで滑れば初心者の練習にも最適です。

値段・コース・アクセスの良さはとても良いんですが、いかんせん駐車場が点在しすぎててわかりずらい。これで☆一つ減ってしまいました。駐車場は4箇所ほど確認できましたが、遠くに停めてしまうと結構歩くのキツイんですよね。

それでも、駐車場の問題があっても有り余るコスパの良さなので、来シーズンも行ってみたいと思います。",小野川温泉スキー場,"
〒992-0076 山形県米沢市小野川町１８８−１","
0238-32-2121",http://npo-onogawa.org/,"3.9
(64)",Unknown,〒992-0076 山形県米沢市小野川町１８８−１,37.8777846,137.6187192
ha Oni,5,3 週間前,"3月末に行きました。

家族でソリで遊びました。
貸切状態で子供達も喜んでいました。",小野川温泉スキー場,"
〒992-0076 山形県米沢市小野川町１８８−１","
0238-32-2121",http://npo-onogawa.org/,"3.9
(64)",Unknown,〒992-0076 山形県米沢市小野川町１８８−１,37.8777846,137.6187192
ha Oni,5,3 週間前,"3月末に行きました。

家族でソリで遊びました。
貸切状態で子供達も喜んでいました。",小野川温泉スキー場,"
〒992-0076 山形県米沢市小野川町１８８−１","
0238-32-2121",http://npo-onogawa.org/,"3.9
(64)",Unknown,〒992-0076 山形県米沢市小野川町１８８−１,37.8777846,137.6187192
クリちゃんほしか,3,1 年前,"現在、花公園として芍薬や菖蒲などがたくさん咲いています。
多分地元の方が手入れされているのかもしれません。

見学している方がいなく、ゆっくりみれます。
スキー場だけあってわりと急斜面ですが種類があって私としては見応えがありました。

ただ、枯れたり散ったりしている花があります。",小野川温泉スキー場,"
〒992-0076 山形県米沢市小野川町１８８−１","
0238-32-2121",http://npo-onogawa.org/,"3.9
(64)",Unknown,〒992-0076 山形県米沢市小野川町１８８−１,37.8777846,137.6187192
クリちゃんほしか,3,1 年前,"現在、花公園として芍薬や菖蒲などがたくさん咲いています。
多分地元の方が手入れされているのかもしれません。

見学している方がいなく、ゆっくりみれます。
スキー場だけあってわりと急斜面ですが種類があって私としては見応えがありました。

ただ、枯れたり散ったりしている花があります。",小野川温泉スキー場,"
〒992-0076 山形県米沢市小野川町１８８−１","
0238-32-2121",http://npo-onogawa.org/,"3.9
(64)",Unknown,〒992-0076 山形県米沢市小野川町１８８−１,37.8777846,137.6187192
北幸,4,1 か月前,"仕事で利用させて頂きました。
ありがとうございます。
リフトが故障したとかで早めに今シーズンの営業は終了されたとの事。",小野川温泉スキー場,"
〒992-0076 山形県米沢市小野川町１８８−１","
0238-32-2121",http://npo-onogawa.org/,"3.9
(64)",Unknown,〒992-0076 山形県米沢市小野川町１８８−１,37.8777846,137.6187192
北幸,4,1 か月前,"仕事で利用させて頂きました。
ありがとうございます。
リフトが故障したとかで早めに今シーズンの営業は終了されたとの事。",小野川温泉スキー場,"
〒992-0076 山形県米沢市小野川町１８８−１","
0238-32-2121",http://npo-onogawa.org/,"3.9
(64)",Unknown,〒992-0076 山形県米沢市小野川町１８８−１,37.8777846,137.6187192
あやや,1,2 年前,"スキー場自体はいいのですが食堂は最低でした。ピザを頼んで30分近く待ったのですがピザはこず、私たちの後に頼んだ人達にピザが渡りました。おかしいなと思い聞いてみたところ間違ったということでした。その後また同じことが起こりました。10分後に焼き上がりますと言っていたのですが焼いている様子はなく、受け付けを閉めました。返金はしてもらいましだが
接客は最低です。もう一生行きません。",小野川温泉スキー場,"
〒992-0076 山形県米沢市小野川町１８８−１","
0238-32-2121",http://npo-onogawa.org/,"3.9
(64)",Unknown,〒992-0076 山形県米沢市小野川町１８８−１,37.8777846,137.6187192
あやや,1,2 年前,"スキー場自体はいいのですが食堂は最低でした。ピザを頼んで30分近く待ったのですがピザはこず、私たちの後に頼んだ人達にピザが渡りました。おかしいなと思い聞いてみたところ間違ったということでした。その後また同じことが起こりました。10分後に焼き上がりますと言っていたのですが焼いている様子はなく、受け付けを閉めました。返金はしてもらいましだが
接客は最低です。もう一生行きません。",小野川温泉スキー場,"
〒992-0076 山形県米沢市小野川町１８８−１","
0238-32-2121",http://npo-onogawa.org/,"3.9
(64)",Unknown,〒992-0076 山形県米沢市小野川町１８８−１,37.8777846,137.6187192
